Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/08/22,vs.,MIL,L,101,131,23,17,5,5,4/7,1/4,8/9,87,26.3%,79,154.5,97,35.7%,25,20.0%,51,75.0%,33,4.2%,40,15.4%,60,1.9%,,0.0%
04/03/22,@,IND,W,121,117,18,7,2,1,2/7,1/2,2/2,63,19.3%,23,87.5,43,7.1%,48,11.8%,,100.0%,37,5.0%,7,4.2%,68,2.5%,78,2.3%
03/31/22,vs.,PHI,W,102,94,21,12,5,3,5/5,0/0,2/2,45,15.9%,92,200.0,79,18.8%,37,15.4%,46,80.0%,59,9.1%,69,23.5%,73,2.9%,96,4.9%
03/29/22,@,BKN,L,123,130,17,8,3,8,3/4,1/2,1/2,74,22.0%,82,160.0,100,53.3%,50,11.1%,59,66.7%,39,5.3%,40,15.4%,,0.0%,80,2.4%
03/27/22,vs.,NYK,L,102,104,18,2,3,4,1/6,0/4,0/0,62,19.0%,6,33.3,97,36.4%,,0.0%,95,0.0%,34,4.3%,20,10.0%,,0.0%,,0.0%
03/23/22,vs.,ATL,W,122,101,18,16,4,1,6/9,1/3,3/3,61,18.9%,82,160.0,45,7.7%,48,11.8%,,100.0%,39,5.3%,22,10.5%,92,5.7%,,0.0%
03/19/22,@,CLE,L,109,113,17,6,5,2,2/4,2/3,0/0,26,12.5%,74,150.0,80,20.0%,,0.0%,95,0.0%,,0.0%,83,29.4%,,0.0%,81,2.5%
03/17/22,@,ORL,W,134,120,19,9,3,2,3/6,2/5,1/2,61,18.9%,58,128.6,58,11.1%,19,23.5%,,100.0%,44,6.2%,14,7.7%,70,2.7%,77,2.2%
03/15/22,@,MIA,L,98,105,13,6,5,1,3/5,0/1,0/0,69,20.7%,50,120.0,54,10.0%,33,16.7%,89,33.3%,92,20.0%,72,25.0%,,0.0%,99,6.9%
03/13/22,vs.,LAC,L,102,106,15,9,3,0,2/4,1/1,4/4,80,23.4%,74,150.0,,0.0%,14,26.7%,75,50.0%,47,6.7%,10,5.9%,,0.0%,,0.0%
03/11/22,@,BOS,L,103,114,13,6,1,2,1/1,0/0,4/4,61,19.0%,92,200.0,92,28.6%,6,36.4%,,100.0%,56,8.3%,0,0.0%,,0.0%,90,3.4%
03/09/22,vs.,CHI,L,108,114,20,12,4,4,4/9,1/5,3/3,89,27.2%,50,120.0,87,23.5%,36,16.0%,51,75.0%,,0.0%,61,21.1%,,0.0%,,0.0%
03/07/22,vs.,ATL,W,113,110,17,6,4,2,3/4,0/0,0/0,29,13.1%,74,150.0,73,16.7%,6,36.4%,,100.0%,39,5.3%,62,21.4%,,0.0%,,0.0%
03/04/22,vs.,IND,W,111,106,14,6,4,3,2/4,2/2,0/0,62,19.1%,74,150.0,86,23.1%,10,30.8%,,100.0%,49,7.1%,62,21.4%,95,6.5%,,0.0%
03/03/22,@,TOR,W,108,106,18,5,3,2,2/5,0/1,1/2,59,18.4%,21,83.3,78,18.2%,40,14.3%,,100.0%,,0.0%,49,17.6%,,0.0%,,0.0%
03/01/22,@,WAS,L,113,116,21,10,4,3,4/5,1/2,1/1,36,14.3%,92,200.0,86,23.1%,33,16.7%,51,75.0%,68,11.1%,9,5.3%,,0.0%,,0.0%
02/27/22,@,CHA,W,127,126,24,20,8,3,7/13,4/5,2/2,71,21.2%,70,142.9,79,18.8%,,0.0%,42,85.7%,79,14.3%,65,22.2%,,0.0%,90,3.4%
02/26/22,vs.,BOS,L,104,113,17,3,5,2,1/3,1/1,0/0,14,9.7%,27,100.0,68,14.3%,,0.0%,,100.0%,49,7.1%,81,28.6%,,0.0%,,0.0%
