Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/06/22,@,ATL,L,103,118,26,9,2,2,4/8,1/3,0/0,64,19.3%,53,112.5,55,11.1%,8,27.3%,74,50.0%,,0.0%,33,6.7%,,0.0%,,0.0%
04/05/22,@,MIN,W,132,114,27,13,3,3,6/12,1/5,0/0,80,23.3%,50,108.3,55,10.7%,28,14.8%,61,66.7%,,0.0%,57,11.1%,,0.0%,67,1.7%
04/03/22,@,BOS,L,102,144,30,17,4,0,7/16,1/3,2/2,79,23.1%,36,100.0,,0.0%,55,6.5%,59,71.4%,87,6.7%,41,8.3%,83,1.6%,62,1.5%
04/01/22,vs.,DAL,W,135,103,34,35,4,0,13/19,6/11,3/3,75,21.7%,94,184.2,,0.0%,37,12.1%,60,69.2%,,0.0%,78,16.0%,,0.0%,56,1.3%
03/30/22,vs.,ORL,W,127,110,33,25,2,3,10/17,5/9,0/0,67,19.9%,79,147.1,64,13.0%,55,6.5%,50,80.0%,,0.0%,23,4.7%,,0.0%,80,2.6%
03/29/22,vs.,CHI,L,94,107,32,20,3,0,9/15,1/3,1/2,81,23.5%,63,125.0,,0.0%,10,25.0%,46,88.9%,,0.0%,53,10.3%,,0.0%,61,1.5%
03/27/22,vs.,GSW,W,123,115,31,22,4,3,8/8,3/3,3/3,36,14.0%,99,244.4,73,15.8%,15,21.1%,54,75.0%,73,4.0%,53,10.3%,95,3.1%,61,1.5%
03/25/22,@,DET,W,100,97,33,8,3,2,2/10,0/3,4/4,52,16.9%,22,72.7,46,8.7%,50,8.0%,74,50.0%,63,2.9%,32,6.5%,,0.0%,58,1.4%
03/24/22,@,MIL,L,102,114,33,16,5,2,5/16,3/10,3/4,86,25.7%,32,88.9,44,8.3%,57,5.4%,69,60.0%,,0.0%,84,18.2%,,0.0%,83,2.8%
03/21/22,@,HOU,L,97,115,32,13,1,1,6/12,0/5,1/1,55,17.4%,50,108.3,36,6.2%,49,8.3%,74,50.0%,64,2.9%,0,0.0%,,0.0%,,0.0%
03/19/22,vs.,LAL,W,127,119,33,18,10,3,4/11,3/5,7/9,79,22.9%,59,120.0,60,12.0%,56,6.1%,74,50.0%,73,4.0%,98,29.0%,,0.0%,59,1.4%
03/18/22,@,NYK,L,97,100,37,9,3,2,4/9,1/5,0/0,35,13.9%,36,100.0,51,10.0%,20,18.2%,74,50.0%,,0.0%,30,6.1%,91,2.4%,55,1.3%
03/16/22,vs.,DEN,L,109,127,27,12,4,1,4/10,2/5,2/4,69,20.3%,36,100.0,32,5.3%,26,15.4%,54,75.0%,74,4.2%,63,12.5%,,0.0%,86,3.1%
03/14/22,@,GSW,L,112,126,34,19,2,1,8/14,1/4,2/3,43,15.4%,66,126.7,28,4.5%,,0.0%,47,87.5%,69,3.4%,17,3.6%,,0.0%,80,2.6%
03/12/22,@,POR,L,118,127,32,26,4,5,6/16,5/10,9/9,92,28.4%,68,130.0,90,25.0%,58,4.8%,48,83.3%,70,3.6%,48,9.4%,,0.0%,58,1.4%
03/11/22,@,LAL,L,109,122,30,4,1,1,1/6,0/1,2/2,33,13.6%,14,57.1,28,4.5%,15,21.1%,95,0.0%,,0.0%,19,4.0%,,0.0%,60,1.4%
03/09/22,@,LAC,L,109,115,34,16,6,3,4/10,2/7,6/6,49,16.2%,62,123.1,58,11.5%,,0.0%,54,75.0%,64,2.9%,78,16.1%,,0.0%,79,2.5%
03/06/22,vs.,IND,W,133,123,33,19,2,5,5/13,3/9,6/7,80,23.2%,58,118.8,82,19.2%,,0.0%,50,80.0%,,0.0%,28,5.9%,,0.0%,59,1.4%
03/04/22,vs.,ATL,L,114,117,30,28,5,5,10/12,6/6,2/3,68,20.1%,98,215.4,89,23.8%,52,7.4%,69,60.0%,74,4.2%,56,10.8%,,0.0%,,0.0%
03/01/22,vs.,DET,W,116,113,31,15,3,3,5/12,3/4,2/2,69,20.4%,55,115.4,66,13.6%,31,13.8%,50,80.0%,72,3.8%,33,6.7%,,0.0%,,0.0%
02/26/22,@,CLE,L,86,92,34,13,0,3,4/10,0/2,5/5,69,20.4%,50,108.3,73,15.8%,31,13.8%,74,50.0%,,0.0%,0,0.0%,84,1.7%,59,1.4%
02/25/22,vs.,SAS,L,153,157,43,24,1,4,7/14,4/10,6/6,56,17.5%,76,141.2,55,10.8%,57,5.9%,47,85.7%,61,2.7%,0,0.0%,,0.0%,72,2.1%
02/17/22,@,BKN,W,117,103,25,7,5,2,3/7,1/3,0/0,36,14.0%,36,100.0,50,9.5%,35,12.5%,61,66.7%,82,5.6%,65,12.9%,,0.0%,68,1.8%
02/16/22,@,IND,L,108,113,34,27,3,1,9/18,5/8,4/4,76,22.2%,73,135.0,30,5.0%,57,5.6%,54,77.8%,61,2.6%,37,7.4%,,0.0%,90,3.7%
02/14/22,vs.,DET,W,103,94,35,16,2,3,6/15,4/6,0/0,77,22.4%,49,106.7,70,15.0%,39,11.4%,88,33.3%,,0.0%,26,5.4%,79,1.4%,,0.0%
02/12/22,vs.,SAC,L,110,123,29,11,4,0,5/9,1/4,0/0,26,12.1%,61,122.2,,0.0%,,0.0%,69,60.0%,71,3.7%,87,20.0%,,0.0%,65,1.6%
02/10/22,vs.,BKN,W,113,112,32,13,5,2,4/10,1/2,4/4,56,17.6%,50,108.3,43,8.0%,50,8.0%,54,75.0%,72,3.8%,57,11.1%,,0.0%,83,2.8%
02/07/22,vs.,MIA,L,100,121,22,9,1,2,3/11,1/4,2/2,84,25.0%,22,75.0,74,16.7%,,0.0%,61,66.7%,,0.0%,33,6.7%,,0.0%,,0.0%
02/05/22,vs.,PHX,L,80,95,24,8,1,0,3/9,1/4,1/1,55,17.3%,32,88.9,,0.0%,40,11.1%,61,66.7%,,0.0%,18,3.7%,,0.0%,91,3.8%
02/02/22,@,PHI,W,106,103,29,4,4,1,2/10,0/1,0/0,36,14.0%,9,40.0,29,4.8%,,0.0%,,100.0%,65,3.0%,50,10.0%,,0.0%,,0.0%
02/01/22,@,MIL,L,98,112,30,12,1,2,4/11,1/4,3/3,56,17.5%,36,100.0,59,11.8%,,0.0%,,100.0%,,0.0%,18,3.7%,83,1.6%,64,1.6%
01/29/22,@,MEM,L,95,115,26,15,2,0,6/11,3/5,0/0,39,14.5%,73,136.4,,0.0%,,0.0%,,100.0%,,0.0%,33,6.7%,,0.0%,,0.0%
01/25/22,vs.,LAC,L,115,116,29,12,3,1,3/7,1/2,5/5,21,11.1%,70,133.3,27,4.3%,,0.0%,,100.0%,75,4.3%,27,5.6%,,0.0%,,0.0%
01/23/22,vs.,BOS,L,87,116,22,8,1,1,3/11,0/4,2/3,79,23.0%,17,66.7,51,10.0%,,0.0%,61,66.7%,,0.0%,23,4.8%,88,2.1%,,0.0%
01/21/22,vs.,TOR,L,105,109,28,10,3,5,4/8,2/5,0/0,50,16.4%,63,125.0,86,21.7%,19,19.0%,,100.0%,,0.0%,57,11.1%,,0.0%,64,1.6%
01/19/22,vs.,BKN,L,118,119,31,9,3,1,3/8,1/6,2/2,52,16.9%,36,100.0,27,4.3%,10,25.0%,88,33.3%,,0.0%,62,12.0%,,0.0%,59,1.4%
01/17/22,vs.,PHI,W,117,98,29,14,3,1,6/15,2/6,0/0,66,19.7%,35,93.3,29,4.8%,,0.0%,74,50.0%,,0.0%,45,8.8%,,0.0%,83,2.8%
01/15/22,vs.,POR,L,110,115,29,8,2,2,3/11,0/4,2/2,75,21.8%,17,66.7,50,9.5%,19,19.4%,88,33.3%,,0.0%,40,8.0%,,0.0%,,0.0%
01/12/22,vs.,ORL,W,112,106,31,12,10,4,4/11,3/7,1/2,66,19.7%,36,100.0,74,16.7%,51,7.7%,,100.0%,72,3.8%,87,19.5%,,0.0%,63,1.5%
01/11/22,vs.,OKC,W,122,118,30,16,3,3,5/13,3/7,3/3,83,24.2%,54,114.3,58,11.5%,34,12.9%,50,80.0%,77,4.5%,30,6.2%,95,3.1%,,0.0%
01/09/22,@,ORL,W,102,100,30,14,3,0,5/9,2/4,2/2,30,12.9%,75,140.0,,0.0%,40,11.1%,50,80.0%,,0.0%,38,7.7%,,0.0%,,0.0%
01/07/22,@,CHI,L,122,130,26,14,1,3,5/9,2/3,2/2,49,16.4%,75,140.0,67,14.3%,43,10.0%,,100.0%,,0.0%,18,3.7%,,0.0%,,0.0%
01/05/22,vs.,HOU,L,111,114,40,26,6,2,10/16,5/9,1/1,36,14.1%,88,162.5,44,8.3%,53,7.1%,50,80.0%,,0.0%,75,15.4%,90,2.4%,85,3.0%
01/03/22,vs.,CHA,W,124,121,31,5,3,0,2/11,0/5,1/2,59,18.1%,11,45.5,,0.0%,13,23.1%,,100.0%,,0.0%,45,8.8%,,0.0%,,0.0%
01/01/22,vs.,CHI,L,119,120,39,13,8,2,5/13,3/9,0/0,55,17.4%,36,100.0,37,6.5%,10,25.8%,,100.0%,63,2.9%,93,22.6%,78,1.4%,,0.0%
12/30/21,vs.,CLE,W,110,93,28,12,2,4,4/8,4/6,0/0,50,16.4%,79,150.0,71,15.4%,19,19.0%,54,75.0%,,0.0%,34,6.9%,85,1.8%,86,3.1%
12/18/21,@,UTA,W,109,103,35,13,3,3,5/14,3/9,0/0,56,17.6%,35,92.9,64,13.0%,55,6.7%,69,60.0%,,0.0%,43,8.6%,,0.0%,52,1.2%
12/16/21,@,PHX,L,98,118,28,9,1,0,3/9,1/5,2/3,53,16.9%,32,90.0,,0.0%,43,10.0%,61,66.7%,,0.0%,30,6.2%,,0.0%,67,1.7%
12/15/21,@,SAC,L,105,119,29,10,7,1,5/10,0/2,0/0,31,13.1%,36,100.0,27,4.3%,,0.0%,50,80.0%,69,3.4%,97,28.6%,97,3.6%,63,1.5%
12/13/21,@,DEN,L,107,113,30,13,3,2,5/16,3/10,0/0,74,21.6%,27,81.3,55,11.1%,,0.0%,,100.0%,62,2.8%,41,8.3%,87,1.9%,62,1.5%
12/11/21,vs.,UTA,L,98,123,25,0,3,1,0/5,0/1,0/0,27,12.5%,1,0.0,27,4.3%,8,26.7%,,,,0.0%,62,12.0%,,0.0%,66,1.7%
12/08/21,@,DET,W,119,116,35,13,3,2,5/13,3/8,0/0,56,17.6%,36,100.0,50,9.5%,51,7.7%,50,80.0%,,0.0%,62,12.0%,,0.0%,58,1.4%
12/06/21,@,IND,L,110,116,31,8,3,4,3/11,2/3,0/0,80,23.4%,22,72.7,74,16.0%,16,20.7%,,100.0%,75,4.3%,34,6.9%,,0.0%,65,1.6%
12/05/21,@,TOR,L,90,102,28,26,2,2,8/9,4/4,6/6,72,21.1%,98,216.7,71,15.4%,23,16.7%,54,75.0%,,0.0%,33,6.7%,,0.0%,68,1.8%
12/03/21,vs.,CLE,L,101,116,20,4,3,2,2/8,0/3,0/0,70,20.7%,11,50.0,82,20.0%,42,10.5%,74,50.0%,,0.0%,79,16.7%,,0.0%,74,2.2%
12/01/21,vs.,MIN,W,115,107,27,14,4,2,5/14,3/6,1/1,75,21.9%,36,100.0,55,11.1%,53,7.1%,50,80.0%,96,10.3%,17,3.6%,,0.0%,86,3.1%
11/29/21,@,SAS,L,99,116,25,17,1,3,7/11,3/6,0/0,71,21.0%,84,154.5,78,17.6%,45,9.5%,47,85.7%,,0.0%,19,3.8%,,0.0%,71,2.0%
11/27/21,@,DAL,W,120,114,31,16,6,1,5/9,0/1,6/6,64,19.3%,70,133.3,25,3.8%,28,14.8%,86,40.0%,79,5.0%,63,12.5%,81,1.5%,60,1.4%
11/26/21,@,OKC,W,101,99,27,20,4,2,8/13,4/7,0/0,74,21.6%,84,153.8,59,11.8%,50,8.0%,68,62.5%,,0.0%,63,12.5%,96,3.4%,,0.0%
11/24/21,@,NOP,L,102,127,23,9,3,0,2/5,2/5,3/4,35,13.8%,67,128.6,,0.0%,10,25.0%,,100.0%,,0.0%,69,13.6%,,0.0%,67,1.7%
11/22/21,vs.,CHA,L,103,109,28,17,3,1,4/10,2/6,7/8,61,18.6%,61,121.4,36,6.2%,,0.0%,54,75.0%,86,6.2%,20,4.2%,,0.0%,98,5.7%
11/20/21,vs.,MIA,W,103,100,27,16,3,1,5/10,5/8,1/1,56,17.5%,86,160.0,39,7.1%,16,20.0%,,100.0%,,0.0%,60,11.5%,,0.0%,68,1.8%
11/18/21,@,MIA,L,97,112,30,8,1,2,3/7,2/6,0/0,42,15.1%,54,114.3,47,9.1%,5,31.6%,,100.0%,,0.0%,19,4.0%,,0.0%,64,1.6%
11/17/21,@,CHA,L,87,97,28,3,6,2,1/6,0/5,1/1,27,12.5%,11,50.0,54,10.5%,32,13.3%,,100.0%,68,3.3%,75,15.2%,,0.0%,66,1.7%
11/15/21,vs.,NOP,W,105,100,35,18,4,2,7/13,4/8,0/0,38,14.4%,75,138.5,44,8.3%,,0.0%,,100.0%,,0.0%,46,9.1%,,0.0%,82,2.7%
11/13/21,@,ORL,W,104,92,32,10,4,1,3/13,2/9,2/2,77,22.5%,21,71.4,28,4.5%,34,12.9%,61,66.7%,68,3.3%,38,7.7%,80,1.5%,61,1.4%
11/10/21,@,CLE,W,97,94,28,5,1,1,1/8,0/5,3/3,41,15.0%,14,55.6,36,6.2%,,0.0%,,100.0%,,0.0%,19,3.8%,87,2.0%,88,3.3%
11/07/21,vs.,MIL,W,101,94,26,5,2,0,2/6,1/2,0/1,27,12.3%,28,83.3,,0.0%,6,28.6%,,100.0%,,0.0%,30,6.1%,,0.0%,99,7.0%
11/05/21,vs.,MEM,W,115,87,26,12,7,3,4/10,4/7,0/0,42,15.1%,59,120.0,60,12.0%,,0.0%,,100.0%,73,4.0%,84,18.2%,,0.0%,86,3.2%
11/03/21,vs.,TOR,L,100,109,34,8,9,0,4/13,0/6,0/0,56,17.6%,16,61.5,,0.0%,51,7.7%,74,50.0%,68,3.3%,95,25.0%,84,1.8%,82,2.7%
11/01/21,@,ATL,L,111,118,30,11,4,2,4/10,2/6,1/1,40,14.8%,51,110.0,55,11.1%,,0.0%,54,75.0%,64,2.9%,57,11.1%,,0.0%,64,1.6%
10/30/21,vs.,BOS,W,115,112,41,2,2,3,1/5,0/2,0/0,14,9.6%,9,40.0,58,11.5%,4,33.3%,,100.0%,,0.0%,24,4.9%,76,1.3%,73,2.1%
10/28/21,vs.,ATL,W,122,111,30,21,8,2,7/10,5/7,2/3,47,16.0%,95,190.9,43,8.0%,22,17.4%,59,71.4%,90,7.4%,87,19.2%,83,1.7%,,0.0%
10/27/21,@,BOS,W,116,107,31,11,2,2,4/6,3/4,0/0,7,7.4%,93,183.3,46,8.7%,,0.0%,54,75.0%,,0.0%,16,3.3%,,0.0%,,0.0%
10/25/21,@,BKN,L,90,104,25,11,3,0,5/11,1/4,0/0,43,15.3%,36,100.0,,0.0%,,0.0%,50,80.0%,,0.0%,53,10.3%,,0.0%,67,1.7%
10/22/21,vs.,IND,W,135,134,35,7,2,2,2/4,2/4,1/1,8,7.9%,91,175.0,37,6.7%,20,18.2%,74,50.0%,,0.0%,30,6.2%,,0.0%,,0.0%
10/20/21,@,TOR,W,98,83,27,5,2,1,2/7,1/5,0/0,29,12.7%,21,71.4,36,6.2%,35,12.5%,74,50.0%,,0.0%,28,5.9%,,0.0%,64,1.6%
