Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/25/22,vs.,BOS,L,112,116,47,39,7,9,13/31,3/11,10/11,100,41.2%,47,108.3,95,33.3%,49,9.5%,90,38.5%,48,2.6%,54,13.0%,,0.0%,47,1.0%
04/23/22,vs.,BOS,L,103,109,46,16,8,8,6/11,2/3,2/2,62,19.5%,70,133.3,86,24.2%,8,25.6%,78,50.0%,53,2.9%,72,17.1%,,0.0%,49,1.0%
04/20/22,@,BOS,L,107,114,42,27,4,5,4/17,1/2,18/20,99,36.8%,35,100.0,78,19.2%,22,17.1%,94,25.0%,,0.0%,49,12.1%,,0.0%,51,1.1%
04/17/22,@,BOS,L,114,115,41,23,4,3,9/24,1/5,4/5,97,34.6%,28,88.5,60,12.0%,18,19.0%,86,44.4%,,0.0%,37,10.0%,68,1.2%,54,1.1%
04/12/22,vs.,CLE,W,115,108,42,25,5,11,9/16,1/2,6/6,77,23.7%,70,131.6,95,32.4%,64,4.4%,61,66.7%,,0.0%,36,9.5%,93,3.7%,72,2.1%
04/10/22,vs.,IND,W,134,126,41,20,10,16,5/17,0/6,10/10,98,35.6%,31,90.9,98,38.1%,24,17.4%,67,60.0%,,0.0%,83,20.4%,,0.0%,49,1.0%
04/08/22,vs.,CLE,W,118,107,41,36,5,5,11/20,4/6,10/10,92,29.2%,78,144.0,77,17.9%,23,17.9%,47,81.8%,49,2.5%,26,7.7%,86,2.5%,49,1.0%
04/06/22,@,NYK,W,110,98,42,32,10,11,11/21,2/9,8/9,94,31.1%,66,128.0,99,42.3%,36,13.1%,56,72.7%,67,4.8%,62,14.9%,85,2.4%,49,1.0%
04/05/22,vs.,HOU,W,118,105,37,18,9,7,4/13,1/3,9/10,89,27.3%,34,100.0,88,25.0%,37,12.8%,72,50.0%,,0.0%,79,19.1%,85,2.4%,,0.0%
04/02/22,@,ATL,L,115,122,42,55,7,3,19/28,8/10,9/11,98,35.7%,89,166.7,70,15.0%,41,11.4%,86,36.8%,,0.0%,68,16.3%,,0.0%,49,1.0%
03/31/22,vs.,MIL,L,119,120,45,26,7,10,10/21,3/6,3/3,94,30.4%,57,118.2,98,37.0%,20,19.4%,84,40.0%,,0.0%,54,13.3%,66,1.1%,48,1.0%
03/29/22,vs.,DET,W,130,123,39,41,11,5,14/23,4/6,9/9,94,30.3%,83,151.9,86,22.7%,55,7.0%,83,42.9%,,0.0%,86,21.7%,93,3.4%,49,1.1%
03/27/22,vs.,CHA,L,110,119,42,27,8,7,9/24,3/11,6/6,90,28.2%,45,103.8,88,25.0%,55,6.9%,71,55.6%,,0.0%,68,16.3%,,0.0%,70,1.9%
03/26/22,@,MIA,W,110,95,31,23,3,5,7/14,0/2,9/10,98,35.5%,60,121.1,88,23.8%,17,20.4%,70,57.1%,,0.0%,42,10.7%,79,1.9%,93,4.3%
