Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/20/22,vs.,CHI,L,110,114,33,18,5,8,6/11,5/7,1/1,75,23.3%,88,163.6,99,40.0%,10,23.5%,61,66.7%,60,3.6%,66,15.4%,,0.0%,82,2.7%
04/17/22,vs.,CHI,W,93,86,39,11,5,6,4/13,1/7,2/2,80,25.0%,22,78.6,90,27.3%,5,29.8%,94,25.0%,,0.0%,36,9.6%,,0.0%,51,1.1%
04/08/22,@,DET,W,131,101,28,15,1,1,6/13,3/7,0/0,53,17.2%,54,115.4,28,4.5%,,0.0%,45,83.3%,,0.0%,9,2.6%,,0.0%,85,3.1%
04/07/22,vs.,BOS,W,127,121,39,22,8,9,9/18,3/8,1/1,84,24.7%,61,122.2,93,29.0%,39,12.2%,92,22.2%,,0.0%,87,22.2%,68,1.3%,71,2.0%
04/05/22,@,CHI,W,127,106,28,19,4,5,8/17,3/10,0/0,96,33.1%,51,111.8,88,23.8%,21,18.6%,72,50.0%,,0.0%,49,12.5%,,0.0%,94,4.6%
04/03/22,vs.,DAL,L,112,118,37,11,4,9,3/14,0/4,5/6,90,27.6%,19,68.8,95,33.3%,37,12.8%,95,0.0%,49,2.4%,42,10.7%,,0.0%,,0.0%
03/31/22,@,BKN,W,120,119,30,16,9,4,4/12,2/7,6/6,89,27.0%,47,106.7,87,23.5%,20,19.5%,91,25.0%,,0.0%,98,33.3%,78,1.8%,79,2.6%
03/29/22,@,PHI,W,118,116,34,22,9,7,8/17,3/8,3/5,86,25.3%,54,115.8,88,24.1%,49,8.7%,85,37.5%,72,5.4%,71,17.1%,68,1.3%,50,1.1%
03/26/22,@,MEM,L,102,127,29,16,5,5,5/16,1/4,5/5,96,33.3%,33,94.1,91,26.3%,17,20.8%,93,20.0%,,0.0%,57,13.9%,,0.0%,,0.0%
03/19/22,@,MIN,L,119,138,26,15,7,5,6/13,3/7,0/0,89,27.0%,54,115.4,91,26.3%,21,18.2%,59,66.7%,62,4.0%,89,23.1%,,0.0%,64,1.6%
03/16/22,@,SAC,W,135,126,34,32,8,8,10/20,7/10,5/5,95,31.8%,79,145.5,97,36.4%,41,11.1%,84,40.0%,,0.0%,88,22.9%,70,1.4%,75,2.4%
03/14/22,@,UTA,W,117,111,35,23,3,4,7/16,2/5,7/8,90,27.7%,65,127.8,79,19.0%,24,17.4%,90,28.6%,,0.0%,29,8.3%,69,1.4%,53,1.2%
