Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/18/22,@,NYK,L,97,100,35,18,5,9,6/17,4/9,2/4,98,36.3%,27,94.7,98,42.9%,39,15.1%,89,33.3%,28,3.1%,20,9.8%,52,1.4%,,0.0%
03/16/22,vs.,DEN,L,109,127,27,6,9,7,3/9,0/2,0/0,69,20.8%,12,66.7,97,36.8%,40,14.8%,59,66.7%,30,3.6%,86,30.8%,,0.0%,67,1.5%
03/14/22,@,GSW,L,112,126,31,11,8,3,4/12,1/6,2/2,80,23.6%,22,84.6,62,12.5%,29,18.2%,75,50.0%,32,4.0%,83,29.2%,,0.0%,,0.0%
03/12/22,@,POR,L,118,127,30,22,3,3,7/16,4/7,4/4,93,29.6%,53,122.2,86,23.1%,28,19.0%,57,71.4%,27,3.0%,14,7.4%,54,1.5%,,0.0%
03/11/22,@,LAL,L,109,122,32,23,7,3,9/18,2/6,3/9,96,34.0%,39,104.5,79,18.8%,37,15.7%,86,44.4%,44,6.2%,52,18.5%,,0.0%,,0.0%
03/09/22,@,LAC,L,109,115,33,17,6,4,8/16,1/4,0/0,86,26.0%,40,106.3,84,21.1%,37,15.8%,75,50.0%,,0.0%,60,20.7%,,0.0%,63,1.4%
03/06/22,vs.,IND,W,133,123,36,23,5,8,8/17,2/7,5/7,89,27.5%,46,115.0,93,29.6%,65,4.5%,51,75.0%,,0.0%,35,14.3%,71,2.7%,60,1.2%
03/04/22,vs.,ATL,L,114,117,35,22,5,11,9/21,0/6,4/4,98,36.7%,27,100.0,98,40.7%,40,14.5%,41,88.9%,,0.0%,27,11.9%,70,2.7%,,0.0%
03/01/22,vs.,DET,W,116,113,34,21,9,6,7/15,1/5,6/6,95,31.6%,47,116.7,92,28.6%,24,20.8%,73,57.1%,49,7.1%,64,21.9%,72,2.9%,,0.0%
02/26/22,@,CLE,L,86,92,39,34,13,2,13/22,8/11,0/0,92,29.0%,79,154.5,66,13.3%,33,17.0%,75,53.8%,,0.0%,87,31.6%,74,3.0%,59,1.2%
02/25/22,vs.,SAS,L,153,157,46,36,8,7,13/27,3/5,7/8,94,30.7%,47,116.1,80,20.0%,66,3.1%,86,46.2%,,0.0%,56,20.0%,50,1.1%,73,1.9%
02/17/22,@,BKN,W,117,103,30,5,7,5,2/7,0/3,1/1,82,24.3%,15,71.4,80,20.0%,4,42.4%,95,0.0%,,0.0%,56,20.0%,,0.0%,65,1.5%
02/16/22,@,IND,L,108,113,38,26,15,6,9/27,6/12,2/2,97,35.4%,26,92.9,90,26.1%,55,9.5%,74,55.6%,51,7.3%,84,30.0%,,0.0%,57,1.1%
02/14/22,vs.,DET,W,103,94,38,23,7,2,10/18,1/4,2/3,88,26.5%,53,121.1,47,8.0%,29,18.2%,87,40.0%,,0.0%,44,16.7%,51,1.3%,,0.0%
02/12/22,vs.,SAC,L,110,123,35,22,8,7,7/14,2/6,6/8,92,28.9%,53,122.2,95,33.3%,56,9.1%,87,42.9%,44,6.2%,64,21.7%,55,1.6%,61,1.3%
02/10/22,vs.,BKN,W,113,112,38,15,12,10,6/15,1/5,2/2,93,29.8%,26,93.8,97,35.7%,19,24.0%,59,66.7%,,0.0%,84,30.0%,,0.0%,,0.0%
02/07/22,vs.,MIA,L,100,121,27,12,2,2,4/9,1/5,3/3,62,19.2%,50,120.0,71,15.4%,32,17.4%,51,75.0%,,0.0%,32,13.3%,,0.0%,,0.0%
02/05/22,vs.,PHX,L,80,95,24,9,6,1,3/12,1/5,2/3,88,26.5%,15,69.2,58,11.1%,,0.0%,89,33.3%,,0.0%,60,20.7%,81,3.6%,,0.0%
02/02/22,@,PHI,W,106,103,35,24,7,3,10/19,4/6,0/0,80,23.4%,57,126.3,67,13.6%,64,5.4%,70,60.0%,26,2.9%,43,16.2%,86,4.3%,60,1.3%
02/01/22,@,MIL,L,98,112,35,25,11,2,9/19,3/8,4/6,94,30.5%,45,113.6,62,12.5%,58,8.5%,89,33.3%,56,8.3%,78,26.7%,86,4.3%,61,1.3%
01/29/22,@,MEM,L,95,115,36,30,8,3,11/17,4/8,4/6,90,27.6%,81,157.9,77,17.6%,20,23.3%,57,72.7%,40,5.6%,38,14.6%,50,1.2%,92,3.8%
01/25/22,vs.,LAC,L,115,116,35,19,12,3,6/14,1/5,6/8,85,25.6%,27,100.0,67,13.6%,43,13.6%,75,50.0%,44,6.2%,56,19.5%,51,1.3%,58,1.2%
01/23/22,vs.,BOS,L,87,116,24,12,7,1,4/10,2/3,2/4,84,25.0%,27,100.0,58,11.1%,37,15.4%,51,75.0%,67,10.7%,44,16.7%,61,1.9%,,0.0%
01/19/22,vs.,BKN,L,118,119,31,16,6,0,5/11,1/2,5/6,83,24.6%,45,114.3,,0.0%,12,28.6%,70,60.0%,56,8.3%,43,16.0%,56,1.6%,64,1.4%
01/17/22,vs.,PHI,W,117,98,29,15,16,4,6/13,1/3,2/4,77,22.5%,27,100.0,78,18.2%,63,6.2%,59,66.7%,28,3.2%,98,42.9%,89,4.9%,64,1.4%
01/15/22,vs.,POR,L,110,115,37,16,12,2,7/18,0/4,2/2,81,23.9%,24,88.9,53,9.5%,29,18.6%,87,42.9%,62,9.5%,50,18.2%,72,2.8%,,0.0%
01/12/22,vs.,ORL,W,112,106,35,19,10,9,7/11,2/3,3/4,89,27.0%,73,146.2,96,34.6%,16,25.0%,57,71.4%,31,3.7%,53,18.8%,50,1.2%,,0.0%
01/11/22,vs.,OKC,W,122,118,35,29,5,3,12/17,1/4,4/7,86,25.7%,72,145.0,62,12.5%,65,5.1%,75,50.0%,,0.0%,34,13.9%,51,1.4%,,0.0%
01/09/22,@,ORL,W,102,100,38,27,22,1,10/19,3/6,4/6,87,26.2%,54,122.7,33,4.3%,43,13.3%,70,60.0%,40,5.4%,96,39.6%,50,1.2%,,0.0%
01/07/22,@,CHI,L,122,130,35,21,11,2,7/17,0/4,7/8,90,28.0%,39,105.0,45,7.4%,33,17.0%,87,42.9%,28,3.1%,81,28.1%,50,1.3%,79,2.4%
01/05/22,vs.,HOU,L,111,114,44,24,9,2,9/19,0/7,6/8,84,25.0%,39,104.3,45,7.4%,39,15.1%,89,33.3%,34,4.3%,47,17.1%,50,1.1%,57,0.9%
01/03/22,vs.,CHA,W,124,121,41,36,14,6,13/26,6/11,4/4,96,32.8%,58,128.6,91,27.3%,37,15.9%,59,69.2%,58,8.6%,61,20.8%,,0.0%,57,1.0%
01/01/22,vs.,CHI,L,119,120,40,29,12,3,12/18,2/5,3/5,80,23.6%,79,152.6,57,10.3%,43,14.0%,89,33.3%,,0.0%,89,32.4%,,0.0%,77,2.2%
12/30/21,vs.,CLE,W,110,93,34,25,10,2,11/17,1/4,2/5,81,23.7%,61,131.6,50,9.1%,64,5.6%,75,54.5%,29,3.3%,47,17.1%,54,1.6%,,0.0%
12/28/21,@,MIA,L,112,119,34,22,7,3,8/19,2/6,4/4,92,28.8%,42,110.0,73,15.8%,55,9.5%,69,62.5%,,0.0%,49,17.5%,,0.0%,,0.0%
12/26/21,vs.,PHI,L,96,117,29,12,10,3,4/11,1/4,3/6,74,21.8%,22,85.7,77,17.6%,,0.0%,,100.0%,,0.0%,93,35.7%,56,1.7%,,0.0%
12/23/21,@,NYK,W,124,117,33,18,10,2,7/16,2/8,2/2,83,24.6%,40,105.9,50,8.7%,48,11.8%,42,85.7%,39,5.3%,70,23.7%,52,1.4%,65,1.4%
12/18/21,@,UTA,W,109,103,24,8,3,1,4/12,0/6,0/0,67,20.2%,12,66.7,42,6.7%,,0.0%,75,50.0%,46,6.5%,10,5.9%,68,2.5%,91,3.5%
12/16/21,@,PHX,L,98,118,27,4,3,3,2/6,0/2,0/2,35,14.0%,10,57.1,79,18.8%,,0.0%,75,50.0%,29,3.4%,26,11.8%,,0.0%,,0.0%
12/15/21,@,SAC,L,105,119,33,6,3,4,3/10,0/3,0/0,46,16.0%,11,60.0,68,13.8%,59,8.3%,59,66.7%,,0.0%,27,12.0%,55,1.6%,,0.0%
12/08/21,@,DET,W,119,116,39,26,7,4,8/18,4/10,6/7,89,27.1%,55,123.8,80,19.0%,45,13.0%,51,75.0%,70,11.4%,20,10.0%,,0.0%,58,1.2%
12/06/21,@,IND,L,110,116,39,14,4,2,6/12,2/4,0/0,32,13.6%,47,116.7,42,6.7%,56,9.1%,,100.0%,,0.0%,25,11.4%,51,1.4%,59,1.2%
