Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/25/22,vs.,BOS,L,112,116,45,20,5,5,6/13,2/3,6/6,41,19.3%,68,125.0,43,15.2%,44,10.8%,42,66.7%,63,2.8%,39,7.1%,89,2.4%,,0.0%
04/23/22,vs.,BOS,L,103,109,43,16,3,9,6/17,0/7,4/4,70,25.0%,34,84.2,84,31.0%,53,8.2%,73,33.3%,63,2.8%,28,5.3%,75,1.3%,82,3.1%
04/20/22,@,BOS,L,107,114,40,10,8,1,4/13,0/1,2/2,38,18.3%,21,71.4,13,4.2%,40,12.1%,90,0.0%,90,8.3%,87,18.5%,80,1.5%,,0.0%
04/17/22,@,BOS,L,114,115,42,39,5,6,12/20,6/10,9/9,93,32.2%,90,162.5,60,21.4%,47,10.3%,86,16.7%,69,3.4%,51,9.5%,73,1.2%,94,4.4%
04/12/22,vs.,CLE,W,115,108,42,34,3,12,12/15,3/6,7/7,83,27.4%,96,188.9,98,44.4%,31,15.7%,69,41.7%,,0.0%,37,6.7%,,0.0%,50,1.1%
04/10/22,vs.,IND,W,134,126,40,35,7,5,15/20,4/6,1/2,79,26.6%,91,166.7,55,19.2%,41,12.2%,80,26.7%,79,4.3%,68,13.0%,,0.0%,48,1.1%
04/08/22,vs.,CLE,W,118,107,39,18,6,8,7/22,1/7,3/3,85,28.6%,27,78.3,73,26.7%,60,7.3%,66,42.9%,,0.0%,73,13.9%,,0.0%,69,2.1%
04/06/22,@,NYK,W,110,98,43,24,8,7,9/26,3/12,3/3,91,31.2%,35,88.9,68,25.0%,50,9.5%,66,44.4%,80,4.4%,71,13.6%,,0.0%,81,3.0%
04/05/22,vs.,HOU,W,118,105,40,42,3,6,13/24,8/16,8/8,94,33.0%,90,161.5,68,25.0%,39,12.5%,87,15.4%,,0.0%,31,6.2%,79,1.1%,69,2.1%
04/02/22,@,ATL,L,115,122,44,31,2,6,12/32,7/14,0/0,92,31.5%,39,96.9,62,22.2%,65,5.7%,72,33.3%,,0.0%,22,4.3%,,0.0%,47,0.9%
03/31/22,vs.,MIL,L,119,120,45,25,3,5,9/22,4/9,3/3,77,26.3%,52,108.7,55,19.2%,44,11.5%,51,55.6%,,0.0%,38,7.3%,,0.0%,68,2.0%
03/29/22,vs.,DET,W,130,123,40,24,1,4,7/18,4/8,6/6,84,28.5%,56,114.3,43,15.4%,14,22.6%,37,71.4%,,0.0%,14,2.2%,,0.0%,48,1.1%
03/27/22,vs.,CHA,L,110,119,40,16,2,11,6/22,1/9,3/4,91,31.1%,19,66.7,91,39.3%,63,6.6%,72,33.3%,64,2.2%,14,2.4%,92,2.3%,,0.0%
03/26/22,@,MIA,W,110,95,30,11,4,6,4/11,1/5,2/2,45,19.9%,39,100.0,65,23.1%,61,6.9%,80,25.0%,,0.0%,76,14.8%,,0.0%,79,2.7%
03/23/22,@,MEM,L,120,132,44,43,2,8,15/27,6/11,7/7,95,33.7%,84,148.3,81,30.8%,55,8.6%,88,13.3%,,0.0%,20,4.0%,79,1.0%,47,1.0%
03/15/22,@,ORL,W,150,108,31,51,5,4,17/27,7/10,10/11,98,37.2%,91,164.5,54,19.0%,69,3.3%,68,41.2%,92,7.7%,47,8.8%,,0.0%,95,4.9%
