Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/15/22,vs.,ATL,L,101,107,36,26,8,0,10/17,6/12,0/0,54,17.3%,83,152.9,,0.0%,58,7.4%,46,90.0%,55,3.0%,88,22.6%,78,1.6%,80,2.6%
04/12/22,@,BKN,L,108,115,29,13,3,0,5/14,1/4,2/2,65,20.5%,27,86.7,,0.0%,,0.0%,,100.0%,84,8.0%,11,3.8%,,0.0%,96,4.9%
04/10/22,vs.,MIL,W,133,115,21,23,7,0,8/11,4/7,3/3,56,17.7%,95,191.7,,0.0%,,0.0%,43,87.5%,,0.0%,85,21.4%,,0.0%,,0.0%
04/08/22,@,BKN,L,107,118,25,17,4,0,7/14,2/5,1/1,90,27.5%,60,121.4,,0.0%,31,14.3%,70,57.1%,66,4.5%,53,13.0%,,0.0%,,0.0%
04/05/22,@,ORL,L,115,120,35,23,4,1,7/16,6/12,3/3,66,19.6%,65,127.8,26,3.8%,,0.0%,44,85.7%,,0.0%,47,11.8%,88,2.7%,,0.0%
04/03/22,vs.,PHI,L,108,112,39,16,7,2,5/12,4/7,2/2,42,15.2%,62,123.1,51,10.0%,52,8.0%,,100.0%,,0.0%,66,15.8%,,0.0%,,0.0%
04/02/22,@,NYK,W,119,101,23,9,8,1,2/3,1/2,4/4,22,11.5%,80,150.0,31,5.0%,,0.0%,,100.0%,,0.0%,96,29.6%,,0.0%,,0.0%
03/31/22,@,ATL,L,107,131,20,8,4,0,3/8,1/4,1/1,74,21.3%,29,88.9,,0.0%,17,20.0%,59,66.7%,92,10.5%,33,9.1%,,0.0%,72,2.1%
03/30/22,vs.,DAL,L,112,120,33,13,6,1,5/12,1/6,2/2,43,15.3%,34,100.0,28,4.5%,,0.0%,47,80.0%,59,3.6%,74,17.9%,73,1.5%,,0.0%
03/28/22,vs.,ORL,W,107,101,29,20,3,0,6/15,3/9,5/5,87,26.2%,50,111.1,,0.0%,39,11.8%,,100.0%,,0.0%,46,11.5%,,0.0%,,0.0%
03/26/22,vs.,CHI,L,94,98,32,14,9,2,5/13,1/7,3/4,80,23.2%,32,93.3,54,10.5%,37,12.5%,47,80.0%,91,10.3%,91,25.0%,79,1.9%,83,2.9%
03/24/22,@,TOR,L,104,117,36,20,5,1,6/10,2/6,6/6,38,14.5%,89,166.7,27,4.2%,48,9.1%,45,83.3%,57,3.4%,45,11.4%,,0.0%,56,1.3%
03/21/22,vs.,LAL,L,120,131,37,18,9,1,6/12,4/10,2/2,29,12.8%,74,138.5,24,3.0%,,0.0%,,100.0%,54,3.1%,96,28.6%,,0.0%,,0.0%
03/19/22,vs.,DET,W,113,109,33,8,4,2,3/8,1/4,1/2,33,13.5%,29,88.9,41,7.7%,45,10.0%,59,66.7%,,0.0%,43,11.1%,,0.0%,,0.0%
03/18/22,vs.,DEN,W,119,116,42,31,10,3,11/18,6/12,3/4,62,18.8%,84,155.0,56,10.7%,59,5.6%,47,81.8%,,0.0%,95,27.0%,,0.0%,92,4.2%
03/16/22,vs.,PHI,L,114,118,33,13,4,2,4/9,2/6,3/4,39,14.7%,57,118.2,46,8.7%,,0.0%,,100.0%,,0.0%,58,14.3%,,0.0%,83,2.9%
03/14/22,vs.,LAC,W,120,111,46,17,9,1,5/9,4/6,3/4,19,10.8%,84,154.5,24,3.1%,45,10.0%,,100.0%,52,2.9%,74,17.8%,,0.0%,49,1.1%
03/11/22,@,MIA,L,105,117,32,15,4,1,6/12,2/6,1/1,45,15.7%,62,125.0,36,6.2%,48,9.1%,45,83.3%,,0.0%,62,14.8%,73,1.6%,60,1.4%
03/08/22,@,IND,W,127,124,30,21,5,1,8/14,1/5,4/4,60,18.4%,68,131.3,27,4.2%,,0.0%,66,62.5%,89,9.4%,33,9.1%,76,1.7%,56,1.3%
03/06/22,vs.,TOR,W,104,96,38,22,12,0,8/18,3/12,3/4,57,17.9%,54,115.8,,0.0%,57,6.1%,43,87.5%,,0.0%,80,19.6%,67,1.2%,,0.0%
03/04/22,@,PHI,L,119,125,18,6,7,0,3/7,0/1,0/0,62,18.8%,27,85.7,,0.0%,34,13.3%,86,33.3%,99,20.0%,91,25.0%,,0.0%,77,2.5%
03/02/22,vs.,CHA,L,98,119,31,12,5,3,3/10,2/6,4/4,68,20.0%,34,100.0,61,12.5%,53,7.7%,,100.0%,,0.0%,79,19.2%,,0.0%,85,3.1%
