Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/01/22,vs.,NOP,L,111,114,40,38,8,4,13/23,3/8,9/12,98,37.0%,66,135.7,80,20.0%,32,17.6%,93,30.8%,,0.0%,71,24.2%,,0.0%,57,1.1%
03/27/22,@,NOP,L,108,116,42,39,9,5,14/27,7/13,4/6,98,36.2%,66,134.5,88,25.0%,46,12.7%,73,57.1%,26,2.8%,56,20.0%,50,1.2%,,0.0%
03/21/22,@,CLE,W,131,120,41,38,11,12,17/29,0/4,4/4,99,40.3%,54,122.6,98,40.0%,59,8.5%,75,52.9%,29,3.3%,80,27.8%,50,1.3%,58,1.1%
03/19/22,@,WAS,L,119,127,36,38,10,6,16/29,4/10,2/3,97,35.7%,61,131.0,90,26.1%,62,6.7%,75,50.0%,44,6.1%,72,25.0%,,0.0%,,0.0%
03/18/22,@,TOR,W,128,123,45,36,9,7,15/26,2/7,4/7,95,32.0%,55,124.1,95,31.8%,55,9.7%,70,60.0%,63,9.8%,32,13.2%,67,2.4%,,0.0%
03/16/22,@,MIN,L,104,124,37,19,5,4,8/21,1/8,2/5,94,31.2%,21,82.6,76,17.4%,29,18.2%,69,62.5%,,0.0%,23,11.1%,70,2.6%,58,1.1%
03/14/22,vs.,TOR,L,103,114,40,30,9,3,11/19,4/7,4/7,85,25.5%,70,142.9,77,17.6%,24,20.8%,69,63.6%,47,6.5%,31,12.8%,66,2.3%,,0.0%
03/13/22,@,PHX,L,111,140,30,31,7,6,10/20,5/11,6/7,98,37.7%,66,134.8,96,35.3%,40,14.5%,75,50.0%,,0.0%,62,21.2%,51,1.4%,,0.0%
03/11/22,vs.,WAS,W,122,109,36,50,7,6,18/25,6/9,8/8,99,39.6%,91,185.2,93,30.0%,55,9.8%,93,27.8%,,0.0%,56,19.4%,52,1.4%,,0.0%
03/09/22,@,HOU,L,130,139,45,23,14,12,9/26,1/9,4/6,98,37.0%,18,79.3,98,40.0%,45,13.0%,89,33.3%,35,4.5%,83,28.9%,88,4.6%,57,1.0%
03/05/22,vs.,GSW,W,124,116,39,56,10,3,19/31,6/11,12/13,99,38.3%,80,155.6,77,17.6%,50,11.1%,73,57.9%,40,5.6%,71,24.2%,51,1.3%,,0.0%
03/03/22,@,LAC,L,111,132,37,26,8,4,8/18,2/9,8/10,96,33.1%,49,118.2,76,17.4%,37,15.7%,69,62.5%,28,3.1%,60,20.7%,51,1.4%,,0.0%
03/01/22,vs.,DAL,L,104,109,38,26,12,5,10/18,3/7,3/5,93,30.1%,60,130.0,84,20.8%,36,16.0%,93,30.0%,,0.0%,87,31.2%,,0.0%,59,1.2%
02/27/22,vs.,NOP,L,95,123,36,32,6,3,13/23,1/4,5/5,98,37.3%,58,128.0,88,25.0%,21,22.6%,89,38.5%,,0.0%,56,19.4%,71,2.7%,80,2.4%
02/25/22,vs.,LAC,L,102,105,36,21,11,3,6/18,2/8,7/8,96,33.7%,27,95.5,73,15.8%,23,21.4%,75,50.0%,25,2.4%,85,30.3%,53,1.5%,59,1.2%
02/16/22,vs.,UTA,W,106,101,40,32,8,6,14/23,3/8,1/1,96,33.1%,68,139.1,93,30.0%,52,10.9%,94,21.4%,27,2.9%,50,18.2%,,0.0%,80,2.4%
02/12/22,@,GSW,L,115,117,38,26,15,8,9/27,3/10,5/9,99,41.1%,22,83.9,97,36.4%,52,10.8%,86,44.4%,36,4.7%,86,30.8%,,0.0%,,0.0%
02/09/22,@,POR,L,105,107,37,30,7,7,13/22,3/7,1/1,98,36.7%,66,136.4,99,43.8%,25,20.7%,89,38.5%,,0.0%,43,16.2%,,0.0%,92,3.8%
02/08/22,vs.,MIL,L,116,131,35,27,5,8,11/19,3/7,2/4,96,32.7%,58,128.6,98,40.0%,39,15.1%,86,45.5%,,0.0%,47,17.2%,,0.0%,,0.0%
02/05/22,vs.,NYK,W,122,115,40,29,13,10,13/24,2/7,1/2,96,33.2%,47,116.0,97,38.5%,63,6.6%,94,23.1%,56,8.3%,62,21.3%,,0.0%,57,1.1%
01/25/22,@,BKN,W,106,96,34,31,7,6,13/20,2/8,3/3,93,29.6%,73,147.6,95,33.3%,,0.0%,86,46.2%,,0.0%,56,19.4%,74,3.0%,94,4.2%
01/23/22,@,MIA,L,107,113,40,33,11,4,12/22,1/8,8/11,93,29.7%,58,126.9,88,25.0%,50,11.1%,59,66.7%,40,5.6%,72,25.0%,,0.0%,77,2.2%
01/21/22,@,ORL,W,116,105,34,29,7,5,12/23,2/7,3/3,98,37.5%,53,120.8,93,29.4%,25,20.0%,87,41.7%,28,3.2%,39,15.2%,53,1.5%,60,1.2%
01/19/22,vs.,IND,L,104,111,37,30,12,5,11/22,3/7,5/7,96,33.7%,50,120.0,94,31.2%,52,10.7%,86,45.5%,25,2.4%,80,27.5%,,0.0%,80,2.4%
01/17/22,vs.,UTA,W,101,95,37,25,7,7,9/20,3/8,4/8,96,33.1%,41,108.7,95,31.8%,66,3.8%,94,22.2%,,0.0%,44,16.7%,53,1.5%,60,1.2%
01/15/22,@,DEN,L,96,133,27,21,7,2,8/20,2/7,3/4,97,34.7%,27,100.0,71,15.4%,,0.0%,89,37.5%,31,3.8%,81,28.6%,85,4.2%,,0.0%
01/12/22,@,SAC,L,116,125,39,34,7,6,13/29,3/12,5/10,99,38.6%,27,100.0,92,28.6%,66,2.8%,89,38.5%,25,2.3%,56,19.4%,51,1.3%,,0.0%
01/09/22,vs.,MEM,L,119,127,33,35,9,7,14/19,3/4,4/4,89,27.1%,91,184.2,99,46.7%,45,13.0%,89,35.7%,79,14.3%,14,7.7%,,0.0%,,0.0%
01/07/22,vs.,ATL,W,134,118,37,32,8,9,13/24,1/6,5/5,97,34.7%,54,123.1,98,39.1%,43,13.6%,51,76.9%,26,2.8%,38,14.6%,82,3.8%,96,4.7%
01/04/22,vs.,SAC,W,122,114,36,31,5,5,12/26,3/10,4/5,98,36.4%,43,110.7,80,20.0%,62,6.8%,75,50.0%,46,6.5%,27,12.0%,53,1.5%,,0.0%
01/02/22,vs.,MIN,W,108,103,39,26,7,5,7/15,3/9,9/12,85,25.3%,60,130.0,80,20.0%,65,4.7%,73,57.1%,,0.0%,49,17.5%,50,1.3%,91,3.5%
12/31/21,vs.,POR,W,139,106,29,43,14,4,16/26,5/10,6/9,99,41.5%,74,148.3,92,28.6%,,0.0%,75,50.0%,59,9.1%,88,32.4%,76,3.1%,87,3.1%
12/29/21,@,MEM,L,99,104,38,37,13,7,13/25,8/14,3/3,98,37.5%,70,142.3,97,36.8%,37,15.9%,86,46.2%,26,2.8%,80,27.8%,72,2.9%,79,2.4%
12/28/21,@,HOU,W,132,123,39,32,11,11,11/19,3/5,7/9,95,31.9%,68,139.1,98,40.7%,53,10.3%,86,45.5%,73,12.1%,66,22.6%,71,2.7%,57,1.1%
12/25/21,vs.,BKN,L,115,122,40,39,9,7,14/25,3/9,8/9,94,31.0%,66,134.5,95,31.8%,55,9.7%,69,64.3%,25,2.4%,50,17.9%,51,1.3%,87,3.0%
12/23/21,vs.,SAS,L,110,138,35,36,9,6,15/26,2/7,4/6,98,36.2%,58,128.6,95,33.3%,55,9.5%,89,33.3%,42,5.9%,60,20.6%,69,2.6%,58,1.1%
12/21/21,vs.,PHX,L,90,108,34,34,7,2,13/19,2/5,6/6,91,28.6%,79,154.5,68,14.3%,56,9.1%,86,46.2%,,0.0%,62,21.2%,,0.0%,82,2.6%
12/19/21,@,CHI,L,110,115,39,31,14,6,11/21,1/7,8/11,95,31.9%,50,119.2,88,25.0%,43,13.3%,75,54.5%,26,2.8%,62,21.3%,67,2.4%,57,1.1%
12/17/21,@,MIN,L,92,110,36,18,10,5,5/13,2/6,6/8,87,26.2%,40,105.9,88,25.0%,29,18.6%,46,80.0%,,0.0%,50,17.8%,68,2.5%,59,1.2%
12/15/21,@,DAL,W,107,104,43,24,3,5,9/19,4/9,2/3,88,26.4%,50,120.0,86,22.7%,57,8.7%,89,33.3%,,0.0%,13,7.3%,,0.0%,58,1.1%
12/12/21,vs.,ORL,W,106,94,37,30,11,10,12/20,3/7,3/4,98,36.1%,70,142.9,99,50.0%,25,20.0%,89,33.3%,27,3.0%,64,22.0%,86,4.3%,,0.0%
12/10/21,@,OKC,W,116,95,35,33,5,6,13/20,4/6,3/4,94,30.5%,80,157.1,94,31.6%,58,8.5%,89,38.5%,,0.0%,31,12.8%,72,2.8%,93,3.9%
12/09/21,@,MEM,L,95,108,37,20,10,11,7/15,1/6,5/5,94,30.7%,48,117.6,99,45.8%,28,19.6%,73,57.1%,,0.0%,66,22.5%,70,2.7%,96,4.8%
12/07/21,vs.,BOS,W,117,102,34,30,4,5,13/19,2/5,2/2,85,25.6%,74,150.0,84,20.8%,43,13.3%,86,46.2%,46,6.5%,9,5.4%,,0.0%,,0.0%
12/03/21,vs.,LAC,L,115,119,36,23,11,6,9/23,2/8,3/5,97,35.2%,26,92.0,90,26.1%,52,10.5%,74,55.6%,59,8.8%,72,25.0%,,0.0%,81,2.5%
11/28/21,vs.,DET,W,110,106,37,33,5,9,12/20,4/9,5/8,93,29.8%,72,143.5,97,37.5%,60,8.0%,51,75.0%,,0.0%,28,12.2%,51,1.3%,79,2.4%
11/26/21,vs.,SAC,L,137,141,50,30,7,11,10/25,2/13,8/11,99,39.0%,27,100.0,97,36.7%,33,17.1%,93,30.0%,25,2.4%,26,11.5%,,0.0%,57,1.0%
11/24/21,@,IND,W,124,116,43,39,5,6,13/29,5/12,8/9,98,37.2%,49,118.2,95,33.3%,64,5.5%,94,23.1%,,0.0%,20,9.6%,64,2.2%,57,1.0%
11/21/21,@,DET,W,121,116,21,10,1,5,4/7,1/3,1/1,75,22.0%,70,142.9,93,29.4%,29,18.2%,93,25.0%,,0.0%,9,5.6%,,0.0%,,0.0%
11/19/21,@,BOS,L,108,130,32,23,6,2,10/16,3/7,0/1,88,26.4%,72,143.8,54,10.0%,36,16.2%,93,30.0%,,0.0%,23,10.7%,,0.0%,85,2.9%
11/02/21,vs.,HOU,W,119,117,36,30,4,10,13/21,2/4,2/2,96,32.8%,66,136.4,97,37.0%,42,14.0%,89,38.5%,,0.0%,34,13.8%,,0.0%,78,2.3%
10/31/21,vs.,HOU,W,95,85,35,15,6,8,6/19,0/6,3/4,93,29.8%,16,75.0,97,36.4%,60,8.0%,89,33.3%,25,2.3%,52,18.5%,58,1.8%,96,4.8%
10/29/21,vs.,CLE,W,113,101,38,26,3,8,10/22,1/10,5/5,99,38.4%,41,108.3,93,29.6%,24,21.2%,87,40.0%,28,3.2%,9,5.3%,51,1.4%,90,3.5%
