Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
02/12/22,@,CHI,L,101,106,38,31,2,1,8/19,5/12,10/14,92,28.2%,59,119.2,32,5.3%,59,4.2%,47,87.5%,,0.0%,24,5.0%,,0.0%,52,1.2%
02/11/22,@,PHI,L,87,100,27,15,4,1,6/17,1/5,2/2,88,26.6%,28,83.3,37,6.7%,57,5.9%,48,83.3%,,0.0%,62,12.1%,,0.0%,,0.0%
02/09/22,vs.,TOR,L,98,117,31,15,4,4,4/14,2/9,5/5,93,29.3%,35,93.8,89,23.5%,8,27.3%,,100.0%,,0.0%,79,16.7%,,0.0%,57,1.3%
02/07/22,vs.,GSW,L,98,110,38,26,4,1,9/21,3/12,5/7,94,29.6%,50,108.3,27,4.3%,20,18.2%,85,44.4%,91,7.9%,15,3.1%,,0.0%,87,3.2%
02/04/22,@,POR,W,96,93,33,23,7,2,7/15,4/8,5/8,87,25.9%,61,121.1,65,13.3%,29,14.6%,59,71.4%,80,5.1%,61,11.9%,78,1.4%,,0.0%
02/02/22,@,DAL,W,120,114,40,30,6,3,9/16,6/10,6/6,78,22.7%,86,157.9,60,12.0%,58,5.1%,85,44.4%,,0.0%,74,15.0%,77,1.3%,,0.0%
01/31/22,vs.,POR,W,98,81,34,16,6,3,5/14,2/7,4/4,88,26.4%,36,100.0,80,18.8%,26,15.4%,86,40.0%,83,5.7%,57,11.1%,,0.0%,93,4.1%
01/28/22,vs.,IND,L,110,113,41,27,8,4,10/16,3/9,4/4,73,21.3%,79,150.0,71,15.4%,43,10.0%,86,40.0%,79,5.0%,70,14.3%,,0.0%,73,2.1%
01/24/22,vs.,CHI,L,110,111,31,16,7,2,5/13,3/5,3/4,62,18.7%,49,106.7,50,9.5%,,0.0%,50,80.0%,93,8.6%,67,13.3%,82,1.6%,,0.0%
01/22/22,@,CLE,L,87,94,32,10,0,1,3/10,2/7,2/2,54,17.1%,33,90.9,39,7.1%,25,16.0%,61,66.7%,,0.0%,0,0.0%,,0.0%,82,2.7%
01/21/22,@,CHA,L,98,121,29,3,3,1,1/7,1/4,0/0,37,14.3%,10,42.9,26,4.2%,6,30.0%,,100.0%,,0.0%,45,8.8%,,0.0%,,0.0%
01/19/22,@,SAS,L,96,118,27,15,2,0,4/12,3/6,4/4,68,20.1%,49,107.1,,0.0%,52,7.4%,54,75.0%,88,7.1%,0,0.0%,,0.0%,,0.0%
01/17/22,@,DAL,L,102,104,37,18,7,2,7/14,2/5,2/2,72,21.2%,59,120.0,51,10.0%,20,18.2%,59,71.4%,,0.0%,85,18.4%,77,1.3%,55,1.3%
01/15/22,vs.,CLE,L,102,107,29,17,3,0,5/14,2/6,5/5,74,21.5%,48,106.3,,0.0%,55,6.5%,69,60.0%,,0.0%,57,11.1%,,0.0%,,0.0%
01/13/22,@,BKN,W,130,109,33,27,1,2,9/17,6/10,3/4,71,20.9%,77,142.1,43,8.0%,,0.0%,,100.0%,,0.0%,13,2.4%,,0.0%,,0.0%
