Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/18/22,@,HOU,W,121,118,35,25,2,4,11/19,2/6,1/1,71,24.7%,73,131.6,46,16.7%,52,9.3%,80,27.3%,66,2.6%,18,3.6%,83,1.5%,,0.0%
03/15/22,vs.,MEM,L,102,135,28,12,4,5,4/13,0/4,4/4,80,27.0%,27,80.0,68,25.0%,21,19.5%,52,50.0%,85,5.6%,20,4.0%,,0.0%,54,1.3%
03/08/22,vs.,CLE,L,124,127,37,12,5,12,6/15,0/2,0/0,88,29.7%,27,80.0,91,40.0%,21,19.6%,86,16.7%,,0.0%,77,15.2%,,0.0%,,0.0%
03/06/22,@,WAS,L,123,133,35,27,4,4,8/17,0/4,11/13,87,29.3%,60,117.4,51,18.2%,68,4.2%,52,50.0%,70,3.0%,53,10.0%,,0.0%,,0.0%
03/04/22,@,DET,L,106,111,36,26,5,4,9/23,2/5,6/8,83,28.1%,39,96.3,59,21.1%,69,3.6%,51,55.6%,86,5.9%,27,5.6%,,0.0%,47,1.0%
03/02/22,@,ORL,W,122,114,41,31,11,8,8/18,3/5,12/15,87,29.3%,66,124.0,83,33.3%,69,3.4%,80,25.0%,82,4.9%,96,24.3%,80,1.3%,68,2.0%
02/27/22,vs.,BOS,W,128,107,29,20,6,5,7/13,2/2,4/4,74,25.3%,73,133.3,59,20.8%,66,5.4%,89,0.0%,,0.0%,73,13.9%,85,1.6%,79,2.7%
02/25/22,vs.,OKC,L,125,129,31,15,4,4,6/14,3/8,0/0,43,19.4%,51,107.1,45,16.0%,,0.0%,38,66.7%,,0.0%,64,12.1%,,0.0%,56,1.4%
01/19/22,@,LAL,W,111,104,26,19,4,6,7/14,0/2,5/5,95,33.9%,61,118.8,91,40.0%,49,10.0%,79,28.6%,,0.0%,70,13.3%,,0.0%,63,1.7%
01/12/22,vs.,BOS,L,100,119,17,6,1,2,3/7,0/0,0/0,69,24.3%,32,85.7,51,18.2%,42,11.8%,72,33.3%,,0.0%,39,7.7%,,0.0%,,0.0%
12/21/21,@,MIA,L,96,125,8,1,1,2,0/2,0/1,1/2,58,22.2%,7,33.3,83,33.3%,,0.0%,,,96,10.0%,0,0.0%,,0.0%,,0.0%
12/15/21,@,MIL,L,99,114,30,12,5,5,4/10,3/6,1/2,58,22.1%,52,109.1,67,23.8%,36,13.3%,80,25.0%,,0.0%,89,19.2%,,0.0%,,0.0%
12/13/21,vs.,GSW,L,100,102,36,23,6,8,7/14,1/3,8/10,82,27.8%,76,135.3,93,42.1%,54,8.9%,87,14.3%,84,5.3%,59,11.1%,,0.0%,75,2.5%
12/10/21,vs.,DAL,W,106,93,37,12,2,8,5/15,2/9,0/0,75,25.6%,27,80.0,87,34.8%,35,14.0%,84,20.0%,,0.0%,27,5.4%,,0.0%,50,1.2%
12/08/21,vs.,NYK,W,122,102,33,16,4,5,5/11,1/3,5/6,53,21.2%,66,123.1,51,17.9%,63,6.5%,68,40.0%,,0.0%,64,12.1%,,0.0%,91,4.1%
12/06/21,vs.,WAS,W,116,110,36,17,6,8,6/13,0/2,5/5,79,26.6%,56,113.3,81,30.8%,50,9.8%,86,16.7%,92,7.7%,73,14.3%,,0.0%,,0.0%
12/03/21,vs.,MIA,L,104,113,39,14,4,7,4/14,1/7,5/6,71,25.0%,38,93.3,78,29.2%,22,18.6%,52,50.0%,69,2.9%,47,9.1%,,0.0%,,0.0%
12/01/21,vs.,ATL,L,111,114,36,27,6,9,10/20,1/6,6/8,93,32.5%,60,117.4,91,39.1%,,0.0%,78,30.0%,68,2.8%,79,15.6%,,0.0%,89,3.8%
11/29/21,@,MIN,L,98,100,40,25,6,5,9/20,2/6,5/6,78,26.6%,52,108.7,64,22.7%,58,7.8%,66,44.4%,,0.0%,76,15.0%,,0.0%,83,3.1%
11/28/21,vs.,MIL,L,100,118,34,16,3,2,5/12,2/8,4/4,39,18.8%,56,114.3,24,9.1%,62,6.7%,68,40.0%,66,2.5%,29,5.9%,,0.0%,,0.0%
11/26/21,vs.,TOR,W,114,97,36,11,4,12,4/10,1/5,2/2,53,21.1%,39,100.0,94,42.9%,65,5.7%,80,25.0%,,0.0%,61,11.4%,,0.0%,51,1.2%
11/24/21,vs.,LAL,L,116,124,46,28,7,2,9/21,5/10,5/6,64,23.2%,59,116.7,19,6.9%,44,11.5%,66,44.4%,85,5.6%,46,8.5%,79,1.1%,47,0.9%
11/22/21,@,CHI,W,109,77,29,16,4,7,4/9,2/5,6/6,70,24.6%,73,133.3,80,30.4%,63,6.5%,52,50.0%,,0.0%,62,11.8%,97,3.7%,61,1.6%
11/20/21,vs.,NOP,W,111,94,25,16,2,4,6/8,4/6,0/0,25,15.8%,96,200.0,55,20.0%,45,11.1%,38,66.7%,,0.0%,35,6.9%,,0.0%,64,1.8%
11/19/21,@,CHA,L,118,121,23,16,1,2,6/10,2/5,2/2,82,27.7%,82,145.5,55,20.0%,29,15.4%,72,33.3%,,0.0%,29,5.9%,91,2.2%,,0.0%
11/17/21,@,DET,L,89,97,35,20,5,4,8/17,3/9,1/2,88,29.9%,53,111.1,59,21.1%,17,21.7%,52,50.0%,,0.0%,69,13.2%,,0.0%,,0.0%
11/15/21,@,NYK,L,84,92,37,22,8,7,9/20,2/7,2/3,95,33.6%,50,104.8,93,41.2%,58,7.8%,83,22.2%,83,5.1%,78,15.4%,,0.0%,,0.0%
11/13/21,vs.,PHI,W,118,113,37,13,10,10,4/13,1/4,4/6,88,29.6%,33,86.7,83,33.3%,36,13.3%,80,25.0%,,0.0%,97,27.0%,,0.0%,,0.0%
11/11/21,@,UTA,W,111,100,36,30,9,4,10/22,2/7,8/9,89,30.1%,67,125.0,51,18.2%,69,3.8%,88,10.0%,93,7.9%,89,20.0%,,0.0%,49,1.1%
11/10/21,@,DEN,L,98,101,35,25,3,5,11/21,3/7,0/1,93,32.4%,62,119.0,67,23.8%,55,8.3%,80,27.3%,,0.0%,52,9.7%,95,3.0%,91,4.1%
11/03/21,vs.,NYK,W,111,98,36,17,8,7,6/12,0/4,5/5,68,24.1%,64,121.4,80,30.4%,32,15.0%,86,16.7%,67,2.6%,81,16.7%,81,1.3%,,0.0%
10/27/21,@,TOR,L,100,118,22,18,5,5,7/13,1/3,3/3,94,32.7%,70,128.6,95,45.5%,42,11.8%,66,42.9%,96,10.0%,56,10.3%,,0.0%,67,1.9%
10/25/21,vs.,MIL,L,109,119,37,25,4,7,10/21,2/4,3/4,94,33.3%,52,108.7,83,31.8%,14,22.6%,52,50.0%,,0.0%,64,12.1%,,0.0%,,0.0%
10/23/21,vs.,MIA,W,102,91,41,18,14,4,5/19,0/7,8/8,85,28.6%,29,81.8,51,18.2%,33,14.5%,84,20.0%,93,8.3%,95,23.3%,94,2.7%,,0.0%
10/22/21,@,WAS,L,134,135,44,28,8,7,12/22,2/4,2/2,88,29.7%,64,121.7,66,23.3%,47,10.5%,86,16.7%,66,2.4%,87,18.4%,80,1.2%,69,2.1%
10/20/21,@,CHA,L,122,123,40,28,4,11,8/20,3/10,9/9,88,29.6%,59,116.7,94,42.3%,69,3.4%,71,37.5%,,0.0%,39,7.5%,79,1.0%,,0.0%
