Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,38,9,6,9,4/12,1/2,0/0,47,20.5%,23,75.0,91,34.6%,27,16.7%,36,75.0%,63,2.7%,66,12.2%,,0.0%,69,2.3%
06/13/22,@,GSW,L,94,104,40,20,3,2,7/15,3/6,3/4,61,22.7%,62,117.6,29,10.5%,16,20.5%,40,71.4%,,0.0%,46,8.3%,,0.0%,,0.0%
06/10/22,vs.,GSW,L,97,107,40,18,4,5,7/18,3/9,1/1,65,23.6%,43,94.7,69,25.0%,48,9.5%,40,71.4%,79,4.9%,24,4.8%,,0.0%,94,4.5%
06/08/22,vs.,GSW,W,116,100,39,24,7,5,8/17,3/7,5/7,80,27.1%,64,120.0,50,17.2%,20,19.6%,54,50.0%,82,5.4%,72,13.9%,,0.0%,,0.0%
06/05/22,@,GSW,L,88,107,25,2,2,5,1/6,0/3,0/0,58,22.4%,11,33.3,92,35.7%,2,38.5%,,100.0%,,0.0%,20,3.7%,,0.0%,61,1.7%
06/02/22,@,GSW,W,120,108,30,18,5,4,7/11,4/7,0/0,22,14.7%,90,163.6,62,22.2%,,0.0%,32,85.7%,68,3.3%,69,13.3%,,0.0%,79,2.9%
05/29/22,@,MIA,W,100,96,41,24,9,5,8/22,3/10,5/6,85,28.3%,44,96.0,67,23.8%,65,3.8%,49,62.5%,,0.0%,84,17.8%,,0.0%,65,2.2%
05/27/22,vs.,MIA,L,103,111,40,14,4,3,4/15,1/9,5/5,57,21.8%,30,82.4,37,13.6%,45,10.5%,36,75.0%,65,2.9%,48,8.6%,,0.0%,50,1.1%
05/25/22,@,MIA,W,93,80,24,5,5,4,1/5,1/3,2/2,35,17.3%,31,83.3,84,30.8%,41,11.8%,,100.0%,77,4.8%,65,12.1%,,0.0%,,0.0%
05/21/22,vs.,MIA,L,103,109,37,16,4,7,6/11,1/4,3/5,69,24.4%,67,123.1,91,35.0%,16,20.5%,73,33.3%,69,3.4%,50,9.4%,,0.0%,,0.0%
05/19/22,@,MIA,W,127,102,40,24,8,12,8/21,5/11,3/3,92,32.1%,54,109.1,97,41.4%,65,3.7%,54,50.0%,86,6.9%,78,15.8%,77,1.4%,87,3.6%
05/15/22,vs.,MIL,W,109,81,37,8,7,10,2/9,1/6,3/4,49,20.6%,22,72.7,93,38.5%,43,11.4%,54,50.0%,60,2.2%,66,12.5%,78,1.4%,52,1.2%
05/13/22,@,MIL,W,108,95,40,21,5,7,8/16,5/9,0/0,39,18.8%,76,131.3,81,29.2%,,0.0%,36,75.0%,79,4.9%,39,7.0%,,0.0%,,0.0%
05/11/22,vs.,MIL,L,107,110,38,15,4,1,6/11,3/5,0/0,27,15.6%,78,136.4,13,3.8%,11,24.0%,42,66.7%,,0.0%,51,9.5%,74,1.3%,73,2.5%
05/09/22,@,MIL,W,116,108,41,18,2,8,8/13,2/3,0/0,51,21.0%,79,138.5,77,28.6%,30,16.2%,72,37.5%,,0.0%,22,4.2%,88,2.2%,,0.0%
05/07/22,@,MIL,L,101,103,29,9,2,2,1/8,1/4,6/8,53,21.2%,23,75.0,30,11.1%,20,19.4%,,100.0%,,0.0%,16,3.0%,,0.0%,55,1.4%
05/01/22,vs.,MIL,L,89,101,33,10,1,6,3/11,1/6,3/4,63,23.0%,27,76.9,87,33.3%,27,17.1%,,100.0%,,0.0%,15,2.8%,,0.0%,75,2.6%
04/25/22,@,BKN,W,116,112,37,20,5,11,7/16,3/7,3/4,75,26.2%,56,111.1,94,39.3%,64,4.4%,52,57.1%,65,2.9%,72,14.3%,,0.0%,,0.0%
04/23/22,@,BKN,W,109,103,38,14,3,6,6/15,2/10,0/0,51,21.0%,41,93.3,68,24.0%,44,10.8%,54,50.0%,81,5.3%,17,3.2%,,0.0%,69,2.3%
04/20/22,vs.,BKN,W,114,107,36,12,1,5,3/9,1/6,5/6,49,20.6%,44,100.0,53,18.5%,24,18.2%,42,66.7%,,0.0%,20,3.8%,,0.0%,52,1.2%
04/17/22,vs.,BKN,W,115,114,36,20,7,6,8/16,4/8,0/0,59,22.5%,68,125.0,68,24.0%,33,15.0%,54,50.0%,82,5.6%,76,15.4%,,0.0%,69,2.2%
04/10/22,@,MEM,W,139,110,26,4,2,6,2/7,0/4,0/0,43,19.4%,15,57.1,60,21.4%,26,16.7%,89,0.0%,,0.0%,29,5.7%,,0.0%,62,1.6%
04/07/22,@,MIL,L,121,127,30,29,1,7,10/16,7/12,2/2,88,29.6%,93,170.6,91,38.9%,33,14.3%,52,50.0%,,0.0%,18,3.4%,,0.0%,80,2.8%
04/06/22,@,CHI,W,117,94,26,9,2,6,3/7,3/6,0/0,39,18.5%,55,112.5,74,27.3%,25,17.4%,,100.0%,,0.0%,38,7.4%,91,2.1%,62,1.6%
04/03/22,vs.,WAS,W,144,102,24,7,1,7,3/6,1/4,0/0,53,21.2%,59,116.7,80,30.4%,22,18.2%,72,33.3%,80,4.5%,0,0.0%,,0.0%,,0.0%
04/01/22,vs.,IND,W,128,123,34,12,2,5,4/9,2/7,2/2,33,17.5%,62,120.0,46,16.7%,17,21.4%,33,75.0%,,0.0%,38,7.4%,,0.0%,52,1.2%
03/30/22,vs.,MIA,L,98,106,35,10,5,8,3/15,3/10,1/2,90,30.5%,17,62.5,88,36.4%,13,24.0%,38,66.7%,,0.0%,81,16.1%,,0.0%,88,3.7%
03/28/22,@,TOR,L,112,115,40,28,10,4,10/24,2/10,6/9,99,39.3%,39,100.0,62,22.2%,19,20.0%,68,40.0%,83,5.1%,86,18.2%,80,1.2%,,0.0%
03/27/22,vs.,MIN,W,134,112,27,7,3,7,3/9,1/6,0/0,71,25.0%,26,77.8,68,25.0%,10,25.0%,72,33.3%,,0.0%,61,11.5%,,0.0%,83,3.1%
03/23/22,vs.,UTA,W,125,97,27,5,3,13,2/3,1/2,0/0,70,24.5%,91,166.7,97,50.0%,6,30.8%,52,50.0%,,0.0%,57,10.7%,,0.0%,66,1.9%
03/20/22,@,DEN,W,124,104,29,7,1,7,3/9,1/5,0/0,59,22.4%,26,77.8,68,25.0%,58,7.7%,72,33.3%,,0.0%,20,4.0%,,0.0%,,0.0%
03/18/22,@,SAC,W,126,97,27,9,4,8,3/9,2/5,1/2,64,23.3%,36,90.0,88,36.4%,60,7.1%,38,66.7%,76,3.8%,73,14.3%,,0.0%,98,6.7%
03/16/22,@,GSW,W,110,88,34,20,4,8,8/12,4/7,0/0,43,19.4%,91,166.7,91,40.0%,,0.0%,52,50.0%,,0.0%,57,10.5%,,0.0%,56,1.4%
03/13/22,vs.,DAL,L,92,95,34,15,7,4,4/12,1/4,6/6,71,25.0%,39,100.0,51,18.2%,29,15.8%,52,50.0%,,0.0%,98,30.4%,87,1.8%,54,1.3%
03/11/22,vs.,DET,W,114,103,33,20,3,5,6/10,2/3,6/7,39,18.6%,87,153.8,55,19.2%,61,6.9%,38,66.7%,,0.0%,50,9.4%,,0.0%,98,6.4%
03/09/22,@,CHA,W,115,101,32,12,3,9,6/12,0/1,0/0,56,21.7%,39,100.0,83,33.3%,64,6.1%,72,33.3%,86,5.7%,17,3.3%,,0.0%,,0.0%
03/06/22,vs.,BKN,W,126,120,35,14,3,9,4/10,2/5,4/5,75,25.6%,59,116.7,87,34.6%,13,24.4%,52,50.0%,,0.0%,50,9.4%,,0.0%,52,1.2%
03/03/22,vs.,MEM,W,120,107,35,18,2,12,7/17,4/9,0/0,91,30.9%,50,105.9,95,44.4%,39,12.8%,37,71.4%,72,3.3%,15,2.5%,,0.0%,,0.0%
03/01/22,vs.,ATL,W,107,98,37,16,6,4,6/14,2/6,2/2,62,22.9%,51,106.7,45,16.0%,10,25.6%,29,83.3%,,0.0%,75,14.6%,82,1.4%,50,1.2%
02/27/22,@,IND,L,107,128,35,13,3,7,5/13,1/7,2/2,54,21.3%,38,92.9,72,25.9%,44,11.4%,31,80.0%,,0.0%,59,11.1%,,0.0%,,0.0%
02/26/22,@,DET,W,113,104,29,7,4,7,2/7,1/2,2/2,30,16.9%,34,87.5,68,24.1%,,0.0%,52,50.0%,77,4.0%,73,14.3%,,0.0%,94,4.6%
02/24/22,@,BKN,W,129,106,30,15,3,6,5/6,5/6,0/0,18,14.1%,99,250.0,72,26.1%,6,30.0%,31,80.0%,76,3.8%,27,5.4%,,0.0%,80,2.8%
02/15/22,@,PHI,W,135,87,13,7,0,1,2/3,1/2,2/4,38,18.5%,79,140.0,24,9.1%,,0.0%,52,50.0%,,0.0%,0,0.0%,,0.0%,,0.0%
02/13/22,vs.,ATL,W,105,95,35,13,6,7,3/11,0/5,7/9,60,22.5%,33,86.7,76,28.0%,,0.0%,72,33.3%,69,2.9%,62,11.6%,,0.0%,52,1.2%
02/11/22,vs.,DEN,W,108,102,39,22,5,7,6/16,2/6,8/10,84,28.5%,50,104.8,73,26.9%,25,17.5%,72,33.3%,80,4.4%,38,7.3%,,0.0%,95,5.0%
02/08/22,@,BKN,W,126,91,28,22,1,3,8/16,6/13,0/0,61,22.7%,77,137.5,32,11.5%,61,6.9%,,100.0%,,0.0%,15,2.7%,87,1.8%,60,1.6%
02/06/22,@,ORL,W,116,83,25,3,8,2,1/3,0/2,1/1,14,12.9%,39,100.0,30,11.1%,1,53.3%,,100.0%,,0.0%,98,29.6%,91,2.2%,64,1.7%
