Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,vs.,DAL,L,90,123,32,6,2,1,3/11,0/3,0/0,42,14.9%,16,54.5,44,7.7%,,0.0%,,100.0%,,0.0%,49,9.5%,,0.0%,,0.0%
05/12/22,@,DAL,L,86,113,31,7,5,5,2/7,1/1,2/2,56,18.0%,32,87.5,95,29.4%,24,17.4%,,100.0%,79,4.3%,72,14.3%,82,1.7%,,0.0%
05/10/22,vs.,DAL,W,110,80,34,14,7,1,6/13,2/5,0/0,45,15.3%,48,107.7,27,3.8%,,0.0%,52,83.3%,71,3.3%,88,18.8%,,0.0%,98,5.6%
05/08/22,@,DAL,L,101,111,32,6,4,2,3/9,0/2,0/0,32,12.1%,21,66.7,52,9.5%,,0.0%,,100.0%,74,3.4%,48,9.4%,,0.0%,66,1.4%
05/06/22,@,DAL,L,94,103,38,12,6,2,5/14,0/2,2/2,66,20.0%,27,80.0,46,8.3%,56,6.7%,54,80.0%,88,6.2%,57,10.8%,78,1.4%,63,1.3%
05/04/22,vs.,DAL,W,129,109,39,11,3,6,5/6,1/2,0/0,12,8.2%,92,183.3,76,16.2%,,0.0%,,100.0%,82,4.8%,30,5.9%,,0.0%,82,2.5%
05/02/22,vs.,DAL,W,121,114,42,13,7,4,4/9,1/3,4/4,30,11.9%,55,118.2,64,11.4%,,0.0%,59,75.0%,92,7.0%,54,10.5%,92,2.6%,53,1.0%
04/28/22,@,NOP,W,115,109,44,18,3,2,7/12,2/2,2/2,59,18.3%,73,138.5,36,5.6%,15,24.2%,85,42.9%,,0.0%,45,8.6%,,0.0%,76,2.2%
04/26/22,vs.,NOP,W,112,97,47,31,5,2,12/17,4/4,3/3,38,13.9%,89,172.2,40,6.7%,53,7.1%,,100.0%,,0.0%,56,10.6%,98,4.4%,51,1.0%
04/24/22,@,NOP,L,103,118,41,8,6,5,4/11,0/2,0/0,37,13.5%,24,72.7,80,17.2%,,0.0%,,100.0%,65,2.8%,70,13.5%,75,1.2%,,0.0%
04/22/22,@,NOP,W,114,111,40,17,2,2,4/9,0/1,9/9,45,15.5%,66,130.8,36,5.6%,52,7.4%,59,75.0%,,0.0%,28,5.7%,77,1.3%,55,1.1%
04/19/22,vs.,NOP,L,114,125,33,19,6,2,7/11,2/3,3/4,41,14.6%,78,146.2,42,6.9%,29,15.4%,52,85.7%,84,5.3%,62,11.8%,76,1.3%,55,1.1%
04/17/22,vs.,NOP,W,110,99,38,11,5,3,4/9,0/3,3/4,39,14.2%,38,100.0,57,10.3%,,0.0%,,100.0%,,0.0%,52,9.8%,89,2.4%,,0.0%
