Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,DAL,L,96,98,31,11,4,8,4/10,1/6,2/2,43,23.9%,37,100.0,87,42.1%,24,17.6%,33,50.0%,,0.0%,69,14.8%,89,1.9%,56,1.4%
04/25/22,@,DAL,L,77,102,27,4,1,5,1/6,0/3,2/3,33,21.3%,11,57.1,47,27.8%,25,17.4%,86,0.0%,,0.0%,10,3.3%,,0.0%,,0.0%
04/23/22,vs.,DAL,W,100,99,24,6,2,4,2/8,1/4,1/2,24,18.8%,13,66.7,63,33.3%,,0.0%,33,50.0%,,0.0%,43,10.0%,,0.0%,,0.0%
04/21/22,vs.,DAL,L,118,126,35,21,2,6,6/14,2/7,7/8,78,33.6%,60,116.7,72,35.3%,28,16.3%,77,16.7%,,0.0%,23,6.9%,85,1.6%,78,2.7%
04/18/22,@,DAL,L,104,110,22,0,4,3,0/7,0/3,0/0,19,17.3%,0,0.0,23,20.0%,,0.0%,,,76,3.8%,65,14.3%,,0.0%,65,2.0%
04/16/22,@,DAL,W,99,93,35,13,6,3,6/12,1/2,0/0,32,20.9%,50,108.3,18,17.6%,12,24.2%,54,33.3%,68,2.9%,70,15.2%,,0.0%,47,1.3%
04/10/22,@,POR,W,111,80,26,14,2,5,6/13,1/3,1/2,60,27.9%,35,100.0,96,55.6%,76,5.9%,76,16.7%,,0.0%,28,6.7%,,0.0%,95,4.9%
04/08/22,vs.,PHX,L,105,111,34,13,2,8,4/13,3/9,2/4,55,26.6%,27,86.7,70,36.4%,60,9.8%,65,25.0%,,0.0%,25,6.1%,83,1.5%,49,1.3%
04/05/22,vs.,MEM,W,121,115,34,13,6,8,5/11,2/4,1/2,37,22.7%,50,108.3,74,38.1%,9,25.0%,47,40.0%,64,2.9%,59,12.2%,,0.0%,40,1.1%
04/02/22,@,GSW,L,107,111,36,26,5,8,10/18,5/11,1/1,54,26.5%,84,144.4,70,36.4%,,0.0%,83,10.0%,85,5.6%,41,8.8%,,0.0%,45,1.2%
03/31/22,vs.,LAL,W,122,109,30,18,2,4,7/9,4/6,0/0,20,18.3%,98,200.0,21,17.4%,9,26.1%,21,71.4%,81,4.8%,14,3.6%,,0.0%,,0.0%
03/29/22,@,LAC,L,115,121,33,16,2,3,6/12,3/7,1/1,31,21.1%,76,133.3,13,13.0%,19,20.0%,32,50.0%,77,4.0%,13,3.3%,,0.0%,53,1.4%
03/27/22,@,DAL,L,100,114,26,14,0,7,6/9,0/2,2/5,47,25.0%,72,127.3,88,46.7%,,0.0%,32,50.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/25/22,@,CHA,L,101,107,32,11,2,6,4/8,3/6,0/0,10,15.0%,80,137.5,46,27.3%,61,9.5%,19,75.0%,65,2.9%,11,3.1%,,0.0%,92,4.3%
03/23/22,@,BOS,L,97,125,28,9,4,3,4/12,1/5,0/0,41,23.4%,18,75.0,18,15.8%,43,13.3%,65,25.0%,96,9.4%,19,5.0%,,0.0%,58,1.6%
03/21/22,@,BKN,L,106,114,33,18,2,7,7/12,3/5,1/2,36,22.5%,81,138.5,80,41.2%,75,6.2%,45,42.9%,,0.0%,42,9.1%,,0.0%,79,2.8%
03/18/22,vs.,LAC,W,121,92,23,8,4,4,2/12,1/6,3/4,49,25.4%,10,57.1,21,17.4%,,0.0%,,100.0%,77,4.0%,45,9.7%,,0.0%,61,1.7%
03/16/22,vs.,CHI,W,125,110,27,14,2,7,4/11,3/5,3/4,54,26.5%,59,116.7,71,36.8%,28,17.1%,32,50.0%,,0.0%,34,7.7%,89,1.8%,57,1.5%
03/14/22,vs.,MIL,L,111,117,32,29,2,7,10/13,6/9,3/4,33,21.6%,97,193.3,90,50.0%,77,5.7%,47,40.0%,,0.0%,27,6.5%,,0.0%,73,2.5%
03/11/22,@,SAS,L,102,104,31,8,5,5,2/14,1/6,3/3,52,26.0%,10,53.3,48,27.8%,37,15.0%,32,50.0%,83,5.0%,37,8.1%,,0.0%,98,6.5%
