Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/03/22,@,ORL,W,118,88,29,12,10,0,6/8,0/0,0/0,21,11.4%,74,150.0,,0.0%,14,26.7%,44,83.3%,82,14.8%,34,13.9%,99,9.3%,95,4.5%
04/02/22,vs.,CLE,L,101,119,29,7,2,0,2/2,0/0,3/6,5,6.7%,68,140.0,,0.0%,,0.0%,,100.0%,32,4.0%,7,4.2%,91,5.4%,69,1.7%
03/30/22,vs.,CHA,L,114,125,34,6,10,2,2/4,0/0,2/4,9,8.2%,27,100.0,43,6.9%,,0.0%,75,50.0%,97,24.2%,13,6.9%,53,1.5%,60,1.3%
03/28/22,vs.,CHI,W,109,104,35,16,12,2,8/9,0/0,0/2,23,11.7%,82,160.0,48,8.3%,,0.0%,75,50.0%,95,22.2%,28,12.1%,87,4.5%,61,1.3%
03/27/22,@,DET,W,104,102,29,4,9,1,1/3,0/0,2/2,15,9.8%,27,100.0,35,5.0%,10,30.8%,95,0.0%,77,13.3%,61,20.8%,99,9.1%,66,1.5%
03/25/22,@,MIA,W,111,103,19,11,7,1,4/5,0/0,3/6,44,15.6%,80,157.1,58,11.1%,43,13.3%,75,50.0%,98,26.9%,0,0.0%,,0.0%,75,2.1%
03/22/22,vs.,ATL,L,111,117,35,9,6,0,4/6,0/0,1/6,22,11.6%,27,100.0,,0.0%,24,21.1%,51,75.0%,79,13.9%,7,3.3%,94,6.2%,92,3.7%
03/20/22,vs.,UTA,L,93,108,26,4,3,2,2/3,0/0,0/0,5,6.5%,61,133.3,61,11.8%,,0.0%,75,50.0%,33,4.2%,8,4.5%,64,2.1%,72,1.9%
03/18/22,vs.,WAS,W,100,97,31,15,12,0,6/10,0/0,3/3,31,13.5%,66,136.4,,0.0%,,0.0%,94,16.7%,98,27.0%,12,6.5%,,0.0%,,0.0%
03/16/22,vs.,POR,W,128,98,24,7,6,0,3/3,0/0,1/2,13,9.4%,88,175.0,,0.0%,4,40.0%,59,66.7%,59,9.1%,35,14.3%,99,9.6%,,0.0%
03/13/22,@,BKN,L,107,110,22,7,4,1,3/4,0/0,1/2,15,10.0%,68,140.0,42,6.7%,29,18.2%,59,66.7%,93,21.1%,0,0.0%,98,8.7%,,0.0%
03/11/22,@,MEM,L,114,118,34,10,16,4,5/8,0/0,0/2,41,15.1%,43,111.1,84,21.1%,20,23.1%,87,40.0%,92,20.0%,56,19.4%,93,5.8%,90,3.5%
03/09/22,@,DAL,W,107,77,24,11,11,0,4/4,0/0,3/4,23,11.8%,91,183.3,,0.0%,37,15.4%,93,25.0%,94,21.7%,72,25.0%,96,6.8%,91,3.6%
03/07/22,@,SAC,W,131,115,2,0,0,0,0/0,0/0,0/0,,0.0%,,,,0.0%,,,,,,0.0%,,,,0.0%,,0.0%
03/06/22,@,LAC,W,116,93,26,12,11,0,6/8,0/0,0/6,49,16.7%,50,120.0,,0.0%,53,10.0%,89,33.3%,98,26.7%,20,10.0%,82,3.8%,69,1.7%
03/04/22,@,PHX,L,114,115,37,17,15,1,8/8,0/0,1/2,17,10.4%,92,188.9,32,4.2%,52,10.5%,93,25.0%,95,22.5%,56,19.4%,85,4.2%,95,4.4%
03/02/22,@,PHI,L,108,123,21,10,7,0,5/6,0/0,0/2,18,10.6%,70,142.9,,0.0%,,0.0%,46,80.0%,66,10.5%,80,27.8%,67,2.4%,,0.0%
02/27/22,vs.,PHI,L,109,125,17,6,4,1,3/3,0/0,0/1,15,10.0%,92,200.0,50,9.1%,16,25.0%,89,33.3%,90,18.2%,40,15.4%,,0.0%,,0.0%
02/25/22,vs.,MIA,L,100,115,29,0,9,0,0/1,0/0,0/0,4,6.2%,1,0.0,,0.0%,1,75.0%,,,30,3.6%,86,30.8%,59,1.8%,67,1.6%
02/16/22,vs.,BKN,L,106,111,23,2,7,0,1/2,0/0,0/0,1,3.1%,27,100.0,,0.0%,,0.0%,,100.0%,63,10.0%,43,16.1%,92,5.6%,75,2.1%
02/14/22,vs.,OKC,L,123,127,41,14,17,0,6/9,0/0,2/4,23,11.8%,58,127.3,,0.0%,33,16.7%,89,33.3%,90,18.4%,60,20.5%,89,4.8%,93,3.9%
02/12/22,@,POR,L,103,112,14,2,0,0,1/1,0/0,0/0,1,1.7%,92,200.0,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,99,11.5%,,0.0%
02/10/22,@,GSW,W,116,114,28,7,11,0,3/8,0/0,1/1,16,10.3%,23,87.5,,0.0%,,0.0%,89,33.3%,95,22.2%,23,11.1%,,0.0%,,0.0%
02/07/22,@,UTA,L,104,113,36,19,21,1,8/11,0/0,3/6,33,13.7%,66,135.7,33,4.3%,,0.0%,89,37.5%,91,19.0%,77,26.3%,85,4.2%,76,2.1%
02/05/22,@,LAL,L,115,122,30,4,11,0,2/4,0/0,0/1,2,4.6%,27,100.0,,0.0%,,0.0%,75,50.0%,59,9.1%,53,18.8%,,0.0%,93,3.9%
02/02/22,vs.,MEM,L,108,120,30,14,11,1,7/8,0/0,0/1,38,14.6%,88,175.0,37,5.6%,12,28.6%,93,28.6%,91,18.8%,20,10.0%,100,11.8%,,0.0%
01/31/22,vs.,SAC,W,116,96,22,9,13,1,3/3,0/0,3/6,31,13.5%,74,150.0,39,5.9%,40,14.3%,89,33.3%,98,26.3%,85,30.4%,89,5.0%,73,1.9%
01/28/22,@,MIL,L,108,123,25,7,6,0,3/3,0/0,1/6,20,11.0%,47,116.7,,0.0%,37,15.4%,89,33.3%,86,16.7%,15,8.0%,62,2.0%,,0.0%
01/26/22,@,MIA,L,96,110,29,7,10,1,3/4,0/0,1/2,9,8.3%,68,140.0,39,5.9%,29,18.2%,59,66.7%,88,17.2%,72,25.0%,,0.0%,66,1.5%
01/23/22,vs.,LAC,W,110,102,16,8,8,2,3/6,0/0,2/4,60,18.8%,45,114.3,80,20.0%,,0.0%,89,33.3%,95,22.2%,81,28.6%,,0.0%,,0.0%
01/20/22,vs.,NOP,L,91,102,30,17,15,0,6/7,0/0,5/10,38,14.6%,70,141.7,,0.0%,55,9.5%,44,83.3%,94,21.2%,86,30.8%,61,1.9%,,0.0%
01/18/22,vs.,MIN,L,110,112,20,8,6,0,4/5,0/0,0/0,8,8.0%,82,160.0,,0.0%,,0.0%,51,75.0%,79,14.3%,39,15.0%,,0.0%,,0.0%
