Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,GSW,L,98,102,36,14,3,7,5/12,2/6,2/3,28,19.8%,47,107.7,57,30.4%,71,6.2%,29,60.0%,,0.0%,35,9.1%,,0.0%,46,1.2%
04/24/22,vs.,GSW,W,126,121,29,24,2,5,7/11,5/7,5/5,44,24.6%,93,184.6,47,27.8%,22,18.8%,22,71.4%,,0.0%,29,8.3%,,0.0%,,0.0%
04/21/22,vs.,GSW,L,113,118,34,10,2,6,4/11,1/5,1/2,26,19.0%,23,83.3,35,24.0%,68,6.7%,33,50.0%,,0.0%,35,9.1%,,0.0%,76,2.5%
04/18/22,@,GSW,L,106,126,25,12,4,3,5/8,2/3,0/1,17,16.4%,85,150.0,28,21.4%,21,20.0%,29,60.0%,76,3.8%,69,15.0%,,0.0%,,0.0%
04/16/22,@,GSW,L,107,123,31,10,0,6,4/9,1/5,1/1,16,16.2%,54,111.1,31,23.1%,59,8.3%,33,50.0%,,0.0%,0,0.0%,,0.0%,98,5.4%
04/07/22,vs.,MEM,W,122,109,24,10,3,5,4/8,2/4,0/0,21,18.5%,68,125.0,48,27.8%,58,10.0%,19,75.0%,98,10.5%,18,4.8%,,0.0%,,0.0%
04/05/22,vs.,SAS,L,97,116,33,4,6,3,2/9,0/5,0/0,9,14.4%,7,44.4,11,12.0%,64,8.7%,85,0.0%,81,4.8%,67,13.8%,,0.0%,,0.0%
04/03/22,@,LAL,W,129,118,36,6,3,10,1/9,0/4,4/4,32,21.5%,10,54.5,60,32.3%,76,5.9%,85,0.0%,,0.0%,38,8.3%,78,1.3%,74,2.5%
04/01/22,vs.,MIN,L,130,136,31,23,3,6,8/11,4/4,3/3,29,20.6%,97,191.7,43,26.1%,39,14.3%,19,75.0%,,0.0%,33,7.4%,,0.0%,80,2.9%
03/30/22,@,IND,W,125,118,28,11,3,4,5/7,1/2,0/0,10,14.8%,91,157.1,24,19.0%,16,21.1%,27,60.0%,84,5.3%,23,5.7%,,0.0%,58,1.6%
03/28/22,@,CHA,W,113,109,34,14,3,9,5/10,2/4,2/2,19,17.9%,72,127.3,66,34.6%,72,6.9%,18,80.0%,68,3.1%,21,5.4%,,0.0%,45,1.2%
03/26/22,vs.,OKC,W,113,107,31,7,2,5,3/6,1/2,0/0,3,10.3%,59,116.7,28,20.8%,,0.0%,22,66.7%,,0.0%,28,6.7%,,0.0%,78,2.7%
03/24/22,vs.,PHX,L,130,140,27,15,2,4,5/10,4/6,1/1,24,19.4%,87,150.0,21,17.4%,29,16.7%,18,80.0%,,0.0%,68,14.3%,91,2.0%,,0.0%
