Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/25/22,vs.,BOS,L,112,116,23,13,6,2,6/6,0/0,1/11,73,19.4%,50,118.2,75,16.7%,,0.0%,51,83.3%,81,13.3%,39,14.3%,93,5.8%,95,4.1%
04/23/22,vs.,BOS,L,103,109,21,13,7,1,6/9,0/0,1/2,79,21.1%,59,130.0,46,7.1%,51,10.5%,64,66.7%,88,16.7%,52,18.2%,73,2.6%,,0.0%
04/20/22,@,BOS,L,107,114,23,3,4,2,1/1,0/0,1/4,13,7.3%,27,100.0,65,12.5%,,0.0%,,100.0%,,0.0%,45,15.8%,87,4.7%,95,4.2%
04/17/22,@,BOS,L,114,115,31,13,8,1,6/8,0/0,1/5,52,15.3%,59,130.0,37,4.3%,51,10.5%,64,66.7%,65,9.1%,62,20.7%,91,5.2%,73,1.6%
04/12/22,vs.,CLE,W,115,108,29,13,9,1,6/6,0/0,1/6,39,12.5%,70,144.4,41,5.6%,46,12.5%,51,83.3%,78,12.5%,43,15.2%,98,8.3%,,0.0%
04/10/22,vs.,IND,W,134,126,23,14,6,4,6/6,0/0,2/2,45,15.7%,92,200.0,84,21.1%,48,11.8%,75,50.0%,77,13.3%,28,12.5%,,0.0%,,0.0%
04/08/22,vs.,CLE,W,118,107,16,4,5,1,2/3,0/0,0/0,7,7.6%,61,133.3,48,8.3%,,0.0%,,100.0%,,0.0%,69,23.5%,77,3.2%,,0.0%
04/06/22,@,NYK,W,110,98,23,8,7,0,4/8,0/0,0/1,43,15.5%,27,100.0,,0.0%,19,23.5%,51,75.0%,76,13.0%,48,17.4%,64,2.2%,,0.0%
04/05/22,vs.,HOU,W,118,105,27,9,9,0,4/6,0/0,1/2,14,9.5%,58,128.6,,0.0%,33,16.7%,,100.0%,71,11.5%,32,13.3%,,0.0%,68,1.6%
04/02/22,@,ATL,L,115,122,24,4,7,1,2/4,0/0,0/0,6,6.9%,27,100.0,32,4.2%,,0.0%,75,50.0%,58,8.7%,67,22.7%,64,2.2%,,0.0%
