Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,GSW,L,98,102,32,30,19,8,12/18,0/2,6/8,98,37.3%,65,136.4,99,53.3%,28,21.4%,64,66.7%,70,10.3%,99,45.2%,79,3.2%,67,1.3%
04/24/22,vs.,GSW,W,126,121,38,37,8,6,14/21,3/5,6/6,96,34.3%,78,154.2,96,37.5%,25,23.7%,73,64.3%,38,3.8%,50,17.1%,,0.0%,,0.0%
04/21/22,vs.,GSW,L,113,118,38,37,18,5,14/22,2/3,7/9,96,32.8%,68,142.3,88,25.0%,37,16.9%,76,57.1%,77,11.8%,96,39.3%,,0.0%,89,3.3%
04/18/22,@,GSW,L,106,126,28,26,11,4,9/20,0/4,8/8,98,39.3%,42,108.3,96,36.4%,50,10.9%,88,33.3%,82,13.9%,69,22.7%,82,3.7%,69,1.4%
04/16/22,@,GSW,L,107,123,34,25,10,6,12/25,0/4,1/2,97,35.4%,27,96.2,94,31.6%,50,10.7%,64,66.7%,72,10.8%,64,21.4%,59,1.5%,93,3.8%
04/07/22,vs.,MEM,W,122,109,35,35,16,6,16/24,1/3,2/2,95,31.9%,73,145.8,90,26.1%,48,11.8%,74,56.2%,78,13.6%,89,32.4%,54,1.6%,96,5.0%
04/05/22,vs.,SAS,L,97,116,40,41,17,4,18/35,1/5,4/6,99,38.7%,43,110.8,84,21.1%,64,5.6%,74,55.6%,35,4.5%,92,35.0%,,0.0%,76,2.2%
04/03/22,@,LAL,W,129,118,33,38,18,6,15/22,0/3,8/11,100,42.7%,70,140.7,97,37.5%,23,21.9%,59,66.7%,34,4.3%,100,56.7%,74,3.0%,93,4.0%
04/01/22,vs.,MIN,L,130,136,43,38,19,8,14/21,0/2,10/12,91,28.6%,73,146.2,92,27.6%,43,13.6%,69,64.3%,82,14.7%,83,29.3%,,0.0%,57,1.0%
03/30/22,@,IND,W,125,118,36,37,13,9,15/19,0/0,7/8,98,36.1%,87,168.2,98,40.9%,20,23.3%,86,46.7%,73,12.5%,61,20.9%,50,1.2%,80,2.4%
03/28/22,@,CHA,W,113,109,35,26,19,11,9/17,0/0,8/12,96,33.7%,49,118.2,98,42.3%,43,13.8%,74,55.6%,83,15.2%,94,36.8%,,0.0%,78,2.3%
03/26/22,vs.,OKC,W,113,107,35,35,12,8,13/15,0/1,9/10,83,24.4%,91,184.2,96,34.8%,39,15.0%,41,92.3%,48,6.9%,87,31.2%,76,3.2%,80,2.4%
03/24/22,vs.,PHX,L,130,140,32,28,6,6,9/10,1/2,9/11,95,31.8%,92,186.7,88,24.0%,10,32.7%,89,33.3%,63,10.0%,65,22.2%,,0.0%,93,3.9%
