Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,MIL,L,100,116,37,19,16,6,8/15,3/9,0/0,84,22.3%,58,126.7,91,27.3%,39,16.2%,74,62.5%,48,5.6%,99,48.3%,76,2.8%,,0.0%
04/24/22,vs.,MIL,L,95,119,38,11,10,2,5/14,1/6,0/0,47,14.2%,22,78.6,50,8.0%,,0.0%,,100.0%,31,2.3%,73,25.0%,57,1.4%,,0.0%
04/22/22,vs.,MIL,L,81,111,30,19,6,3,8/17,3/9,0/0,86,24.2%,44,111.8,93,30.0%,,0.0%,,100.0%,,0.0%,52,17.9%,64,1.7%,,0.0%
04/20/22,@,MIL,W,114,110,36,24,13,2,10/18,4/8,0/0,74,19.6%,61,133.3,48,7.4%,48,12.1%,49,90.0%,67,9.4%,79,27.3%,,0.0%,65,1.2%
04/17/22,@,MIL,L,86,93,39,24,17,3,9/27,2/10,4/5,96,32.4%,24,82.8,85,21.4%,53,9.8%,64,66.7%,85,14.8%,72,24.3%,77,3.0%,64,1.1%
04/08/22,vs.,CHA,L,117,133,22,6,5,3,2/6,0/1,2/2,68,20.5%,22,85.7,80,20.0%,50,11.1%,75,50.0%,49,7.1%,81,28.6%,,0.0%,,0.0%
04/06/22,vs.,BOS,L,94,117,25,13,7,1,5/13,1/3,2/2,94,30.4%,26,92.9,45,7.7%,19,23.5%,70,60.0%,31,3.8%,61,20.8%,,0.0%,71,1.8%
04/05/22,vs.,MIL,L,106,127,26,7,6,3,3/19,1/6,0/0,97,35.2%,6,36.8,77,17.6%,56,9.3%,59,66.7%,27,2.9%,44,16.7%,,0.0%,68,1.6%
04/02/22,vs.,MIA,L,109,127,32,12,10,5,6/11,0/3,0/0,47,16.2%,41,109.1,87,23.8%,,0.0%,59,66.7%,42,5.9%,83,29.2%,60,1.9%,,0.0%
03/31/22,vs.,LAC,W,135,130,40,22,14,1,9/19,3/5,1/2,76,22.3%,42,110.0,32,3.8%,55,9.8%,86,44.4%,76,12.8%,84,30.0%,,0.0%,,0.0%
03/29/22,@,WAS,W,107,94,31,27,5,4,12/19,2/5,1/1,89,27.3%,70,142.1,95,33.3%,64,5.6%,59,66.7%,29,3.3%,33,13.6%,,0.0%,66,1.5%
03/28/22,@,NYK,L,104,109,34,16,13,1,6/11,0/1,4/5,51,16.9%,54,123.1,37,5.6%,36,16.0%,,100.0%,47,6.7%,84,29.7%,52,1.4%,83,2.7%
03/26/22,@,CLE,W,98,94,36,16,9,4,6/14,1/4,3/3,78,22.9%,40,106.7,80,19.0%,48,12.1%,44,83.3%,31,3.8%,54,18.9%,52,1.4%,63,1.4%
03/24/22,@,NOP,L,109,126,32,16,9,3,7/11,2/3,0/0,49,16.7%,72,145.5,77,17.6%,56,9.1%,57,71.4%,,0.0%,86,30.8%,78,3.3%,87,3.0%
03/22/22,@,MIL,L,98,126,32,22,7,2,9/15,4/5,0/0,56,17.9%,73,146.7,62,12.5%,60,8.0%,,100.0%,26,2.9%,72,25.0%,,0.0%,,0.0%
03/21/22,vs.,TOR,W,113,99,33,19,13,2,7/17,2/4,3/5,86,26.0%,27,100.0,50,8.7%,52,10.5%,42,85.7%,94,21.2%,44,16.7%,54,1.6%,63,1.4%
03/18/22,@,PHX,L,102,129,26,16,7,1,8/16,0/2,0/1,84,25.0%,27,100.0,54,10.0%,61,7.1%,41,87.5%,68,11.1%,39,15.0%,,0.0%,91,3.6%
03/16/22,@,UTA,L,110,125,29,10,11,1,5/14,0/6,0/0,56,17.9%,15,71.4,35,5.0%,,0.0%,,100.0%,28,3.2%,98,43.5%,,0.0%,66,1.5%
03/14/22,@,SAC,L,103,112,33,23,10,2,10/22,3/7,0/0,82,24.0%,39,104.5,58,11.1%,,0.0%,41,90.0%,25,2.6%,86,31.0%,,0.0%,,0.0%
03/12/22,vs.,CLE,W,101,91,34,20,14,0,9/19,2/5,0/1,84,25.0%,39,105.3,,0.0%,36,16.2%,50,77.8%,40,5.6%,89,32.4%,55,1.6%,83,2.7%
