Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHI,L,97,132,29,5,1,0,2/7,1/4,0/0,20,9.7%,22,71.4,,0.0%,,0.0%,,100.0%,,0.0%,24,4.5%,,0.0%,69,1.6%
04/25/22,@,PHI,W,103,88,39,16,5,4,7/15,2/9,0/0,77,23.4%,47,106.7,71,14.3%,27,16.2%,85,42.9%,,0.0%,68,13.2%,,0.0%,82,2.5%
04/23/22,vs.,PHI,W,110,102,31,11,5,2,3/12,1/6,4/5,72,21.5%,27,78.6,59,11.1%,38,12.9%,,100.0%,87,5.9%,38,7.4%,,0.0%,65,1.4%
04/20/22,vs.,PHI,L,101,104,46,26,5,4,8/18,4/9,6/9,85,25.3%,55,118.2,73,14.8%,62,4.4%,75,62.5%,93,7.7%,33,6.5%,79,1.5%,55,1.1%
04/18/22,@,PHI,L,97,112,38,26,1,3,10/14,4/7,2/2,71,21.3%,89,173.3,73,15.0%,25,17.1%,86,40.0%,,0.0%,0,0.0%,,0.0%,59,1.2%
04/16/22,@,PHI,L,111,131,33,20,7,2,9/15,2/5,0/0,72,21.5%,68,133.3,57,10.5%,53,7.1%,66,66.7%,92,7.4%,82,16.7%,,0.0%,,0.0%
04/10/22,@,NYK,L,94,105,25,8,9,3,3/9,0/5,2/2,87,25.9%,26,80.0,80,18.8%,16,20.7%,95,0.0%,91,8.0%,97,26.9%,,0.0%,69,1.8%
04/01/22,@,ORL,W,102,89,35,14,6,2,4/8,2/5,4/5,35,13.8%,75,140.0,44,8.3%,45,9.5%,54,75.0%,63,2.9%,76,15.6%,,0.0%,81,2.6%
03/30/22,vs.,MIN,W,125,102,32,22,5,3,9/13,4/4,0/0,45,15.6%,90,169.2,58,11.5%,23,16.7%,,100.0%,70,3.6%,50,10.0%,,0.0%,,0.0%
03/28/22,vs.,BOS,W,115,112,40,14,8,3,6/12,2/5,0/0,27,12.2%,56,116.7,55,10.7%,,0.0%,61,66.7%,93,8.7%,36,7.3%,,0.0%,50,1.1%
03/26/22,vs.,IND,W,131,91,28,16,3,1,6/9,3/5,1/2,39,14.7%,86,160.0,26,4.2%,,0.0%,61,66.7%,,0.0%,34,6.9%,,0.0%,89,3.4%
03/24/22,vs.,CLE,W,117,104,26,14,2,3,4/11,4/8,2/2,71,20.9%,56,116.7,70,15.0%,,0.0%,,100.0%,,0.0%,50,10.0%,89,2.1%,,0.0%
02/16/22,@,MIN,W,103,91,30,10,1,1,4/11,0/4,2/2,78,22.7%,28,83.3,32,5.3%,16,20.0%,92,25.0%,,0.0%,20,4.2%,,0.0%,,0.0%
02/14/22,@,NOP,L,90,120,25,3,2,2,1/5,1/3,0/0,11,8.6%,15,60.0,71,15.4%,,0.0%,,100.0%,,0.0%,63,12.5%,89,2.2%,64,1.6%
02/12/22,vs.,DEN,L,109,110,37,9,5,4,4/16,1/5,0/0,71,20.8%,14,56.3,63,12.9%,,0.0%,,100.0%,94,9.4%,33,6.7%,,0.0%,56,1.3%
02/10/22,@,HOU,W,139,120,35,13,4,2,5/12,3/8,0/0,48,16.1%,50,108.3,36,6.2%,29,14.3%,86,40.0%,84,5.9%,40,8.0%,,0.0%,51,1.1%
02/09/22,@,OKC,W,117,98,37,15,10,2,6/12,3/7,0/0,60,18.4%,63,125.0,41,7.4%,10,25.0%,88,33.3%,62,2.8%,87,19.5%,79,1.4%,,0.0%
02/07/22,@,CHA,W,116,101,38,20,9,2,8/18,2/7,2/4,79,23.1%,36,100.0,39,7.1%,45,9.5%,74,50.0%,97,12.1%,50,9.8%,,0.0%,88,3.3%
02/04/22,vs.,ATL,W,125,114,35,8,10,4,3/8,2/4,0/0,33,13.6%,36,100.0,63,12.9%,19,19.0%,,100.0%,88,7.1%,94,23.5%,93,2.9%,81,2.6%
02/03/22,vs.,CHI,W,127,120,42,21,1,6,8/15,5/8,0/0,56,17.5%,75,140.0,82,19.4%,22,17.1%,47,87.5%,,0.0%,14,2.9%,76,1.2%,49,1.0%
02/01/22,vs.,MIA,W,110,106,36,13,3,3,6/10,0/1,1/1,50,16.7%,68,130.0,64,13.0%,12,24.0%,61,66.7%,69,3.4%,32,6.5%,,0.0%,57,1.3%
01/31/22,@,ATL,W,106,100,36,15,5,2,6/13,3/5,0/0,50,16.7%,55,115.4,43,8.0%,,0.0%,74,50.0%,,0.0%,73,14.7%,81,1.5%,57,1.3%
01/29/22,@,MIA,W,124,120,55,20,14,6,9/21,2/7,0/2,71,20.9%,33,90.9,82,19.4%,37,12.2%,54,77.8%,90,7.3%,78,16.1%,75,1.0%,80,2.6%
01/26/22,@,CHI,L,105,111,34,23,5,4,10/15,3/7,0/1,64,19.2%,84,153.3,85,21.1%,,0.0%,69,60.0%,87,6.7%,57,11.1%,96,3.6%,58,1.4%
01/25/22,vs.,CHA,W,125,113,36,24,7,2,8/14,3/7,5/6,67,20.0%,76,141.2,39,6.9%,37,11.8%,54,75.0%,90,7.4%,60,11.8%,78,1.4%,76,2.4%
01/23/22,vs.,POR,L,105,114,42,11,8,5,4/15,1/7,2/3,57,17.8%,20,68.8,79,17.9%,57,5.4%,74,50.0%,84,5.9%,46,9.1%,92,2.7%,84,2.9%
01/21/22,@,WAS,W,109,105,41,12,9,1,6/13,0/4,0/1,57,17.8%,34,92.3,25,3.3%,20,18.8%,94,16.7%,78,4.7%,91,21.2%,77,1.3%,94,4.4%
01/19/22,@,DAL,L,98,102,43,19,8,2,8/16,1/5,2/2,43,15.4%,52,111.8,44,8.3%,56,6.2%,54,75.0%,90,7.7%,62,12.1%,,0.0%,84,2.9%
01/17/22,@,MIA,L,99,104,34,14,2,2,5/14,3/8,1/3,73,21.4%,35,93.3,54,10.5%,20,18.2%,,100.0%,,0.0%,28,5.7%,82,1.6%,56,1.3%
01/15/22,@,MIL,W,103,96,39,24,8,4,9/23,3/13,3/5,88,26.6%,36,96.0,79,18.2%,60,4.0%,61,66.7%,77,4.5%,73,14.6%,78,1.4%,,0.0%
01/14/22,@,DET,L,87,103,37,16,3,2,5/14,3/7,3/4,81,23.5%,36,100.0,59,11.8%,10,25.6%,,100.0%,59,2.3%,32,6.5%,,0.0%,,0.0%
01/11/22,vs.,PHX,L,95,99,39,25,2,1,9/20,4/13,3/6,81,23.7%,50,108.7,30,5.0%,48,8.7%,73,55.6%,59,2.3%,15,3.0%,,0.0%,49,1.0%
01/09/22,vs.,NOP,W,105,101,35,12,5,2,5/12,2/6,0/0,58,17.9%,36,100.0,47,9.1%,29,14.3%,86,40.0%,83,5.7%,46,9.1%,,0.0%,,0.0%
01/07/22,vs.,UTA,W,122,108,34,22,4,2,8/13,4/7,2/2,44,15.4%,85,157.1,41,7.7%,50,8.0%,47,87.5%,63,2.9%,50,10.0%,,0.0%,90,3.7%
01/05/22,@,MIL,W,117,111,35,22,6,2,6/10,4/7,6/8,64,19.3%,85,157.1,47,9.1%,20,18.8%,61,66.7%,,0.0%,79,16.7%,,0.0%,,0.0%
01/04/22,vs.,SAS,W,129,104,29,11,5,3,4/13,1/7,2/2,71,20.8%,25,78.6,66,13.6%,,0.0%,92,25.0%,66,3.1%,50,10.0%,,0.0%,83,2.8%
01/02/22,vs.,NYK,W,120,105,30,14,3,1,4/11,1/5,5/5,59,18.2%,49,107.7,30,5.0%,,0.0%,95,0.0%,,0.0%,50,10.0%,,0.0%,93,4.1%
12/31/21,vs.,LAC,W,116,108,36,26,6,0,8/16,3/7,7/8,78,22.6%,68,130.0,,0.0%,58,5.3%,74,50.0%,79,5.0%,48,9.4%,,0.0%,95,4.8%
12/18/21,vs.,GSW,W,119,100,28,7,3,2,3/8,0/3,1/2,53,16.9%,25,77.8,41,7.7%,45,9.5%,88,33.3%,,0.0%,40,8.0%,,0.0%,65,1.6%
11/15/21,@,POR,L,113,118,41,29,6,2,9/19,6/10,5/6,76,22.2%,75,138.1,41,7.4%,,0.0%,85,44.4%,78,4.8%,53,10.3%,,0.0%,88,3.3%
11/13/21,vs.,DET,L,121,127,38,17,2,0,7/14,2/8,1/2,64,19.2%,54,113.3,,0.0%,12,24.2%,59,71.4%,,0.0%,16,3.3%,80,1.5%,51,1.2%
11/11/21,@,PHI,W,115,109,39,18,4,4,7/15,2/4,2/2,56,17.6%,53,112.5,74,16.0%,56,6.1%,59,71.4%,59,2.2%,45,8.8%,,0.0%,50,1.1%
11/10/21,@,BOS,L,88,104,36,12,5,4,5/12,0/3,2/3,75,21.7%,34,92.3,81,19.0%,20,18.2%,69,60.0%,67,3.2%,40,7.9%,77,1.3%,56,1.3%
11/07/21,vs.,BKN,L,103,116,38,16,8,3,7/16,1/6,1/2,79,22.8%,35,94.1,58,11.5%,41,10.8%,72,57.1%,63,2.9%,93,22.6%,,0.0%,,0.0%
11/05/21,vs.,CLE,L,101,102,37,23,6,5,10/21,3/7,0/0,84,25.0%,51,109.5,90,25.0%,,0.0%,69,60.0%,80,5.1%,45,8.8%,79,1.4%,53,1.2%
11/03/21,@,WAS,W,109,100,40,21,5,1,9/20,3/5,0/0,83,24.2%,48,105.0,28,4.5%,46,9.3%,93,22.2%,61,2.6%,27,5.6%,78,1.4%,88,3.4%
11/01/21,@,NYK,W,113,104,41,36,6,2,13/27,4/12,6/7,94,30.0%,59,120.0,41,7.4%,60,3.5%,74,53.8%,87,6.7%,14,2.9%,,0.0%,49,1.1%
10/30/21,@,IND,W,97,94,38,15,5,5,6/13,3/7,0/0,56,17.6%,55,115.4,82,19.2%,55,6.5%,88,33.3%,81,5.3%,43,8.6%,79,1.4%,51,1.1%
10/29/21,vs.,ORL,W,110,109,41,16,5,3,7/19,2/8,0/0,81,23.6%,29,84.2,51,9.7%,44,9.8%,72,57.1%,,0.0%,50,10.0%,,0.0%,,0.0%
10/27/21,vs.,IND,W,118,100,34,25,3,3,9/21,4/10,3/4,86,25.6%,50,108.7,61,12.5%,59,4.5%,54,77.8%,61,2.6%,32,6.5%,83,1.7%,98,5.8%
10/25/21,vs.,CHI,L,108,111,38,22,8,5,8/17,4/8,2/2,73,21.3%,61,122.2,82,20.0%,42,10.5%,47,87.5%,96,10.3%,68,13.5%,,0.0%,75,2.2%
10/23/21,vs.,DAL,L,95,103,32,23,4,0,9/15,5/9,0/0,65,19.4%,84,153.3,,0.0%,26,15.4%,46,88.9%,,0.0%,43,8.6%,95,3.1%,85,3.0%
10/22/21,@,BOS,W,115,83,32,12,5,3,4/18,0/5,4/4,92,28.6%,15,60.0,70,15.0%,59,4.5%,92,25.0%,95,9.8%,18,3.7%,,0.0%,,0.0%
10/20/21,vs.,WAS,L,83,98,34,11,10,1,3/17,2/9,3/4,83,24.4%,15,57.9,33,5.6%,31,14.0%,61,66.7%,92,8.3%,92,22.2%,84,1.7%,75,2.3%
