Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHI,L,97,132,44,24,7,7,9/17,0/4,6/7,84,27.0%,57,120.0,94,31.8%,44,11.3%,98,0.0%,78,6.4%,53,12.9%,,0.0%,85,3.1%
04/25/22,@,PHI,W,103,88,44,23,10,7,10/17,2/4,1/2,80,25.3%,66,127.8,83,23.3%,51,9.3%,88,40.0%,,0.0%,89,22.7%,,0.0%,,0.0%
04/23/22,vs.,PHI,W,110,102,43,34,8,5,10/19,1/4,13/15,90,29.7%,69,130.8,82,21.7%,48,10.0%,93,30.0%,,0.0%,80,19.5%,86,2.6%,48,1.0%
04/20/22,vs.,PHI,L,101,104,48,12,5,4,6/16,0/2,0/0,68,21.1%,20,75.0,65,14.3%,30,15.0%,91,33.3%,46,2.3%,47,11.8%,71,1.3%,72,2.1%
04/18/22,@,PHI,L,97,112,41,20,10,5,7/20,0/1,6/7,89,29.7%,28,87.0,82,21.7%,58,7.4%,97,14.3%,86,8.5%,89,23.1%,,0.0%,54,1.1%
04/16/22,@,PHI,L,111,131,40,24,3,7,9/18,1/2,5/5,83,26.2%,57,120.0,89,26.9%,,0.0%,76,55.6%,,0.0%,36,9.4%,93,3.8%,,0.0%
04/08/22,vs.,HOU,W,117,115,40,29,12,7,12/24,0/2,5/6,96,32.6%,51,111.5,91,25.9%,56,6.5%,94,8.3%,80,7.0%,96,29.0%,69,1.4%,85,3.2%
04/07/22,vs.,PHI,W,119,114,37,37,11,12,14/27,1/6,8/10,100,44.8%,58,119.4,100,60.0%,59,5.2%,94,7.1%,92,11.1%,94,26.9%,,0.0%,75,2.3%
04/05/22,vs.,ATL,W,118,108,40,31,13,6,12/23,1/4,6/8,90,27.5%,58,119.2,88,25.0%,,0.0%,93,16.7%,62,4.0%,87,22.2%,67,1.2%,48,1.0%
04/03/22,vs.,MIA,L,109,114,43,29,8,5,11/18,1/3,6/7,88,26.3%,69,131.8,88,23.8%,28,15.4%,82,45.5%,,0.0%,71,17.1%,,0.0%,71,2.0%
04/01/22,@,ORL,W,102,89,43,16,11,3,7/18,0/3,2/3,79,22.8%,27,84.2,60,12.0%,47,9.5%,83,42.9%,48,2.3%,94,26.3%,,0.0%,,0.0%
03/30/22,vs.,MIN,W,125,102,40,12,10,13,5/15,0/2,2/2,91,28.4%,21,75.0,97,34.2%,13,22.2%,67,60.0%,53,2.9%,80,20.0%,67,1.2%,49,1.1%
03/28/22,vs.,BOS,W,115,112,47,40,13,1,17/29,0/4,6/8,93,30.3%,62,125.0,27,4.2%,62,3.0%,95,5.9%,61,3.8%,86,21.7%,84,2.3%,81,2.8%
