Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/29/22,vs.,BOS,L,96,100,17,0,4,0,0/3,0/2,0/0,42,13.2%,2,0.0,,0.0%,8,40.0%,,,,0.0%,86,30.8%,77,2.9%,,0.0%
05/27/22,@,BOS,W,111,103,25,11,5,1,3/4,2/2,3/4,36,11.5%,88,183.3,43,6.2%,37,16.7%,,100.0%,72,11.1%,9,4.8%,,0.0%,93,3.8%
05/25/22,vs.,BOS,L,80,93,32,7,11,2,3/7,1/5,0/0,23,9.5%,27,100.0,59,11.1%,,0.0%,64,66.7%,85,15.0%,28,11.5%,,0.0%,68,1.4%
05/23/22,@,BOS,L,82,102,21,0,3,2,0/4,0/1,0/0,30,10.6%,2,0.0,92,28.6%,,0.0%,,,50,6.1%,11,5.3%,,0.0%,79,2.1%
05/21/22,@,BOS,W,109,103,38,17,7,1,5/10,3/6,4/4,49,14.6%,67,141.7,36,3.6%,55,8.3%,74,60.0%,46,5.1%,39,14.3%,62,1.6%,92,3.7%
05/19/22,vs.,BOS,L,102,127,22,5,4,1,2/6,1/1,0/2,71,18.8%,18,71.4,45,6.7%,26,22.2%,77,50.0%,71,10.5%,31,12.5%,,0.0%,,0.0%
05/17/22,vs.,BOS,W,118,107,31,5,6,3,2/5,1/3,0/2,31,10.9%,24,83.3,59,11.1%,44,13.3%,,100.0%,,0.0%,58,19.4%,,0.0%,71,1.4%
05/12/22,@,PHI,W,99,90,39,12,9,1,6/9,0/2,0/0,21,9.0%,61,133.3,36,3.8%,,0.0%,64,66.7%,78,12.5%,28,11.4%,75,2.7%,,0.0%
05/10/22,vs.,PHI,W,120,85,31,10,4,7,4/6,2/2,0/0,39,12.5%,82,166.7,93,30.4%,,0.0%,56,75.0%,38,3.8%,27,11.1%,69,2.0%,73,1.6%
05/08/22,@,PHI,L,108,116,25,7,2,0,3/7,1/4,0/0,31,10.8%,27,100.0,,0.0%,40,15.4%,,100.0%,40,4.2%,13,6.7%,,0.0%,,0.0%
05/06/22,@,PHI,L,79,99,35,4,8,1,2/3,0/1,0/0,8,5.6%,61,133.3,45,6.7%,21,25.0%,77,50.0%,59,7.9%,54,18.5%,,0.0%,86,2.8%
05/04/22,vs.,PHI,W,119,103,26,6,1,0,2/6,2/3,0/0,32,10.9%,27,100.0,,0.0%,37,16.7%,,100.0%,,0.0%,10,5.0%,,0.0%,76,1.8%
05/02/22,vs.,PHI,W,106,92,28,10,7,1,4/9,2/4,0/0,46,14.2%,43,111.1,37,4.8%,51,10.5%,77,50.0%,86,15.2%,22,9.5%,,0.0%,,0.0%
04/26/22,vs.,ATL,W,97,94,32,4,5,2,2/6,0/2,0/0,18,8.7%,15,66.7,49,7.7%,,0.0%,,100.0%,36,3.4%,42,14.8%,,0.0%,71,1.4%
04/24/22,@,ATL,W,110,86,28,14,8,3,5/7,2/4,2/2,44,13.3%,86,175.0,74,15.8%,,0.0%,74,60.0%,70,10.3%,25,10.3%,,0.0%,,0.0%
04/22/22,@,ATL,L,110,111,33,11,7,4,4/6,1/3,2/2,18,8.6%,78,157.1,72,15.4%,,0.0%,,100.0%,59,8.1%,28,11.5%,,0.0%,,0.0%
04/19/22,vs.,ATL,W,115,105,24,3,6,2,1/3,1/2,0/0,29,10.6%,27,100.0,65,12.5%,11,36.4%,,100.0%,,0.0%,65,21.7%,,0.0%,77,1.9%
04/17/22,vs.,ATL,W,115,91,24,16,5,1,6/8,4/4,0/0,29,10.6%,88,200.0,45,6.7%,,0.0%,,100.0%,,0.0%,47,16.7%,,0.0%,,0.0%
04/05/22,vs.,CHA,W,144,115,22,7,7,2,3/7,1/3,0/0,46,16.0%,27,100.0,57,10.5%,46,12.5%,59,66.7%,85,15.8%,86,30.8%,,0.0%,74,2.0%
04/02/22,@,CHI,W,127,109,27,4,8,2,1/1,0/0,2/2,2,4.3%,92,200.0,45,7.7%,,0.0%,,100.0%,39,5.3%,76,25.9%,,0.0%,70,1.7%
03/30/22,@,BOS,W,106,98,27,2,4,3,1/3,0/0,0/0,9,8.2%,12,66.7,65,13.0%,25,20.0%,,100.0%,,0.0%,40,15.4%,61,2.0%,68,1.6%
03/28/22,vs.,SAC,W,123,100,24,7,4,4,3/6,1/1,0/0,25,12.0%,47,116.7,80,19.0%,,0.0%,,100.0%,35,4.5%,39,15.0%,,0.0%,,0.0%
03/26/22,vs.,BKN,L,95,110,23,9,2,0,3/5,1/3,2/2,9,8.3%,74,150.0,,0.0%,,0.0%,,100.0%,40,5.6%,13,7.1%,,0.0%,72,1.9%
03/25/22,vs.,NYK,L,103,111,28,4,5,1,2/5,0/1,0/0,14,9.6%,18,80.0,35,5.0%,29,18.2%,,100.0%,,0.0%,47,17.2%,59,1.8%,91,3.5%
03/23/22,vs.,GSW,L,104,118,36,7,9,4,3/6,0/2,1/1,16,10.3%,47,116.7,73,16.0%,46,12.5%,59,66.7%,,0.0%,81,28.6%,,0.0%,81,2.6%
03/21/22,@,PHI,L,106,113,26,2,3,1,1/2,0/1,0/0,4,5.8%,27,100.0,36,5.3%,8,33.3%,,100.0%,36,4.8%,14,7.4%,,0.0%,73,1.9%
