Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/26/22,@,GSW,L,110,120,38,6,4,2,2/4,2/4,0/0,3,5.3%,79,150.0,43,7.7%,,0.0%,,100.0%,,0.0%,42,10.8%,,0.0%,,0.0%
05/24/22,vs.,GSW,W,119,109,38,18,2,2,6/10,6/10,0/0,18,9.8%,93,180.0,41,7.1%,,0.0%,,100.0%,,0.0%,16,6.1%,,0.0%,,0.0%
05/22/22,vs.,GSW,L,100,109,40,0,4,4,0/10,0/7,0/1,40,14.6%,1,0.0,70,16.7%,,0.0%,,,,0.0%,49,12.1%,,0.0%,78,2.4%
05/20/22,@,GSW,L,117,126,44,21,3,2,6/11,6/10,3/3,28,11.8%,91,175.0,40,6.9%,51,9.1%,,100.0%,,0.0%,20,6.9%,,0.0%,,0.0%
05/18/22,@,GSW,L,87,112,36,12,3,2,4/12,3/10,1/1,41,14.7%,35,100.0,57,11.1%,,0.0%,54,75.0%,,0.0%,49,12.5%,,0.0%,61,1.3%
05/15/22,@,PHX,W,123,90,32,5,3,0,1/4,1/4,2/2,17,9.7%,35,100.0,,0.0%,5,30.8%,,100.0%,,0.0%,28,8.1%,,0.0%,65,1.5%
05/12/22,vs.,PHX,W,113,86,40,19,7,0,7/15,5/11,0/0,41,14.7%,66,126.7,,0.0%,,0.0%,59,71.4%,85,8.3%,45,11.4%,,0.0%,77,2.4%
05/10/22,@,PHX,L,80,110,35,0,4,1,0/5,0/3,0/0,13,9.0%,1,0.0,31,4.8%,28,15.4%,,,57,3.3%,37,9.7%,,0.0%,83,2.8%
05/08/22,vs.,PHX,W,111,101,39,7,2,2,2/6,2/5,1/1,9,8.1%,54,116.7,37,6.2%,32,14.3%,,100.0%,,0.0%,17,6.2%,,0.0%,,0.0%
05/06/22,vs.,PHX,W,103,94,41,15,4,2,5/11,4/10,1/1,24,10.8%,73,136.4,40,6.9%,,0.0%,,100.0%,45,2.2%,31,8.8%,,0.0%,89,3.4%
05/04/22,@,PHX,L,109,129,37,16,4,0,5/9,4/8,2/3,19,9.9%,87,160.0,,0.0%,,0.0%,51,80.0%,55,3.0%,57,13.6%,,0.0%,,0.0%
05/02/22,@,PHX,L,114,121,33,7,6,0,2/7,2/7,1/1,17,9.6%,35,100.0,,0.0%,32,14.3%,,100.0%,,0.0%,89,23.1%,,0.0%,64,1.4%
04/28/22,@,UTA,W,98,96,44,6,6,2,2/6,2/6,0/0,8,8.0%,35,100.0,37,6.1%,32,14.3%,,100.0%,,0.0%,63,14.6%,,0.0%,76,2.3%
04/25/22,vs.,UTA,W,102,77,31,9,7,2,3/9,3/9,0/0,32,12.7%,35,100.0,47,8.7%,,0.0%,,100.0%,60,3.6%,76,18.2%,,0.0%,96,4.5%
04/23/22,@,UTA,L,99,100,46,11,7,1,4/9,3/8,0/0,9,8.2%,59,122.2,26,3.6%,,0.0%,,100.0%,47,2.5%,43,11.1%,67,1.1%,,0.0%
04/21/22,@,UTA,W,126,118,44,12,6,3,3/6,3/6,3/3,7,7.3%,90,171.4,46,8.3%,,0.0%,,100.0%,,0.0%,86,21.4%,,0.0%,50,1.0%
04/18/22,vs.,UTA,W,110,104,45,11,4,4,4/7,3/5,0/0,9,8.1%,86,157.1,59,11.8%,,0.0%,,100.0%,,0.0%,35,9.3%,,0.0%,57,1.2%
04/16/22,vs.,UTA,L,93,99,44,15,6,1,5/10,3/8,2/2,19,10.0%,79,150.0,33,5.0%,45,11.1%,,100.0%,,0.0%,58,14.3%,,0.0%,75,2.2%
04/10/22,vs.,SAS,W,130,120,27,4,3,2,1/6,1/3,1/1,24,11.9%,16,66.7,43,8.0%,34,13.3%,,100.0%,66,4.5%,21,6.7%,,0.0%,,0.0%
04/08/22,vs.,POR,W,128,78,27,5,2,0,2/7,1/6,0/0,38,14.4%,19,71.4,,0.0%,12,23.5%,72,50.0%,77,6.2%,10,3.3%,,0.0%,65,1.7%
04/06/22,@,DET,W,131,113,31,9,3,2,3/5,3/5,0/0,9,8.6%,93,180.0,39,7.1%,21,18.2%,,100.0%,,0.0%,32,8.8%,,0.0%,,0.0%
04/03/22,@,MIL,W,118,112,40,16,7,1,6/9,3/6,1/1,7,7.6%,93,177.8,25,3.2%,,0.0%,,100.0%,,0.0%,58,14.3%,67,1.2%,,0.0%
04/01/22,@,WAS,L,103,135,34,8,4,2,2/8,2/7,2/2,28,12.7%,29,88.9,47,9.1%,,0.0%,,100.0%,83,7.7%,20,6.2%,,0.0%,,0.0%
03/30/22,@,CLE,W,120,112,42,9,4,3,3/7,3/7,0/0,14,9.8%,66,128.6,41,7.7%,13,22.2%,,100.0%,52,2.9%,29,8.3%,,0.0%,49,1.1%
03/29/22,vs.,LAL,W,128,110,33,17,1,1,6/9,5/8,0/0,11,9.0%,95,188.9,25,3.7%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,81,2.8%
03/27/22,vs.,UTA,W,114,100,35,23,4,1,8/12,7/11,0/0,24,11.8%,95,191.7,27,4.3%,,0.0%,,100.0%,,0.0%,43,11.1%,,0.0%,59,1.4%
03/25/22,@,MIN,L,95,116,33,2,7,3,1/11,0/6,0/0,62,18.8%,7,18.2,65,13.6%,54,7.4%,95,0.0%,92,10.5%,42,10.7%,,0.0%,,0.0%
03/23/22,vs.,HOU,W,110,91,34,5,5,2,2/8,1/6,0/0,18,10.7%,16,62.5,39,6.9%,,0.0%,,100.0%,,0.0%,29,8.3%,,0.0%,80,2.7%
03/21/22,vs.,MIN,W,110,108,37,18,7,2,6/11,6/11,0/0,21,11.2%,88,163.6,46,8.7%,,0.0%,,100.0%,,0.0%,68,16.3%,,0.0%,54,1.2%
03/11/22,@,HOU,W,113,100,36,8,2,1,3/9,2/8,0/0,22,11.4%,29,88.9,26,4.0%,43,10.5%,59,66.7%,,0.0%,18,5.9%,70,1.4%,,0.0%
03/09/22,vs.,NYK,L,77,107,30,0,7,2,0/8,0/8,0/2,36,14.1%,1,0.0,54,10.5%,,0.0%,,,54,3.0%,75,18.2%,74,1.6%,,0.0%
03/07/22,vs.,UTA,W,111,103,35,5,3,2,1/5,1/4,2/2,14,9.7%,34,100.0,43,8.0%,9,26.7%,,100.0%,,0.0%,35,9.4%,73,1.6%,,0.0%
03/05/22,vs.,SAC,W,114,113,42,11,1,1,5/12,1/6,0/0,31,13.2%,31,91.7,25,3.2%,51,8.3%,67,60.0%,50,2.7%,0,0.0%,,0.0%,73,2.2%
03/03/22,vs.,GSW,W,122,113,42,14,3,4,4/14,4/12,2/2,52,16.9%,32,93.3,59,11.4%,,0.0%,,100.0%,,0.0%,33,9.1%,68,1.3%,87,3.4%
03/01/22,@,LAL,W,109,104,36,7,6,1,2/8,1/6,2/3,30,13.0%,28,87.5,25,3.6%,17,20.0%,72,50.0%,57,3.4%,63,15.2%,71,1.4%,56,1.3%
02/27/22,@,GSW,W,107,101,34,12,4,0,4/8,4/8,0/0,13,9.6%,80,150.0,,0.0%,31,14.3%,,100.0%,,0.0%,43,11.1%,87,2.7%,,0.0%
02/25/22,@,UTA,L,109,114,34,9,0,2,3/8,3/7,0/0,21,11.2%,51,112.5,41,7.4%,39,11.8%,,100.0%,,0.0%,0,0.0%,,0.0%,79,2.6%
02/12/22,vs.,LAC,L,97,99,40,17,2,1,6/12,5/10,0/0,19,10.8%,76,141.7,28,4.5%,,0.0%,,100.0%,48,2.2%,11,3.6%,,0.0%,,0.0%
02/10/22,vs.,LAC,W,112,105,37,11,4,1,3/7,2/6,3/3,12,9.2%,73,137.5,26,4.0%,,0.0%,,100.0%,,0.0%,49,12.1%,,0.0%,,0.0%
02/08/22,vs.,DET,W,116,86,29,12,4,1,4/9,4/8,0/0,22,11.5%,69,133.3,28,4.5%,,0.0%,,100.0%,,0.0%,47,11.8%,,0.0%,,0.0%
