Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,33,10,7,2,4/8,0/0,2/2,43,13.3%,43,111.1,56,9.5%,33,19.0%,56,75.0%,83,14.3%,11,5.7%,98,8.2%,,0.0%
06/13/22,@,GSW,L,94,104,30,10,8,2,4/5,0/0,2/2,16,8.0%,82,166.7,59,10.5%,,0.0%,56,75.0%,75,11.5%,46,16.1%,,0.0%,,0.0%
06/10/22,vs.,GSW,L,97,107,31,7,12,4,3/3,0/0,1/2,15,7.6%,86,175.0,78,18.2%,,0.0%,88,33.3%,80,12.9%,65,21.6%,78,3.1%,68,1.4%
06/08/22,vs.,GSW,W,116,100,26,8,10,0,4/5,0/0,0/0,9,5.9%,79,160.0,,0.0%,,0.0%,56,75.0%,82,13.6%,81,28.0%,99,8.7%,97,5.1%
06/05/22,@,GSW,L,88,107,14,2,2,1,1/1,0/0,0/0,2,3.2%,88,200.0,59,11.1%,,0.0%,,100.0%,,0.0%,35,13.3%,95,6.7%,,0.0%
06/02/22,@,GSW,W,120,108,24,8,6,0,4/4,0/0,0/0,16,8.2%,88,200.0,,0.0%,6,44.4%,56,75.0%,68,10.0%,44,15.4%,98,8.3%,76,1.8%
05/29/22,@,MIA,W,100,96,15,2,3,1,0/2,0/0,2/2,46,14.1%,15,66.7,54,9.1%,26,22.2%,,,58,7.7%,39,14.3%,,0.0%,,0.0%
05/27/22,vs.,MIA,L,103,111,26,12,1,0,5/7,0/0,2/2,33,11.2%,72,150.0,,0.0%,40,15.4%,,100.0%,,0.0%,8,3.8%,84,4.0%,,0.0%
05/25/22,@,MIA,W,93,80,27,6,10,0,2/2,0/0,2/2,5,4.7%,88,200.0,,0.0%,,0.0%,77,50.0%,77,12.0%,50,17.1%,90,5.1%,77,1.9%
05/23/22,vs.,MIA,W,102,82,19,12,9,0,4/5,0/0,4/4,35,11.5%,85,171.4,,0.0%,,0.0%,56,75.0%,95,21.7%,30,12.0%,90,5.1%,,0.0%
05/19/22,@,MIA,W,127,102,20,5,4,0,2/3,0/0,1/1,22,9.2%,82,166.7,,0.0%,18,28.6%,77,50.0%,56,7.1%,19,9.1%,97,7.3%,84,2.6%
05/17/22,@,MIA,L,107,118,28,18,9,1,6/8,0/0,6/7,52,15.4%,82,163.6,45,6.7%,52,10.0%,51,83.3%,64,8.7%,78,26.9%,83,3.8%,,0.0%
05/07/22,@,MIL,L,101,103,23,10,5,4,5/9,0/0,0/0,61,16.9%,43,111.1,99,44.4%,,0.0%,87,40.0%,78,12.5%,8,3.6%,93,5.7%,90,3.4%
05/03/22,vs.,MIL,W,109,86,25,10,5,1,4/5,0/0,2/2,30,10.7%,82,166.7,41,5.6%,37,16.7%,56,75.0%,64,8.7%,43,15.0%,89,4.9%,,0.0%
05/01/22,vs.,MIL,L,89,101,22,6,8,0,3/5,0/0,0/0,18,8.7%,51,120.0,,0.0%,,0.0%,88,33.3%,75,11.5%,57,19.2%,95,6.5%,77,1.9%
04/25/22,@,BKN,W,116,112,14,3,5,0,1/4,0/0,1/2,51,15.3%,14,60.0,,0.0%,34,18.2%,,100.0%,97,23.5%,0,0.0%,,0.0%,85,2.8%
04/23/22,@,BKN,W,109,103,16,2,2,1,1/1,0/0,0/0,2,3.3%,88,200.0,49,7.7%,,0.0%,,100.0%,60,8.3%,23,10.0%,88,4.8%,,0.0%
03/27/22,vs.,MIN,W,134,112,24,13,10,0,6/7,0/0,1/1,23,11.8%,91,185.7,,0.0%,,0.0%,94,16.7%,98,28.6%,42,15.8%,66,2.3%,71,1.8%
03/23/22,vs.,UTA,W,125,97,25,12,10,2,6/7,0/0,0/0,33,13.7%,88,171.4,50,9.1%,12,28.6%,,100.0%,79,14.3%,80,27.6%,98,8.0%,93,3.9%
03/20/22,@,DEN,W,124,104,26,8,9,4,4/4,0/0,0/0,7,7.4%,92,200.0,68,14.3%,,0.0%,,100.0%,71,11.8%,71,24.1%,85,4.3%,72,1.9%
03/18/22,@,SAC,W,126,97,19,4,4,1,2/3,0/0,0/0,11,8.8%,61,133.3,37,5.6%,12,28.6%,,100.0%,56,8.3%,44,16.7%,73,2.9%,,0.0%
03/16/22,@,GSW,W,110,88,24,8,9,1,4/5,0/0,0/0,9,8.2%,82,160.0,40,6.2%,,0.0%,75,50.0%,76,13.0%,56,20.0%,98,8.3%,,0.0%
03/13/22,vs.,DAL,L,92,95,35,10,7,1,4/4,0/0,2/2,4,5.9%,92,200.0,34,4.5%,,0.0%,75,50.0%,68,10.8%,14,7.7%,,0.0%,,0.0%
03/11/22,vs.,DET,W,114,103,34,12,9,3,5/7,0/0,2/4,17,10.4%,61,133.3,61,11.5%,,0.0%,46,80.0%,79,13.9%,28,12.1%,56,1.6%,59,1.2%
03/09/22,@,CHA,W,115,101,20,11,11,1,5/7,0/0,1/1,35,14.1%,80,157.1,43,7.1%,37,15.4%,46,80.0%,99,30.4%,54,19.0%,88,4.8%,77,2.2%
03/06/22,vs.,BKN,W,126,120,37,10,8,2,5/7,0/0,0/0,6,7.1%,70,142.9,45,7.7%,,0.0%,46,80.0%,40,5.6%,39,15.2%,95,6.5%,79,2.4%
03/03/22,vs.,MEM,W,120,107,35,10,12,3,5/6,0/0,0/0,14,9.5%,85,166.7,54,9.7%,43,13.3%,87,40.0%,46,6.5%,70,23.8%,83,3.9%,92,3.8%
03/01/22,vs.,ATL,W,107,98,35,9,13,2,3/3,0/0,3/3,3,5.6%,99,225.0,45,7.7%,,0.0%,89,33.3%,71,11.8%,64,22.0%,73,2.9%,59,1.2%
02/27/22,@,IND,L,107,128,33,10,11,3,5/10,0/0,0/0,33,13.8%,27,100.0,62,12.5%,56,9.1%,70,60.0%,89,17.5%,31,12.9%,93,6.0%,60,1.2%
02/26/22,@,DET,W,113,104,26,10,7,3,5/9,0/0,0/0,42,15.3%,43,111.1,79,18.8%,,0.0%,70,60.0%,88,17.2%,14,7.4%,59,1.8%,,0.0%
02/24/22,@,BKN,W,129,106,25,12,11,2,4/5,0/0,4/4,21,11.4%,88,171.4,61,11.8%,,0.0%,51,75.0%,83,15.0%,72,25.0%,,0.0%,,0.0%
02/13/22,vs.,ATL,W,105,95,36,10,14,1,5/6,0/0,0/1,25,12.0%,85,166.7,33,4.3%,2,50.0%,70,60.0%,89,17.6%,54,19.0%,69,2.6%,,0.0%
02/11/22,vs.,DEN,W,108,102,37,15,15,2,7/12,0/0,1/2,28,12.9%,47,115.4,50,8.7%,,0.0%,73,57.1%,79,14.3%,50,17.9%,84,4.1%,76,2.2%
02/08/22,@,BKN,W,126,91,27,12,11,1,6/9,0/0,0/0,17,10.5%,61,133.3,31,3.7%,,0.0%,,100.0%,98,27.3%,35,14.3%,91,5.4%,68,1.6%
02/06/22,@,ORL,W,116,83,28,10,6,1,4/5,0/0,2/2,7,7.6%,85,166.7,39,5.9%,,0.0%,51,75.0%,73,12.1%,13,6.9%,83,4.0%,87,3.0%
02/04/22,@,DET,W,102,93,32,11,11,4,5/5,0/0,1/1,12,9.0%,98,220.0,76,17.4%,33,16.7%,46,80.0%,52,7.7%,49,17.6%,95,6.5%,,0.0%
02/02/22,vs.,CHA,W,113,107,36,10,8,3,5/6,0/0,0/0,12,9.3%,85,166.7,58,10.7%,14,26.7%,46,80.0%,52,7.7%,38,14.6%,85,4.2%,81,2.5%
01/31/22,vs.,MIA,W,122,92,26,6,7,2,3/5,0/0,0/2,20,11.2%,27,100.0,45,7.7%,37,15.4%,,100.0%,40,5.6%,52,18.5%,84,4.1%,70,1.7%
01/29/22,@,NOP,W,107,97,35,8,16,4,4/6,0/1,0/0,8,7.9%,61,133.3,61,11.8%,,0.0%,,100.0%,68,11.1%,92,34.3%,94,6.2%,61,1.3%
01/28/22,@,ATL,L,92,108,32,11,10,1,3/5,0/0,5/5,12,9.1%,80,157.1,39,5.9%,40,14.3%,,100.0%,68,10.8%,53,18.8%,,0.0%,61,1.3%
01/25/22,vs.,SAC,W,128,75,27,13,17,4,6/8,0/0,1/1,31,13.4%,84,162.5,71,15.4%,,0.0%,89,33.3%,97,25.0%,72,25.0%,80,3.5%,95,4.5%
01/23/22,@,WAS,W,116,87,31,8,8,4,4/6,0/0,0/0,15,10.0%,61,133.3,71,15.4%,43,13.3%,51,75.0%,63,9.7%,34,13.9%,57,1.7%,,0.0%
01/21/22,vs.,POR,L,105,109,33,5,10,2,2/4,0/0,1/1,16,10.1%,55,125.0,48,8.3%,4,40.0%,75,50.0%,90,18.2%,38,14.8%,77,3.3%,83,2.7%
01/15/22,vs.,CHI,W,114,112,35,14,13,6,5/8,0/0,4/4,53,17.3%,68,140.0,88,24.0%,21,22.2%,,100.0%,76,12.9%,71,24.3%,73,2.9%,,0.0%
01/14/22,@,PHI,L,99,111,31,12,14,1,6/8,0/0,0/0,23,11.8%,74,150.0,40,6.2%,46,12.5%,75,50.0%,79,13.8%,87,31.2%,56,1.7%,,0.0%
01/12/22,@,IND,W,119,100,23,5,9,2,2/3,0/0,1/2,11,8.9%,55,125.0,53,9.5%,,0.0%,,100.0%,97,25.0%,79,27.3%,67,2.4%,,0.0%
01/10/22,vs.,IND,W,101,98,41,14,12,1,4/5,0/0,6/6,14,9.8%,88,175.0,34,4.5%,24,21.1%,75,50.0%,79,14.0%,26,11.8%,82,3.8%,94,4.1%
01/08/22,vs.,NYK,W,99,75,34,12,7,2,6/7,0/0,0/0,7,7.5%,88,171.4,50,8.7%,,0.0%,,100.0%,52,7.7%,16,8.3%,95,6.6%,66,1.5%
01/06/22,@,NYK,L,105,108,34,6,9,1,3/3,0/0,0/0,1,3.5%,92,200.0,34,4.5%,,0.0%,59,66.7%,56,8.3%,28,12.1%,99,10.6%,84,2.8%
01/05/22,vs.,SAS,L,97,99,32,6,9,2,3/5,0/0,0/0,19,10.9%,50,120.0,48,8.3%,14,26.7%,89,33.3%,79,13.8%,52,18.5%,79,3.4%,65,1.4%
12/31/21,vs.,PHX,W,123,108,35,10,11,10,5/5,0/0,0/0,36,14.3%,92,200.0,97,38.5%,16,25.0%,87,40.0%,77,13.3%,39,14.9%,95,6.4%,79,2.4%
12/29/21,vs.,LAC,L,82,91,28,16,14,1,8/10,0/0,0/0,32,13.6%,82,160.0,50,9.1%,,0.0%,89,37.5%,97,25.0%,40,15.4%,83,4.0%,,0.0%
12/27/21,@,MIN,L,103,108,22,8,11,0,3/6,0/0,2/2,29,13.0%,45,114.3,,0.0%,40,14.3%,59,66.7%,63,10.0%,77,26.1%,98,8.7%,72,1.9%
12/25/21,@,MIL,L,113,117,39,11,14,4,5/7,0/0,1/2,24,11.8%,67,137.5,68,14.3%,29,18.2%,87,40.0%,82,14.6%,56,19.4%,70,2.7%,,0.0%
