Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,PHI,L,106,118,13,5,3,2,2/7,0/1,1/2,85,25.0%,19,71.4,77,18.2%,,0.0%,72,50.0%,86,8.3%,54,13.3%,,0.0%,,0.0%
04/08/22,vs.,MIL,L,101,131,33,20,1,2,7/19,2/12,4/4,87,26.1%,33,95.2,67,14.3%,,0.0%,,100.0%,,0.0%,9,3.0%,,0.0%,,0.0%
04/06/22,vs.,DAL,L,113,131,34,7,1,5,1/11,1/6,4/4,65,19.5%,13,53.8,88,23.8%,,0.0%,,100.0%,,0.0%,14,4.5%,,0.0%,56,1.3%
04/03/22,@,IND,W,121,117,23,31,4,2,11/18,7/9,2/2,94,30.8%,88,163.2,73,16.7%,43,10.8%,66,63.6%,61,3.8%,68,16.7%,,0.0%,86,3.3%
04/01/22,@,OKC,W,110,101,6,3,0,0,1/3,0/1,1/1,57,17.9%,34,100.0,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/31/22,vs.,PHI,W,102,94,32,20,3,4,8/18,4/12,0/0,88,26.5%,50,111.1,85,22.2%,59,5.6%,51,75.0%,,0.0%,46,11.5%,,0.0%,61,1.5%
03/29/22,@,BKN,L,123,130,33,15,4,4,5/13,3/7,2/2,62,18.7%,47,107.1,69,14.8%,56,6.5%,67,60.0%,74,5.7%,36,9.5%,,0.0%,53,1.2%
03/27/22,vs.,NYK,L,102,104,32,14,3,2,4/10,1/6,5/5,73,21.2%,55,116.7,46,8.7%,31,14.3%,72,50.0%,,0.0%,33,9.1%,,0.0%,62,1.5%
03/25/22,vs.,WAS,L,97,100,27,8,4,1,3/11,1/8,1/2,65,19.4%,16,66.7,31,5.0%,,0.0%,86,33.3%,,0.0%,62,14.8%,,0.0%,85,3.2%
03/23/22,vs.,ATL,W,122,101,32,10,4,4,3/13,3/9,1/2,63,19.1%,19,71.4,72,16.0%,,0.0%,,100.0%,57,3.4%,27,7.9%,,0.0%,79,2.6%
03/21/22,vs.,POR,L,115,119,33,25,5,1,6/17,5/13,8/8,76,22.0%,58,119.0,33,5.6%,60,5.0%,45,83.3%,50,2.6%,31,8.6%,,0.0%,50,1.1%
03/19/22,@,CLE,L,109,113,36,20,6,3,9/17,1/4,1/2,78,22.7%,50,111.1,56,11.1%,59,5.1%,92,22.2%,88,9.1%,40,10.3%,72,1.5%,88,3.5%
