Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/21/22,vs.,BOS,L,123,132,37,31,1,9,13/23,4/4,1/1,83,33.5%,79,134.8,60,33.3%,71,7.0%,78,15.4%,,0.0%,0,0.0%,,0.0%,,0.0%
03/18/22,@,MIA,L,108,120,33,26,7,4,9/17,1/4,7/9,81,33.1%,74,130.0,38,25.0%,48,12.2%,82,11.1%,,0.0%,94,24.1%,97,3.1%,51,1.4%
03/16/22,@,SAS,L,120,122,35,34,6,8,14/22,1/4,5/8,90,36.9%,79,136.0,88,47.1%,60,9.7%,79,14.3%,72,3.4%,64,13.2%,78,1.3%,86,3.6%
03/14/22,vs.,CHA,L,116,134,36,32,8,5,12/20,3/7,5/5,50,25.6%,89,152.4,30,21.7%,43,13.6%,19,75.0%,88,6.1%,57,11.8%,,0.0%,,0.0%
03/13/22,vs.,MEM,L,118,125,38,31,6,7,9/20,1/5,12/12,75,31.3%,73,129.2,55,30.4%,82,3.5%,85,0.0%,,0.0%,71,14.6%,98,3.5%,67,2.2%
03/09/22,@,MIN,L,102,132,31,8,3,8,2/15,0/4,4/4,81,33.1%,8,50.0,74,38.1%,28,17.0%,32,50.0%,,0.0%,56,11.5%,,0.0%,53,1.4%
03/08/22,vs.,MIL,L,115,142,35,33,8,14,11/18,3/3,8/12,98,43.3%,80,137.5,98,58.3%,41,14.1%,83,9.1%,,0.0%,87,20.0%,75,1.2%,87,3.7%
03/06/22,vs.,UTA,L,103,116,38,33,7,8,11/22,0/3,11/12,88,36.0%,61,117.9,60,33.3%,,0.0%,85,0.0%,,0.0%,86,19.4%,78,1.3%,93,4.5%
03/04/22,vs.,MIN,L,101,138,30,33,5,7,14/21,1/3,4/5,95,40.1%,84,143.5,88,46.7%,31,16.4%,79,14.3%,74,3.6%,46,10.0%,,0.0%,49,1.3%
03/02/22,@,DEN,W,119,107,37,29,7,5,10/23,3/5,6/8,95,40.2%,54,111.5,25,20.0%,19,20.0%,83,10.0%,,0.0%,78,16.7%,79,1.4%,69,2.3%
02/28/22,vs.,SAC,L,110,131,33,37,7,10,12/16,3/3,10/14,94,39.9%,93,160.9,94,52.6%,34,15.9%,65,25.0%,74,3.6%,86,19.2%,,0.0%,89,3.8%
02/25/22,@,IND,W,129,125,38,36,8,5,13/24,1/5,9/12,96,41.7%,68,124.1,36,23.8%,23,18.7%,78,15.4%,,0.0%,82,17.9%,94,2.5%,84,3.3%
02/24/22,vs.,PHX,L,104,124,35,32,2,5,13/22,1/5,5/6,92,38.4%,76,133.3,44,26.3%,22,19.0%,78,15.4%,65,2.9%,12,3.2%,,0.0%,,0.0%
01/28/22,vs.,IND,L,110,113,17,10,2,3,4/10,0/3,2/6,77,31.8%,19,76.9,24,18.8%,,0.0%,65,25.0%,,0.0%,65,13.3%,97,3.1%,93,4.5%
01/24/22,vs.,CHI,L,110,111,39,31,3,10,9/17,2/5,11/14,80,32.8%,73,129.2,83,43.5%,60,9.8%,52,33.3%,,0.0%,36,7.9%,78,1.3%,83,3.2%
