Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/26/22,@,GSW,L,110,120,32,26,0,4,7/11,5/6,7/9,78,23.5%,92,185.7,82,19.0%,57,6.5%,85,42.9%,,0.0%,0,0.0%,97,3.2%,,0.0%
05/24/22,vs.,GSW,W,119,109,28,10,3,8,2/7,2/5,4/4,83,25.0%,51,111.1,98,40.0%,20,19.4%,79,50.0%,,0.0%,71,13.6%,,0.0%,69,1.6%
05/22/22,vs.,GSW,L,100,109,32,26,2,1,7/13,4/10,8/8,83,25.0%,84,152.9,44,7.7%,58,6.2%,63,71.4%,,0.0%,36,7.1%,,0.0%,,0.0%
05/20/22,@,GSW,L,117,126,22,4,1,4,2/6,0/2,0/0,81,24.0%,21,66.7,94,28.6%,7,33.3%,96,0.0%,,0.0%,32,6.2%,90,2.5%,92,4.0%
05/18/22,@,GSW,L,87,112,24,17,1,2,5/11,3/7,4/5,92,28.0%,66,130.8,96,33.3%,53,7.1%,86,40.0%,,0.0%,26,5.6%,,0.0%,,0.0%
05/15/22,@,PHX,W,123,90,24,28,3,2,10/13,5/6,3/3,97,31.5%,93,200.0,71,14.3%,,0.0%,96,10.0%,,0.0%,35,6.9%,88,2.2%,76,2.2%
05/12/22,vs.,PHX,W,113,86,19,12,1,2,4/6,4/6,0/0,63,19.0%,93,200.0,99,50.0%,12,25.0%,79,50.0%,,0.0%,26,5.6%,,0.0%,78,2.4%
05/10/22,@,PHX,L,80,110,16,2,1,1,0/3,0/2,2/2,68,20.8%,14,50.0,54,10.0%,6,40.0%,,,,0.0%,30,5.9%,,0.0%,,0.0%
05/08/22,vs.,PHX,W,111,101,19,10,4,4,3/10,2/4,2/2,95,29.8%,35,90.9,98,36.4%,,0.0%,90,33.3%,81,4.5%,77,15.0%,,0.0%,,0.0%
05/06/22,vs.,PHX,W,103,94,24,4,4,4,2/7,0/2,0/0,59,18.4%,17,57.1,90,25.0%,,0.0%,96,0.0%,,0.0%,92,21.1%,90,2.4%,75,2.0%
05/04/22,@,PHX,L,109,129,28,11,1,2,3/10,2/5,3/4,69,21.0%,35,91.7,59,11.1%,52,7.7%,66,66.7%,75,3.8%,0,0.0%,,0.0%,,0.0%
05/02/22,@,PHX,L,114,121,30,8,3,4,3/8,2/4,0/0,36,13.5%,38,100.0,76,16.7%,,0.0%,,100.0%,,0.0%,47,9.1%,,0.0%,87,3.2%
04/28/22,@,UTA,W,98,96,32,19,1,2,7/12,4/7,1/1,62,18.9%,85,158.3,54,10.0%,49,8.7%,63,71.4%,,0.0%,0,0.0%,82,1.7%,,0.0%
04/25/22,vs.,UTA,W,102,77,25,7,4,1,2/5,2/4,1/2,34,12.7%,54,116.7,43,7.1%,32,14.3%,79,50.0%,71,3.3%,64,12.5%,,0.0%,,0.0%
04/23/22,@,UTA,L,99,100,24,5,2,3,2/9,1/5,0/0,88,25.5%,16,55.6,93,27.3%,25,16.7%,79,50.0%,95,8.0%,0,0.0%,,0.0%,75,2.1%
04/21/22,@,UTA,W,126,118,41,20,5,6,6/21,2/7,6/7,95,30.6%,29,83.3,89,23.1%,53,7.3%,79,50.0%,83,5.1%,56,10.7%,,0.0%,88,3.3%
04/18/22,vs.,UTA,W,110,104,40,17,4,6,6/17,1/5,4/4,96,31.3%,33,89.5,88,22.2%,38,12.8%,79,50.0%,67,2.9%,28,5.7%,,0.0%,83,2.7%
04/16/22,vs.,UTA,L,93,99,36,22,4,8,6/15,0/4,10/16,100,39.3%,38,100.0,99,44.4%,35,13.6%,95,16.7%,,0.0%,57,10.8%,,0.0%,63,1.3%
04/10/22,vs.,SAS,W,130,120,18,8,3,5,3/7,2/4,0/0,80,23.3%,54,114.3,98,35.7%,43,10.0%,88,33.3%,,0.0%,86,18.8%,,0.0%,76,2.3%
04/08/22,vs.,POR,W,128,78,16,14,1,2,4/5,3/4,3/4,60,18.4%,95,200.0,82,20.0%,29,14.3%,,100.0%,,0.0%,35,7.1%,95,3.2%,81,2.6%
04/06/22,@,DET,W,131,113,23,13,4,3,5/10,0/1,3/4,90,27.4%,50,108.3,88,23.1%,31,13.8%,86,40.0%,95,10.0%,54,10.5%,,0.0%,70,1.9%
04/03/22,@,MIL,W,118,112,21,11,0,4,3/6,3/4,2/2,75,21.7%,85,157.1,96,33.3%,16,20.0%,61,66.7%,,0.0%,0,0.0%,,0.0%,,0.0%
04/01/22,@,WAS,L,103,135,23,8,2,1,2/5,0/2,4/6,77,22.4%,36,100.0,39,7.1%,8,27.3%,74,50.0%,,0.0%,50,10.0%,,0.0%,,0.0%
03/29/22,vs.,LAL,W,128,110,29,13,3,6,4/8,2/6,3/6,78,22.6%,68,130.0,95,30.0%,29,14.3%,74,50.0%,,0.0%,57,11.1%,,0.0%,,0.0%
03/27/22,vs.,UTA,W,114,100,23,12,4,2,5/10,1/3,1/2,90,27.6%,50,109.1,61,12.5%,28,14.8%,94,20.0%,87,6.7%,70,14.3%,,0.0%,,0.0%
03/25/22,@,MIN,L,95,116,27,11,2,4,4/10,1/5,2/3,61,18.5%,36,100.0,93,26.7%,,0.0%,74,50.0%,,0.0%,49,9.5%,87,2.0%,,0.0%
03/23/22,vs.,HOU,W,110,91,34,26,4,6,8/13,4/6,6/8,87,26.0%,88,162.5,93,27.3%,26,15.4%,68,62.5%,,0.0%,60,11.8%,82,1.6%,57,1.3%
03/21/22,vs.,MIN,W,110,108,28,20,8,3,7/12,1/6,5/6,81,23.5%,70,133.3,78,17.6%,,0.0%,91,28.6%,71,3.7%,92,21.9%,,0.0%,,0.0%
03/18/22,@,PHI,L,101,111,36,12,8,2,4/12,0/4,4/5,66,19.6%,30,85.7,43,8.0%,,0.0%,92,25.0%,95,9.7%,78,16.1%,81,1.5%,93,4.1%
03/16/22,@,BKN,W,113,111,33,22,4,3,6/14,2/6,8/8,88,26.5%,68,129.4,64,13.0%,57,5.6%,74,50.0%,72,3.8%,48,9.4%,,0.0%,94,4.4%
03/13/22,@,BOS,W,95,92,37,18,5,4,5/14,3/6,5/9,89,27.0%,36,100.0,86,22.2%,44,9.8%,69,60.0%,,0.0%,59,11.4%,,0.0%,56,1.3%
03/11/22,@,HOU,W,113,100,33,16,3,7,6/13,1/4,3/4,77,22.5%,49,106.7,96,30.4%,57,5.6%,74,50.0%,,0.0%,53,10.3%,82,1.6%,79,2.5%
03/09/22,vs.,NYK,L,77,107,28,13,2,0,3/8,2/4,5/8,60,18.3%,50,108.3,,0.0%,,0.0%,61,66.7%,,0.0%,37,7.4%,,0.0%,,0.0%
03/07/22,vs.,UTA,W,111,103,40,23,3,2,7/15,5/9,4/4,70,20.7%,73,135.3,46,8.7%,57,5.6%,91,28.6%,,0.0%,37,7.5%,,0.0%,,0.0%
03/05/22,vs.,SAC,W,114,113,36,36,2,7,11/22,2/7,12/13,100,46.2%,67,128.6,96,33.3%,31,13.9%,95,9.1%,,0.0%,28,5.7%,,0.0%,,0.0%
03/03/22,vs.,GSW,W,122,113,28,17,1,7,6/11,2/4,3/4,83,24.6%,77,141.7,96,33.3%,,0.0%,74,50.0%,,0.0%,23,4.8%,,0.0%,,0.0%
03/01/22,@,LAL,W,109,104,24,14,1,9,5/11,2/5,2/2,95,30.2%,66,127.3,100,52.9%,35,12.5%,69,60.0%,,0.0%,19,4.0%,88,2.1%,,0.0%
02/27/22,@,GSW,W,107,101,31,24,4,5,10/14,2/4,2/4,89,26.8%,86,160.0,95,29.4%,41,10.8%,94,20.0%,,0.0%,56,10.8%,,0.0%,61,1.4%
02/25/22,@,UTA,L,109,114,26,20,2,2,8/12,3/4,1/1,88,26.4%,89,166.7,65,13.3%,53,7.1%,95,0.0%,,0.0%,46,9.1%,,0.0%,70,1.9%
