Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,@,BOS,W,103,90,40,34,7,7,12/21,6/11,4/4,55,28.3%,84,147.8,72,35.0%,64,7.7%,48,41.7%,,0.0%,81,18.4%,81,1.4%,67,2.2%
06/13/22,vs.,BOS,W,104,94,37,16,3,8,7/22,0/9,2/3,77,33.5%,16,69.6,46,27.6%,77,3.8%,46,42.9%,,0.0%,41,9.7%,,0.0%,47,1.3%
06/10/22,@,BOS,W,107,97,41,43,10,4,14/26,7/14,8/9,80,34.7%,82,143.3,21,19.0%,31,14.7%,46,42.9%,82,4.8%,81,18.6%,,0.0%,,0.0%
06/08/22,@,BOS,L,100,116,37,31,4,2,12/22,6/11,1/1,69,31.5%,77,134.8,10,10.5%,41,11.8%,65,25.0%,,0.0%,51,11.8%,,0.0%,72,2.5%
06/05/22,vs.,BOS,W,107,88,32,29,6,4,9/21,5/12,6/7,87,36.5%,65,120.8,23,20.0%,66,7.4%,71,22.2%,,0.0%,78,17.6%,,0.0%,94,4.1%
06/02/22,vs.,BOS,L,108,120,38,34,5,5,12/24,7/13,3/4,74,32.8%,74,130.8,41,26.3%,67,7.0%,54,33.3%,,0.0%,65,14.3%,,0.0%,89,3.4%
05/26/22,vs.,DAL,W,120,110,35,15,3,9,5/17,2/7,3/3,57,29.4%,23,83.3,63,33.3%,58,8.5%,49,40.0%,,0.0%,38,9.4%,85,1.6%,73,2.5%
05/24/22,@,DAL,L,109,119,33,20,5,8,7/16,2/5,4/5,72,32.1%,54,111.1,90,44.4%,56,8.9%,46,42.9%,,0.0%,84,20.8%,,0.0%,56,1.4%
05/22/22,@,DAL,W,109,100,39,31,5,11,10/20,5/10,6/6,76,33.5%,80,140.9,93,45.8%,49,10.5%,49,40.0%,68,2.9%,40,9.5%,,0.0%,,0.0%
05/20/22,vs.,DAL,W,126,117,37,32,8,5,11/21,6/10,4/4,56,28.8%,83,145.5,26,20.8%,40,12.2%,32,54.5%,,0.0%,90,23.5%,,0.0%,,0.0%
05/18/22,vs.,DAL,W,112,87,31,21,12,4,7/16,3/9,4/7,74,32.8%,60,116.7,14,14.8%,34,13.6%,62,28.6%,81,4.5%,96,27.8%,85,1.6%,58,1.5%
05/13/22,vs.,MEM,W,110,96,40,29,7,5,10/27,6/17,3/4,66,31.1%,37,100.0,23,20.0%,54,9.1%,60,30.0%,,0.0%,53,12.5%,90,2.2%,34,0.9%
05/11/22,@,MEM,L,95,134,25,14,3,4,4/10,3/8,3/4,51,27.2%,60,116.7,49,28.6%,38,12.9%,65,25.0%,,0.0%,46,11.1%,,0.0%,,0.0%
05/09/22,vs.,MEM,W,101,98,38,32,5,8,10/25,4/14,8/9,85,36.3%,53,110.3,79,38.1%,54,9.1%,29,60.0%,,0.0%,50,11.6%,,0.0%,39,1.1%
05/07/22,vs.,MEM,W,142,112,35,30,2,6,7/14,2/8,14/14,52,27.6%,89,157.9,25,20.7%,74,4.7%,46,42.9%,,0.0%,15,5.1%,,0.0%,49,1.3%
05/03/22,@,MEM,L,101,106,39,27,9,8,11/24,3/10,2/2,72,32.3%,49,108.0,71,34.8%,29,15.6%,54,36.4%,90,7.0%,62,13.6%,,0.0%,35,1.0%
05/01/22,@,MEM,W,117,116,37,24,3,4,8/20,5/12,3/4,42,23.9%,58,114.3,16,16.0%,74,4.7%,28,62.5%,,0.0%,24,7.1%,76,1.2%,,0.0%
04/27/22,vs.,DEN,W,102,98,38,30,5,5,10/22,5/11,5/7,83,35.4%,63,120.0,41,26.3%,26,17.2%,23,70.0%,65,2.8%,49,11.4%,,0.0%,71,2.4%
04/24/22,@,DEN,L,121,126,37,33,3,8,10/23,3/11,10/14,84,36.0%,65,122.2,79,38.1%,71,6.2%,73,20.0%,,0.0%,59,13.0%,84,1.6%,96,4.5%
04/21/22,@,DEN,W,118,113,31,27,3,6,9/17,3/9,6/8,84,35.7%,78,135.0,63,33.3%,28,16.0%,44,44.4%,,0.0%,53,12.5%,,0.0%,,0.0%
04/18/22,vs.,DEN,W,126,106,23,34,3,4,12/17,5/10,5/7,92,41.0%,93,188.9,29,22.2%,51,9.8%,65,25.0%,,0.0%,46,11.1%,90,2.1%,63,2.0%
04/16/22,vs.,DEN,W,123,107,22,16,3,4,5/13,3/6,3/3,60,30.0%,58,114.3,34,23.5%,68,6.7%,20,80.0%,95,9.5%,11,3.8%,,0.0%,63,2.0%
03/16/22,vs.,BOS,L,88,110,14,3,1,2,1/4,1/4,0/0,70,30.0%,18,75.0,60,33.3%,1,44.4%,85,0.0%,,0.0%,28,6.7%,,0.0%,,0.0%
03/14/22,vs.,WAS,W,126,112,35,47,6,6,16/25,7/14,8/8,93,39.1%,95,167.9,68,35.3%,74,6.6%,60,31.2%,,0.0%,86,19.4%,,0.0%,48,1.3%
03/12/22,vs.,MIL,W,122,109,33,8,5,8,3/7,2/4,0/0,19,17.9%,56,114.3,56,30.8%,7,27.6%,52,33.3%,64,2.9%,46,10.0%,80,1.4%,45,1.2%
03/10/22,@,DEN,W,113,102,38,34,9,3,11/21,5/12,7/7,68,29.5%,83,141.7,11,12.5%,81,4.1%,51,36.4%,,0.0%,93,23.1%,,0.0%,72,2.4%
03/08/22,vs.,LAC,W,112,97,35,15,5,5,5/12,1/6,4/4,31,21.2%,48,107.1,25,20.0%,13,22.2%,,100.0%,,0.0%,55,11.4%,,0.0%,86,3.5%
03/05/22,@,LAL,L,116,124,36,30,4,1,13/22,4/9,0/0,57,27.1%,79,136.4,4,4.5%,27,17.4%,32,53.8%,,0.0%,63,12.9%,,0.0%,,0.0%
03/03/22,@,DAL,L,113,122,40,21,5,9,8/15,4/5,1/1,45,24.4%,82,140.0,57,31.0%,39,14.3%,50,37.5%,,0.0%,66,13.5%,,0.0%,41,1.2%
03/01/22,@,MIN,L,114,129,33,34,5,4,10/24,5/16,9/9,90,37.2%,70,125.9,31,22.2%,45,13.1%,32,50.0%,64,2.9%,67,13.8%,,0.0%,,0.0%
02/27/22,vs.,DAL,L,101,107,38,27,4,10,11/25,3/10,2/4,81,33.1%,45,103.8,80,41.7%,82,3.4%,44,45.5%,59,2.6%,52,11.1%,,0.0%,68,2.2%
02/24/22,@,POR,W,132,95,27,18,5,14,5/11,2/7,6/6,74,31.1%,81,138.5,98,58.3%,38,14.6%,,100.0%,,0.0%,86,19.2%,90,1.9%,57,1.5%
02/16/22,vs.,DEN,L,116,117,39,25,3,6,10/19,1/7,4/4,55,26.7%,68,125.0,37,24.0%,66,8.3%,72,20.0%,,0.0%,38,8.3%,,0.0%,,0.0%
02/14/22,@,LAC,L,104,119,34,33,2,2,11/18,8/13,3/3,67,29.5%,96,173.7,17,15.4%,23,18.6%,44,45.5%,,0.0%,33,7.4%,,0.0%,,0.0%
02/12/22,vs.,LAL,W,117,115,37,24,5,8,7/16,1/7,9/9,66,29.3%,71,126.3,56,30.8%,66,8.3%,62,28.6%,,0.0%,60,12.5%,,0.0%,44,1.2%
02/10/22,vs.,NYK,L,114,116,39,35,2,10,11/25,5/16,8/8,92,38.3%,68,125.0,76,40.0%,64,8.7%,64,27.3%,,0.0%,17,4.4%,,0.0%,39,1.1%
02/09/22,@,UTA,L,85,111,28,16,7,2,5/13,3/8,3/4,72,30.5%,48,106.7,25,20.0%,18,20.5%,72,20.0%,65,2.9%,80,17.1%,,0.0%,,0.0%
02/07/22,@,OKC,W,110,98,37,18,9,10,6/11,4/9,2/2,47,24.7%,87,150.0,74,38.5%,19,20.0%,52,33.3%,,0.0%,94,24.3%,,0.0%,45,1.2%
02/03/22,vs.,SAC,W,126,114,32,20,1,7,7/11,4/7,2/2,56,26.8%,94,166.7,35,23.3%,15,21.6%,62,28.6%,,0.0%,14,3.6%,,0.0%,80,2.9%
01/31/22,@,HOU,W,122,108,38,40,5,9,13/23,7/14,7/8,88,35.7%,90,153.8,79,40.9%,82,3.3%,70,23.1%,,0.0%,64,13.2%,78,1.3%,42,1.2%
01/29/22,vs.,BKN,W,110,106,34,19,7,8,5/18,3/10,6/6,77,31.8%,33,95.0,60,33.3%,25,17.9%,47,40.0%,81,4.8%,57,11.6%,,0.0%,85,3.4%
01/27/22,vs.,MIN,W,124,115,38,29,8,6,10/20,6/10,3/3,64,28.9%,81,138.1,37,24.0%,34,15.4%,47,40.0%,,0.0%,87,20.0%,,0.0%,84,3.3%
01/25/22,vs.,DAL,W,130,92,29,17,9,7,7/15,2/9,1/2,80,32.9%,47,106.3,52,29.2%,27,17.4%,79,14.3%,93,7.7%,89,20.6%,,0.0%,54,1.4%
01/23/22,vs.,UTA,W,94,92,35,13,4,6,5/20,1/13,2/2,73,30.8%,13,65.0,54,30.0%,80,4.4%,27,60.0%,83,5.0%,23,5.9%,,0.0%,,0.0%
01/21/22,vs.,HOU,W,105,103,39,22,4,12,6/21,4/13,6/8,85,34.3%,34,95.7,85,44.4%,73,6.8%,32,50.0%,,0.0%,49,10.3%,78,1.3%,41,1.2%
01/20/22,vs.,IND,L,117,121,44,39,5,8,12/27,6/16,9/9,71,30.4%,74,130.0,60,33.3%,75,6.2%,30,58.3%,,0.0%,55,11.4%,,0.0%,36,0.9%
01/18/22,vs.,DET,W,102,86,29,18,3,8,6/11,4/8,2/2,41,23.4%,87,150.0,81,42.1%,73,6.7%,22,66.7%,,0.0%,40,8.6%,,0.0%,94,4.7%
