Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/13/22,@,GSW,L,96,110,28,4,10,3,1/3,0/0,2/4,29,10.6%,22,80.0,70,14.3%,42,14.3%,,100.0%,33,2.9%,69,23.1%,59,1.5%,,0.0%
05/11/22,vs.,GSW,W,134,95,22,7,13,3,2/7,0/0,3/5,64,17.5%,21,77.8,68,13.0%,,0.0%,77,50.0%,98,25.0%,89,33.3%,,0.0%,,0.0%
05/09/22,@,GSW,L,98,101,27,10,15,3,5/9,0/0,0/0,55,15.9%,43,111.1,69,13.6%,33,19.0%,54,80.0%,93,20.0%,81,28.1%,66,1.9%,72,1.5%
05/07/22,@,GSW,L,112,142,1,2,1,0,1/1,0/0,0/0,,25.0%,,200.0,,,,0.0%,,0.0%,,0.0%,,100.0%,,0.0%,,0.0%
04/23/22,@,MIN,L,118,119,4,0,2,0,0/0,0/0,0/0,,0.0%,,,,0.0%,,,,,,14.3%,,50.0%,,0.0%,,0.0%
04/19/22,vs.,MIN,W,124,96,3,0,0,1,0/0,0/0,0/0,,10.0%,,,,100.0%,,0.0%,,,,0.0%,,0.0%,,0.0%,,0.0%
04/16/22,vs.,MIN,L,117,130,24,0,3,3,0/0,0/0,0/0,4,4.5%,0,,70,14.3%,8,40.0%,,,43,4.8%,18,8.7%,,0.0%,,0.0%
04/09/22,vs.,NOP,W,141,114,22,4,11,4,2/3,0/0,0/0,25,12.0%,61,133.3,80,20.0%,10,30.8%,75,50.0%,96,23.5%,56,20.0%,61,2.0%,,0.0%
04/07/22,@,DEN,L,109,122,23,2,8,5,1/1,0/0,0/2,21,11.5%,27,100.0,88,25.0%,29,18.2%,95,0.0%,68,11.1%,93,35.3%,,0.0%,,0.0%
04/05/22,@,UTA,L,115,121,28,3,13,8,1/4,0/0,1/4,61,18.9%,8,50.0,97,38.1%,19,24.0%,,100.0%,71,11.5%,95,38.5%,60,1.9%,87,3.0%
03/30/22,@,SAS,W,112,111,31,8,8,2,3/4,0/0,2/2,16,10.3%,82,160.0,45,7.4%,12,28.6%,59,66.7%,67,10.7%,70,23.8%,,0.0%,65,1.5%
03/28/22,vs.,GSW,W,123,95,20,8,9,2,3/5,0/0,2/3,26,12.5%,61,133.3,57,10.5%,,0.0%,59,66.7%,37,5.0%,79,27.3%,68,2.5%,94,4.2%
03/26/22,vs.,MIL,W,127,102,24,4,11,5,2/7,0/0,0/0,52,16.9%,10,57.1,85,21.7%,55,9.5%,95,0.0%,88,17.2%,50,17.9%,80,3.6%,68,1.6%
