Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
01/25/22,@,GSW,L,92,130,10,10,0,1,2/5,1/3,5/5,97,31.8%,77,142.9,82,20.0%,,0.0%,74,50.0%,,0.0%,0,0.0%,,0.0%,,0.0%
01/23/22,vs.,MEM,W,104,91,26,9,4,0,3/8,2/5,1/2,56,17.5%,36,100.0,,0.0%,6,28.6%,,100.0%,,0.0%,60,11.8%,,0.0%,,0.0%
01/20/22,vs.,PHX,L,101,109,28,11,5,1,4/10,3/7,0/0,32,13.2%,51,110.0,34,5.9%,,0.0%,54,75.0%,,0.0%,83,17.9%,,0.0%,,0.0%
01/19/22,vs.,TOR,W,102,98,27,16,2,1,7/10,2/5,0/0,63,19.1%,86,160.0,41,7.7%,6,28.6%,47,85.7%,,0.0%,30,6.1%,,0.0%,,0.0%
01/17/22,vs.,OKC,W,104,102,33,12,5,2,4/14,3/7,1/2,72,21.1%,26,80.0,51,10.0%,35,12.5%,,100.0%,,0.0%,87,19.2%,,0.0%,56,1.3%
01/15/22,vs.,ORL,W,108,92,21,15,2,0,4/12,3/8,4/5,96,31.6%,49,107.1,,0.0%,34,12.9%,92,25.0%,,0.0%,63,12.5%,,0.0%,,0.0%
01/14/22,@,MEM,W,112,85,26,16,2,2,5/13,3/8,3/4,77,22.5%,49,106.7,50,9.5%,,0.0%,,100.0%,,0.0%,34,6.9%,,0.0%,66,1.7%
01/12/22,@,NYK,L,85,108,29,13,1,3,5/11,1/7,2/2,76,21.9%,50,108.3,80,18.8%,,0.0%,86,40.0%,,0.0%,19,3.8%,,0.0%,68,1.8%
01/09/22,vs.,CHI,W,113,99,28,9,6,1,4/9,1/4,0/0,46,15.8%,36,100.0,26,4.0%,42,10.5%,74,50.0%,,0.0%,93,23.1%,,0.0%,96,5.0%
01/07/22,@,HOU,W,130,106,22,19,4,6,5/10,5/10,4/5,83,24.5%,86,158.3,96,33.3%,,0.0%,69,60.0%,,0.0%,86,19.0%,,0.0%,,0.0%
01/05/22,vs.,GSW,W,99,82,25,14,3,1,6/14,2/6,0/0,81,23.6%,36,100.0,39,7.1%,51,7.7%,48,83.3%,,0.0%,60,11.5%,89,2.2%,69,1.8%
01/03/22,vs.,DEN,W,103,89,22,6,3,0,2/8,1/4,1/1,59,18.2%,22,75.0,,0.0%,35,12.5%,,100.0%,77,4.5%,57,11.1%,91,2.6%,75,2.3%
01/02/22,@,OKC,W,95,86,24,15,3,3,5/11,2/7,3/3,92,28.6%,63,125.0,82,20.0%,29,14.3%,69,60.0%,75,4.3%,32,6.5%,,0.0%,,0.0%
12/19/21,@,MIN,L,105,111,41,28,6,6,10/19,4/13,4/5,80,23.3%,70,133.3,90,25.0%,58,4.9%,46,90.0%,,0.0%,79,16.7%,78,1.4%,75,2.3%
12/15/21,vs.,LAL,L,104,107,40,20,9,3,7/19,4/11,2/2,83,24.2%,36,100.0,67,14.3%,46,9.3%,72,57.1%,,0.0%,86,18.6%,,0.0%,51,1.1%
12/13/21,vs.,CHA,W,120,96,27,19,1,4,7/17,5/11,0/0,93,29.5%,52,111.8,82,20.0%,,0.0%,59,71.4%,,0.0%,17,3.6%,,0.0%,,0.0%
12/12/21,@,OKC,W,103,84,23,6,5,3,2/9,2/6,0/0,68,20.2%,17,66.7,74,16.7%,,0.0%,,100.0%,,0.0%,82,17.4%,,0.0%,,0.0%
12/10/21,@,IND,L,93,106,30,15,4,2,7/15,1/9,0/0,86,25.8%,36,100.0,55,11.1%,35,12.5%,72,57.1%,72,3.8%,55,10.7%,,0.0%,96,4.8%
12/08/21,@,MEM,W,104,96,23,9,4,0,4/10,1/6,0/0,77,22.3%,32,90.0,,0.0%,19,19.0%,54,75.0%,,0.0%,65,12.9%,88,2.0%,,0.0%
12/07/21,vs.,BKN,L,99,102,28,11,3,1,5/14,0/7,1/1,74,21.6%,25,78.6,34,5.9%,,0.0%,50,80.0%,67,3.2%,46,9.1%,,0.0%,67,1.7%
12/04/21,vs.,MEM,L,90,97,31,29,7,0,7/18,5/9,10/14,94,29.7%,61,120.8,,0.0%,59,4.3%,85,42.9%,79,5.0%,82,17.4%,,0.0%,79,2.5%
