Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,BKN,L,126,134,31,14,3,5,5/15,3/7,1/2,37,22.7%,27,87.5,25,20.0%,,0.0%,27,60.0%,,0.0%,73,15.0%,,0.0%,96,5.3%
04/09/22,@,PHI,L,120,133,24,10,3,6,4/8,0/0,2/2,41,23.6%,53,111.1,87,46.2%,69,7.7%,85,0.0%,,0.0%,84,18.8%,91,2.0%,62,1.8%
04/05/22,vs.,PHI,L,122,131,15,2,4,5,0/4,0/1,2/2,22,18.8%,6,40.0,60,33.3%,,0.0%,,,89,6.2%,97,27.3%,,0.0%,,0.0%
12/01/21,vs.,ATL,L,111,114,3,0,0,0,0/0,0/0,0/0,,0.0%,,,,0.0%,,,,,,0.0%,,0.0%,,0.0%,,0.0%
11/29/21,@,MIN,L,98,100,34,8,2,4,3/6,0/1,2/2,5,12.0%,56,114.3,25,20.0%,52,11.1%,22,66.7%,66,3.0%,13,3.3%,,0.0%,77,2.7%
11/28/21,vs.,MIL,L,100,118,16,10,5,1,4/9,0/2,2/2,50,25.6%,35,100.0,11,12.5%,,0.0%,65,25.0%,99,15.8%,60,12.5%,,0.0%,,0.0%
11/26/21,vs.,TOR,W,114,97,21,4,4,7,2/4,0/0,0/0,17,17.3%,35,100.0,60,33.3%,13,22.2%,32,50.0%,97,10.0%,45,9.5%,,0.0%,97,5.8%
11/24/21,vs.,LAL,L,116,124,25,10,5,8,4/8,0/1,2/2,32,21.6%,53,111.1,81,42.1%,,0.0%,65,25.0%,,0.0%,87,20.0%,,0.0%,,0.0%
11/22/21,@,CHI,W,109,77,16,2,4,2,0/2,0/0,2/2,10,14.7%,13,66.7,19,16.7%,19,20.0%,,,100,17.6%,34,7.7%,,0.0%,,0.0%
11/20/21,vs.,NOP,W,111,94,16,4,2,5,2/4,0/0,0/0,41,23.6%,35,100.0,80,41.7%,12,23.5%,85,0.0%,,0.0%,65,13.3%,100,7.1%,96,5.6%
11/19/21,@,CHA,L,118,121,22,6,0,3,3/6,0/0,0/0,6,12.7%,35,100.0,24,18.8%,,0.0%,22,66.7%,,0.0%,0,0.0%,,0.0%,97,5.9%
