Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/12/22,vs.,MIA,L,90,99,38,14,8,1,6/13,2/5,0/0,46,15.7%,47,107.7,31,4.8%,57,7.7%,78,50.0%,45,2.3%,75,17.6%,88,2.8%,58,1.2%
05/10/22,@,MIA,L,85,120,33,12,3,0,5/14,2/4,0/0,53,16.9%,26,85.7,,0.0%,,0.0%,,100.0%,,0.0%,49,12.5%,,0.0%,,0.0%
05/08/22,vs.,MIA,W,116,108,35,13,3,4,6/10,1/4,0/0,53,16.9%,68,130.0,74,18.2%,24,16.0%,78,50.0%,,0.0%,41,10.7%,,0.0%,81,2.7%
05/06/22,vs.,MIA,W,99,79,39,9,10,8,4/13,1/5,0/0,77,23.7%,19,69.2,99,38.1%,46,10.8%,94,25.0%,90,10.0%,64,15.0%,,0.0%,80,2.6%
05/04/22,@,MIA,L,103,119,38,21,4,4,9/17,2/5,1/1,65,20.6%,62,123.5,72,17.4%,,0.0%,76,55.6%,,0.0%,53,12.9%,,0.0%,97,5.0%
05/02/22,@,MIA,L,92,106,37,27,6,1,11/18,1/4,4/5,82,25.9%,72,135.0,41,7.1%,31,14.6%,77,54.5%,50,2.8%,43,11.1%,70,1.3%,,0.0%
04/28/22,@,TOR,W,132,97,38,18,11,2,7/15,3/8,1/1,57,18.1%,50,112.5,38,6.5%,,0.0%,59,71.4%,63,4.0%,96,27.0%,,0.0%,60,1.2%
04/25/22,vs.,TOR,L,88,103,44,16,7,4,6/16,2/7,2/2,61,19.4%,32,94.1,77,19.0%,62,5.6%,61,66.7%,,0.0%,79,19.4%,,0.0%,,0.0%
04/23/22,@,TOR,L,102,110,41,15,11,2,7/12,1/4,0/0,50,16.7%,63,125.0,48,9.1%,15,20.7%,87,42.9%,,0.0%,93,25.0%,84,2.4%,56,1.1%
04/20/22,@,TOR,W,104,101,47,11,12,2,4/9,1/3,2/2,39,14.1%,49,110.0,39,6.7%,11,23.1%,78,50.0%,75,6.1%,86,21.4%,69,1.3%,52,1.1%
04/18/22,vs.,TOR,W,112,97,39,20,10,1,7/11,3/3,3/4,53,17.1%,83,153.8,31,4.8%,30,14.8%,75,57.1%,60,3.6%,78,19.1%,94,4.0%,,0.0%
04/16/22,vs.,TOR,W,131,111,37,26,6,6,9/14,3/5,5/6,70,21.9%,83,152.9,86,25.0%,62,5.7%,53,77.8%,53,2.9%,74,17.2%,75,1.5%,60,1.2%
04/10/22,vs.,DET,W,118,106,24,6,5,6,3/10,0/0,0/0,91,28.8%,15,60.0,95,33.3%,34,13.3%,95,0.0%,92,11.1%,46,11.5%,,0.0%,69,1.9%
04/09/22,vs.,IND,W,133,120,32,18,4,0,8/13,1/3,1/1,33,13.6%,74,138.5,,0.0%,48,9.1%,51,75.0%,56,3.3%,28,8.0%,75,1.6%,,0.0%
04/07/22,@,TOR,L,114,119,38,8,7,1,3/7,2/4,0/0,22,11.5%,53,114.3,25,3.7%,4,33.3%,,100.0%,,0.0%,66,15.8%,,0.0%,78,2.6%
04/05/22,@,IND,W,131,122,37,17,6,5,5/11,5/6,2/2,50,16.5%,76,141.7,72,15.6%,31,14.3%,,100.0%,,0.0%,80,19.4%,,0.0%,95,4.7%
04/03/22,@,CLE,W,112,108,37,11,5,3,4/14,0/5,3/5,64,19.2%,19,68.8,65,13.6%,57,6.1%,,100.0%,,0.0%,68,16.7%,70,1.4%,,0.0%
