Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/26/22,@,MIA,L,94,97,41,11,8,6,2/12,0/5,7/9,53,27.8%,16,68.8,35,24.0%,14,24.0%,86,0.0%,87,5.3%,71,15.4%,,0.0%,,0.0%
04/24/22,vs.,MIA,L,86,110,36,9,1,5,3/11,3/10,0/1,40,23.6%,22,81.8,54,29.4%,4,28.6%,23,66.7%,,0.0%,8,2.4%,,0.0%,,0.0%
04/22/22,vs.,MIA,W,111,110,40,24,4,8,6/14,2/6,10/12,68,31.3%,71,126.3,49,28.6%,44,11.5%,86,0.0%,,0.0%,33,8.5%,,0.0%,44,1.2%
04/19/22,@,MIA,L,105,115,41,25,6,7,10/20,2/10,3/4,78,33.9%,57,113.6,48,28.0%,6,27.7%,49,40.0%,84,5.1%,57,12.9%,,0.0%,,0.0%
04/17/22,@,MIA,L,91,115,28,8,6,4,1/12,0/7,6/7,88,37.1%,11,53.3,74,36.4%,8,26.1%,86,0.0%,71,3.3%,84,20.8%,,0.0%,86,3.2%
04/15/22,@,CLE,W,107,101,40,38,3,9,13/25,4/11,8/9,94,42.6%,75,131.0,87,42.9%,48,10.7%,86,0.0%,,0.0%,29,8.3%,77,1.3%,,0.0%
04/13/22,vs.,CHA,W,132,103,34,24,3,11,8/24,1/7,7/8,95,43.4%,26,85.7,78,37.9%,59,8.3%,79,12.5%,,0.0%,29,8.3%,83,1.5%,44,1.2%
04/10/22,@,HOU,W,130,114,34,28,5,11,10/20,4/7,4/4,96,41.7%,72,127.3,84,44.0%,34,15.4%,85,0.0%,77,4.0%,60,12.5%,,0.0%,,0.0%
04/08/22,@,MIA,L,109,113,36,35,2,8,12/23,3/11,8/8,99,44.6%,74,129.6,81,42.1%,23,18.7%,84,8.3%,63,2.8%,16,4.2%,,0.0%,42,1.2%
04/06/22,vs.,WAS,W,118,103,34,30,2,11,8/15,3/7,11/12,88,35.9%,83,142.9,82,42.3%,71,7.1%,81,12.5%,66,3.0%,12,3.2%,,0.0%,,0.0%
04/05/22,@,TOR,L,108,118,37,26,4,15,10/23,3/8,3/4,95,40.0%,45,104.0,96,55.6%,64,8.8%,61,30.0%,59,2.5%,27,6.4%,,0.0%,,0.0%
04/02/22,vs.,BKN,W,122,115,35,36,6,10,10/24,4/9,12/14,98,43.7%,59,116.1,96,55.6%,68,7.9%,72,20.0%,62,2.7%,68,13.9%,,0.0%,,0.0%
03/31/22,vs.,CLE,W,131,107,28,30,2,9,9/17,4/9,8/8,96,41.0%,83,142.9,90,50.0%,54,10.9%,70,22.2%,,0.0%,30,6.9%,,0.0%,,0.0%
03/30/22,@,OKC,W,136,118,29,41,2,8,13/22,4/10,11/12,100,49.2%,89,151.9,81,42.1%,62,9.2%,70,23.1%,,0.0%,27,6.5%,,0.0%,81,3.0%
03/28/22,@,IND,W,132,123,36,14,3,16,4/13,2/9,4/4,62,28.4%,32,93.3,90,50.0%,67,8.0%,85,0.0%,,0.0%,46,10.0%,,0.0%,69,2.3%
03/25/22,vs.,GSW,W,121,110,39,33,4,15,12/20,4/9,5/5,86,34.8%,87,150.0,95,53.6%,60,9.7%,65,25.0%,65,2.9%,34,7.7%,,0.0%,68,2.2%
03/23/22,@,DET,L,101,122,34,19,2,9,8/17,3/9,0/0,81,32.9%,54,111.8,82,42.9%,33,16.0%,81,12.5%,,0.0%,36,8.0%,,0.0%,76,2.6%
03/22/22,@,NYK,W,117,111,40,43,1,8,12/24,7/15,12/14,96,41.5%,81,138.7,70,36.4%,54,11.0%,46,41.7%,,0.0%,10,2.6%,,0.0%,40,1.1%
03/20/22,vs.,NOP,L,112,117,34,21,5,10,5/14,3/5,8/8,90,36.9%,59,116.7,86,45.5%,11,23.7%,72,20.0%,95,8.6%,22,5.6%,,0.0%,,0.0%
