Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,NOP,L,103,113,17,4,2,1,1/2,1/2,1/2,9,8.8%,76,133.3,27,10.0%,,0.0%,,100.0%,85,6.2%,58,11.1%,,0.0%,79,2.9%
04/10/22,@,DAL,L,120,130,19,12,1,5,5/8,2/3,0/0,63,23.2%,84,150.0,83,33.3%,,0.0%,68,40.0%,,0.0%,43,8.3%,,0.0%,,0.0%
04/09/22,vs.,GSW,L,94,100,33,15,4,7,5/14,1/3,4/6,94,32.6%,34,88.2,97,50.0%,36,13.3%,68,40.0%,,0.0%,62,11.8%,,0.0%,58,1.4%
04/07/22,@,MIN,L,121,127,30,14,3,8,5/9,0/0,4/5,71,24.6%,70,127.3,91,40.0%,41,12.1%,84,20.0%,,0.0%,56,10.3%,,0.0%,59,1.5%
04/05/22,@,DEN,W,116,97,33,14,4,10,5/11,0/1,4/6,61,22.7%,39,100.0,91,40.0%,,0.0%,47,60.0%,,0.0%,58,10.8%,82,1.4%,53,1.3%
04/03/22,vs.,POR,W,113,92,33,18,7,7,7/11,2/4,2/2,43,19.5%,84,150.0,83,33.3%,,0.0%,87,14.3%,71,3.2%,76,15.0%,,0.0%,53,1.3%
04/01/22,vs.,POR,W,130,111,33,9,5,9,4/8,0/0,1/1,26,16.0%,55,112.5,78,29.0%,,0.0%,52,50.0%,,0.0%,77,15.2%,,0.0%,79,2.8%
03/30/22,vs.,MEM,L,111,112,17,8,1,1,3/3,0/0,2/2,8,10.8%,96,200.0,19,7.1%,,0.0%,72,33.3%,,0.0%,24,5.0%,,0.0%,,0.0%
03/28/22,@,HOU,W,123,120,13,6,0,2,3/4,0/0,0/0,18,14.3%,84,150.0,55,20.0%,19,20.0%,38,66.7%,,0.0%,0,0.0%,98,4.2%,80,2.9%
03/26/22,@,NOP,W,107,103,15,5,1,0,2/4,0/1,1/2,7,10.3%,39,100.0,,0.0%,,0.0%,,100.0%,,0.0%,36,7.1%,,0.0%,,0.0%
03/23/22,@,POR,W,133,96,16,2,7,9,1/3,0/1,0/0,52,21.1%,19,66.7,98,52.9%,39,12.5%,,100.0%,93,8.3%,96,25.0%,95,2.9%,77,2.6%
03/20/22,@,GSW,W,110,108,21,9,4,4,3/7,2/3,1/1,48,20.4%,70,128.6,76,28.6%,9,27.3%,38,66.7%,92,7.7%,62,11.8%,,0.0%,88,3.7%
03/18/22,vs.,NOP,L,91,124,15,2,0,1,0/4,0/2,2/2,28,16.7%,9,40.0,55,20.0%,29,15.4%,,,,0.0%,0,0.0%,,0.0%,,0.0%
03/16/22,vs.,OKC,W,122,120,18,4,0,2,2/4,0/1,0/0,4,8.7%,39,100.0,46,16.7%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/14/22,vs.,MIN,L,139,149,15,2,2,6,1/4,0/1,0/0,25,15.9%,11,50.0,91,40.0%,,0.0%,,100.0%,94,9.1%,0,0.0%,,0.0%,,0.0%
03/12/22,vs.,IND,L,108,119,37,9,10,12,4/13,0/0,1/3,54,21.3%,18,64.3,89,37.5%,67,5.0%,52,50.0%,79,4.3%,92,20.5%,81,1.3%,70,2.1%
03/11/22,vs.,UTA,W,104,102,13,4,3,0,2/3,0/0,0/0,15,13.3%,73,133.3,,0.0%,10,25.0%,89,0.0%,90,7.1%,86,18.2%,,0.0%,85,3.3%
03/09/22,vs.,TOR,L,104,119,19,4,0,4,2/7,0/1,0/0,69,24.3%,15,57.1,73,26.7%,45,11.1%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/07/22,vs.,LAL,W,117,110,25,7,4,4,3/4,0/0,1/4,15,13.3%,59,116.7,59,21.1%,39,12.5%,38,66.7%,86,5.9%,65,12.5%,98,3.8%,85,3.3%
03/05/22,@,CHA,L,117,123,20,6,4,7,2/5,0/1,2/2,47,20.2%,39,100.0,94,43.8%,,0.0%,89,0.0%,,0.0%,78,15.4%,,0.0%,,0.0%
03/03/22,vs.,SAC,L,112,115,20,7,0,3,3/4,0/0,1/4,24,15.5%,59,116.7,45,15.8%,,0.0%,38,66.7%,,0.0%,0,0.0%,,0.0%,73,2.4%
02/28/22,@,MEM,L,105,118,12,4,1,3,1/1,0/0,2/2,12,12.5%,96,200.0,83,33.3%,10,25.0%,,100.0%,,0.0%,53,10.0%,,0.0%,83,3.1%
02/26/22,@,MIA,L,129,133,36,19,6,11,9/13,0/2,1/1,65,23.6%,83,146.2,88,35.5%,33,14.6%,83,22.2%,,0.0%,89,20.0%,,0.0%,49,1.1%
02/25/22,@,WAS,W,157,153,16,6,0,3,1/3,0/0,4/5,49,20.5%,62,120.0,68,25.0%,10,25.0%,,100.0%,,0.0%,0,0.0%,,0.0%,76,2.6%
02/14/22,@,CHI,L,109,120,12,0,0,4,0/2,0/0,0/0,15,13.3%,1,0.0,81,30.8%,,0.0%,,,,0.0%,0,0.0%,,0.0%,85,3.3%
02/12/22,@,NOP,W,124,114,16,5,4,3,2/4,0/1,1/2,34,17.6%,39,100.0,74,27.3%,,0.0%,89,0.0%,86,5.9%,85,17.6%,,0.0%,,0.0%
02/11/22,@,ATL,W,136,121,12,9,1,2,4/5,0/0,1/1,56,21.7%,94,180.0,83,33.3%,,0.0%,52,50.0%,,0.0%,33,6.7%,,0.0%,93,4.3%
02/04/22,vs.,HOU,W,131,106,9,2,0,2,1/2,0/1,0/0,52,21.1%,39,100.0,76,28.6%,10,25.0%,89,0.0%,,0.0%,0,0.0%,,0.0%,96,5.3%
02/03/22,vs.,MIA,L,95,112,29,14,1,3,4/8,0/0,6/8,18,14.0%,79,140.0,65,23.1%,,0.0%,,100.0%,,0.0%,29,5.9%,,0.0%,,0.0%
01/30/22,@,PHX,L,110,115,33,15,3,9,7/11,0/0,1/1,43,19.5%,67,125.0,94,42.9%,,0.0%,66,42.9%,82,5.0%,16,2.9%,,0.0%,,0.0%
01/28/22,vs.,CHI,W,131,122,3,2,0,2,0/0,0/0,2/2,,28.6%,,200.0,,66.7%,,0.0%,,,,0.0%,,0.0%,,0.0%,,0.0%
01/26/22,vs.,MEM,L,110,118,11,0,0,1,0/2,0/0,0/0,14,13.0%,1,0.0,22,8.3%,7,28.6%,,,,0.0%,0,0.0%,,0.0%,,0.0%
01/25/22,@,HOU,W,134,104,15,8,1,2,3/5,0/1,2/2,46,20.0%,73,133.3,34,12.5%,33,14.3%,38,66.7%,,0.0%,27,5.6%,,0.0%,80,2.9%
01/21/22,vs.,BKN,L,102,117,1,0,0,0,0/0,0/0,0/0,,0.0%,,,,,,,,,,0.0%,,,,0.0%,,0.0%
01/19/22,vs.,OKC,W,118,96,7,1,1,1,0/1,0/1,1/2,20,14.7%,11,50.0,97,50.0%,,0.0%,,,,0.0%,53,10.0%,,0.0%,97,5.9%
01/05/22,@,BOS,W,99,97,9,2,1,1,1/3,0/1,0/0,33,17.5%,19,66.7,55,20.0%,,0.0%,89,0.0%,,0.0%,81,16.7%,,0.0%,95,5.0%
01/04/22,@,TOR,L,104,129,23,5,1,4,2/9,0/1,1/1,57,21.9%,14,55.6,66,23.5%,28,16.0%,52,50.0%,,0.0%,23,4.5%,,0.0%,64,1.8%
01/01/22,@,DET,L,116,117,32,15,7,3,6/10,0/1,3/3,33,17.3%,77,136.4,45,15.8%,58,7.7%,86,16.7%,95,9.7%,57,10.5%,,0.0%,,0.0%
12/31/21,@,MEM,L,105,118,19,13,1,3,5/6,1/1,2/2,35,17.9%,95,185.7,79,30.0%,,0.0%,68,40.0%,82,5.0%,0,0.0%,,0.0%,73,2.4%
12/27/21,vs.,UTA,L,104,110,13,2,1,2,1/1,0/0,0/0,1,6.2%,96,200.0,39,14.3%,,0.0%,89,0.0%,,0.0%,73,14.3%,,0.0%,,0.0%
12/26/21,vs.,DET,W,144,109,21,8,5,11,4/6,0/1,0/0,63,23.1%,73,133.3,99,57.9%,55,8.3%,80,25.0%,,0.0%,92,20.8%,,0.0%,,0.0%
12/23/21,@,LAL,W,138,110,10,0,1,1,0/2,0/0,0/0,5,8.9%,1,0.0,19,7.1%,,0.0%,,,96,10.0%,0,0.0%,,0.0%,,0.0%
12/20/21,@,LAC,W,116,92,8,0,5,2,0/2,0/0,0/0,18,14.3%,1,0.0,91,40.0%,,0.0%,,,92,7.7%,98,30.8%,,0.0%,94,4.8%
12/19/21,@,SAC,L,114,121,10,0,3,4,0/0,0/0,0/0,14,13.0%,0,,88,36.4%,4,33.3%,,,,0.0%,97,27.3%,,0.0%,,0.0%
12/17/21,@,UTA,W,128,126,6,4,0,0,1/1,0/0,2/2,15,13.3%,96,200.0,,0.0%,,0.0%,89,0.0%,,0.0%,0,0.0%,,0.0%,,0.0%
12/15/21,vs.,CHA,L,115,131,14,2,3,3,1/4,0/0,0/0,34,17.6%,11,50.0,79,30.0%,26,16.7%,,100.0%,,0.0%,99,37.5%,,0.0%,,0.0%
12/12/21,vs.,NOP,W,112,97,18,7,3,2,3/4,1/1,0/0,5,8.9%,93,175.0,37,13.3%,,0.0%,38,66.7%,86,5.9%,59,11.1%,,0.0%,,0.0%
12/11/21,vs.,DEN,L,112,127,21,7,8,5,3/6,0/0,1/1,21,14.8%,59,116.7,78,29.4%,,0.0%,72,33.3%,98,12.5%,94,22.7%,,0.0%,,0.0%
12/09/21,vs.,DEN,W,123,111,12,0,2,5,0/0,0/0,0/0,10,11.7%,0,,95,45.5%,7,28.6%,,,96,10.0%,36,7.1%,,0.0%,,0.0%
12/07/21,vs.,NYK,L,109,121,12,4,1,1,1/2,0/0,2/2,27,16.1%,73,133.3,34,12.5%,14,22.2%,89,0.0%,,0.0%,39,7.7%,,0.0%,,0.0%
12/06/21,@,PHX,L,104,108,14,2,2,3,1/8,0/1,0/0,82,27.6%,7,25.0,89,37.5%,50,9.5%,89,0.0%,96,10.0%,0,0.0%,,0.0%,100,10.5%
12/04/21,@,GSW,W,112,107,14,2,2,2,1/3,0/1,0/0,26,16.0%,19,66.7,76,28.6%,,0.0%,89,0.0%,,0.0%,73,14.3%,,0.0%,,0.0%
12/02/21,@,POR,W,114,83,15,4,2,2,2/6,0/0,0/0,40,18.9%,19,66.7,46,16.7%,,0.0%,89,0.0%,,0.0%,78,15.4%,,0.0%,78,2.7%
11/29/21,vs.,WAS,W,116,99,12,2,1,1,1/2,0/0,0/0,28,16.7%,39,100.0,34,12.5%,1,50.0%,,100.0%,,0.0%,29,5.9%,,0.0%,,0.0%
11/26/21,vs.,BOS,W,96,88,18,12,2,2,5/6,0/0,2/2,49,20.5%,93,171.4,46,16.7%,10,25.0%,31,80.0%,,0.0%,46,8.7%,,0.0%,,0.0%
