Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/29/22,vs.,BOS,L,96,100,7,0,0,1,0/2,0/1,0/0,31,16.7%,1,0.0,54,20.0%,,0.0%,,,,0.0%,0,0.0%,99,7.1%,,0.0%
05/21/22,@,BOS,W,109,103,20,8,2,3,4/15,0/6,0/0,96,35.2%,16,53.3,65,23.1%,,0.0%,54,50.0%,76,4.5%,39,7.1%,,0.0%,,0.0%
05/19/22,vs.,BOS,L,102,127,23,11,1,3,5/11,0/3,1/1,83,27.6%,44,100.0,82,30.0%,33,14.8%,69,40.0%,,0.0%,39,7.1%,90,2.4%,,0.0%
05/17/22,vs.,BOS,W,118,107,27,18,8,3,7/15,1/5,3/3,94,33.9%,58,112.5,60,21.4%,22,19.0%,87,14.3%,75,4.3%,97,27.3%,,0.0%,58,1.6%
05/12/22,@,PHI,W,99,90,16,10,3,1,5/12,0/2,0/0,92,31.1%,31,83.3,34,12.5%,,0.0%,69,40.0%,81,5.3%,76,15.4%,,0.0%,76,2.7%
05/10/22,vs.,PHI,W,120,85,21,10,2,2,4/8,0/2,2/2,58,22.3%,68,125.0,30,11.1%,22,19.0%,82,25.0%,,0.0%,51,9.5%,,0.0%,,0.0%
05/08/22,@,PHI,L,108,116,34,11,10,1,4/12,1/5,2/2,48,20.5%,34,84.6,14,4.3%,17,20.0%,36,75.0%,68,3.3%,94,23.8%,,0.0%,77,2.7%
05/06/22,@,PHI,L,79,99,27,14,4,1,5/15,2/7,2/2,86,28.8%,35,87.5,23,9.1%,41,11.8%,50,60.0%,87,7.1%,62,11.8%,,0.0%,,0.0%
05/04/22,vs.,PHI,W,119,103,33,18,7,3,6/10,3/5,3/4,43,19.7%,84,150.0,43,15.0%,37,13.3%,86,16.7%,,0.0%,83,17.6%,81,1.5%,,0.0%
05/02/22,vs.,PHI,W,106,92,25,25,1,4,9/15,4/6,3/3,76,26.3%,87,156.3,94,40.0%,,0.0%,53,55.6%,71,3.7%,0,0.0%,,0.0%,,0.0%
04/26/22,vs.,ATL,W,97,94,33,16,1,4,6/11,0/3,4/4,59,22.5%,76,133.3,66,23.5%,20,19.4%,54,50.0%,,0.0%,19,3.6%,84,1.8%,79,2.9%
04/24/22,@,ATL,W,110,86,20,3,3,1,1/8,0/5,1/2,44,20.0%,11,33.3,20,7.7%,,0.0%,,100.0%,,0.0%,62,11.8%,,0.0%,68,2.2%
04/22/22,@,ATL,L,110,111,34,24,7,4,10/22,4/11,0/0,86,28.9%,54,109.1,66,23.5%,39,12.5%,50,60.0%,,0.0%,93,23.1%,81,1.6%,,0.0%
04/19/22,vs.,ATL,W,115,105,31,15,3,2,5/11,1/4,4/4,50,20.7%,61,115.4,30,11.1%,57,6.9%,84,20.0%,,0.0%,57,10.7%,83,1.7%,,0.0%
04/17/22,vs.,ATL,W,115,91,23,6,5,5,3/11,0/4,0/0,95,35.0%,17,54.5,76,27.8%,7,28.6%,42,66.7%,,0.0%,79,16.7%,,0.0%,90,4.0%
04/08/22,vs.,ATL,W,113,109,33,15,5,9,6/12,1/2,2/2,69,24.3%,58,115.4,93,40.9%,65,5.9%,52,50.0%,,0.0%,79,15.6%,,0.0%,57,1.4%
04/05/22,vs.,CHA,W,144,115,33,33,6,3,11/18,6/10,5/5,94,33.3%,91,165.0,36,13.0%,18,20.8%,65,45.5%,84,5.3%,81,16.7%,,0.0%,56,1.4%
04/03/22,@,TOR,W,114,109,36,18,9,8,8/16,1/5,1/2,96,35.1%,50,105.9,83,32.0%,7,29.6%,52,50.0%,78,4.2%,81,16.7%,,0.0%,,0.0%
04/02/22,@,CHI,W,127,109,28,19,7,2,6/16,6/7,1/3,82,27.6%,54,111.8,39,14.3%,63,6.2%,,100.0%,,0.0%,85,17.6%,,0.0%,,0.0%
03/30/22,@,BOS,W,106,98,32,12,10,5,5/14,2/6,0/0,67,23.9%,32,85.7,75,27.8%,42,11.8%,47,60.0%,,0.0%,95,22.9%,,0.0%,,0.0%
03/28/22,vs.,SAC,W,123,100,29,20,5,6,8/15,4/8,0/0,86,29.0%,73,133.3,72,26.1%,45,11.1%,52,50.0%,,0.0%,73,14.3%,,0.0%,,0.0%
03/26/22,vs.,BKN,L,95,110,29,13,4,2,5/13,0/4,3/3,84,28.3%,38,92.9,55,20.0%,10,25.6%,84,20.0%,,0.0%,80,16.0%,,0.0%,93,4.3%
