Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,BKN,L,126,134,39,17,4,10,7/14,2/5,1/1,41,19.1%,64,121.4,80,30.3%,66,5.4%,66,42.9%,78,4.1%,42,8.0%,,0.0%,69,2.1%
04/09/22,@,PHI,L,120,133,37,19,1,9,7/10,0/1,5/6,81,27.4%,83,146.2,83,33.3%,10,26.1%,87,14.3%,,0.0%,16,2.9%,80,1.2%,50,1.2%
04/05/22,vs.,PHI,L,122,131,37,21,8,5,7/12,3/4,4/4,63,23.1%,84,150.0,53,18.5%,7,28.6%,66,42.9%,86,5.7%,79,15.6%,,0.0%,71,2.2%
04/03/22,vs.,DET,L,117,121,39,19,9,17,6/13,0/5,7/8,67,24.0%,61,118.8,97,48.6%,,0.0%,72,33.3%,70,3.0%,75,14.6%,91,2.2%,,0.0%
04/01/22,@,BOS,L,123,128,26,30,1,2,10/11,6/6,4/4,78,26.3%,99,230.8,51,18.2%,36,13.3%,84,20.0%,,0.0%,29,5.9%,,0.0%,96,5.3%
03/30/22,vs.,DEN,L,118,125,37,15,5,12,6/11,0/0,3/4,54,21.4%,58,115.4,89,37.5%,48,10.3%,52,50.0%,85,5.4%,64,12.0%,86,1.6%,93,4.4%
03/28/22,vs.,ATL,L,123,132,40,25,3,13,9/18,4/8,3/4,92,31.7%,67,125.0,94,43.3%,35,14.0%,66,44.4%,,0.0%,41,7.9%,94,2.6%,71,2.2%
03/26/22,@,TOR,L,91,131,33,7,5,12,2/7,1/5,2/2,39,18.7%,34,87.5,97,50.0%,60,7.1%,,100.0%,86,5.7%,68,13.0%,,0.0%,,0.0%
03/24/22,@,MEM,L,103,133,27,9,3,8,4/8,0/0,1/1,64,23.3%,55,112.5,95,44.4%,33,14.3%,89,0.0%,73,3.4%,42,8.0%,,0.0%,63,1.7%
03/23/22,vs.,SAC,L,109,110,37,13,5,15,4/14,1/3,4/4,71,25.0%,29,81.3,98,51.7%,,0.0%,33,75.0%,93,8.3%,31,6.2%,84,1.5%,86,3.4%
03/20/22,vs.,POR,W,129,98,24,10,4,7,4/8,2/4,0/0,81,27.5%,67,125.0,87,35.0%,7,28.6%,33,75.0%,,0.0%,84,17.4%,,0.0%,,0.0%
03/18/22,@,HOU,W,121,118,37,10,3,7,4/9,1/6,1/2,25,15.8%,39,100.0,62,21.9%,19,20.0%,33,75.0%,80,4.5%,18,3.6%,83,1.5%,70,2.1%
03/15/22,vs.,MEM,L,102,135,30,4,3,8,2/8,0/2,0/0,45,19.8%,11,50.0,88,36.4%,10,25.0%,89,0.0%,82,4.9%,16,2.9%,,0.0%,51,1.2%
03/13/22,@,ATL,L,128,131,40,25,2,10,9/15,3/5,4/4,79,26.8%,83,147.1,83,32.3%,22,18.9%,88,11.1%,68,2.9%,17,3.2%,,0.0%,47,1.0%
