Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/12/22,vs.,MIA,L,90,99,42,20,3,4,9/22,1/7,1/1,83,27.5%,39,90.9,54,20.0%,29,16.3%,36,77.8%,60,2.1%,28,5.3%,74,1.2%,,0.0%
05/10/22,@,MIA,L,85,120,32,9,3,1,2/10,1/4,4/4,47,20.3%,23,75.0,17,5.9%,35,14.3%,54,50.0%,,0.0%,66,12.5%,,0.0%,56,1.4%
05/08/22,vs.,MIA,W,116,108,42,18,3,4,5/10,2/5,6/6,31,16.5%,79,138.5,38,14.3%,57,6.9%,50,60.0%,70,3.6%,24,4.8%,,0.0%,,0.0%
05/06/22,vs.,MIA,W,99,79,39,21,2,6,7/10,5/6,2/2,36,17.5%,96,190.9,86,31.6%,33,14.8%,40,71.4%,,0.0%,28,5.1%,,0.0%,75,2.6%
05/04/22,@,MIA,L,103,119,43,34,3,1,12/22,1/4,9/11,78,26.9%,75,130.8,13,4.2%,,0.0%,73,33.3%,62,2.4%,32,5.7%,,0.0%,67,2.2%
05/02/22,@,MIA,L,92,106,35,19,0,2,6/15,1/6,6/6,70,25.0%,51,105.6,32,11.8%,63,5.3%,73,33.3%,,0.0%,0,0.0%,,0.0%,,0.0%
04/28/22,@,TOR,W,132,97,44,25,3,8,8/16,5/12,4/4,58,22.3%,79,138.9,65,22.9%,48,9.5%,36,75.0%,,0.0%,34,6.2%,,0.0%,,0.0%
04/25/22,vs.,TOR,L,88,103,42,12,2,4,5/14,0/3,2/2,38,18.4%,29,80.0,54,19.0%,60,6.2%,34,80.0%,,0.0%,31,5.6%,,0.0%,50,1.1%
04/23/22,@,TOR,L,102,110,39,11,6,6,4/12,1/3,2/3,35,17.4%,34,84.6,77,28.6%,59,6.7%,,100.0%,,0.0%,72,14.3%,,0.0%,51,1.2%
04/20/22,@,TOR,W,104,101,47,19,4,1,8/18,1/5,2/2,65,23.4%,51,105.6,12,3.7%,13,22.7%,72,37.5%,66,3.0%,42,7.3%,,0.0%,50,1.1%
04/18/22,vs.,TOR,W,112,97,41,23,9,8,8/11,3/6,4/4,47,20.3%,93,176.9,91,34.8%,61,5.7%,88,12.5%,71,3.7%,84,17.8%,74,1.3%,51,1.2%
04/16/22,vs.,TOR,W,131,111,38,38,4,2,14/19,5/7,5/5,50,20.7%,94,181.0,26,9.5%,,0.0%,40,71.4%,66,3.1%,53,9.7%,,0.0%,,0.0%
04/10/22,vs.,DET,W,118,106,23,25,2,3,9/15,0/4,7/7,98,37.0%,83,147.1,74,27.3%,46,10.8%,66,44.4%,,0.0%,53,10.0%,,0.0%,,0.0%
04/09/22,vs.,IND,W,133,120,31,18,1,5,7/15,2/6,2/2,57,22.0%,55,112.5,55,20.0%,,0.0%,49,57.1%,,0.0%,21,4.2%,,0.0%,55,1.3%
04/07/22,@,TOR,L,114,119,37,22,3,4,7/11,4/5,4/5,43,19.5%,92,169.2,54,19.0%,36,13.3%,49,57.1%,,0.0%,47,9.1%,82,1.4%,77,2.6%
04/05/22,@,IND,W,131,122,38,30,3,7,9/12,8/11,4/4,44,19.5%,98,214.3,68,24.1%,25,17.6%,33,77.8%,,0.0%,36,7.1%,80,1.2%,49,1.1%
04/03/22,@,CLE,W,112,108,29,11,0,3,4/11,2/4,1/1,53,21.2%,39,100.0,46,16.7%,17,21.4%,33,75.0%,,0.0%,0,0.0%,,0.0%,59,1.5%
04/02/22,vs.,CHA,W,144,114,33,19,2,4,7/12,3/5,2/2,28,16.7%,83,146.2,34,12.5%,,0.0%,49,57.1%,82,5.0%,17,3.3%,,0.0%,76,2.6%
03/31/22,@,DET,L,94,102,34,13,2,2,5/10,1/3,2/2,34,17.6%,61,118.2,34,12.5%,26,16.7%,31,80.0%,,0.0%,33,6.5%,,0.0%,,0.0%
