Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/13/22,@,GSW,L,96,110,36,7,9,8,2/12,1/3,2/2,56,21.6%,16,53.8,93,38.1%,45,10.5%,90,0.0%,,0.0%,83,17.4%,,0.0%,69,2.3%
05/11/22,vs.,GSW,W,134,95,24,21,3,9,8/12,4/7,1/1,55,21.5%,92,175.0,97,42.9%,,0.0%,49,62.5%,,0.0%,71,13.6%,90,2.4%,82,3.1%
05/09/22,@,GSW,L,98,101,41,19,6,5,8/18,3/7,0/0,40,19.1%,51,105.6,52,17.9%,62,5.4%,36,75.0%,60,2.2%,66,12.2%,74,1.3%,,0.0%
05/07/22,@,GSW,L,112,142,13,2,1,2,0/5,0/2,2/2,75,25.8%,11,33.3,77,28.6%,39,12.5%,,,,0.0%,79,16.7%,,0.0%,,0.0%
05/03/22,vs.,GSW,W,106,101,20,3,2,2,1/7,0/5,1/1,31,16.7%,14,42.9,45,16.7%,,0.0%,90,0.0%,,0.0%,44,8.0%,,0.0%,92,4.2%
05/01/22,vs.,GSW,L,116,117,12,2,0,3,1/4,0/1,0/0,52,21.2%,14,50.0,97,42.9%,,0.0%,90,0.0%,,0.0%,0,0.0%,,0.0%,88,3.8%
04/29/22,@,MIN,W,114,106,26,10,1,4,4/9,2/6,0/0,41,19.4%,56,111.1,77,28.6%,27,16.7%,54,50.0%,,0.0%,22,4.2%,,0.0%,58,1.6%
04/26/22,vs.,MIN,W,111,109,20,5,3,5,1/3,1/3,2/2,28,16.0%,68,125.0,85,31.2%,10,25.0%,,100.0%,,0.0%,66,12.5%,,0.0%,90,4.0%
04/23/22,@,MIN,L,118,119,22,13,4,3,3/7,2/3,5/5,43,19.6%,75,130.0,54,20.0%,50,9.1%,,100.0%,76,4.5%,79,16.7%,,0.0%,61,1.8%
04/21/22,@,MIN,W,104,95,14,11,5,4,4/6,3/3,0/0,68,24.3%,95,183.3,99,50.0%,12,23.5%,36,75.0%,,0.0%,98,31.2%,,0.0%,78,2.9%
04/19/22,vs.,MIN,W,124,96,16,10,4,3,4/8,1/2,1/2,78,26.8%,56,111.1,82,30.0%,50,9.1%,82,25.0%,,0.0%,96,26.7%,,0.0%,72,2.4%
04/16/22,vs.,MIN,L,117,130,16,7,1,6,3/8,1/3,0/0,84,27.8%,35,87.5,100,75.0%,,0.0%,42,66.7%,84,5.9%,0,0.0%,,0.0%,78,2.8%
04/09/22,vs.,NOP,W,141,114,13,0,1,8,0/1,0/0,0/0,24,15.6%,1,0.0,91,40.0%,,0.0%,,,,0.0%,53,10.0%,,0.0%,83,3.1%
04/07/22,@,DEN,L,109,122,23,5,0,4,2/8,1/4,0/0,60,22.4%,17,62.5,55,20.0%,22,18.2%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
04/05/22,@,UTA,L,115,121,37,24,2,5,10/19,4/4,0/0,55,21.6%,69,126.3,72,26.3%,66,5.3%,38,70.0%,,0.0%,24,5.0%,,0.0%,49,1.1%
03/30/22,@,SAS,W,112,111,36,25,5,6,10/21,5/10,0/0,79,26.6%,62,119.0,68,25.0%,,0.0%,47,60.0%,69,2.9%,64,12.0%,,0.0%,76,2.5%
03/28/22,vs.,GSW,W,123,95,26,7,3,6,3/9,0/3,1/2,52,21.0%,22,70.0,79,30.0%,,0.0%,89,0.0%,,0.0%,61,11.5%,,0.0%,,0.0%
