Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/28/22,@,CLE,L,101,107,27,15,12,6,7/14,0/4,1/6,95,32.5%,24,88.2,94,31.6%,53,10.3%,57,71.4%,35,4.5%,97,41.7%,,0.0%,69,1.7%
03/22/22,vs.,GSW,W,94,90,33,19,8,0,7/11,1/3,4/5,60,18.7%,73,146.2,,0.0%,36,16.0%,57,71.4%,46,6.5%,44,16.7%,,0.0%,,0.0%
03/20/22,vs.,OKC,W,90,85,31,30,16,2,12/15,2/3,4/7,83,24.7%,85,166.7,78,18.2%,15,26.3%,44,83.3%,76,12.9%,89,33.3%,57,1.7%,82,2.6%
03/15/22,vs.,BKN,L,108,150,26,18,7,4,6/11,1/1,5/5,73,21.6%,68,138.5,88,25.0%,62,6.9%,75,50.0%,63,10.0%,39,15.0%,59,1.8%,,0.0%
03/13/22,vs.,PHI,L,114,116,39,23,12,2,10/19,2/5,1/2,75,22.0%,46,115.0,61,11.8%,52,10.8%,41,90.0%,,0.0%,79,27.3%,83,3.9%,,0.0%
03/11/22,vs.,MIN,W,118,110,35,20,10,5,7/15,2/4,4/5,82,24.1%,48,117.6,84,20.8%,53,10.3%,73,57.1%,73,12.5%,42,15.8%,,0.0%,,0.0%
03/09/22,@,NOP,W,108,102,29,13,8,5,6/11,0/1,1/2,75,22.2%,41,108.3,90,26.3%,61,7.1%,75,50.0%,85,16.0%,38,14.8%,,0.0%,,0.0%
03/08/22,vs.,PHX,L,99,102,32,20,12,0,8/14,1/3,3/4,63,19.3%,55,125.0,,0.0%,62,6.9%,69,62.5%,42,5.7%,72,25.0%,54,1.5%,,0.0%
03/02/22,vs.,IND,L,114,122,41,13,18,5,5/12,0/2,3/5,71,21.2%,26,92.9,73,16.7%,12,28.6%,70,60.0%,82,14.6%,77,26.3%,52,1.4%,57,1.0%
02/28/22,vs.,IND,W,119,103,28,21,12,1,8/10,1/1,4/6,70,20.9%,84,161.5,36,5.3%,23,21.4%,69,62.5%,72,12.0%,95,38.1%,,0.0%,,0.0%
02/25/22,vs.,HOU,W,119,111,35,24,12,2,9/11,1/2,5/7,64,19.5%,88,171.4,54,10.0%,29,18.8%,86,44.4%,79,13.8%,47,17.1%,,0.0%,,0.0%
02/16/22,vs.,ATL,L,109,130,27,10,10,6,4/7,2/3,0/0,47,16.2%,70,142.9,93,30.0%,28,19.0%,51,75.0%,47,6.7%,83,29.2%,58,1.8%,,0.0%
02/14/22,@,DEN,L,111,121,34,25,12,4,12/22,1/5,0/0,89,27.3%,45,113.6,85,22.2%,58,8.5%,87,41.7%,63,9.8%,64,21.9%,53,1.5%,78,2.3%
02/12/22,@,PHX,L,105,132,26,14,11,2,6/12,0/4,2/3,72,21.3%,40,107.7,62,12.5%,60,7.7%,59,66.7%,29,3.3%,84,29.6%,,0.0%,,0.0%
02/11/22,@,UTA,L,99,114,34,22,9,2,9/17,1/5,3/6,86,26.0%,47,115.8,62,12.5%,25,20.0%,41,88.9%,42,5.7%,56,19.4%,52,1.4%,,0.0%
02/08/22,@,POR,W,113,95,30,18,8,5,7/10,2/3,2/2,53,17.2%,84,163.6,86,22.7%,56,9.1%,,100.0%,34,4.3%,62,21.2%,89,4.9%,,0.0%
02/06/22,vs.,BOS,L,83,116,28,14,8,2,6/8,0/0,2/3,61,18.9%,80,155.6,78,18.2%,19,24.0%,94,16.7%,63,10.0%,39,15.2%,56,1.7%,,0.0%
02/05/22,vs.,MEM,L,115,135,23,12,10,2,4/10,0/5,4/6,82,24.1%,27,100.0,62,12.5%,37,15.4%,,100.0%,56,8.3%,88,32.0%,,0.0%,,0.0%
02/02/22,@,IND,W,119,118,34,19,18,2,7/13,0/2,5/5,72,21.3%,49,118.8,54,10.0%,33,17.1%,57,71.4%,55,8.1%,94,36.8%,52,1.4%,59,1.2%
02/01/22,@,CHI,L,115,126,34,24,8,6,11/15,1/5,1/1,79,23.3%,82,160.0,90,26.1%,32,17.6%,57,72.7%,30,3.6%,56,19.4%,,0.0%,,0.0%
01/30/22,vs.,DAL,W,110,108,33,14,14,1,5/10,2/3,2/4,51,16.9%,47,116.7,32,4.2%,59,8.3%,70,60.0%,68,11.1%,83,29.0%,,0.0%,64,1.4%
01/28/22,vs.,DET,W,119,103,29,9,11,3,2/10,0/1,5/5,59,18.4%,16,75.0,68,14.3%,,0.0%,,100.0%,48,6.9%,76,25.7%,,0.0%,65,1.5%
01/26/22,vs.,LAC,L,102,111,31,11,9,2,4/10,0/2,3/5,67,20.3%,26,91.7,50,9.1%,23,21.4%,,100.0%,32,4.0%,76,25.8%,,0.0%,,0.0%
01/23/22,vs.,CHI,W,114,95,28,19,7,1,8/12,2/3,1/4,82,24.1%,66,135.7,45,7.7%,21,22.2%,,100.0%,,0.0%,70,24.0%,93,6.0%,,0.0%
01/21/22,vs.,LAL,L,105,116,19,19,5,1,6/10,2/4,5/8,85,25.5%,66,135.7,50,9.1%,60,7.7%,44,83.3%,,0.0%,77,26.3%,72,2.9%,74,2.0%
01/05/22,vs.,PHI,L,106,116,23,12,10,3,3/4,0/1,6/10,81,23.7%,61,133.3,71,15.0%,21,22.2%,95,0.0%,91,19.0%,72,25.0%,,0.0%,,0.0%
01/03/22,@,CHI,L,98,102,35,21,10,4,8/15,1/4,4/5,83,24.7%,54,123.5,80,19.0%,37,15.4%,69,62.5%,,0.0%,65,22.2%,,0.0%,60,1.3%
01/02/22,@,BOS,L,111,116,41,15,16,7,5/15,1/4,4/5,75,22.2%,24,88.2,93,29.2%,43,13.6%,70,60.0%,46,6.4%,94,36.4%,52,1.4%,57,1.0%
12/30/21,vs.,MIL,L,118,136,33,14,10,5,5/11,1/4,3/5,65,20.0%,40,107.7,84,20.8%,62,6.7%,70,60.0%,49,7.1%,76,25.8%,52,1.4%,62,1.3%
12/28/21,vs.,MIL,L,110,127,33,19,10,1,6/14,2/7,5/6,76,22.4%,43,111.8,32,4.2%,48,11.8%,44,83.3%,,0.0%,89,33.3%,,0.0%,93,3.9%
12/26/21,@,MIA,L,83,93,25,8,14,2,3/7,1/3,1/2,86,25.9%,27,100.0,78,18.2%,4,42.9%,59,66.7%,76,13.0%,97,40.9%,,0.0%,,0.0%
12/23/21,vs.,NOP,L,104,110,30,17,12,3,5/12,1/3,6/6,77,22.5%,45,113.3,68,14.3%,,0.0%,94,20.0%,85,15.6%,66,22.6%,91,5.4%,85,2.8%
12/17/21,vs.,MIA,L,105,115,11,4,4,1,2/6,0/1,0/0,75,22.0%,12,66.7,58,11.1%,,0.0%,,100.0%,,0.0%,94,36.4%,88,4.8%,,0.0%
12/15/21,vs.,ATL,L,99,111,30,9,15,3,4/10,1/4,0/0,46,15.9%,24,90.0,80,20.0%,56,9.1%,51,75.0%,70,11.4%,93,35.5%,,0.0%,65,1.4%
12/12/21,@,LAL,L,94,106,33,16,8,3,6/12,2/6,2/2,62,19.2%,54,123.1,77,17.6%,40,14.3%,44,83.3%,48,6.9%,56,19.4%,54,1.6%,,0.0%
12/11/21,@,LAC,L,104,106,33,2,14,7,1/5,0/1,0/0,53,17.2%,7,40.0,94,30.4%,15,26.1%,95,0.0%,47,6.7%,88,32.4%,,0.0%,66,1.5%
12/08/21,@,SAC,L,130,142,36,19,10,6,7/14,1/3,4/6,79,23.0%,43,111.8,79,18.8%,28,19.5%,,100.0%,44,6.2%,71,24.2%,50,1.2%,,0.0%
12/06/21,@,GSW,L,95,126,29,14,12,3,4/8,2/4,4/5,57,18.0%,68,140.0,77,17.6%,57,8.7%,75,50.0%,31,3.7%,93,35.5%,,0.0%,67,1.6%
12/03/21,@,HOU,L,116,118,33,10,16,2,4/9,0/3,2/2,38,14.6%,27,100.0,47,8.0%,32,17.4%,51,75.0%,85,15.6%,84,29.7%,74,3.0%,,0.0%
12/01/21,vs.,DEN,W,108,103,33,18,8,0,8/11,1/3,1/1,29,13.0%,84,163.6,,0.0%,50,11.1%,51,75.0%,29,3.4%,65,22.2%,,0.0%,,0.0%
11/29/21,@,PHI,L,96,101,34,8,12,2,4/11,0/6,0/0,34,13.9%,16,72.7,45,7.4%,,0.0%,75,50.0%,40,5.6%,72,25.0%,,0.0%,60,1.3%
11/27/21,@,CLE,L,92,105,32,19,11,1,8/13,1/4,2/2,55,17.6%,66,135.7,43,7.1%,,0.0%,69,62.5%,59,9.1%,78,26.9%,,0.0%,86,2.9%
11/26/21,vs.,CHI,L,88,123,30,26,10,2,8/14,2/5,8/10,86,25.8%,67,136.8,62,12.5%,,0.0%,51,75.0%,49,7.1%,69,23.3%,79,3.4%,,0.0%
11/24/21,vs.,CHA,L,99,106,32,14,11,2,6/9,1/4,1/1,19,11.0%,80,155.6,48,8.3%,,0.0%,59,66.7%,31,3.7%,70,23.7%,,0.0%,84,2.7%
11/22/21,@,MIL,L,92,123,28,8,10,3,3/6,0/3,2/2,39,14.8%,45,114.3,91,27.3%,24,21.1%,59,66.7%,,0.0%,69,23.3%,56,1.6%,,0.0%
11/20/21,@,MIL,L,108,117,14,8,2,2,3/6,2/3,0/1,55,17.7%,61,133.3,92,28.6%,,0.0%,,100.0%,,0.0%,23,11.1%,,0.0%,,0.0%
11/19/21,@,BKN,L,113,115,27,1,9,3,0/5,0/4,1/2,49,16.7%,5,16.7,73,16.7%,12,28.6%,,,48,6.9%,83,29.2%,60,1.9%,,0.0%
