Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/24/22,vs.,MIL,L,95,119,42,24,5,13,8/18,2/6,6/6,90,27.1%,58,120.0,100,52.0%,42,11.5%,51,87.5%,,0.0%,72,13.9%,,0.0%,,0.0%
04/22/22,vs.,MIL,L,81,111,31,13,5,5,5/12,2/4,1/1,82,24.2%,48,108.3,98,35.7%,35,13.3%,75,60.0%,,0.0%,84,17.2%,,0.0%,69,1.6%
04/20/22,@,MIL,W,114,110,43,20,1,3,7/13,3/4,3/4,58,18.3%,68,133.3,49,9.1%,18,21.6%,77,57.1%,,0.0%,16,2.6%,,0.0%,51,1.0%
04/17/22,@,MIL,L,86,93,37,18,10,3,6/19,2/10,4/4,92,28.5%,30,85.7,82,18.8%,42,12.2%,90,33.3%,,0.0%,94,23.7%,78,1.4%,56,1.2%
04/08/22,vs.,CHA,L,117,133,30,23,4,7,9/14,2/3,3/3,93,29.0%,84,153.3,98,36.8%,57,5.6%,88,33.3%,,0.0%,90,21.1%,,0.0%,,0.0%
04/06/22,vs.,BOS,L,94,117,27,7,2,4,2/9,0/5,3/3,82,24.1%,20,70.0,89,23.5%,29,14.3%,95,0.0%,,0.0%,38,7.7%,84,1.7%,,0.0%
04/02/22,vs.,MIA,L,109,127,35,33,5,2,11/21,5/12,6/6,95,30.5%,78,143.5,54,10.5%,59,4.3%,92,27.3%,83,5.7%,60,11.5%,,0.0%,56,1.3%
03/31/22,vs.,LAC,W,135,130,41,21,4,5,5/17,1/6,10/13,91,27.8%,34,91.3,73,15.6%,52,7.4%,94,20.0%,,0.0%,59,11.4%,,0.0%,49,1.0%
03/29/22,@,WAS,W,107,94,34,14,4,1,4/10,2/5,4/6,72,21.1%,49,107.7,27,4.3%,16,20.0%,54,75.0%,,0.0%,79,16.7%,,0.0%,,0.0%
03/28/22,@,NYK,L,104,109,36,27,4,3,8/17,2/7,9/10,91,28.2%,67,128.6,73,15.8%,,0.0%,95,12.5%,,0.0%,37,7.5%,,0.0%,,0.0%
03/26/22,@,CLE,W,98,94,39,25,1,3,8/16,2/6,7/8,88,26.3%,63,125.0,66,13.6%,44,9.8%,54,75.0%,,0.0%,14,2.4%,,0.0%,55,1.3%
03/24/22,@,NOP,L,109,126,40,39,3,3,12/23,4/11,11/13,100,37.8%,75,139.3,60,12.0%,26,15.4%,88,33.3%,,0.0%,41,8.1%,76,1.3%,51,1.2%
03/22/22,@,MIL,L,98,126,34,21,3,7,6/16,4/7,5/6,97,32.2%,52,110.5,96,31.8%,49,8.5%,88,33.3%,,0.0%,60,11.5%,,0.0%,58,1.4%
03/21/22,vs.,TOR,W,113,99,35,26,6,6,9/18,3/6,5/8,94,29.5%,58,118.2,90,25.0%,,0.0%,85,44.4%,84,5.9%,53,10.3%,,0.0%,55,1.3%
03/18/22,@,PHX,L,102,129,30,12,2,9,1/7,0/1,10/12,92,28.8%,34,92.3,99,45.0%,42,10.5%,,100.0%,,0.0%,40,8.0%,,0.0%,,0.0%
03/16/22,@,UTA,L,110,125,33,33,2,5,11/20,5/10,6/8,94,29.7%,78,143.5,90,25.0%,59,4.3%,74,54.5%,,0.0%,35,7.1%,81,1.6%,91,3.8%
03/14/22,@,SAC,L,103,112,36,27,3,6,8/18,2/7,9/9,97,31.9%,62,122.7,96,31.6%,52,7.5%,95,12.5%,60,2.5%,30,6.2%,79,1.4%,,0.0%
03/09/22,@,DET,W,114,108,38,25,5,1,7/14,1/7,10/11,88,26.6%,69,131.6,27,4.3%,45,9.5%,95,14.3%,,0.0%,65,12.9%,,0.0%,55,1.3%
03/07/22,@,PHI,L,106,121,37,24,8,5,8/19,3/6,5/8,96,31.5%,47,104.3,89,23.8%,22,17.9%,68,62.5%,81,5.3%,83,17.6%,,0.0%,,0.0%
03/04/22,vs.,MIL,L,112,118,38,30,8,6,13/25,3/9,1/3,95,31.0%,55,115.4,88,23.1%,60,3.7%,84,46.2%,,0.0%,87,20.0%,,0.0%,51,1.1%
03/03/22,@,ATL,L,124,130,34,22,3,7,8/14,4/7,2/2,91,28.0%,79,146.7,93,26.9%,19,19.0%,88,37.5%,,0.0%,55,10.7%,79,1.4%,,0.0%
02/28/22,@,MIA,L,99,112,33,22,4,4,8/16,2/8,4/6,94,29.9%,56,115.8,85,21.1%,31,14.0%,68,62.5%,70,3.6%,53,10.3%,,0.0%,,0.0%
02/26/22,vs.,MEM,L,110,116,38,28,4,6,9/19,3/3,7/7,95,30.3%,66,127.3,93,27.3%,40,11.1%,93,22.2%,,0.0%,45,8.9%,,0.0%,51,1.1%
02/24/22,vs.,ATL,W,112,108,36,20,5,3,7/17,2/8,4/4,91,27.9%,48,105.3,66,13.6%,59,4.7%,95,0.0%,,0.0%,44,8.7%,,0.0%,,0.0%
02/11/22,vs.,MIN,W,134,122,37,12,4,6,5/14,1/6,1/3,87,26.0%,26,80.0,73,15.8%,16,20.0%,50,80.0%,,0.0%,59,11.4%,77,1.3%,,0.0%
02/09/22,@,CHA,W,121,109,40,27,7,5,8/18,5/10,6/7,92,28.5%,67,128.6,73,15.6%,50,8.2%,92,25.0%,,0.0%,74,14.9%,,0.0%,,0.0%
02/07/22,vs.,PHX,L,124,127,37,32,5,8,9/20,4/7,10/10,97,32.2%,75,139.1,96,32.0%,53,7.1%,93,22.2%,60,2.5%,70,14.3%,,0.0%,,0.0%
02/03/22,@,TOR,L,120,127,42,15,5,7,6/10,2/4,1/2,43,15.3%,73,136.4,86,21.9%,31,13.8%,61,66.7%,,0.0%,46,9.1%,76,1.2%,73,2.1%
02/01/22,vs.,ORL,W,126,115,36,26,5,3,8/17,2/5,8/8,92,28.4%,68,130.0,61,12.5%,34,13.0%,88,37.5%,,0.0%,78,16.1%,,0.0%,,0.0%
01/30/22,vs.,POR,W,130,116,33,20,2,4,7/18,3/9,3/4,90,27.5%,48,105.3,67,14.3%,,0.0%,72,57.1%,,0.0%,40,8.0%,84,1.7%,61,1.4%
01/28/22,@,SAS,L,122,131,35,30,4,4,10/23,2/10,8/9,99,36.7%,52,111.1,81,19.0%,54,6.9%,86,40.0%,,0.0%,62,12.1%,77,1.4%,,0.0%
01/26/22,vs.,TOR,W,111,105,38,23,8,8,9/16,1/5,4/4,84,24.7%,78,143.8,95,29.6%,28,15.0%,61,66.7%,,0.0%,83,17.6%,,0.0%,54,1.2%
01/24/22,@,OKC,W,111,110,35,23,6,7,6/19,3/10,8/10,99,35.2%,36,95.8,96,31.8%,42,10.5%,61,66.7%,,0.0%,70,14.3%,76,1.3%,78,2.5%
01/14/22,vs.,GSW,L,96,138,4,0,1,0,0/0,0/0,0/0,,11.1%,,,,0.0%,,100.0%,,,,25.0%,,0.0%,,0.0%,,0.0%
01/12/22,vs.,BKN,L,112,138,33,22,1,6,8/13,2/4,4/4,88,26.3%,79,146.7,94,28.6%,10,25.0%,54,75.0%,,0.0%,22,4.5%,81,1.6%,56,1.3%
01/11/22,vs.,DET,W,133,87,29,10,9,7,3/10,2/5,2/2,73,21.2%,33,90.9,90,24.1%,53,7.1%,,100.0%,,0.0%,97,26.5%,,0.0%,63,1.5%
01/09/22,@,DAL,L,99,113,35,20,2,2,7/21,2/7,4/4,99,36.0%,31,87.0,50,9.5%,28,14.8%,91,28.6%,,0.0%,40,8.0%,,0.0%,81,2.7%
01/07/22,vs.,WAS,W,130,122,33,27,1,3,9/18,1/6,8/8,94,29.6%,67,128.6,60,12.0%,23,16.7%,73,55.6%,,0.0%,18,3.7%,,0.0%,54,1.2%
01/03/22,vs.,ORL,W,102,98,34,27,3,0,8/19,4/9,7/7,93,29.2%,62,122.7,,0.0%,32,13.3%,68,62.5%,,0.0%,41,8.1%,,0.0%,56,1.3%
01/01/22,@,WAS,W,120,119,38,35,5,3,11/22,7/12,6/6,97,32.9%,79,145.8,58,11.5%,29,14.3%,92,27.3%,,0.0%,76,15.6%,,0.0%,,0.0%
12/31/21,@,IND,W,108,106,36,17,6,4,7/17,0/3,3/3,92,28.5%,36,94.4,86,22.2%,22,17.8%,85,42.9%,61,2.6%,61,11.9%,91,2.5%,55,1.3%
12/29/21,vs.,ATL,W,131,117,32,25,2,5,10/13,5/7,0/0,78,22.6%,95,192.3,82,20.0%,12,24.2%,69,60.0%,,0.0%,25,5.1%,,0.0%,,0.0%
12/27/21,@,ATL,W,130,118,37,30,4,9,11/21,5/8,3/3,93,29.1%,77,142.9,96,32.1%,50,8.0%,85,45.5%,63,2.9%,37,7.5%,,0.0%,51,1.2%
12/26/21,vs.,IND,W,113,105,33,32,4,5,12/18,5/9,3/5,100,37.9%,86,160.0,93,26.3%,28,15.1%,95,0.0%,,0.0%,54,10.5%,78,1.4%,60,1.4%
12/11/21,@,MIA,L,92,118,38,33,7,4,11/20,7/11,4/5,94,30.0%,79,150.0,89,23.5%,26,15.7%,85,45.5%,,0.0%,81,17.1%,,0.0%,52,1.2%
