Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/04/21,vs.,GSW,W,108,103,37,23,12,7,8/17,0/0,7/8,92,28.6%,42,109.5,94,31.8%,23,21.4%,69,62.5%,78,12.8%,27,11.9%,,0.0%,93,4.1%
05/03/21,vs.,GSW,L,108,123,37,32,8,1,12/24,0/2,8/11,96,31.9%,45,114.3,38,5.6%,42,13.3%,87,41.7%,67,10.0%,26,11.8%,72,2.8%,,0.0%
05/01/21,@,MIN,W,140,136,42,37,9,8,14/17,0/0,9/15,93,29.6%,84,160.9,95,33.3%,20,23.0%,76,50.0%,69,10.3%,28,12.5%,50,1.0%,56,1.0%
04/29/21,@,OKC,W,109,95,34,27,6,6,12/23,0/0,3/4,94,30.0%,41,108.0,91,27.3%,,0.0%,87,41.7%,70,10.5%,9,5.6%,,0.0%,57,1.2%
04/28/21,@,DEN,L,112,114,31,21,2,0,8/17,0/0,5/7,90,27.3%,40,105.0,,0.0%,39,14.3%,76,50.0%,34,3.7%,6,3.2%,,0.0%,82,2.6%
04/26/21,vs.,LAC,W,120,103,27,21,1,5,7/10,1/1,6/11,88,26.1%,69,140.0,94,31.2%,49,11.4%,74,57.1%,37,4.2%,0,0.0%,,0.0%,,0.0%
04/24/21,vs.,SAS,L,108,110,38,33,14,2,13/23,0/0,7/13,93,29.6%,49,117.9,59,10.5%,61,6.9%,92,30.8%,65,9.5%,53,18.4%,,0.0%,,0.0%
04/22/21,@,ORL,W,135,100,23,23,7,2,9/12,0/0,5/5,81,23.6%,90,176.9,60,11.1%,59,7.7%,86,44.4%,86,15.8%,34,13.8%,,0.0%,,0.0%
04/20/21,vs.,BKN,L,129,134,35,33,7,4,14/19,0/0,5/6,93,29.5%,81,157.1,79,18.2%,36,16.3%,89,35.7%,53,6.9%,23,10.7%,,0.0%,58,1.2%
04/18/21,@,NYK,L,112,122,42,34,9,5,13/23,0/3,8/11,95,30.9%,53,121.4,92,27.8%,61,6.7%,88,38.5%,71,10.9%,22,10.3%,,0.0%,75,2.1%
04/16/21,@,WAS,L,115,117,31,21,6,0,9/18,0/0,3/6,95,31.0%,27,100.0,,0.0%,12,28.6%,51,77.8%,44,5.4%,32,13.3%,56,1.6%,59,1.3%
04/14/21,vs.,NYK,L,106,116,35,25,8,7,10/19,0/2,5/8,98,36.1%,45,113.6,98,41.2%,42,14.0%,94,20.0%,59,8.1%,33,13.5%,71,2.8%,59,1.3%
04/12/21,vs.,SAC,W,117,110,39,30,6,4,13/20,0/0,4/8,87,26.1%,61,130.4,85,22.2%,47,12.2%,75,53.8%,34,3.7%,11,6.4%,50,1.1%,,0.0%
04/11/21,@,CLE,W,116,109,36,38,9,4,16/22,0/0,6/8,95,31.2%,73,146.2,81,20.0%,38,15.1%,60,68.8%,51,6.7%,49,17.6%,72,2.8%,,0.0%
04/09/21,vs.,PHI,W,101,94,35,37,15,8,15/28,0/1,7/11,99,40.6%,44,112.1,99,50.0%,63,5.5%,89,33.3%,58,7.9%,87,30.3%,,0.0%,,0.0%
04/07/21,@,BKN,L,111,139,23,16,4,6,4/12,0/0,8/14,98,36.1%,22,84.2,97,40.0%,55,9.1%,,100.0%,56,7.7%,44,16.7%,,0.0%,88,3.3%
04/06/21,@,ATL,L,107,123,35,34,5,2,12/18,1/1,9/10,84,25.0%,74,147.8,63,11.8%,,0.0%,74,58.3%,46,5.7%,9,5.9%,,0.0%,58,1.2%
03/29/21,@,BOS,W,115,109,31,28,8,3,11/22,0/0,6/9,99,38.4%,41,107.7,78,17.6%,60,7.1%,93,27.3%,83,14.8%,17,9.1%,,0.0%,98,5.5%
03/27/21,vs.,DAL,W,112,103,35,38,5,6,13/20,0/2,12/18,100,43.3%,66,135.7,94,31.6%,47,12.3%,88,38.5%,56,7.7%,15,8.3%,,0.0%,,0.0%
03/26/21,vs.,DEN,L,108,113,39,39,10,5,16/19,1/1,6/7,89,26.9%,90,177.3,87,23.8%,42,14.0%,52,75.0%,,0.0%,67,22.5%,69,2.6%,59,1.2%
03/23/21,vs.,LAL,W,128,111,29,27,9,5,9/13,0/0,9/10,87,26.1%,74,150.0,87,23.8%,63,5.4%,60,66.7%,59,8.3%,48,17.1%,,0.0%,63,1.4%
