Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,@,BOS,W,103,90,44,18,6,5,7/18,4/9,0/0,64,20.1%,35,100.0,76,18.5%,31,14.6%,47,85.7%,75,6.0%,23,7.3%,93,3.8%,92,3.9%
06/13/22,vs.,BOS,W,104,94,43,26,13,1,12/23,0/6,2/3,78,23.9%,47,108.3,28,3.8%,,0.0%,78,50.0%,47,2.4%,96,27.0%,71,1.3%,75,2.2%
06/10/22,@,BOS,W,107,97,43,17,16,2,7/17,2/6,1/2,61,19.1%,32,94.4,40,6.9%,48,10.3%,87,42.9%,76,6.2%,97,30.2%,,0.0%,47,1.0%
06/08/22,@,BOS,L,100,116,40,18,7,2,7/16,1/6,3/4,72,22.4%,35,100.0,45,8.0%,26,15.8%,47,85.7%,53,2.9%,58,14.3%,84,2.4%,77,2.4%
06/05/22,vs.,BOS,W,107,88,30,11,6,2,4/12,2/3,1/2,67,20.7%,26,84.6,48,9.1%,36,13.8%,54,75.0%,88,9.4%,28,8.1%,,0.0%,,0.0%
06/02/22,vs.,BOS,L,108,120,35,20,5,0,8/15,2/7,2/2,55,17.5%,63,125.0,,0.0%,59,7.1%,54,75.0%,50,2.8%,45,11.4%,95,4.2%,60,1.2%
05/26/22,vs.,DAL,W,120,110,40,18,10,2,7/16,0/7,4/4,59,18.9%,35,100.0,38,6.5%,62,5.9%,47,85.7%,82,7.5%,58,14.3%,,0.0%,54,1.1%
05/24/22,@,DAL,L,109,119,31,13,5,1,5/11,1/3,2/2,54,17.4%,47,108.3,34,5.3%,,0.0%,88,40.0%,90,10.0%,30,8.7%,,0.0%,,0.0%
05/22/22,@,DAL,W,109,100,40,27,11,3,11/20,1/5,4/5,73,22.7%,61,122.7,61,12.5%,,0.0%,69,63.6%,99,17.6%,49,12.5%,,0.0%,,0.0%
05/20/22,vs.,DAL,W,126,117,38,16,5,5,5/14,3/5,3/6,67,20.7%,32,94.1,70,16.1%,62,5.6%,,100.0%,79,6.5%,30,8.6%,75,1.5%,56,1.1%
05/18/22,vs.,DAL,W,112,87,35,19,5,3,8/17,3/8,0/2,81,25.7%,46,105.6,54,10.3%,48,10.3%,78,50.0%,63,4.0%,37,10.0%,75,1.5%,63,1.3%
05/13/22,vs.,MEM,W,110,96,41,18,11,0,7/16,3/5,1/2,45,15.3%,46,105.9,,0.0%,43,11.8%,75,57.1%,93,11.3%,20,6.8%,91,3.2%,46,0.9%
05/11/22,@,MEM,L,95,134,19,5,1,0,2/6,1/3,0/0,36,13.3%,24,83.3,,0.0%,22,16.7%,,100.0%,,0.0%,12,4.0%,80,1.9%,,0.0%
05/09/22,vs.,MEM,W,101,98,39,17,10,1,7/13,1/5,2/3,43,15.1%,59,121.4,28,3.8%,32,14.3%,59,71.4%,94,12.2%,45,11.4%,85,2.5%,52,1.1%
05/07/22,vs.,MEM,W,142,112,26,17,3,1,7/10,2/2,1/1,38,14.0%,89,170.0,35,5.6%,,0.0%,59,71.4%,76,6.2%,23,7.7%,81,2.0%,89,3.5%
05/03/22,@,MEM,L,101,106,37,16,9,2,6/16,1/7,3/4,66,20.7%,28,88.9,43,7.4%,26,15.8%,,100.0%,95,12.8%,33,9.1%,72,1.4%,52,1.1%
05/01/22,@,MEM,W,117,116,34,17,8,1,6/14,1/5,4/7,63,19.6%,35,100.0,27,3.7%,61,6.1%,61,66.7%,88,9.4%,56,13.5%,,0.0%,,0.0%
04/27/22,vs.,DEN,W,102,98,24,12,5,2,4/9,1/1,3/5,76,23.6%,48,109.1,65,14.3%,24,16.0%,54,75.0%,,0.0%,87,21.7%,82,2.0%,,0.0%
04/24/22,@,DEN,L,121,126,37,20,6,1,9/16,1/3,1/2,56,17.6%,56,117.6,26,3.6%,61,6.5%,61,66.7%,89,9.7%,49,12.5%,91,3.1%,76,2.3%
04/21/22,@,DEN,W,118,113,29,9,6,1,3/6,2/4,1/2,27,11.5%,67,128.6,33,5.0%,32,14.3%,,100.0%,69,5.0%,63,14.8%,,0.0%,67,1.6%
04/18/22,vs.,DEN,W,126,106,31,13,8,2,5/9,2/3,1/3,48,15.9%,68,130.0,41,7.1%,48,10.0%,51,80.0%,88,9.1%,69,16.2%,75,1.5%,,0.0%
04/16/22,vs.,DEN,W,123,107,29,16,9,2,6/11,1/2,3/4,59,18.7%,62,123.1,48,9.1%,55,8.0%,49,83.3%,66,4.5%,95,26.7%,,0.0%,65,1.5%
04/09/22,@,SAS,W,100,94,35,15,2,0,5/13,2/7,3/8,73,21.2%,29,88.2,,0.0%,57,6.1%,67,60.0%,,0.0%,18,5.7%,,0.0%,,0.0%
04/07/22,vs.,LAL,W,128,112,27,17,4,1,7/12,3/5,0/0,52,16.9%,76,141.7,27,4.3%,24,17.4%,44,85.7%,87,8.7%,29,8.3%,76,1.7%,,0.0%
04/03/22,@,SAC,W,109,90,36,25,5,5,8/16,4/7,5/6,88,26.6%,68,131.6,91,26.3%,60,4.8%,85,37.5%,,0.0%,56,13.5%,,0.0%,55,1.3%
04/02/22,vs.,UTA,W,111,107,33,17,2,3,7/10,3/4,0/0,50,16.7%,91,170.0,61,12.5%,24,17.4%,70,57.1%,61,3.8%,9,2.5%,73,1.5%,83,2.9%
03/30/22,vs.,PHX,L,103,107,33,19,8,1,6/16,2/6,5/8,85,25.0%,33,95.0,36,6.2%,31,14.3%,45,83.3%,91,10.3%,43,11.1%,71,1.5%,,0.0%
03/28/22,@,MEM,L,95,123,29,10,6,2,5/15,0/5,0/0,90,27.7%,16,66.7,59,11.8%,25,16.7%,84,40.0%,79,6.7%,54,13.3%,,0.0%,62,1.5%
03/27/22,@,WAS,L,115,123,35,23,2,0,8/14,0/3,7/10,79,22.9%,65,127.8,,0.0%,28,15.4%,85,37.5%,51,2.8%,11,3.4%,,0.0%,51,1.2%
03/25/22,@,ATL,L,110,121,22,9,4,2,4/9,1/4,0/0,49,16.3%,34,100.0,61,12.5%,,0.0%,51,75.0%,,0.0%,87,22.2%,,0.0%,,0.0%
03/23/22,@,MIA,W,118,104,37,22,3,1,8/16,3/7,3/3,70,20.5%,67,129.4,29,4.8%,57,6.2%,66,62.5%,,0.0%,17,5.4%,70,1.4%,55,1.3%
03/22/22,@,ORL,L,90,94,36,13,8,0,5/19,2/6,1/2,81,23.5%,16,65.0,,0.0%,59,5.1%,67,60.0%,80,7.0%,68,16.7%,,0.0%,53,1.2%
03/20/22,vs.,SAS,L,108,110,33,16,7,2,5/13,0/3,6/9,77,22.3%,33,94.1,50,9.5%,59,5.4%,93,20.0%,72,5.4%,49,12.5%,,0.0%,76,2.4%
03/12/22,vs.,MIL,W,122,109,36,21,6,4,8/16,3/8,2/2,74,21.3%,62,123.5,70,15.4%,58,5.7%,66,62.5%,88,9.1%,14,4.8%,87,2.6%,,0.0%
03/10/22,@,DEN,W,113,102,34,7,4,5,3/11,1/7,0/3,63,18.9%,14,58.3,80,19.2%,54,7.1%,,100.0%,,0.0%,47,11.8%,,0.0%,91,4.1%
03/08/22,vs.,LAC,W,112,97,31,14,11,3,6/14,2/5,0/0,86,25.7%,34,100.0,65,13.6%,9,26.3%,72,50.0%,74,5.7%,87,22.0%,96,4.6%,,0.0%
03/05/22,@,LAL,L,116,124,32,14,5,4,6/15,2/4,0/2,81,23.4%,28,87.5,72,16.0%,59,5.6%,86,33.3%,78,6.5%,40,10.3%,,0.0%,91,3.9%
03/03/22,@,DAL,L,113,122,37,17,5,5,7/17,1/3,2/4,90,27.8%,30,89.5,77,17.9%,34,13.3%,70,57.1%,91,10.3%,23,7.1%,71,1.5%,89,3.7%
03/01/22,@,MIN,L,114,129,30,12,7,4,5/13,2/6,0/0,78,22.5%,32,92.3,80,20.0%,21,18.8%,47,80.0%,54,3.1%,80,20.0%,92,3.2%,59,1.4%
02/27/22,vs.,DAL,L,101,107,34,18,2,2,7/16,2/6,2/5,77,22.4%,34,100.0,46,8.7%,,0.0%,70,57.1%,51,2.8%,10,3.3%,,0.0%,79,2.6%
02/24/22,@,POR,W,132,95,26,10,3,1,4/13,2/8,0/2,75,21.8%,19,71.4,32,5.3%,,0.0%,72,50.0%,62,4.0%,36,9.5%,81,2.0%,85,3.2%
02/16/22,vs.,DEN,L,116,117,36,9,4,4,4/12,1/5,0/0,55,17.4%,21,75.0,67,14.3%,34,13.3%,72,50.0%,50,2.7%,32,8.8%,71,1.4%,75,2.3%
02/14/22,@,LAC,L,104,119,28,13,2,1,5/10,2/4,1/2,59,18.3%,57,118.2,34,5.9%,48,9.1%,67,60.0%,61,3.8%,12,4.2%,78,1.8%,,0.0%
02/12/22,vs.,LAL,W,117,115,33,19,4,1,7/15,3/7,2/5,73,21.1%,51,111.8,29,4.8%,,0.0%,83,42.9%,,0.0%,31,8.6%,69,1.4%,56,1.3%
02/10/22,vs.,NYK,L,114,116,36,15,7,4,6/13,2/4,1/1,54,17.3%,54,115.4,72,16.0%,,0.0%,72,50.0%,86,8.3%,41,10.5%,68,1.4%,55,1.3%
