Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/29/22,vs.,MEM,L,106,114,41,30,5,5,10/24,4/10,6/8,98,34.2%,48,107.1,89,22.7%,57,6.3%,94,20.0%,63,2.4%,38,7.3%,91,2.5%,76,2.2%
04/26/22,@,MEM,L,109,111,35,22,1,0,8/20,3/9,3/4,88,25.9%,38,100.0,,0.0%,61,4.7%,88,37.5%,69,3.1%,0,0.0%,,0.0%,,0.0%
04/23/22,vs.,MEM,W,119,118,37,24,4,4,7/13,4/7,6/6,79,23.8%,79,150.0,88,22.2%,31,15.0%,93,28.6%,,0.0%,39,7.5%,98,3.9%,78,2.4%
04/21/22,vs.,MEM,L,95,104,40,19,7,2,6/13,4/9,3/6,61,18.6%,57,118.8,57,10.5%,38,12.5%,,100.0%,,0.0%,77,15.0%,,0.0%,56,1.2%
04/19/22,@,MEM,L,96,124,34,20,6,1,7/16,4/10,2/2,89,26.3%,55,117.6,40,6.7%,15,24.4%,77,57.1%,71,3.3%,63,12.1%,,0.0%,61,1.3%
04/16/22,@,MEM,W,130,117,40,36,2,6,12/23,4/11,8/8,93,29.0%,73,138.5,86,21.4%,55,6.9%,90,33.3%,,0.0%,16,2.6%,89,2.4%,52,1.0%
04/12/22,vs.,LAC,W,109,104,37,30,5,2,10/21,5/11,5/6,92,28.5%,60,125.0,71,14.3%,51,8.2%,79,50.0%,,0.0%,72,14.3%,,0.0%,56,1.2%
04/10/22,vs.,CHI,L,120,124,18,8,0,1,3/8,0/4,2/2,83,24.4%,32,88.9,47,9.1%,43,10.0%,88,33.3%,,0.0%,0,0.0%,,0.0%,78,2.4%
04/07/22,vs.,SAS,W,127,121,39,49,6,8,16/28,6/14,11/14,100,38.5%,78,144.1,98,38.1%,57,5.4%,88,37.5%,79,4.9%,50,10.0%,,0.0%,49,1.0%
04/05/22,vs.,WAS,L,114,132,32,18,6,4,8/17,1/6,1/1,81,23.7%,48,105.9,74,16.7%,40,11.1%,54,75.0%,,0.0%,87,20.0%,,0.0%,,0.0%
04/03/22,@,HOU,W,139,132,35,33,4,5,12/21,4/12,5/5,97,32.1%,78,143.5,86,21.7%,51,7.7%,92,25.0%,,0.0%,57,11.1%,81,1.5%,78,2.5%
04/01/22,@,DEN,W,136,130,40,18,8,7,6/15,3/7,3/4,80,23.4%,48,105.9,88,22.6%,46,9.3%,88,33.3%,83,5.7%,83,17.9%,,0.0%,50,1.1%
03/30/22,@,TOR,L,102,125,32,24,8,4,10/17,4/7,0/0,84,25.0%,76,141.2,93,26.7%,16,20.0%,69,60.0%,64,2.9%,94,23.3%,80,1.5%,54,1.2%
03/27/22,@,BOS,L,112,134,37,24,5,6,9/16,5/9,1/1,93,29.2%,79,150.0,92,26.1%,13,22.2%,88,33.3%,,0.0%,73,14.7%,,0.0%,56,1.3%
03/25/22,vs.,DAL,W,116,95,32,12,6,4,6/14,0/4,0/1,82,23.9%,30,85.7,67,14.3%,37,11.8%,88,33.3%,,0.0%,73,14.6%,,0.0%,59,1.4%
03/23/22,vs.,PHX,L,116,125,35,19,4,4,7/17,3/8,2/2,86,25.6%,48,105.6,74,16.7%,20,18.6%,59,71.4%,61,2.7%,30,6.2%,,0.0%,52,1.2%
03/21/22,@,DAL,L,108,110,38,19,6,3,5/12,3/5,6/7,59,18.2%,66,126.7,60,12.0%,56,6.2%,69,60.0%,,0.0%,86,18.8%,,0.0%,,0.0%
03/19/22,vs.,MIL,W,138,119,33,25,5,4,9/16,5/10,2/2,75,21.9%,79,147.1,82,20.0%,57,5.7%,73,55.6%,,0.0%,65,12.8%,,0.0%,91,3.8%
03/16/22,vs.,LAL,W,124,104,32,27,6,4,8/20,6/10,5/6,98,34.2%,58,117.4,85,21.1%,40,11.1%,92,25.0%,85,6.1%,57,11.1%,81,1.6%,79,2.5%
03/14/22,@,SAS,W,149,139,30,5,3,3,2/7,1/2,0/0,30,13.0%,21,71.4,51,10.0%,16,20.0%,74,50.0%,91,8.0%,20,4.2%,82,1.6%,56,1.3%
03/12/22,@,MIA,W,113,104,36,15,8,5,4/10,3/8,4/4,62,18.7%,63,125.0,90,25.0%,55,6.5%,95,0.0%,,0.0%,84,18.2%,76,1.3%,90,3.6%
03/11/22,@,ORL,L,110,118,34,25,3,5,9/19,4/11,3/3,94,29.7%,63,125.0,93,26.3%,,0.0%,95,11.1%,,0.0%,50,9.7%,,0.0%,58,1.4%
03/09/22,vs.,OKC,W,132,102,25,16,1,3,7/15,2/8,0/0,97,32.5%,49,106.7,80,18.8%,15,21.6%,72,57.1%,,0.0%,19,4.0%,87,2.0%,89,3.5%
02/28/22,@,CLE,W,127,122,32,17,4,4,7/13,1/5,2/2,88,26.8%,61,121.4,74,16.7%,15,21.1%,91,28.6%,92,8.3%,35,7.1%,,0.0%,98,5.6%
02/25/22,vs.,PHI,L,102,133,38,15,3,5,5/13,1/6,4/6,72,21.1%,35,93.8,86,21.7%,42,10.5%,69,60.0%,60,2.4%,28,5.9%,77,1.3%,50,1.1%
02/24/22,vs.,MEM,W,119,114,32,5,4,7,1/11,0/6,3/6,87,25.9%,9,35.7,93,26.9%,29,14.6%,95,0.0%,,0.0%,23,4.8%,92,2.6%,,0.0%
02/16/22,vs.,TOR,L,91,103,32,6,3,1,0/8,0/5,6/10,70,20.7%,11,46.2,34,5.9%,54,6.9%,,,,0.0%,53,10.3%,,0.0%,,0.0%
02/15/22,vs.,CHA,W,126,120,18,9,4,1,3/10,1/6,2/5,80,23.5%,22,75.0,47,9.1%,,0.0%,61,66.7%,93,8.7%,54,10.5%,93,2.8%,72,2.0%
02/13/22,@,IND,W,129,120,39,37,5,4,13/25,7/13,4/7,98,33.3%,74,137.0,74,16.7%,43,10.3%,84,46.2%,,0.0%,57,11.1%,75,1.1%,95,4.6%
