Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,MIL,L,100,116,22,8,3,1,3/11,1/4,1/1,51,21.0%,22,72.7,19,7.1%,,0.0%,42,66.7%,74,4.2%,58,11.1%,,0.0%,,0.0%
04/24/22,vs.,MIL,L,95,119,27,8,2,2,3/6,2/5,0/0,8,8.5%,76,133.3,27,10.0%,,0.0%,,100.0%,,0.0%,43,7.7%,,0.0%,57,1.5%
04/22/22,vs.,MIL,L,81,111,9,2,2,1,1/3,0/1,0/0,36,17.5%,19,66.7,87,33.3%,,0.0%,90,0.0%,99,16.7%,0,0.0%,,0.0%,,0.0%
04/20/22,@,MIL,W,114,110,7,0,2,1,0/1,0/0,0/0,12,10.7%,1,0.0,54,20.0%,,0.0%,,,,0.0%,58,11.1%,,0.0%,,0.0%
04/17/22,@,MIL,L,86,93,9,0,2,2,0/1,0/1,0/0,19,14.3%,1,0.0,77,28.6%,4,33.3%,,,93,9.1%,54,10.0%,,0.0%,,0.0%
04/10/22,@,MIN,W,124,120,45,26,5,6,9/18,3/6,5/7,76,25.9%,66,123.8,53,18.8%,13,24.6%,51,55.6%,86,5.9%,36,7.1%,,0.0%,65,1.8%
04/08/22,vs.,CHA,L,117,133,28,16,1,3,7/10,1/2,1/2,44,19.7%,89,160.0,36,13.0%,26,16.7%,66,42.9%,,0.0%,24,4.8%,,0.0%,85,3.3%
04/06/22,vs.,BOS,L,94,117,17,7,2,1,3/3,1/1,0/0,9,11.4%,99,233.3,30,11.1%,10,25.0%,72,33.3%,,0.0%,73,14.3%,,0.0%,,0.0%
04/05/22,vs.,MIL,L,106,127,20,6,4,1,3/8,0/1,0/0,45,19.8%,24,75.0,30,11.1%,42,11.8%,38,66.7%,,0.0%,89,20.0%,,0.0%,73,2.3%
04/02/22,vs.,MIA,L,109,127,30,11,2,4,5/10,1/4,0/0,21,14.8%,53,110.0,54,19.0%,,0.0%,,100.0%,,0.0%,51,9.5%,,0.0%,,0.0%
03/31/22,vs.,LAC,W,135,130,24,8,2,2,4/8,0/3,0/0,37,18.2%,39,100.0,39,14.3%,19,20.0%,52,50.0%,,0.0%,70,13.3%,92,2.4%,65,1.8%
03/29/22,@,WAS,W,107,94,27,4,1,6,2/5,0/1,0/0,16,13.6%,27,80.0,74,27.3%,,0.0%,52,50.0%,,0.0%,29,5.9%,,0.0%,,0.0%
03/28/22,@,NYK,L,104,109,36,10,2,3,4/8,2/5,0/0,8,10.8%,67,125.0,39,14.3%,42,11.8%,,100.0%,70,3.0%,15,2.6%,,0.0%,,0.0%
03/26/22,@,CLE,W,98,94,32,11,2,5,5/6,0/1,1/1,8,10.9%,95,183.3,67,23.8%,33,14.3%,,100.0%,,0.0%,35,6.9%,,0.0%,,0.0%
03/24/22,@,NOP,L,109,126,32,4,4,5,2/8,0/3,0/0,23,15.2%,11,50.0,67,23.8%,50,9.5%,,100.0%,74,3.6%,68,13.0%,,0.0%,,0.0%
03/22/22,@,MIL,L,98,126,23,5,0,0,2/6,1/3,0/0,8,10.6%,30,83.3,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/21/22,vs.,TOR,W,113,99,22,11,2,5,5/9,1/2,0/0,54,21.3%,65,122.2,75,27.8%,,0.0%,47,60.0%,84,5.3%,24,5.0%,92,2.3%,,0.0%
03/18/22,@,PHX,L,102,129,23,2,1,1,1/6,0/3,0/0,17,13.9%,7,33.3,17,5.9%,36,13.3%,89,0.0%,,0.0%,24,4.8%,,0.0%,66,1.9%
03/16/22,@,UTA,L,110,125,31,15,3,6,6/11,2/3,1/1,46,20.0%,77,136.4,72,26.1%,33,14.3%,38,66.7%,70,3.1%,42,8.0%,,0.0%,57,1.4%
03/14/22,@,SAC,L,103,112,31,6,2,2,3/9,0/5,0/0,24,15.4%,19,66.7,24,9.1%,21,19.0%,,100.0%,71,3.2%,18,3.4%,,0.0%,,0.0%
03/12/22,vs.,CLE,W,101,91,36,17,2,3,7/10,3/4,0/0,18,14.2%,92,170.0,39,14.3%,25,17.4%,49,57.1%,,0.0%,24,5.0%,95,2.9%,75,2.5%
03/09/22,@,DET,W,114,108,37,9,4,7,4/6,0/1,1/2,17,13.8%,70,128.6,68,24.1%,22,18.2%,33,75.0%,,0.0%,72,13.8%,,0.0%,89,3.8%
03/07/22,@,PHI,L,106,121,31,11,3,4,5/12,0/2,1/2,58,22.2%,32,84.6,59,21.1%,39,12.5%,68,40.0%,,0.0%,57,10.7%,,0.0%,79,2.8%
03/04/22,vs.,MIL,L,112,118,35,8,5,7,4/7,0/2,0/0,26,16.0%,56,114.3,62,21.9%,14,23.1%,80,25.0%,,0.0%,77,15.2%,,0.0%,51,1.2%
03/03/22,@,ATL,L,124,130,36,15,0,4,7/10,1/1,0/0,18,14.3%,84,150.0,39,14.3%,52,9.1%,49,57.1%,,0.0%,0,0.0%,82,1.4%,53,1.3%
02/28/22,@,MIA,L,99,112,32,14,4,3,6/11,2/5,0/0,34,17.6%,70,127.3,42,15.0%,28,16.0%,38,66.7%,,0.0%,70,13.3%,84,1.5%,,0.0%
