Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/29/22,vs.,BOS,L,96,100,46,25,11,4,12/21,0/0,1/3,79,21.2%,46,113.6,78,17.4%,,0.0%,77,50.0%,63,8.5%,35,13.3%,,0.0%,,0.0%
05/27/22,@,BOS,W,111,103,41,6,9,2,3/6,0/0,0/0,35,11.4%,27,100.0,46,7.1%,11,38.1%,88,33.3%,60,8.3%,47,16.7%,,0.0%,64,1.1%
05/25/22,vs.,BOS,L,80,93,38,18,10,1,8/15,0/0,2/2,71,18.5%,44,112.5,51,8.3%,60,6.1%,92,25.0%,72,10.7%,38,13.8%,61,1.6%,,0.0%
05/23/22,@,BOS,L,82,102,28,9,6,2,3/5,0/0,3/5,61,16.9%,58,128.6,75,16.7%,16,30.0%,64,66.7%,33,2.9%,34,12.9%,,0.0%,,0.0%
05/21/22,@,BOS,W,109,103,41,31,10,6,15/21,0/0,1/1,89,25.9%,71,147.6,87,24.0%,61,4.4%,88,33.3%,48,5.6%,77,25.8%,59,1.5%,96,4.6%
05/19/22,vs.,BOS,L,102,127,29,6,9,2,3/6,0/0,0/1,36,11.9%,27,100.0,56,9.5%,44,13.3%,88,33.3%,77,12.0%,66,22.2%,,0.0%,,0.0%
05/17/22,vs.,BOS,W,118,107,37,10,4,1,3/4,0/0,4/5,22,9.3%,82,166.7,36,3.6%,21,26.7%,64,66.7%,,0.0%,21,9.4%,93,5.8%,,0.0%
05/12/22,@,PHI,W,99,90,34,10,8,0,5/5,0/0,0/0,17,8.4%,88,200.0,,0.0%,6,46.2%,74,60.0%,35,3.2%,52,17.9%,61,1.6%,84,2.6%
05/10/22,vs.,PHI,W,120,85,28,12,6,0,4/7,0/0,4/7,48,14.4%,51,120.0,,0.0%,,0.0%,56,75.0%,44,5.0%,46,16.1%,85,4.2%,75,1.7%
05/08/22,@,PHI,L,108,116,33,21,7,4,9/12,0/0,3/3,71,18.6%,81,161.5,84,21.1%,57,7.7%,64,66.7%,38,3.8%,79,27.3%,,0.0%,,0.0%
05/06/22,@,PHI,L,79,99,34,9,3,1,2/9,0/0,5/8,87,24.3%,18,69.2,43,6.2%,34,18.2%,93,0.0%,,0.0%,37,13.6%,,0.0%,87,2.9%
05/04/22,vs.,PHI,W,119,103,33,23,9,3,7/11,0/0,9/11,78,20.7%,77,153.3,72,15.0%,59,6.9%,50,85.7%,77,12.0%,58,20.0%,,0.0%,69,1.4%
05/02/22,vs.,PHI,W,106,92,34,24,12,4,8/10,0/0,8/8,78,20.6%,85,171.4,78,18.2%,34,18.2%,74,62.5%,64,8.8%,81,28.1%,64,1.7%,82,2.5%
04/26/22,vs.,ATL,W,97,94,41,20,11,4,7/11,0/0,6/8,75,19.9%,61,133.3,75,16.7%,36,17.1%,61,71.4%,46,5.3%,71,23.7%,58,1.4%,65,1.1%
04/24/22,@,ATL,W,110,86,29,14,7,1,6/11,0/0,2/3,67,17.9%,49,116.7,43,5.9%,55,8.3%,77,50.0%,71,10.5%,31,12.5%,,0.0%,,0.0%
04/22/22,@,ATL,L,110,111,35,13,11,5,5/9,0/0,3/3,64,17.5%,50,118.2,81,19.2%,30,20.7%,54,80.0%,47,5.4%,88,32.1%,,0.0%,91,3.6%
04/19/22,vs.,ATL,W,115,105,24,9,4,3,3/6,0/0,3/4,86,23.5%,44,112.5,80,18.8%,12,33.3%,,100.0%,49,5.9%,37,13.6%,69,2.1%,,0.0%
04/17/22,vs.,ATL,W,115,91,28,6,6,5,1/5,0/0,4/4,81,21.7%,24,85.7,86,21.7%,15,30.8%,,100.0%,,0.0%,55,18.8%,68,2.0%,74,1.7%
04/08/22,vs.,ATL,W,113,109,33,24,6,4,8/14,0/0,8/10,91,28.7%,57,126.3,80,19.0%,65,5.1%,69,62.5%,58,8.7%,32,13.3%,,0.0%,86,2.9%
04/05/22,vs.,CHA,W,144,115,31,22,9,3,7/10,0/0,8/9,70,21.0%,80,157.1,62,12.0%,62,6.9%,73,57.1%,59,9.1%,68,23.1%,56,1.7%,65,1.4%
04/03/22,@,TOR,W,114,109,36,16,9,1,6/12,0/0,4/9,62,19.1%,27,100.0,32,4.0%,45,12.9%,,100.0%,48,6.9%,56,20.0%,,0.0%,,0.0%
04/02/22,@,CHI,W,127,109,26,16,7,3,7/9,0/0,2/2,88,26.5%,82,160.0,73,16.7%,11,29.6%,73,57.1%,,0.0%,81,28.0%,,0.0%,,0.0%
03/30/22,@,BOS,W,106,98,33,17,12,8,5/10,0/0,7/9,77,22.7%,53,121.4,95,32.0%,64,5.7%,70,60.0%,63,9.7%,76,25.7%,,0.0%,82,2.6%
03/28/22,vs.,SAC,W,123,100,32,22,15,1,10/16,0/0,2/2,84,25.0%,60,129.4,33,4.3%,50,11.4%,87,40.0%,84,15.4%,95,37.5%,61,2.0%,85,2.9%
03/26/22,vs.,BKN,L,95,110,24,14,6,2,5/8,0/1,4/6,87,26.3%,58,127.3,73,16.7%,14,26.7%,87,40.0%,63,10.0%,53,18.8%,87,4.4%,70,1.8%
03/25/22,vs.,NYK,L,103,111,32,17,9,1,6/7,0/0,5/7,47,16.1%,87,170.0,40,6.2%,53,10.0%,75,50.0%,73,12.5%,44,16.7%,57,1.7%,68,1.6%
03/23/22,vs.,GSW,L,104,118,34,25,9,3,9/16,0/0,7/10,96,33.6%,49,119.0,77,17.6%,36,16.3%,86,44.4%,85,15.6%,38,14.8%,,0.0%,63,1.4%
03/21/22,@,PHI,L,106,113,36,22,9,2,9/14,0/0,4/4,81,24.0%,67,137.5,53,9.5%,21,22.9%,50,77.8%,48,6.9%,66,22.6%,87,4.5%,63,1.4%
03/18/22,vs.,OKC,W,120,108,25,19,9,3,8/10,0/0,3/3,73,21.6%,88,172.7,73,16.7%,,0.0%,89,37.5%,63,10.0%,76,25.9%,,0.0%,74,2.0%
03/15/22,vs.,DET,W,105,98,24,16,8,3,4/8,0/0,8/10,92,29.0%,54,123.1,84,21.4%,43,13.8%,,100.0%,,0.0%,88,32.0%,,0.0%,,0.0%
03/12/22,vs.,MIN,L,104,113,33,19,12,4,7/12,0/0,5/9,81,23.8%,57,126.7,87,23.5%,25,20.5%,87,42.9%,38,5.1%,83,29.0%,,0.0%,92,3.7%
03/11/22,vs.,CLE,W,117,105,33,29,17,1,11/16,0/0,7/7,85,25.4%,79,152.6,37,5.6%,33,16.7%,46,81.8%,52,7.7%,99,50.0%,58,1.8%,94,4.2%
03/09/22,vs.,PHX,L,90,111,30,17,6,5,7/11,0/0,3/3,82,24.2%,70,141.7,90,26.3%,16,25.0%,57,71.4%,,0.0%,60,20.7%,56,1.7%,66,1.5%
03/07/22,vs.,HOU,W,123,106,30,18,10,1,8/15,0/0,2/2,73,21.6%,50,120.0,32,4.2%,43,13.8%,51,75.0%,73,12.5%,62,21.4%,58,1.7%,,0.0%
03/05/22,vs.,PHI,W,99,82,31,6,10,2,3/10,0/0,0/0,55,17.7%,11,60.0,58,11.1%,56,9.1%,59,66.7%,51,7.4%,76,25.8%,,0.0%,68,1.6%
03/03/22,@,BKN,W,113,107,33,30,11,6,12/15,0/0,6/8,93,30.0%,85,166.7,96,35.3%,28,19.0%,59,66.7%,,0.0%,92,34.5%,,0.0%,85,2.9%
03/02/22,@,MIL,L,119,120,37,18,12,4,8/17,0/0,2/4,69,20.8%,27,100.0,71,15.4%,,0.0%,69,62.5%,26,2.6%,70,23.7%,,0.0%,79,2.4%
