Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/24/22,vs.,MIA,L,86,110,21,4,4,1,1/6,0/3,2/4,62,18.9%,14,50.0,59,11.1%,,0.0%,96,0.0%,81,4.5%,72,14.3%,,0.0%,,0.0%
04/22/22,vs.,MIA,W,111,110,32,18,8,6,7/17,4/9,0/0,91,27.5%,46,105.9,90,25.0%,60,5.3%,77,57.1%,75,3.8%,88,18.9%,81,1.5%,85,2.9%
04/19/22,@,MIA,L,105,115,28,29,4,3,12/18,5/10,0/0,94,29.4%,86,161.1,89,23.1%,60,5.4%,90,33.3%,77,4.2%,58,11.1%,,0.0%,,0.0%
04/17/22,@,MIA,L,91,115,26,6,3,2,0/8,0/4,6/6,87,25.5%,16,54.5,74,15.4%,32,14.3%,,,79,4.3%,54,10.5%,,0.0%,,0.0%
04/15/22,@,CLE,W,107,101,29,19,5,2,6/8,2/3,5/5,49,16.1%,93,190.0,65,11.8%,,0.0%,90,33.3%,77,4.2%,76,14.8%,,0.0%,97,4.8%
04/13/22,vs.,CHA,W,132,103,25,13,2,1,4/9,3/7,2/2,43,15.0%,66,130.0,33,5.0%,,0.0%,59,75.0%,76,4.0%,19,3.4%,,0.0%,71,1.7%
04/10/22,@,HOU,W,130,114,28,14,5,7,5/14,4/9,0/3,87,26.2%,35,93.3,96,33.3%,,0.0%,50,80.0%,,0.0%,78,16.1%,,0.0%,86,3.2%
04/08/22,@,MIA,L,109,113,36,25,7,2,8/18,3/8,6/6,77,22.4%,59,119.0,43,8.0%,,0.0%,68,62.5%,64,2.9%,94,23.8%,,0.0%,76,2.3%
04/06/22,vs.,WAS,W,118,103,26,15,2,3,5/12,5/8,0/0,67,19.8%,63,125.0,70,15.0%,,0.0%,50,80.0%,,0.0%,44,8.7%,,0.0%,,0.0%
04/05/22,@,TOR,L,108,118,32,19,9,3,7/17,5/12,0/0,80,23.2%,52,111.8,74,16.7%,56,6.1%,47,85.7%,62,2.8%,87,19.5%,78,1.4%,,0.0%
