Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
01/29/22,@,MEM,L,95,115,35,9,2,12,2/11,0/1,5/7,86,28.9%,18,64.3,97,48.0%,52,9.1%,89,0.0%,,0.0%,24,5.0%,,0.0%,54,1.3%
01/25/22,vs.,LAC,L,115,116,40,23,9,6,8/15,2/5,5/6,67,24.0%,76,135.3,68,25.0%,17,21.3%,71,37.5%,68,2.8%,84,17.0%,,0.0%,47,1.0%
01/23/22,vs.,BOS,L,87,116,31,19,5,7,7/17,0/3,5/5,96,34.8%,39,100.0,96,46.7%,54,8.7%,66,42.9%,69,2.9%,70,13.3%,,0.0%,82,3.0%
01/21/22,vs.,TOR,L,105,109,40,25,5,8,10/19,1/3,4/5,97,35.8%,62,119.0,79,29.6%,7,28.6%,52,50.0%,89,6.7%,41,7.9%,,0.0%,,0.0%
01/19/22,vs.,BKN,L,118,119,37,23,4,9,7/18,3/7,6/8,91,31.0%,49,104.5,88,36.0%,69,3.8%,66,42.9%,,0.0%,65,12.5%,81,1.4%,73,2.4%
01/17/22,vs.,PHI,W,117,98,33,13,5,6,5/12,1/3,2/3,56,21.8%,39,100.0,68,25.0%,42,11.8%,68,40.0%,70,3.0%,56,10.3%,84,1.5%,,0.0%
01/09/22,@,ORL,W,102,100,37,20,6,7,7/22,3/7,3/4,90,30.7%,30,83.3,91,38.9%,59,7.4%,37,71.4%,65,2.3%,59,10.9%,80,1.3%,,0.0%
01/07/22,@,CHI,L,122,130,34,26,3,6,9/14,2/4,6/6,87,29.5%,87,152.9,76,28.6%,17,21.7%,66,44.4%,,0.0%,50,9.4%,,0.0%,53,1.3%
01/05/22,vs.,HOU,L,111,114,30,27,5,5,9/25,3/8,6/6,100,41.7%,39,96.4,82,31.2%,52,9.2%,83,22.2%,68,2.9%,57,10.7%,86,1.7%,53,1.3%
01/03/22,vs.,CHA,W,124,121,43,35,7,8,11/22,3/8,10/11,91,31.2%,72,129.6,83,32.0%,41,12.3%,65,45.5%,66,2.5%,65,12.5%,79,1.0%,,0.0%
01/01/22,vs.,CHI,L,119,120,43,27,2,17,8/20,0/4,11/13,99,37.9%,49,103.8,97,48.6%,65,5.6%,88,12.5%,,0.0%,27,5.4%,,0.0%,92,4.2%
12/30/21,vs.,CLE,W,110,93,34,29,6,10,13/23,2/5,1/1,98,36.7%,69,126.1,94,43.5%,60,7.3%,71,38.5%,72,3.3%,76,14.7%,,0.0%,55,1.3%
12/18/21,@,UTA,W,109,103,36,37,5,7,13/24,2/5,9/10,96,34.9%,73,132.1,91,38.9%,62,6.7%,52,53.8%,83,5.1%,41,7.9%,82,1.4%,,0.0%
12/16/21,@,PHX,L,98,118,31,26,3,5,11/18,2/3,2/4,98,36.8%,72,130.0,83,33.3%,19,20.0%,65,45.5%,73,3.4%,51,9.5%,,0.0%,58,1.5%
12/15/21,@,SAC,L,105,119,36,30,5,5,13/24,2/6,2/4,97,35.7%,58,115.4,61,21.7%,49,10.0%,83,23.1%,86,5.7%,59,11.1%,,0.0%,50,1.2%
12/13/21,@,DEN,L,107,113,39,19,3,10,8/19,2/5,1/3,84,28.2%,39,100.0,95,45.5%,57,8.2%,71,37.5%,65,2.3%,31,6.2%,83,1.5%,,0.0%
12/11/21,vs.,UTA,L,98,123,34,21,5,5,9/19,1/3,2/2,98,36.2%,50,105.0,72,26.3%,17,21.8%,83,22.2%,70,3.1%,62,11.8%,,0.0%,54,1.3%
12/08/21,@,DET,W,119,116,43,25,6,3,10/19,0/2,5/8,81,27.5%,56,113.6,36,13.0%,28,16.0%,52,50.0%,86,5.9%,64,12.1%,,0.0%,48,1.1%
12/06/21,@,IND,L,110,116,39,34,2,4,12/19,1/3,9/10,89,30.1%,84,147.8,46,16.7%,68,4.0%,86,16.7%,70,3.1%,16,2.9%,,0.0%,,0.0%
12/05/21,@,TOR,L,90,102,35,14,1,7,4/12,1/3,5/7,71,25.0%,38,93.3,83,33.3%,,0.0%,33,75.0%,,0.0%,15,2.8%,,0.0%,,0.0%
12/03/21,vs.,CLE,L,101,116,27,14,3,1,6/17,0/3,2/4,84,28.2%,26,77.8,21,7.7%,65,5.7%,38,66.7%,70,3.1%,51,9.5%,89,2.0%,,0.0%
12/01/21,vs.,MIN,W,115,107,38,17,6,9,7/19,1/5,2/4,90,30.5%,29,81.0,83,32.1%,45,11.3%,49,57.1%,94,8.6%,41,7.9%,,0.0%,49,1.1%
11/29/21,@,SAS,L,99,116,36,18,2,8,8/21,1/5,1/2,97,35.3%,29,81.8,83,32.0%,59,7.5%,71,37.5%,70,3.1%,16,2.9%,,0.0%,,0.0%
11/27/21,@,DAL,W,120,114,38,26,5,7,10/14,1/1,5/6,73,25.3%,90,162.5,68,25.0%,33,14.3%,78,30.0%,,0.0%,69,13.2%,,0.0%,74,2.4%
11/26/21,@,OKC,W,101,99,37,20,4,6,8/18,2/7,2/2,86,29.1%,50,105.3,68,25.0%,38,13.0%,52,50.0%,,0.0%,47,8.9%,,0.0%,,0.0%
11/24/21,@,NOP,L,102,127,28,23,5,1,11/20,0/4,1/3,90,30.4%,52,109.5,22,8.3%,33,14.3%,46,63.6%,92,7.7%,53,10.0%,,0.0%,,0.0%
11/22/21,vs.,CHA,L,103,109,39,18,7,9,5/18,2/7,6/6,82,27.8%,32,85.7,88,36.0%,33,14.5%,31,80.0%,90,7.1%,38,7.3%,80,1.2%,47,1.0%
11/20/21,vs.,MIA,W,103,100,37,18,4,9,8/17,1/7,1/1,95,33.8%,50,105.9,95,45.0%,14,23.1%,71,37.5%,75,3.7%,47,8.8%,,0.0%,,0.0%
11/18/21,@,MIA,L,97,112,36,30,6,5,11/18,3/8,5/6,96,35.1%,80,142.9,68,25.0%,14,22.2%,65,45.5%,,0.0%,87,18.8%,,0.0%,53,1.3%
11/17/21,@,CHA,L,87,97,35,24,3,7,9/20,5/11,1/1,89,30.3%,62,120.0,94,43.8%,54,8.7%,51,55.6%,,0.0%,38,7.3%,,0.0%,77,2.6%
11/10/21,@,CLE,W,97,94,37,13,7,7,4/19,1/5,4/4,98,36.2%,16,59.1,83,31.8%,35,13.8%,80,25.0%,67,2.6%,87,18.8%,,0.0%,,0.0%
11/07/21,vs.,MIL,W,101,94,37,30,5,8,14/22,2/3,0/1,99,38.3%,77,136.4,90,38.1%,21,19.4%,87,14.3%,,0.0%,62,11.6%,81,1.3%,,0.0%
11/05/21,vs.,MEM,W,115,87,27,17,3,7,7/12,0/3,3/3,92,31.7%,72,130.8,80,30.4%,10,25.0%,66,42.9%,,0.0%,47,9.1%,,0.0%,,0.0%
11/03/21,vs.,TOR,L,100,109,39,25,7,7,8/18,2/5,7/7,90,30.4%,62,119.0,83,33.3%,58,7.8%,80,25.0%,86,5.7%,73,13.9%,82,1.4%,50,1.2%
11/01/21,@,ATL,L,111,118,34,24,2,3,10/21,3/11,1/1,92,31.8%,56,114.3,53,18.8%,26,17.0%,47,60.0%,,0.0%,35,6.9%,,0.0%,78,2.7%
10/30/21,vs.,BOS,W,115,112,46,36,7,6,12/32,3/8,9/9,99,39.6%,39,97.3,87,35.3%,50,9.5%,72,33.3%,64,1.9%,65,12.5%,79,1.1%,66,1.9%
10/28/21,vs.,ATL,W,122,111,38,27,8,8,11/26,1/4,4/4,96,34.3%,39,100.0,83,33.3%,69,3.4%,65,45.5%,66,2.4%,95,23.3%,83,1.5%,,0.0%
