Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/08/22,vs.,MIL,L,101,131,39,14,6,7,6/17,0/4,2/2,97,31.8%,25,77.8,98,38.9%,13,22.2%,94,16.7%,,0.0%,70,14.3%,75,1.1%,,0.0%
04/06/22,vs.,DAL,L,113,131,38,25,7,8,7/19,1/4,10/11,99,37.6%,47,104.2,99,44.4%,26,15.6%,91,28.6%,61,2.6%,94,24.0%,80,1.5%,76,2.4%
04/01/22,@,OKC,W,110,101,8,2,0,0,1/4,0/1,0/0,98,33.3%,11,50.0,,0.0%,4,33.3%,95,0.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/31/22,vs.,PHI,W,102,94,35,27,2,6,12/20,0/3,3/4,98,34.2%,62,122.7,96,33.3%,50,8.0%,88,33.3%,,0.0%,38,7.7%,,0.0%,97,5.5%
03/29/22,@,BKN,L,123,130,32,34,1,6,13/24,5/11,3/3,99,35.4%,73,136.0,95,30.0%,31,13.8%,84,46.2%,,0.0%,25,5.3%,,0.0%,78,2.4%
03/27/22,vs.,NYK,L,102,104,37,18,0,7,7/18,1/4,3/4,99,34.9%,32,90.0,95,29.2%,28,15.1%,91,28.6%,,0.0%,0,0.0%,92,2.7%,56,1.3%
03/25/22,vs.,WAS,L,97,100,35,22,7,9,11/22,0/2,0/0,98,34.1%,36,100.0,100,52.9%,42,10.7%,92,27.3%,90,7.7%,56,10.8%,80,1.5%,,0.0%
03/23/22,vs.,ATL,W,122,101,35,17,6,8,7/12,0/2,3/3,83,24.4%,69,130.8,93,26.7%,12,23.8%,91,28.6%,65,3.0%,59,11.4%,80,1.5%,51,1.2%
03/21/22,vs.,POR,L,115,119,36,25,3,7,10/17,1/3,4/5,96,31.7%,69,131.6,97,35.0%,6,30.5%,86,40.0%,,0.0%,40,7.9%,76,1.3%,94,4.3%
03/19/22,@,CLE,L,109,113,36,15,6,10,5/13,2/4,3/6,95,30.9%,35,93.8,98,35.7%,16,20.0%,86,40.0%,87,6.7%,69,13.8%,80,1.5%,78,2.5%
03/13/22,vs.,LAC,L,102,106,44,23,9,10,10/20,0/3,3/3,95,30.6%,51,109.5,99,40.0%,41,10.9%,91,30.0%,,0.0%,87,20.0%,90,2.3%,,0.0%
03/11/22,@,BOS,L,103,114,41,27,8,6,10/27,3/10,4/4,99,36.6%,35,93.1,93,27.3%,37,11.8%,86,40.0%,60,2.5%,79,16.7%,,0.0%,,0.0%
03/09/22,vs.,CHI,L,108,114,36,22,4,6,9/15,2/3,2/2,96,31.2%,74,137.5,90,25.0%,10,25.0%,93,22.2%,,0.0%,78,16.0%,,0.0%,,0.0%
03/07/22,vs.,ATL,W,113,110,43,28,6,10,10/25,2/7,6/7,99,35.4%,36,100.0,98,35.7%,48,8.8%,86,40.0%,60,2.4%,59,11.4%,76,1.2%,49,1.0%
