Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,vs.,DAL,L,90,123,31,10,1,4,4/8,1/3,1/2,16,16.2%,54,111.1,74,36.4%,,0.0%,65,25.0%,,0.0%,12,4.0%,,0.0%,60,1.5%
05/12/22,@,DAL,L,86,113,36,13,2,4,4/7,3/5,2/2,23,18.7%,91,162.5,26,21.1%,1,35.7%,33,50.0%,72,3.4%,0,0.0%,,0.0%,77,2.7%
05/10/22,vs.,DAL,W,110,80,35,7,2,10,3/8,1/3,0/0,36,22.6%,29,87.5,77,37.0%,12,24.2%,54,33.3%,,0.0%,22,6.7%,,0.0%,54,1.4%
05/08/22,@,DAL,L,101,111,23,5,5,7,2/4,1/1,0/0,20,17.6%,68,125.0,86,41.2%,17,22.2%,33,50.0%,,0.0%,91,25.0%,,0.0%,63,2.0%
05/06/22,@,DAL,L,94,103,37,12,7,4,5/9,2/4,0/0,40,23.3%,75,133.3,21,19.0%,0,40.0%,73,20.0%,89,6.2%,56,12.8%,,0.0%,53,1.3%
05/04/22,vs.,DAL,W,129,109,36,28,6,8,11/16,1/2,5/5,68,31.3%,89,155.6,54,29.6%,58,8.5%,83,9.1%,,0.0%,82,20.0%,,0.0%,53,1.3%
05/02/22,vs.,DAL,W,121,114,29,19,5,3,7/13,2/5,3/3,38,23.1%,78,135.7,16,15.8%,70,6.5%,62,28.6%,,0.0%,59,13.3%,87,1.8%,58,1.5%
04/28/22,@,NOP,W,115,109,36,33,5,8,14/14,1/1,4/4,66,31.2%,97,206.3,63,33.3%,33,14.0%,72,21.4%,88,5.6%,63,13.8%,,0.0%,57,1.4%
04/26/22,vs.,NOP,W,112,97,39,22,6,11,8/17,0/3,6/6,65,31.0%,51,110.0,83,39.3%,77,3.8%,79,12.5%,,0.0%,68,14.6%,,0.0%,90,3.6%
04/24/22,@,NOP,L,103,118,35,4,3,11,2/8,0/3,0/0,37,22.9%,9,50.0,85,40.7%,22,18.8%,33,50.0%,72,3.4%,20,6.2%,,0.0%,80,2.9%
04/22/22,@,NOP,W,114,111,40,28,4,14,10/18,1/6,7/8,76,33.5%,72,127.3,95,48.3%,,0.0%,81,10.0%,89,6.2%,17,5.7%,,0.0%,43,1.2%
04/19/22,vs.,NOP,L,114,125,30,17,1,14,5/16,2/6,5/5,67,31.2%,34,94.4,98,51.9%,,0.0%,86,0.0%,,0.0%,10,3.2%,,0.0%,46,1.2%
04/17/22,vs.,NOP,W,110,99,35,30,7,10,12/16,4/6,2/2,82,35.3%,92,176.5,93,45.5%,59,8.3%,86,0.0%,,0.0%,77,17.5%,81,1.4%,95,4.4%
04/08/22,@,UTA,W,111,105,38,16,6,16,7/11,0/1,2/2,57,27.1%,76,133.3,90,48.5%,45,13.0%,85,0.0%,66,3.0%,58,11.9%,,0.0%,71,2.4%
04/05/22,vs.,LAL,W,121,110,24,6,4,12,3/7,0/2,0/0,40,23.3%,26,85.7,87,46.2%,71,7.1%,85,0.0%,93,7.7%,42,9.1%,,0.0%,84,3.3%
04/03/22,@,OKC,L,96,117,30,11,2,9,5/11,0/3,1/2,54,26.4%,31,91.7,90,50.0%,54,10.8%,85,0.0%,,0.0%,30,6.9%,,0.0%,92,4.3%
04/01/22,@,MEM,L,114,122,32,8,1,11,2/6,1/3,3/5,26,19.9%,56,114.3,73,37.9%,42,13.8%,85,0.0%,,0.0%,10,2.7%,,0.0%,90,4.1%
03/30/22,@,GSW,W,107,103,33,15,3,8,6/9,0/2,3/4,35,22.2%,79,136.4,85,44.4%,29,16.7%,85,0.0%,84,5.3%,11,2.9%,,0.0%,45,1.2%
03/27/22,vs.,PHI,W,114,104,36,19,4,14,9/15,1/3,0/0,67,29.5%,71,126.7,97,56.0%,80,4.3%,85,0.0%,72,3.4%,30,7.0%,80,1.4%,48,1.3%
03/24/22,@,DEN,W,140,130,30,17,4,13,6/10,1/3,4/4,75,31.3%,83,141.7,97,56.5%,39,14.3%,76,16.7%,,0.0%,89,21.1%,89,1.9%,57,1.5%
02/16/22,vs.,HOU,W,124,121,19,11,0,6,3/5,0/2,5/5,59,27.7%,91,157.1,76,40.0%,12,23.1%,85,0.0%,,0.0%,0,0.0%,,0.0%,91,4.3%
02/15/22,vs.,LAC,W,103,96,35,17,5,14,7/13,1/3,2/2,65,29.0%,65,121.4,93,51.9%,46,12.8%,79,14.3%,,0.0%,58,11.9%,,0.0%,45,1.2%
02/12/22,vs.,ORL,W,132,105,26,10,5,15,4/10,2/4,0/0,75,31.5%,35,100.0,96,55.6%,57,10.3%,85,0.0%,,0.0%,80,17.2%,,0.0%,83,3.2%
02/10/22,vs.,MIL,W,131,107,36,17,7,19,5/11,0/3,7/7,75,31.5%,65,121.4,94,52.8%,68,7.8%,85,0.0%,,0.0%,78,16.7%,,0.0%,73,2.5%
02/08/22,@,PHI,W,114,109,42,16,4,12,7/18,1/2,1/2,74,31.1%,25,84.2,82,42.9%,21,19.7%,79,14.3%,,0.0%,42,9.1%,,0.0%,65,2.0%
02/07/22,@,CHI,W,127,124,34,19,3,11,7/11,1/2,4/4,70,30.0%,86,146.2,79,40.7%,25,17.8%,85,0.0%,,0.0%,38,8.3%,,0.0%,50,1.3%
02/05/22,@,WAS,W,95,80,31,14,4,9,6/12,1/5,1/2,59,27.5%,49,107.7,66,34.6%,55,10.5%,76,16.7%,,0.0%,49,10.3%,87,1.7%,55,1.4%
02/03/22,@,ATL,L,115,124,39,18,4,12,7/14,1/5,3/4,47,24.7%,54,112.5,80,41.4%,,0.0%,79,14.3%,,0.0%,55,11.4%,,0.0%,85,3.4%
02/01/22,vs.,BKN,W,121,111,39,20,4,14,5/12,1/4,9/9,59,27.6%,68,125.0,82,42.4%,66,8.5%,27,60.0%,,0.0%,55,11.4%,,0.0%,71,2.4%
01/30/22,vs.,SAS,W,115,110,40,20,8,19,9/16,1/3,1/2,71,30.2%,60,117.6,97,57.6%,70,7.3%,70,22.2%,,0.0%,80,17.0%,75,1.2%,38,1.1%
01/28/22,vs.,MIN,W,134,124,37,19,10,14,5/9,4/5,5/6,34,22.1%,92,158.3,90,50.0%,55,10.5%,18,80.0%,65,2.9%,95,25.0%,77,1.3%,41,1.2%
01/26/22,@,UTA,W,105,97,37,21,4,5,8/17,1/2,4/6,74,30.9%,46,105.0,30,21.7%,80,4.3%,85,0.0%,,0.0%,68,14.3%,,0.0%,,0.0%
01/24/22,vs.,UTA,W,115,109,40,27,9,14,10/17,4/7,3/4,75,31.2%,83,142.1,90,50.0%,13,22.2%,61,30.0%,57,2.3%,93,23.5%,,0.0%,36,1.0%
01/22/22,vs.,IND,W,113,103,41,18,4,16,8/11,0/2,2/2,45,24.5%,87,150.0,90,50.0%,25,17.8%,50,37.5%,,0.0%,46,9.8%,,0.0%,92,4.3%
