Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/29/22,vs.,MEM,L,106,114,27,7,1,4,3/7,1/3,0/0,27,19.2%,37,100.0,26,21.1%,1,34.8%,,100.0%,,0.0%,12,4.0%,,0.0%,98,5.0%
04/26/22,@,MEM,L,109,111,39,12,2,8,4/10,2/4,2/3,28,19.9%,51,109.1,63,33.3%,19,21.6%,65,25.0%,,0.0%,13,4.2%,,0.0%,66,2.2%
04/23/22,vs.,MEM,W,119,118,35,10,2,7,3/12,2/6,2/4,41,23.8%,17,71.4,61,31.8%,49,10.5%,54,33.3%,,0.0%,20,6.2%,,0.0%,46,1.2%
04/21/22,vs.,MEM,L,95,104,39,22,5,8,9/21,4/8,0/0,53,27.7%,45,104.8,79,38.1%,44,11.5%,44,44.4%,,0.0%,61,13.5%,,0.0%,37,1.1%
04/19/22,@,MEM,L,96,124,28,11,2,4,3/11,2/7,3/4,51,27.0%,26,84.6,74,36.4%,41,11.8%,86,0.0%,,0.0%,28,8.0%,,0.0%,60,1.6%
04/16/22,@,MEM,W,130,117,29,10,3,9,2/11,1/3,5/5,47,26.0%,21,76.9,73,36.0%,49,10.5%,33,50.0%,,0.0%,43,10.0%,,0.0%,54,1.4%
04/12/22,vs.,LAC,W,109,104,37,29,5,6,10/18,3/5,6/8,50,27.0%,79,138.1,56,30.0%,75,4.2%,73,20.0%,65,2.7%,53,12.1%,,0.0%,88,3.4%
04/05/22,vs.,WAS,L,114,132,29,17,3,11,7/14,2/6,1/2,73,30.9%,55,113.3,90,50.0%,61,9.5%,45,42.9%,,0.0%,64,13.0%,,0.0%,,0.0%
04/03/22,@,HOU,W,139,132,35,22,1,9,7/16,4/11,4/4,78,32.1%,66,122.2,66,34.6%,22,19.2%,45,42.9%,,0.0%,14,3.7%,,0.0%,95,4.9%
04/01/22,@,DEN,W,136,130,37,24,3,4,6/12,2/5,10/11,40,23.3%,83,141.2,16,14.8%,39,14.3%,52,33.3%,65,2.9%,38,8.3%,,0.0%,39,1.1%
