Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/15/22,vs.,ATL,L,101,107,43,21,3,9,9/27,1/7,2/2,90,39.4%,19,75.0,63,33.3%,35,13.5%,80,11.1%,63,2.5%,17,5.6%,,0.0%,85,3.2%
04/12/22,@,BKN,L,108,115,39,34,1,5,13/24,3/6,5/6,81,34.9%,70,125.9,29,21.7%,23,18.5%,43,46.2%,,0.0%,11,3.4%,,0.0%,66,2.2%
04/10/22,vs.,MIL,W,133,115,23,11,2,8,4/7,3/5,0/0,24,19.2%,91,157.1,59,32.0%,,0.0%,32,50.0%,,0.0%,28,6.7%,,0.0%,,0.0%
04/08/22,@,BKN,L,107,118,41,31,0,3,12/24,3/6,4/4,83,33.7%,63,119.2,14,13.6%,72,6.9%,84,8.3%,,0.0%,0,0.0%,,0.0%,70,2.3%
04/05/22,@,ORL,L,115,120,41,27,6,10,11/24,2/6,3/5,79,32.3%,45,103.8,80,41.7%,82,3.3%,51,36.4%,60,2.6%,63,12.8%,,0.0%,66,2.2%
04/03/22,vs.,PHI,L,108,112,37,23,4,4,7/18,3/5,6/6,58,27.4%,51,109.5,25,20.0%,80,4.4%,45,42.9%,89,6.2%,23,5.7%,,0.0%,94,4.9%
04/02/22,@,NYK,W,119,101,36,24,0,13,8/19,5/9,3/4,92,38.6%,56,114.3,83,43.3%,45,13.1%,65,25.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/31/22,@,ATL,L,107,131,30,18,1,8,7/21,1/4,3/5,95,40.4%,20,78.3,90,50.0%,57,10.2%,79,14.3%,69,3.2%,0,0.0%,86,1.6%,52,1.4%
03/30/22,vs.,DAL,L,112,120,37,25,5,10,10/17,4/4,1/2,77,31.9%,81,138.9,76,40.0%,37,15.1%,83,10.0%,,0.0%,68,14.3%,,0.0%,94,4.8%
03/28/22,vs.,ORL,W,107,101,40,25,3,12,7/16,5/9,6/6,66,29.1%,76,131.6,87,46.2%,52,11.3%,45,42.9%,,0.0%,34,7.7%,,0.0%,83,3.3%
03/26/22,vs.,CHI,L,94,98,44,28,6,5,9/22,1/7,9/11,74,31.1%,45,103.7,30,21.7%,74,6.6%,70,22.2%,81,4.8%,55,11.4%,,0.0%,65,2.0%
03/24/22,@,TOR,L,104,117,38,18,3,10,7/18,1/6,3/3,86,34.6%,33,94.7,86,45.5%,38,14.8%,62,28.6%,68,3.1%,23,5.7%,,0.0%,,0.0%
03/21/22,vs.,LAL,L,120,131,41,29,2,17,10/23,2/8,7/7,93,38.8%,54,111.5,96,54.8%,83,2.9%,72,20.0%,,0.0%,27,6.5%,,0.0%,39,1.1%
