Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,vs.,TOR,W,105,94,33,6,3,5,2/11,2/9,0/0,50,16.7%,14,54.5,82,20.0%,,0.0%,,100.0%,,0.0%,53,10.3%,96,3.4%,81,2.7%
04/08/22,@,WAS,W,114,92,28,17,3,2,6/14,4/10,1/2,76,22.1%,54,113.3,50,9.5%,,0.0%,48,83.3%,,0.0%,74,15.0%,,0.0%,88,3.3%
04/06/22,vs.,BKN,L,98,110,29,8,4,3,3/9,2/7,0/0,47,15.9%,32,88.9,78,17.6%,20,18.2%,,100.0%,,0.0%,50,9.7%,,0.0%,,0.0%
04/03/22,@,ORL,W,118,88,15,2,2,1,1/5,0/3,0/0,37,14.3%,9,40.0,44,8.3%,,0.0%,,100.0%,,0.0%,50,10.0%,,0.0%,84,2.9%
04/02/22,vs.,CLE,L,101,119,27,19,1,3,6/10,3/5,4/4,72,21.2%,86,158.3,88,23.1%,50,8.0%,61,66.7%,,0.0%,27,5.6%,,0.0%,67,1.7%
03/30/22,vs.,CHA,L,114,125,35,30,4,1,10/16,6/8,4/5,76,22.2%,89,166.7,30,5.0%,40,11.1%,74,50.0%,,0.0%,73,14.8%,,0.0%,54,1.2%
03/28/22,vs.,CHI,W,109,104,25,5,1,3,2/9,1/7,0/0,66,19.7%,14,55.6,70,15.0%,23,16.7%,74,50.0%,,0.0%,23,4.8%,,0.0%,66,1.6%
03/27/22,@,DET,W,104,102,27,11,2,4,4/12,3/10,0/0,80,23.4%,34,91.7,94,28.6%,31,13.8%,54,75.0%,,0.0%,46,9.1%,,0.0%,65,1.6%
03/25/22,@,MIA,W,111,103,29,7,1,4,2/11,2/10,1/2,63,18.8%,15,58.3,85,21.1%,,0.0%,,100.0%,,0.0%,24,5.0%,,0.0%,84,2.9%
03/23/22,@,CHA,W,121,106,34,12,1,7,4/14,4/10,0/0,87,26.1%,30,85.7,88,22.6%,41,10.8%,74,50.0%,,0.0%,16,3.3%,,0.0%,,0.0%
03/22/22,vs.,ATL,L,111,117,26,11,1,4,4/11,3/9,0/0,71,21.0%,36,100.0,85,21.1%,51,7.7%,74,50.0%,,0.0%,24,5.0%,,0.0%,65,1.6%
