Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/02/22,@,PHI,L,114,144,17,5,3,4,2/6,1/2,0/0,74,21.6%,28,83.3,98,36.4%,35,12.5%,,100.0%,,0.0%,63,12.5%,,0.0%,82,2.7%
02/07/22,vs.,TOR,L,101,116,6,3,1,0,1/3,1/2,0/0,45,15.6%,36,100.0,,0.0%,,0.0%,,100.0%,,0.0%,95,25.0%,,0.0%,,0.0%
02/05/22,vs.,MIA,L,86,104,22,0,3,2,0/7,0/2,0/0,45,15.7%,1,0.0,71,15.4%,,0.0%,,,77,4.5%,19,3.8%,,0.0%,,0.0%
02/04/22,vs.,CLE,L,101,102,29,7,5,3,3/13,1/5,0/0,84,24.6%,14,53.8,78,17.6%,12,23.5%,,100.0%,62,2.8%,41,8.3%,,0.0%,94,4.3%
01/21/22,vs.,OKC,W,121,98,30,16,7,4,6/11,3/5,1/1,40,14.9%,78,145.5,74,16.7%,46,9.1%,,100.0%,84,5.9%,56,10.8%,,0.0%,58,1.4%
01/19/22,@,BOS,W,111,102,21,5,3,3,2/4,1/2,0/0,12,9.1%,63,125.0,73,15.8%,,0.0%,74,50.0%,81,5.3%,46,9.1%,,0.0%,90,3.6%
01/17/22,@,NYK,W,97,87,36,16,2,4,6/16,3/8,1/3,84,25.0%,35,94.1,74,16.0%,41,10.8%,48,83.3%,,0.0%,26,5.4%,,0.0%,82,2.7%
01/14/22,vs.,ORL,L,109,116,38,18,3,3,7/14,2/5,2/3,46,15.8%,59,120.0,60,12.0%,34,12.9%,47,85.7%,,0.0%,45,8.8%,78,1.4%,,0.0%
01/12/22,@,PHI,W,109,98,36,30,4,7,13/16,4/4,0/0,78,22.7%,94,187.5,93,26.9%,37,11.8%,60,69.2%,,0.0%,41,8.3%,,0.0%,92,4.0%
01/10/22,vs.,MIL,W,103,99,36,14,4,3,6/12,2/6,0/0,39,14.6%,56,116.7,64,13.0%,26,15.4%,48,83.3%,59,2.3%,41,8.1%,80,1.5%,51,1.1%
01/08/22,vs.,MIL,W,114,106,33,9,5,2,3/12,1/6,2/2,55,17.3%,20,69.2,39,6.9%,53,7.1%,61,66.7%,,0.0%,76,15.6%,82,1.6%,,0.0%
01/05/22,vs.,DET,W,140,111,26,19,6,4,7/11,1/3,4/4,70,20.5%,86,158.3,89,23.5%,48,8.7%,,100.0%,,0.0%,91,21.4%,,0.0%,69,1.8%
01/03/22,@,WAS,L,121,124,38,27,8,4,11/22,2/6,3/3,77,22.4%,58,117.4,63,12.9%,,0.0%,68,63.6%,77,4.5%,79,16.7%,,0.0%,72,2.1%
01/02/22,vs.,PHX,L,99,133,22,8,7,3,3/6,1/4,1/2,38,14.4%,54,114.3,78,17.6%,,0.0%,61,66.7%,93,8.7%,92,21.7%,,0.0%,70,1.9%
12/29/21,@,IND,W,116,108,35,18,4,2,8/13,1/2,1/2,42,15.1%,67,128.6,44,8.3%,,0.0%,68,62.5%,,0.0%,63,12.5%,,0.0%,77,2.4%
12/27/21,vs.,HOU,W,123,99,29,10,3,3,4/7,2/4,0/0,48,16.1%,77,142.9,67,14.3%,6,30.0%,54,75.0%,,0.0%,50,9.7%,,0.0%,96,4.8%
12/23/21,@,DEN,W,115,107,30,6,4,3,1/10,1/5,3/3,66,19.7%,14,54.5,61,12.5%,29,14.3%,,100.0%,82,5.6%,28,5.7%,,0.0%,59,1.4%
12/19/21,@,PHX,L,106,137,27,9,2,3,4/13,1/5,0/0,60,18.3%,20,69.2,88,23.1%,,0.0%,54,75.0%,,0.0%,44,8.7%,85,1.8%,,0.0%
12/17/21,@,POR,L,116,125,22,6,3,1,2/8,2/5,0/0,70,20.5%,22,75.0,39,7.1%,4,34.8%,,100.0%,,0.0%,60,11.8%,,0.0%,,0.0%
12/15/21,@,SAS,W,131,115,29,41,5,3,15/19,5/6,6/6,96,31.5%,94,186.4,64,13.0%,58,4.9%,74,53.3%,,0.0%,75,15.2%,,0.0%,,0.0%
12/13/21,@,DAL,L,96,120,30,17,6,6,5/10,4/5,3/4,66,19.7%,77,141.7,99,40.0%,,0.0%,50,80.0%,83,5.7%,69,13.8%,,0.0%,,0.0%
12/10/21,vs.,SAC,W,124,123,42,19,4,7,8/16,0/4,3/4,81,23.7%,48,105.6,84,20.6%,22,17.4%,68,62.5%,65,3.0%,33,6.7%,75,1.1%,49,1.0%
12/08/21,vs.,PHI,L,106,110,41,31,5,7,10/18,2/5,9/10,94,30.0%,76,140.9,95,29.2%,28,14.8%,74,50.0%,62,2.8%,60,11.8%,79,1.4%,50,1.1%
