Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/05/22,vs.,PHI,L,122,131,30,19,7,2,7/12,2/5,3/3,49,16.4%,73,146.2,57,10.5%,59,8.3%,42,85.7%,44,6.2%,56,20.0%,91,5.5%,63,1.4%
04/03/22,vs.,DET,L,117,121,21,5,7,0,2/7,0/1,1/2,30,13.2%,12,62.5,,0.0%,,0.0%,,100.0%,63,10.0%,28,12.5%,64,2.1%,73,1.9%
04/01/22,@,BOS,L,123,128,23,17,6,0,8/14,1/4,0/0,85,25.5%,53,121.4,,0.0%,40,14.8%,69,62.5%,85,15.8%,35,14.3%,,0.0%,73,1.9%
03/30/22,vs.,DEN,L,118,125,21,15,7,0,5/15,2/8,3/3,92,29.3%,26,93.8,,0.0%,,0.0%,,100.0%,35,4.5%,99,50.0%,,0.0%,,0.0%
03/28/22,vs.,ATL,L,123,132,23,9,6,0,4/9,1/3,0/0,48,16.3%,27,100.0,,0.0%,48,11.8%,51,75.0%,36,4.8%,83,29.4%,69,2.6%,,0.0%
03/26/22,@,TOR,L,91,131,30,15,6,0,5/11,1/2,4/6,65,19.8%,40,107.1,,0.0%,60,8.0%,,100.0%,71,11.5%,31,13.0%,90,5.3%,,0.0%
03/20/22,vs.,POR,W,129,98,18,17,5,0,7/10,2/3,1/2,72,21.4%,79,154.5,,0.0%,50,11.1%,42,85.7%,79,14.3%,56,20.0%,73,2.9%,,0.0%
03/18/22,@,HOU,W,121,118,13,17,10,0,8/9,1/2,0/0,54,17.6%,92,188.9,,0.0%,,0.0%,69,62.5%,94,21.4%,100,58.3%,,0.0%,,0.0%
03/15/22,vs.,MEM,L,102,135,20,12,6,0,4/11,2/5,2/4,80,23.5%,26,92.3,,0.0%,,0.0%,51,75.0%,34,4.3%,35,14.3%,,0.0%,,0.0%
03/13/22,@,ATL,L,128,131,27,13,10,2,5/9,1/4,2/2,38,14.6%,60,130.0,53,9.5%,,0.0%,70,60.0%,85,16.0%,67,22.7%,83,3.9%,87,3.1%
03/12/22,@,SAS,W,119,108,24,6,11,1,3/9,0/3,0/0,56,17.9%,12,66.7,35,5.0%,53,10.0%,89,33.3%,54,8.0%,88,32.1%,98,8.0%,,0.0%
03/08/22,vs.,CLE,L,124,127,28,15,5,0,5/9,2/4,3/4,28,12.7%,66,136.4,,0.0%,,0.0%,,100.0%,30,3.6%,20,10.0%,56,1.6%,,0.0%
03/06/22,@,WAS,L,123,133,29,15,6,3,7/9,1/3,0/0,32,13.5%,85,166.7,65,13.0%,,0.0%,73,57.1%,39,5.3%,67,22.7%,59,1.8%,,0.0%
03/04/22,@,DET,L,106,111,29,12,11,0,5/12,1/5,1/2,49,16.4%,26,92.3,,0.0%,59,8.3%,46,80.0%,59,9.1%,60,20.7%,59,1.8%,,0.0%
03/02/22,@,ORL,W,122,114,37,15,15,0,4/7,1/3,6/6,21,11.4%,74,150.0,,0.0%,28,19.0%,51,75.0%,52,7.7%,76,25.6%,52,1.4%,57,1.1%
02/28/22,@,ORL,L,103,119,25,14,8,0,4/7,3/6,3/4,54,17.5%,80,155.6,,0.0%,11,30.0%,,100.0%,35,4.5%,76,25.9%,,0.0%,,0.0%
02/27/22,vs.,BOS,W,128,107,24,12,10,2,4/10,2/5,2/2,63,19.4%,41,109.1,62,12.5%,,0.0%,51,75.0%,72,12.0%,78,26.9%,,0.0%,,0.0%
02/25/22,vs.,OKC,L,125,129,29,16,6,2,6/10,2/4,2/2,47,16.2%,72,145.5,53,9.5%,55,9.5%,44,83.3%,54,8.0%,40,15.4%,58,1.7%,,0.0%
