Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/12/21,@,GSW,L,107,116,33,17,4,4,5/15,1/5,6/6,87,30.3%,35,94.4,53,19.0%,24,17.4%,66,40.0%,73,3.3%,61,11.1%,86,1.7%,90,3.9%
04/04/21,vs.,ORL,W,119,109,37,22,5,4,7/18,3/9,5/5,71,25.3%,51,110.0,41,14.8%,51,9.1%,49,57.1%,,0.0%,75,14.3%,,0.0%,72,2.3%
04/01/21,@,LAC,W,101,94,39,23,8,2,9/18,3/6,2/2,69,25.0%,68,127.8,25,9.5%,65,5.4%,70,33.3%,74,3.4%,83,16.7%,,0.0%,,0.0%
03/30/21,vs.,PHI,W,104,95,38,30,6,4,12/24,5/11,1/1,82,28.2%,64,125.0,50,18.2%,,0.0%,70,33.3%,90,6.5%,61,10.8%,,0.0%,87,3.5%
03/28/21,vs.,ATL,W,126,102,31,17,2,4,7/11,1/4,2/3,75,26.2%,78,141.7,44,16.0%,11,23.5%,77,28.6%,,0.0%,37,6.9%,88,1.9%,60,1.5%
03/26/21,@,NOP,W,113,108,39,23,3,11,10/17,2/5,1/1,79,27.4%,73,135.3,87,34.4%,53,8.9%,66,40.0%,72,3.1%,40,7.4%,,0.0%,52,1.2%
03/24/21,@,TOR,L,111,135,35,20,2,7,8/17,3/5,1/1,68,24.7%,58,117.6,80,30.4%,66,4.9%,79,25.0%,66,2.4%,19,3.4%,,0.0%,52,1.2%
03/23/21,@,ORL,W,110,99,38,21,4,4,8/21,2/5,3/3,81,27.8%,35,95.5,42,15.4%,56,8.2%,69,37.5%,85,5.3%,30,5.7%,,0.0%,72,2.3%
03/21/21,vs.,NOP,L,108,113,35,23,3,7,9/16,3/6,2/2,61,23.1%,73,135.3,84,33.3%,65,5.4%,38,66.7%,69,2.9%,32,6.1%,,0.0%,53,1.2%
03/19/21,vs.,CHI,W,131,127,42,34,2,5,12/20,6/7,4/4,85,29.5%,86,154.5,52,18.5%,9,25.0%,48,58.3%,,0.0%,28,5.4%,,0.0%,92,4.2%
03/17/21,vs.,CHA,W,129,104,29,19,2,5,7/13,5/11,0/0,41,19.2%,80,146.2,54,20.0%,,0.0%,29,85.7%,,0.0%,40,7.4%,,0.0%,98,6.2%
03/15/21,vs.,IND,W,121,106,36,16,6,8,6/13,3/5,1/1,48,20.6%,63,123.1,73,26.7%,42,11.4%,50,50.0%,95,8.6%,45,8.3%,,0.0%,,0.0%
03/13/21,vs.,DAL,L,103,116,36,10,2,5,4/13,1/5,1/1,44,20.0%,23,76.9,58,20.8%,38,12.5%,33,75.0%,68,2.7%,19,3.4%,,0.0%,53,1.2%
03/12/21,@,MEM,W,103,102,32,3,3,5,1/14,1/5,0/0,60,23.0%,6,21.4,52,18.5%,63,5.9%,,100.0%,,0.0%,52,9.4%,,0.0%,78,2.7%
03/04/21,@,IND,W,113,103,39,23,2,4,8/15,1/5,6/6,72,25.6%,68,127.8,44,16.0%,35,13.6%,79,25.0%,,0.0%,27,5.3%,,0.0%,73,2.3%
03/02/21,@,MIL,W,128,97,38,24,3,6,10/17,1/5,3/3,65,23.9%,70,133.3,52,18.8%,67,4.8%,83,20.0%,71,3.0%,30,5.9%,,0.0%,72,2.3%
03/01/21,@,CHI,W,118,112,36,24,2,3,8/13,4/7,4/4,64,23.7%,88,160.0,27,10.3%,15,21.6%,50,50.0%,,0.0%,28,5.6%,81,1.4%,,0.0%
02/27/21,@,OKC,W,126,96,28,20,2,5,7/12,2/4,4/4,75,26.2%,78,142.9,54,20.0%,38,12.5%,37,71.4%,85,5.3%,18,3.1%,,0.0%,,0.0%
02/25/21,vs.,WAS,L,110,112,42,34,6,6,12/23,6/11,4/5,90,31.1%,74,136.0,75,28.6%,27,16.4%,66,41.7%,65,2.3%,65,11.6%,91,2.3%,,0.0%
02/23/21,vs.,POR,W,111,106,38,24,5,8,7/18,4/8,6/6,84,28.9%,54,114.3,75,27.6%,68,4.2%,49,57.1%,67,2.5%,59,10.5%,80,1.4%,75,2.4%
02/21/21,@,ATL,L,115,123,35,30,4,4,11/20,3/8,5/6,93,32.7%,74,136.4,62,22.2%,56,8.2%,78,27.3%,72,3.1%,44,8.0%,,0.0%,78,2.7%
02/19/21,@,CLE,W,120,103,38,50,6,2,21/25,8/10,0/0,85,29.6%,95,200.0,28,11.1%,68,4.2%,77,28.6%,,0.0%,83,16.2%,,0.0%,76,2.5%
02/17/21,@,WAS,L,128,130,40,35,9,6,13/25,5/10,4/5,92,32.4%,69,129.6,62,22.2%,69,3.4%,82,23.1%,95,8.3%,70,12.8%,79,1.3%,50,1.1%
02/16/21,@,BOS,L,99,112,33,25,6,6,9/16,4/8,3/3,97,37.0%,81,147.1,82,31.6%,4,33.3%,64,44.4%,,0.0%,88,18.5%,,0.0%,91,4.1%
02/14/21,vs.,LAL,W,122,105,34,25,6,4,7/15,4/10,7/7,79,27.5%,76,138.9,50,18.2%,35,13.6%,77,28.6%,70,2.9%,61,11.1%,,0.0%,,0.0%
02/12/21,vs.,OKC,W,97,95,38,19,5,5,7/17,2/9,3/4,80,27.8%,36,100.0,48,17.2%,53,8.9%,77,28.6%,,0.0%,68,12.5%,,0.0%,53,1.2%
02/10/21,vs.,CLE,W,133,95,25,8,4,4,3/6,0/0,2/4,58,22.5%,36,100.0,50,18.2%,24,17.4%,70,33.3%,,0.0%,78,14.8%,,0.0%,67,2.0%
02/08/21,vs.,MIL,L,112,125,37,11,3,4,4/17,1/7,2/2,65,23.8%,15,61.1,38,13.8%,66,4.9%,79,25.0%,66,2.4%,30,5.7%,,0.0%,51,1.2%
02/04/21,@,LAL,L,93,114,37,20,3,5,7/17,2/5,4/4,77,26.7%,52,111.1,66,23.8%,16,21.3%,49,57.1%,,0.0%,68,12.5%,84,1.6%,50,1.1%
01/31/21,vs.,UTA,W,128,117,34,16,4,5,7/16,2/6,0/0,75,26.4%,36,100.0,48,17.2%,65,5.3%,86,14.3%,,0.0%,78,14.8%,,0.0%,57,1.4%
01/29/21,@,SAS,L,109,119,35,20,6,7,9/14,2/4,0/0,59,22.7%,78,142.9,84,33.3%,64,5.7%,82,22.2%,75,3.6%,82,16.1%,82,1.4%,77,2.6%
01/27/21,@,MIA,W,109,82,36,14,5,4,4/11,2/4,4/4,34,17.9%,49,107.7,41,14.8%,59,7.1%,,100.0%,71,3.0%,58,10.3%,,0.0%,54,1.3%
01/25/21,@,DAL,W,117,113,25,16,3,2,7/11,2/4,0/0,75,26.3%,80,145.5,31,11.8%,17,20.0%,88,0.0%,,0.0%,71,13.0%,,0.0%,,0.0%
01/23/21,@,PHX,W,120,112,43,26,6,5,10/22,3/7,3/4,77,26.8%,54,113.0,78,29.4%,57,7.8%,66,40.0%,,0.0%,70,12.8%,79,1.2%,,0.0%
01/22/21,@,PHX,W,130,126,40,18,7,9,8/19,0/5,2/2,88,30.8%,32,90.0,74,27.3%,32,14.3%,87,12.5%,68,2.7%,81,15.8%,79,1.3%,85,3.3%
01/19/21,vs.,OKC,W,119,101,21,5,2,4,2/10,0/3,1/1,60,22.8%,10,45.5,62,22.2%,57,7.7%,,100.0%,,0.0%,65,11.8%,,0.0%,87,3.5%
01/17/21,vs.,UTA,L,105,109,42,30,5,4,11/27,4/11,4/5,81,27.9%,47,103.4,44,16.0%,,0.0%,70,36.4%,77,3.8%,52,9.4%,81,1.4%,,0.0%
01/14/21,vs.,GSW,W,114,104,37,17,9,6,6/18,1/8,4/6,83,28.5%,26,81.0,67,24.0%,43,11.3%,85,16.7%,85,5.1%,94,22.6%,,0.0%,70,2.2%
01/12/21,@,BKN,L,116,122,35,20,0,4,9/20,2/5,0/2,88,30.8%,35,95.2,48,17.4%,38,12.5%,64,44.4%,,0.0%,0,0.0%,,0.0%,54,1.3%
01/10/21,@,NYK,W,114,89,29,9,0,3,4/9,1/4,0/0,20,15.0%,36,100.0,37,13.6%,,0.0%,33,75.0%,,0.0%,0,0.0%,,0.0%,,0.0%
01/09/21,@,PHI,W,115,103,29,14,1,4,6/11,2/3,0/0,41,19.2%,67,127.3,48,17.4%,28,16.0%,29,83.3%,,0.0%,17,2.8%,,0.0%,60,1.5%
01/07/21,vs.,DAL,L,117,124,46,18,4,9,7/18,2/8,2/2,61,23.1%,35,94.7,84,33.3%,39,12.2%,49,57.1%,65,2.0%,41,7.7%,,0.0%,49,0.9%
01/05/21,vs.,MIN,W,123,116,32,13,1,3,3/7,1/4,6/6,32,17.6%,69,130.0,32,12.5%,29,15.4%,70,33.3%,,0.0%,18,3.0%,,0.0%,,0.0%
01/03/21,@,MIN,W,124,109,36,36,5,4,13/19,3/6,7/9,62,23.3%,87,156.5,50,18.2%,,0.0%,38,69.2%,88,5.7%,58,10.3%,,0.0%,50,1.1%
01/01/21,vs.,PHX,L,103,106,41,31,4,5,12/22,4/8,3/3,82,28.4%,73,134.8,61,21.7%,40,12.0%,48,58.3%,,0.0%,52,9.4%,,0.0%,72,2.3%
12/28/20,vs.,HOU,W,124,111,31,21,5,2,7/14,4/6,3/5,62,23.3%,70,131.3,22,8.0%,42,11.4%,64,42.9%,76,3.7%,55,10.0%,85,1.6%,,0.0%
12/25/20,vs.,LAC,L,108,121,37,23,5,3,9/20,4/11,1/2,84,28.9%,51,109.5,37,13.6%,38,12.5%,70,33.3%,87,5.6%,67,12.0%,,0.0%,52,1.2%
12/23/20,vs.,SAC,L,122,124,34,9,4,1,1/9,0/5,7/7,34,17.9%,21,75.0,13,3.1%,34,13.8%,88,0.0%,,0.0%,45,8.3%,,0.0%,76,2.5%
