Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/21,vs.,HOU,W,125,109,6,6,1,0,3/5,0/0,0/2,97,33.3%,27,100.0,,0.0%,,0.0%,60,66.7%,,0.0%,44,16.7%,,0.0%,99,6.7%
04/09/21,vs.,WAS,L,107,110,23,18,6,1,9/11,0/1,0/0,42,15.1%,85,163.6,43,6.7%,45,12.5%,,100.0%,41,5.0%,44,16.7%,,0.0%,,0.0%
04/06/21,vs.,MIL,W,122,121,25,13,10,2,6/13,0/1,1/1,62,18.5%,27,100.0,67,13.3%,,0.0%,45,83.3%,69,10.3%,89,31.8%,62,2.0%,,0.0%
04/04/21,@,ATL,L,111,117,18,8,5,0,4/9,0/1,0/0,49,16.3%,24,88.9,,0.0%,,0.0%,,100.0%,,0.0%,48,17.4%,,0.0%,,0.0%
04/02/21,@,TOR,L,77,130,31,9,5,2,4/11,1/2,0/0,62,18.6%,20,81.8,67,13.3%,20,23.1%,,100.0%,31,3.1%,51,18.2%,57,1.7%,,0.0%
04/01/21,@,MIA,L,109,116,20,4,4,1,1/5,0/0,2/2,81,23.5%,12,66.7,47,7.7%,4,43.5%,95,0.0%,84,15.0%,8,5.0%,,0.0%,,0.0%
03/29/21,vs.,CHI,W,116,102,26,12,5,0,6/8,0/0,0/0,27,12.3%,74,150.0,,0.0%,39,14.3%,60,66.7%,62,8.7%,35,14.3%,97,8.0%,,0.0%
03/26/21,vs.,ATL,L,108,124,24,15,3,0,6/11,0/1,3/3,66,19.6%,55,125.0,,0.0%,52,10.0%,,100.0%,,0.0%,53,18.8%,,0.0%,73,2.0%
03/25/21,@,SAC,L,119,141,28,4,7,0,2/7,0/1,0/0,62,18.5%,10,57.1,,0.0%,4,43.5%,76,50.0%,35,3.8%,72,24.0%,,0.0%,,0.0%
03/23/21,vs.,PHI,L,98,108,26,11,4,2,5/13,0/1,1/2,73,21.2%,18,78.6,67,13.3%,,0.0%,,100.0%,,0.0%,51,18.2%,59,1.8%,,0.0%
03/15/21,vs.,LAL,L,97,128,24,7,7,1,3/7,0/1,1/2,61,18.5%,23,87.5,45,7.1%,24,20.0%,89,33.3%,87,16.7%,13,7.7%,,0.0%,,0.0%
03/14/21,vs.,UTA,W,131,119,23,16,4,0,8/11,0/1,0/0,49,16.3%,73,145.5,,0.0%,47,11.8%,42,87.5%,45,5.6%,22,10.3%,59,1.8%,,0.0%
03/04/21,@,PHX,L,98,120,35,11,11,2,5/14,0/2,1/2,55,17.3%,16,73.3,50,8.3%,,0.0%,,100.0%,65,9.4%,73,25.0%,53,1.4%,,0.0%
03/03/21,@,POR,L,106,108,11,6,2,0,3/4,0/0,0/0,33,13.5%,74,150.0,,0.0%,12,28.6%,,100.0%,,0.0%,28,12.5%,,0.0%,,0.0%
02/28/21,@,LAL,L,91,117,16,3,5,0,1/4,0/1,1/2,28,12.5%,11,60.0,,0.0%,,0.0%,95,0.0%,43,5.3%,62,21.1%,74,3.0%,,0.0%
02/26/21,vs.,CHA,W,130,121,17,16,4,0,7/10,0/0,2/2,90,27.6%,73,145.5,,0.0%,27,19.0%,58,71.4%,,0.0%,69,23.1%,,0.0%,,0.0%
02/24/21,@,IND,W,111,107,18,11,5,0,5/8,1/1,0/0,61,18.5%,67,137.5,,0.0%,19,23.5%,70,60.0%,74,11.8%,22,10.5%,,0.0%,76,2.2%
02/23/21,@,NYK,W,114,106,16,14,2,1,6/9,0/0,2/2,74,21.4%,69,140.0,65,12.5%,,0.0%,,100.0%,,0.0%,9,5.3%,,0.0%,,0.0%
01/30/21,vs.,DET,W,118,91,17,11,9,2,5/13,0/1,1/1,86,25.6%,22,84.6,67,13.3%,,0.0%,,100.0%,65,9.5%,82,27.8%,,0.0%,,0.0%
01/28/21,@,PHX,L,93,114,13,5,5,1,2/7,0/0,1/2,81,23.6%,12,62.5,65,12.5%,47,11.8%,,100.0%,87,16.7%,44,16.7%,,0.0%,,0.0%
01/27/21,vs.,MIN,W,123,111,23,22,4,0,8/13,3/3,3/4,91,28.3%,74,146.7,,0.0%,24,20.0%,52,75.0%,87,16.7%,14,8.0%,84,4.1%,,0.0%
01/25/21,vs.,MIN,W,130,108,13,9,3,0,3/4,0/0,3/6,71,20.6%,59,128.6,,0.0%,39,14.3%,60,66.7%,48,6.2%,40,15.4%,80,3.7%,,0.0%
01/23/21,@,UTA,L,108,127,17,11,1,0,5/9,0/1,1/2,79,23.0%,42,110.0,,0.0%,47,11.8%,,100.0%,,0.0%,8,5.0%,87,4.7%,,0.0%
01/21/21,vs.,NYK,L,104,119,25,15,8,2,5/9,0/1,5/7,71,20.7%,55,125.0,79,18.2%,57,8.3%,47,80.0%,75,12.0%,57,20.0%,,0.0%,69,1.7%
