Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/13/22,@,GSW,L,96,110,38,12,4,0,5/19,1/7,1/3,77,20.2%,14,60.0,,0.0%,,0.0%,54,80.0%,,0.0%,16,8.0%,88,4.8%,,0.0%
05/11/22,vs.,GSW,W,134,95,25,21,8,3,6/10,4/6,5/6,73,19.3%,81,161.5,65,12.5%,42,14.8%,,100.0%,53,6.7%,71,23.8%,89,5.0%,69,1.4%
05/09/22,@,GSW,L,98,101,34,21,5,0,7/20,0/6,7/8,92,27.8%,25,87.5,,0.0%,,0.0%,76,57.1%,31,2.4%,16,7.9%,97,7.7%,83,2.5%
05/07/22,@,GSW,L,112,142,29,15,3,3,4/13,4/8,3/4,85,23.5%,27,100.0,74,15.8%,59,6.5%,,100.0%,,0.0%,45,15.8%,,0.0%,87,3.0%
05/03/22,vs.,GSW,W,106,101,28,12,7,1,3/14,2/7,4/4,84,22.5%,19,75.0,41,5.6%,,0.0%,64,66.7%,48,5.6%,38,13.9%,81,3.3%,,0.0%
05/01/22,vs.,GSW,L,116,117,31,33,10,1,10/18,6/9,7/9,88,25.6%,72,150.0,43,5.9%,42,14.3%,49,90.0%,88,16.2%,25,10.3%,61,1.6%,,0.0%
04/29/22,@,MIN,W,114,106,34,18,14,1,6/15,3/6,3/4,74,19.5%,41,105.9,37,4.8%,59,6.2%,51,83.3%,65,9.1%,72,24.2%,78,3.0%,66,1.2%
04/26/22,vs.,MIN,W,111,109,18,12,5,1,4/9,1/3,3/5,88,25.5%,42,109.1,54,9.1%,37,16.7%,56,75.0%,85,15.0%,13,6.7%,93,5.9%,,0.0%
04/23/22,@,MIN,L,118,119,23,7,6,0,3/6,1/3,0/0,62,17.3%,27,100.0,,0.0%,8,42.1%,,100.0%,,0.0%,82,28.6%,86,4.5%,,0.0%
04/21/22,@,MIN,W,104,95,21,6,7,0,2/6,1/4,1/1,37,12.0%,27,100.0,,0.0%,40,15.4%,77,50.0%,58,7.7%,42,14.8%,89,4.9%,92,3.7%
04/19/22,vs.,MIN,W,124,96,27,16,7,0,5/12,4/7,2/4,75,20.0%,46,114.3,,0.0%,,0.0%,54,80.0%,92,18.5%,15,7.7%,70,2.3%,74,1.7%
04/16/22,vs.,MIN,L,117,130,24,12,4,1,4/13,0/5,4/5,90,26.7%,22,80.0,46,7.1%,46,12.5%,56,75.0%,,0.0%,47,16.7%,100,13.7%,,0.0%
04/09/22,vs.,NOP,W,141,114,22,12,9,0,2/4,1/3,7/7,44,15.7%,88,171.4,,0.0%,16,25.0%,,100.0%,,0.0%,98,42.9%,99,9.5%,,0.0%
04/07/22,@,DEN,L,109,122,24,10,2,1,4/9,1/3,1/2,67,20.2%,27,100.0,40,6.2%,55,9.5%,75,50.0%,33,4.2%,13,7.1%,67,2.4%,73,1.9%
04/05/22,@,UTA,L,115,121,39,28,7,2,8/27,3/10,9/10,96,33.7%,23,87.5,50,9.1%,66,3.1%,75,50.0%,25,2.0%,38,14.6%,83,3.9%,57,1.1%
03/30/22,@,SAS,W,112,111,25,9,5,5,4/10,1/6,0/0,81,23.7%,24,90.0,90,26.3%,40,14.8%,75,50.0%,34,4.3%,38,14.8%,84,4.1%,70,1.8%
03/26/22,vs.,MIL,W,127,102,27,16,6,0,5/14,0/4,6/6,84,25.0%,27,94.1,,0.0%,48,11.8%,46,80.0%,46,6.5%,28,12.1%,79,3.4%,65,1.5%
03/24/22,vs.,IND,W,133,103,17,20,2,1,7/13,4/7,2/2,96,33.0%,70,142.9,45,7.7%,25,20.7%,42,85.7%,,0.0%,23,11.1%,93,6.1%,78,2.3%
03/23/22,vs.,BKN,W,132,120,33,13,5,2,4/13,2/5,3/3,54,17.5%,26,92.9,43,7.1%,62,6.9%,51,75.0%,26,2.8%,28,12.5%,95,6.3%,,0.0%
03/20/22,@,HOU,W,122,98,21,15,5,3,4/9,3/5,4/4,91,28.6%,66,136.4,77,17.6%,23,21.4%,51,75.0%,,0.0%,72,25.0%,97,7.3%,75,2.0%
