Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/29/22,vs.,MEM,L,106,114,12,2,4,0,1/3,0/0,0/0,36,11.5%,15,66.7,,0.0%,,0.0%,93,0.0%,93,20.0%,47,16.7%,85,4.2%,93,3.8%
04/26/22,@,MEM,L,109,111,22,6,10,0,3/5,0/0,0/0,34,11.3%,51,120.0,,0.0%,12,33.3%,64,66.7%,42,4.5%,88,32.1%,67,1.9%,77,1.9%
04/23/22,vs.,MEM,W,119,118,35,12,8,1,6/8,0/0,0/0,13,7.0%,72,150.0,37,4.8%,,0.0%,,100.0%,58,7.7%,50,17.2%,,0.0%,83,2.5%
04/21/22,vs.,MEM,L,95,104,32,10,13,2,2/8,0/0,6/8,65,17.8%,24,83.3,53,8.7%,58,7.4%,77,50.0%,91,17.6%,58,20.0%,,0.0%,94,3.9%
04/19/22,@,MEM,L,96,124,9,1,2,0,0/0,0/0,1/2,29,10.5%,27,100.0,,0.0%,3,50.0%,,,,0.0%,39,14.3%,,0.0%,,0.0%
04/16/22,@,MEM,W,130,117,19,2,6,1,1/3,0/0,0/0,21,9.1%,15,66.7,46,7.1%,21,25.0%,,100.0%,48,5.6%,80,27.8%,,0.0%,,0.0%
04/12/22,vs.,LAC,W,109,104,27,3,10,1,1/2,0/0,1/2,6,5.1%,27,100.0,46,7.1%,,0.0%,,100.0%,38,3.8%,84,30.0%,,0.0%,,0.0%
04/10/22,vs.,CHI,L,120,124,14,0,3,1,0/2,0/1,0/0,38,14.5%,1,0.0,54,10.0%,3,44.4%,,,,0.0%,89,33.3%,,0.0%,,0.0%
04/07/22,vs.,SAS,W,127,121,33,6,9,1,2/3,0/0,2/2,4,5.8%,74,150.0,32,3.8%,,0.0%,95,0.0%,85,15.6%,31,12.9%,,0.0%,92,3.8%
04/05/22,vs.,WAS,L,114,132,20,8,6,0,3/3,0/0,2/4,16,10.2%,82,160.0,,0.0%,25,20.0%,59,66.7%,36,4.8%,68,23.1%,,0.0%,75,2.0%
04/03/22,@,HOU,W,139,132,30,2,6,1,1/1,0/0,0/0,2,4.5%,92,200.0,31,3.4%,1,66.7%,,100.0%,36,4.8%,28,12.5%,81,3.7%,66,1.5%
04/01/22,@,DEN,W,136,130,23,4,4,1,2/5,0/0,0/1,11,8.7%,18,80.0,37,5.6%,,0.0%,,100.0%,39,5.3%,56,20.0%,69,2.6%,73,1.9%
03/30/22,@,TOR,L,102,125,21,10,7,2,4/8,0/0,2/2,68,20.4%,43,111.1,68,14.3%,29,18.2%,75,50.0%,93,21.1%,20,10.0%,66,2.3%,72,1.9%
03/27/22,@,BOS,L,112,134,18,11,4,0,5/7,0/0,1/2,29,13.1%,67,137.5,,0.0%,,0.0%,,100.0%,71,11.8%,20,10.0%,,0.0%,,0.0%
03/25/22,vs.,DAL,W,116,95,23,12,6,0,4/5,0/0,4/6,37,14.4%,74,150.0,,0.0%,,0.0%,51,75.0%,68,11.1%,35,14.3%,,0.0%,77,2.2%
