Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/25/22,vs.,WAS,L,97,100,8,5,1,1,2/4,1/2,0/0,96,33.3%,55,125.0,88,25.0%,8,33.3%,75,50.0%,,0.0%,0,0.0%,,0.0%,,0.0%
03/23/22,vs.,ATL,W,122,101,22,21,8,4,6/11,2/4,7/8,93,29.8%,68,140.0,92,28.6%,,0.0%,75,50.0%,40,5.6%,71,24.1%,,0.0%,73,1.9%
03/19/22,@,CLE,L,109,113,35,40,2,1,13/22,7/9,7/7,91,28.2%,82,160.0,36,5.3%,56,9.1%,44,84.6%,29,3.4%,7,3.4%,53,1.5%,61,1.3%
03/15/22,@,MIA,L,98,105,39,22,4,0,8/20,1/5,5/8,87,26.2%,26,91.7,,0.0%,,0.0%,69,62.5%,,0.0%,22,10.5%,52,1.4%,80,2.4%
03/13/22,vs.,LAC,L,102,106,37,21,5,1,7/14,4/7,3/3,68,20.5%,68,140.0,33,4.3%,43,13.3%,57,71.4%,,0.0%,23,11.1%,52,1.4%,,0.0%
03/11/22,@,BOS,L,103,114,37,19,4,0,6/16,3/8,4/4,74,21.9%,40,105.6,,0.0%,50,11.4%,44,83.3%,,0.0%,9,5.4%,82,3.8%,60,1.2%
03/09/22,vs.,CHI,L,108,114,32,12,3,2,4/10,1/5,3/5,65,20.0%,27,100.0,47,8.0%,40,14.3%,75,50.0%,,0.0%,42,15.8%,59,1.8%,85,2.9%
03/07/22,vs.,ATL,W,113,110,35,23,4,2,8/15,3/7,4/6,75,22.1%,66,135.3,57,10.5%,64,5.9%,75,50.0%,,0.0%,20,10.0%,,0.0%,,0.0%
03/04/22,vs.,IND,W,111,106,26,8,5,5,2/7,0/1,4/6,64,19.7%,18,80.0,88,25.0%,,0.0%,75,50.0%,54,8.0%,9,5.6%,89,4.8%,68,1.6%
03/03/22,@,TOR,W,108,106,35,26,3,4,8/14,2/5,8/9,76,22.4%,79,152.9,76,17.4%,64,5.9%,51,75.0%,29,3.4%,9,5.3%,,0.0%,,0.0%
03/01/22,@,WAS,L,113,116,36,26,3,4,9/17,3/5,5/5,71,21.2%,72,144.4,73,16.0%,64,5.6%,59,66.7%,,0.0%,23,10.7%,54,1.6%,58,1.2%
02/27/22,@,CHA,W,127,126,33,26,4,2,11/19,4/10,0/0,85,25.3%,67,136.8,57,10.5%,28,19.0%,75,54.5%,,0.0%,23,11.1%,55,1.6%,59,1.2%
02/26/22,vs.,BOS,L,104,113,31,11,1,1,3/15,0/6,5/5,86,25.7%,12,64.7,35,5.0%,64,5.6%,89,33.3%,,0.0%,7,3.4%,56,1.6%,,0.0%
02/24/22,vs.,CLE,W,106,103,32,16,3,1,4/15,2/7,6/8,83,24.3%,22,84.2,37,5.6%,64,5.4%,,100.0%,,0.0%,18,8.8%,55,1.6%,82,2.6%
02/16/22,@,BOS,W,112,111,29,24,2,3,8/13,4/6,4/4,71,21.2%,82,160.0,71,15.0%,61,7.1%,41,87.5%,,0.0%,20,10.0%,,0.0%,87,3.0%
02/14/22,@,WAS,L,94,103,32,14,1,0,4/10,2/3,4/4,57,18.1%,58,127.3,,0.0%,20,23.1%,75,50.0%,,0.0%,7,3.6%,56,1.7%,63,1.4%
02/11/22,vs.,CHA,L,119,141,27,15,3,3,6/12,1/4,2/2,49,16.7%,47,115.4,67,13.6%,,0.0%,44,83.3%,,0.0%,15,8.0%,80,3.6%,,0.0%
02/10/22,vs.,MEM,L,107,132,29,20,4,4,7/13,0/4,6/7,92,29.2%,55,125.0,84,21.1%,37,15.8%,73,57.1%,,0.0%,20,9.7%,74,3.0%,67,1.5%
