Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,DAL,L,96,98,29,15,6,1,5/15,2/6,3/4,82,27.3%,38,88.2,17,5.9%,61,5.7%,69,40.0%,97,12.9%,43,7.7%,87,1.9%,,0.0%
04/25/22,@,DAL,L,77,102,32,20,4,3,9/14,0/3,2/2,79,27.0%,76,133.3,82,30.0%,61,5.9%,89,11.1%,,0.0%,62,11.8%,,0.0%,83,3.2%
04/23/22,vs.,DAL,W,100,99,36,25,4,0,9/16,3/5,4/5,63,23.2%,79,138.9,,0.0%,31,15.8%,67,44.4%,67,3.2%,45,8.1%,,0.0%,52,1.2%
04/21/22,vs.,DAL,L,118,126,30,14,3,2,5/9,1/3,3/3,37,18.3%,80,140.0,22,8.7%,52,8.7%,84,20.0%,,0.0%,58,11.1%,,0.0%,,0.0%
04/18/22,@,DAL,L,104,110,23,21,1,2,8/11,3/4,2/2,81,27.2%,92,175.0,62,22.2%,53,8.0%,72,37.5%,,0.0%,26,5.0%,,0.0%,,0.0%
04/16/22,@,DAL,W,99,93,20,10,1,0,4/7,0/2,2/2,64,23.3%,68,125.0,,0.0%,7,28.6%,82,25.0%,,0.0%,26,5.0%,,0.0%,,0.0%
04/10/22,@,POR,W,111,80,29,9,11,4,4/13,1/8,0/0,62,22.9%,22,69.2,66,23.5%,39,12.5%,52,50.0%,96,11.1%,93,21.2%,,0.0%,92,4.3%
04/08/22,vs.,PHX,L,105,111,22,9,3,0,2/10,2/7,3/3,68,24.0%,29,81.8,,0.0%,28,16.0%,52,50.0%,80,4.5%,47,9.1%,,0.0%,,0.0%
04/06/22,vs.,OKC,W,137,101,29,18,1,10,7/11,4/6,0/0,79,26.9%,90,163.6,89,37.0%,26,16.7%,79,28.6%,,0.0%,15,2.6%,,0.0%,,0.0%
04/05/22,vs.,MEM,W,121,115,31,22,5,5,7/13,3/8,5/6,64,23.4%,77,137.5,82,31.2%,65,5.6%,66,42.9%,,0.0%,69,13.2%,,0.0%,53,1.3%
04/02/22,@,GSW,L,107,111,28,14,3,2,5/13,2/8,2/2,77,26.2%,39,100.0,33,11.8%,39,12.5%,68,40.0%,93,8.0%,18,3.6%,,0.0%,,0.0%
03/31/22,vs.,LAL,W,122,109,29,19,1,1,8/15,3/8,0/0,58,22.1%,69,126.7,15,4.8%,62,6.7%,71,37.5%,,0.0%,22,4.3%,,0.0%,81,2.9%
03/29/22,@,LAC,L,115,121,33,17,2,5,6/15,1/7,4/8,81,27.5%,39,94.4,64,22.7%,,0.0%,72,33.3%,,0.0%,43,8.3%,,0.0%,,0.0%
03/27/22,@,DAL,L,100,114,29,14,3,6,5/12,3/5,1/1,68,24.2%,59,116.7,76,28.6%,61,6.9%,47,60.0%,,0.0%,71,13.6%,,0.0%,,0.0%
03/25/22,@,CHA,L,101,107,35,16,3,4,6/17,2/9,2/2,79,26.7%,35,88.9,51,18.2%,67,5.1%,52,50.0%,87,6.1%,17,3.2%,83,1.4%,,0.0%
03/23/22,@,BOS,L,97,125,27,10,4,0,4/12,1/5,1/2,74,25.4%,26,76.9,,0.0%,6,30.3%,33,75.0%,86,5.9%,53,10.0%,,0.0%,83,3.1%
03/21/22,@,BKN,L,106,114,37,19,6,0,7/19,4/8,1/1,52,20.9%,39,100.0,,0.0%,,0.0%,79,28.6%,93,8.3%,53,10.0%,,0.0%,87,3.5%
03/20/22,@,NYK,W,108,93,39,23,6,4,10/18,1/5,2/4,81,27.5%,58,115.0,55,20.0%,68,4.5%,84,20.0%,90,6.9%,58,10.8%,,0.0%,52,1.2%
03/18/22,vs.,LAC,W,121,92,29,20,8,5,8/17,2/5,2/2,92,31.8%,53,111.1,59,20.8%,26,17.0%,80,25.0%,89,6.7%,87,18.8%,,0.0%,78,2.7%
03/16/22,vs.,CHI,W,125,110,35,26,5,1,11/18,1/5,3/4,83,28.1%,72,130.0,14,4.5%,36,13.3%,85,18.2%,75,3.7%,65,12.5%,,0.0%,75,2.5%
03/14/22,vs.,MIL,L,111,117,32,8,2,1,3/14,2/9,0/0,47,20.1%,15,57.1,16,5.6%,38,12.9%,38,66.7%,66,2.6%,18,3.6%,,0.0%,53,1.3%
