Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
02/24/22,vs.,PHX,L,104,124,37,15,9,6,7/15,0/3,1/1,81,23.5%,36,100.0,85,21.4%,28,15.0%,91,28.6%,93,8.8%,86,18.8%,,0.0%,76,2.4%
02/16/22,vs.,SAS,L,106,114,33,17,10,10,8/18,1/4,0/0,91,27.8%,36,94.4,99,45.5%,37,12.2%,88,37.5%,91,8.0%,73,14.6%,,0.0%,51,1.1%
02/14/22,@,NYK,W,127,123,39,28,11,12,11/22,3/4,3/6,100,38.5%,53,112.0,99,46.2%,16,20.0%,74,54.5%,83,5.7%,86,18.8%,,0.0%,50,1.1%
02/12/22,@,CHI,L,101,106,33,11,12,10,4/10,1/2,2/2,80,23.4%,36,100.0,100,50.0%,23,16.7%,74,50.0%,61,2.6%,97,28.2%,,0.0%,,0.0%
02/11/22,@,PHI,L,87,100,24,9,7,5,2/7,1/2,4/4,89,27.2%,36,100.0,96,33.3%,10,25.8%,95,0.0%,70,3.6%,87,20.0%,85,1.8%,,0.0%
02/09/22,vs.,TOR,L,98,117,29,13,9,6,6/11,1/4,0/0,79,23.0%,58,118.2,98,37.5%,31,13.8%,74,50.0%,95,10.0%,90,20.7%,,0.0%,64,1.6%
02/07/22,vs.,GSW,L,98,110,30,16,11,7,6/16,0/3,4/4,99,34.9%,32,88.9,97,35.0%,26,15.7%,95,0.0%,97,11.5%,99,32.0%,,0.0%,58,1.4%
02/05/22,@,SAC,L,103,113,38,24,4,8,10/19,1/5,3/5,97,32.4%,54,114.3,97,34.8%,29,14.5%,91,30.0%,,0.0%,62,12.1%,,0.0%,,0.0%
02/04/22,@,POR,W,96,93,36,16,7,3,7/15,2/6,0/0,78,22.6%,49,106.7,74,16.7%,15,21.6%,72,57.1%,80,5.1%,63,12.2%,,0.0%,53,1.2%
02/02/22,@,DAL,W,120,114,37,14,7,10,7/13,0/3,0/0,91,27.8%,49,107.7,99,40.0%,8,27.3%,72,57.1%,99,15.4%,40,7.9%,,0.0%,79,2.5%
01/31/22,vs.,POR,W,98,81,33,14,12,4,5/12,0/2,4/4,89,27.1%,36,100.0,82,20.0%,16,20.5%,94,20.0%,66,3.1%,98,29.7%,83,1.6%,,0.0%
01/28/22,vs.,IND,L,110,113,40,15,10,5,7/15,1/6,0/0,72,21.1%,36,100.0,82,20.0%,42,10.5%,95,14.3%,78,4.8%,73,14.6%,,0.0%,50,1.1%
01/24/22,vs.,CHI,L,110,111,31,9,8,6,4/11,0/5,1/2,82,24.0%,22,75.0,93,27.3%,13,22.2%,74,50.0%,93,8.6%,79,16.7%,,0.0%,,0.0%
01/22/22,@,CLE,L,87,94,34,8,5,3,3/12,1/6,1/2,72,21.1%,16,61.5,80,18.8%,20,18.8%,,100.0%,80,5.1%,50,10.0%,,0.0%,81,2.6%
01/21/22,@,CHA,L,98,121,33,21,9,3,10/17,1/4,0/0,72,21.1%,63,123.5,70,15.0%,57,5.7%,86,40.0%,88,7.1%,67,13.2%,,0.0%,,0.0%
01/19/22,@,SAS,L,96,118,33,9,11,8,4/16,0/5,1/2,97,32.1%,14,52.9,99,40.0%,25,16.0%,95,0.0%,96,10.5%,81,17.1%,,0.0%,,0.0%
01/17/22,@,DAL,L,102,104,32,10,6,5,4/10,2/4,0/0,71,20.8%,36,100.0,86,21.7%,8,26.7%,54,75.0%,88,7.1%,59,11.4%,,0.0%,59,1.4%
01/15/22,vs.,CLE,L,102,107,30,11,10,3,5/8,1/2,0/0,70,20.7%,74,137.5,78,17.6%,2,41.4%,86,40.0%,93,8.8%,83,17.9%,84,1.7%,,0.0%
01/13/22,@,BKN,W,130,109,31,19,3,7,8/17,3/11,0/0,91,28.2%,52,111.8,98,38.9%,43,10.0%,68,62.5%,67,3.2%,25,5.3%,,0.0%,59,1.4%
01/11/22,@,WAS,L,118,122,36,18,6,8,8/15,2/6,0/0,79,23.2%,59,120.0,95,29.6%,42,10.5%,74,50.0%,80,5.1%,50,9.7%,,0.0%,78,2.4%
01/09/22,vs.,DEN,L,95,99,32,11,7,8,4/10,3/5,0/0,69,20.3%,51,110.0,99,42.1%,29,14.3%,,100.0%,61,2.7%,70,13.9%,,0.0%,61,1.4%
01/07/22,vs.,MIN,L,105,135,30,10,5,5,3/6,0/2,4/4,50,16.7%,63,125.0,90,25.0%,12,24.0%,61,66.7%,64,2.9%,69,13.6%,,0.0%,57,1.3%
01/05/22,@,MIN,L,90,98,35,14,15,6,6/11,2/4,0/0,82,24.1%,66,127.3,96,33.3%,5,30.8%,94,16.7%,96,10.3%,96,25.7%,,0.0%,54,1.2%
01/02/22,vs.,DAL,L,86,95,36,17,13,14,7/16,3/5,0/0,97,32.5%,48,106.3,100,60.9%,37,12.0%,91,28.6%,64,2.9%,99,33.3%,,0.0%,97,5.2%
12/26/21,vs.,NOP,W,117,112,28,0,10,10,0/8,0/2,0/0,84,24.6%,1,0.0,99,40.0%,20,18.8%,,,91,8.0%,94,23.3%,83,1.7%,,0.0%
12/23/21,@,PHX,L,101,113,31,17,6,2,7/17,1/4,2/3,84,25.0%,36,94.4,59,11.8%,57,5.4%,85,42.9%,63,2.9%,83,17.9%,,0.0%,58,1.4%
12/22/21,vs.,DEN,W,108,94,34,14,5,3,5/11,1/5,3/4,57,17.7%,49,107.7,61,12.5%,53,7.1%,69,60.0%,,0.0%,62,12.1%,82,1.6%,79,2.5%
12/20/21,@,MEM,W,102,99,30,19,5,11,7/16,3/8,2/6,99,35.9%,36,100.0,100,64.7%,37,11.8%,72,57.1%,65,3.0%,43,8.6%,,0.0%,59,1.4%
12/18/21,vs.,LAC,W,104,103,32,8,18,10,4/14,0/1,0/0,95,30.7%,14,57.1,99,43.5%,22,17.4%,95,0.0%,97,12.5%,99,37.5%,,0.0%,,0.0%
12/15/21,vs.,NOP,L,110,113,37,17,9,7,8/18,1/5,0/0,84,24.7%,36,94.4,96,33.3%,59,4.7%,92,25.0%,77,4.4%,94,24.1%,,0.0%,51,1.1%
12/12/21,vs.,DAL,L,84,103,28,6,7,4,3/12,0/4,0/0,95,30.7%,11,50.0,96,30.8%,13,22.9%,88,33.3%,66,3.1%,87,19.4%,84,1.7%,68,1.8%
12/10/21,vs.,LAL,L,95,116,32,12,7,7,5/12,0/5,2/2,86,25.7%,34,92.3,97,35.0%,25,16.2%,86,40.0%,64,2.9%,91,21.4%,,0.0%,59,1.4%
12/08/21,@,TOR,W,110,109,31,13,4,8,5/12,3/5,0/0,92,28.5%,50,108.3,99,42.1%,8,27.0%,,100.0%,,0.0%,41,8.1%,81,1.6%,,0.0%
12/06/21,@,DET,W,114,103,30,12,0,5,5/6,0/1,2/2,60,18.4%,91,171.4,93,26.3%,5,32.0%,86,40.0%,,0.0%,0,0.0%,,0.0%,61,1.5%
11/29/21,@,HOU,L,89,102,25,2,5,7,1/9,0/5,0/0,87,25.9%,8,22.2,99,43.8%,31,13.8%,95,0.0%,,0.0%,78,16.1%,97,3.8%,69,1.8%
11/26/21,vs.,WAS,L,99,101,29,11,7,4,4/12,0/2,3/4,81,23.5%,25,78.6,82,20.0%,55,6.5%,54,75.0%,64,2.9%,97,26.1%,,0.0%,63,1.5%
11/24/21,vs.,UTA,L,104,110,34,19,7,8,8/15,3/4,0/0,97,32.9%,66,126.7,98,38.1%,10,25.0%,92,25.0%,,0.0%,83,17.6%,,0.0%,,0.0%
11/22/21,@,ATL,L,101,113,31,15,7,8,6/13,0/5,3/3,91,28.1%,49,107.1,99,44.4%,29,14.6%,94,16.7%,81,5.3%,75,15.2%,95,3.1%,58,1.4%
11/20/21,@,BOS,L,105,111,29,15,8,3,5/13,4/6,1/2,84,25.0%,49,107.1,93,27.3%,34,12.9%,50,80.0%,84,5.9%,90,20.7%,,0.0%,65,1.6%
11/19/21,@,MIL,L,89,96,32,14,12,4,6/12,0/3,2/4,81,23.6%,36,100.0,96,30.8%,39,11.4%,94,16.7%,98,13.6%,92,22.2%,,0.0%,,0.0%
11/17/21,vs.,HOU,W,101,89,34,14,11,2,7/14,0/2,0/0,71,20.9%,36,100.0,46,8.7%,20,18.2%,85,42.9%,,0.0%,94,23.8%,78,1.4%,,0.0%
11/15/21,vs.,MIA,L,90,103,30,6,9,8,3/9,0/4,0/0,84,25.0%,17,66.7,99,42.1%,12,23.5%,95,0.0%,87,6.7%,87,20.0%,96,3.3%,61,1.5%
11/14/21,vs.,BKN,L,96,120,25,6,5,4,2/10,2/7,0/0,85,25.4%,15,60.0,89,23.5%,8,26.7%,,100.0%,69,3.4%,86,19.0%,,0.0%,67,1.7%
11/12/21,vs.,SAC,W,105,103,25,7,5,5,3/8,1/1,0/0,61,18.6%,31,87.5,93,26.3%,46,9.1%,88,33.3%,,0.0%,79,16.7%,,0.0%,,0.0%
11/10/21,@,NOP,W,108,100,31,7,12,9,3/10,1/3,0/0,88,26.4%,20,70.0,100,50.0%,9,26.3%,88,33.3%,99,17.2%,48,9.3%,,0.0%,59,1.4%
11/07/21,vs.,SAS,W,99,94,27,7,7,4,3/10,1/6,0/0,80,23.4%,20,70.0,89,23.5%,8,26.7%,61,66.7%,86,6.2%,75,15.4%,,0.0%,,0.0%
11/04/21,@,LAL,W,107,104,32,5,8,8,2/9,0/2,1/2,81,23.6%,11,50.0,96,32.0%,13,22.9%,74,50.0%,96,10.3%,68,13.5%,79,1.4%,93,4.1%
11/01/21,@,LAC,L,94,99,35,15,5,7,6/15,1/4,2/2,89,26.8%,35,93.8,98,36.8%,32,13.6%,94,16.7%,,0.0%,67,13.2%,93,2.9%,78,2.4%
10/30/21,@,GSW,L,82,103,27,10,4,6,5/11,0/2,0/1,89,27.1%,33,90.9,99,46.2%,35,12.5%,95,0.0%,,0.0%,67,13.3%,85,1.8%,67,1.7%
10/27/21,vs.,LAL,W,123,115,32,18,2,10,7/13,2/5,2/3,94,29.7%,67,128.6,99,45.5%,20,18.2%,91,28.6%,,0.0%,34,6.9%,,0.0%,58,1.4%
10/26/21,vs.,GSW,L,98,106,27,7,9,4,3/10,1/3,0/0,73,21.4%,20,70.0,82,20.0%,28,14.8%,88,33.3%,90,7.4%,97,28.0%,86,1.9%,64,1.6%
10/24/21,vs.,PHI,L,103,115,34,19,8,7,8/13,1/2,2/3,84,25.0%,73,135.7,97,35.0%,40,11.1%,88,37.5%,69,3.4%,87,19.4%,,0.0%,97,5.6%
10/22/21,@,HOU,L,91,124,20,6,2,4,2/6,1/3,1/2,69,20.5%,30,85.7,99,40.0%,40,11.1%,,100.0%,77,4.5%,27,5.6%,90,2.4%,75,2.3%
