Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/30/22,vs.,CHA,L,114,125,36,21,5,7,7/16,4/10,3/5,91,28.4%,47,116.7,94,30.4%,45,13.0%,87,42.9%,,0.0%,52,18.5%,,0.0%,,0.0%
03/28/22,vs.,CHI,W,109,104,28,5,13,4,1/9,0/4,3/6,86,25.8%,7,41.7,76,17.4%,32,17.6%,95,0.0%,28,3.1%,98,44.0%,61,1.9%,,0.0%
03/27/22,@,DET,W,104,102,31,20,7,5,7/17,2/5,4/8,96,33.8%,27,95.2,95,33.3%,59,8.3%,87,42.9%,63,9.7%,23,10.7%,,0.0%,85,2.8%
03/20/22,vs.,UTA,L,93,108,35,13,11,3,6/21,1/6,0/0,94,30.9%,11,61.9,77,17.6%,58,8.5%,89,33.3%,51,7.3%,81,28.6%,,0.0%,,0.0%
03/18/22,vs.,WAS,W,100,97,39,18,17,4,6/22,1/7,5/8,96,33.2%,15,69.2,80,20.0%,45,13.1%,75,50.0%,25,2.3%,97,40.5%,,0.0%,,0.0%
03/16/22,vs.,POR,W,128,98,34,20,9,7,5/18,0/5,10/12,97,35.4%,21,83.3,95,31.8%,61,7.1%,70,60.0%,28,3.1%,50,17.9%,52,1.4%,60,1.3%
03/13/22,@,BKN,L,107,110,37,26,3,4,9/17,3/7,5/6,87,26.2%,60,130.0,80,19.0%,43,13.3%,74,55.6%,,0.0%,12,6.7%,,0.0%,58,1.2%
03/11/22,@,MEM,L,114,118,40,36,12,6,11/27,3/6,11/13,96,33.8%,47,116.1,88,25.0%,50,11.6%,69,63.6%,48,6.8%,16,8.3%,65,2.2%,74,2.0%
03/09/22,@,DAL,W,107,77,34,26,8,5,8/19,3/7,7/10,97,34.9%,41,108.3,92,27.8%,61,7.5%,75,50.0%,27,3.0%,35,14.0%,,0.0%,,0.0%
03/07/22,@,SAC,W,131,115,34,46,10,2,18/31,8/16,2/2,99,40.1%,72,143.8,61,11.8%,66,3.3%,89,38.9%,47,6.7%,71,24.1%,54,1.6%,61,1.3%
03/06/22,@,LAC,W,116,93,29,10,8,4,4/16,0/1,2/3,93,29.9%,11,58.8,80,19.0%,53,10.0%,75,50.0%,,0.0%,66,22.6%,,0.0%,,0.0%
03/04/22,@,PHX,L,114,115,28,25,7,4,9/18,1/2,6/6,98,36.8%,49,119.0,87,23.5%,36,16.0%,86,44.4%,,0.0%,76,25.9%,,0.0%,65,1.5%
03/02/22,@,PHI,L,108,123,33,24,6,3,9/21,0/2,6/8,98,35.9%,27,100.0,80,20.0%,52,10.7%,95,11.1%,25,2.5%,43,16.0%,,0.0%,61,1.3%
02/27/22,vs.,PHI,L,109,125,38,16,10,7,4/13,1/4,7/12,87,26.3%,22,84.2,94,30.4%,48,12.2%,75,50.0%,63,10.0%,44,16.7%,,0.0%,,0.0%
02/25/22,vs.,MIA,L,100,115,36,11,8,8,2/15,0/4,7/8,95,32.1%,11,57.9,97,38.1%,37,15.4%,,100.0%,28,3.2%,43,16.1%,,0.0%,59,1.2%
02/16/22,vs.,BKN,L,106,111,37,31,10,3,10/22,4/8,7/8,98,36.4%,50,119.2,79,18.8%,43,13.6%,87,40.0%,,0.0%,64,22.0%,69,2.6%,59,1.2%
02/14/22,vs.,OKC,L,123,127,45,30,13,10,11/26,1/5,7/7,97,34.1%,40,107.1,97,35.7%,29,18.7%,86,45.5%,,0.0%,72,25.0%,,0.0%,,0.0%
02/12/22,@,POR,L,103,112,41,28,16,6,8/20,0/4,12/13,97,35.2%,40,107.7,93,30.0%,37,15.6%,75,50.0%,52,7.5%,94,37.1%,,0.0%,,0.0%
02/10/22,@,GSW,W,116,114,36,28,16,7,10/23,0/3,8/12,97,34.8%,27,100.0,95,31.8%,63,6.2%,93,30.0%,38,5.1%,94,36.8%,51,1.4%,,0.0%
02/08/22,@,DEN,L,115,132,34,28,10,6,11/22,3/8,3/4,93,30.1%,47,116.7,88,24.0%,66,4.0%,75,54.5%,52,7.5%,61,20.8%,,0.0%,91,3.6%
02/07/22,@,UTA,L,104,113,38,30,6,5,10/20,2/5,8/12,93,30.2%,50,120.0,87,23.8%,36,16.4%,87,40.0%,36,4.7%,18,9.1%,,0.0%,57,1.0%
02/05/22,@,LAL,L,115,122,41,32,16,7,11/22,2/4,8/10,95,32.2%,49,118.5,95,33.3%,37,15.4%,75,54.5%,68,11.1%,77,26.2%,65,2.2%,,0.0%
02/02/22,vs.,MEM,L,108,120,37,18,12,9,7/18,1/6,3/5,92,29.1%,24,90.0,97,36.0%,60,8.0%,87,42.9%,71,11.8%,50,17.8%,,0.0%,58,1.2%
01/31/22,vs.,SAC,W,116,96,29,17,9,4,7/14,1/3,2/2,90,27.9%,45,113.3,85,22.2%,25,20.5%,87,42.9%,54,8.0%,43,16.1%,,0.0%,64,1.4%
01/28/22,@,MIL,L,108,123,37,9,11,3,4/9,0/1,1/2,47,16.1%,24,90.0,62,12.5%,12,28.6%,51,75.0%,26,2.8%,61,21.1%,,0.0%,,0.0%
01/26/22,@,MIA,L,96,110,27,11,6,4,5/12,0/3,1/1,93,30.0%,26,91.7,99,44.4%,29,18.2%,94,20.0%,31,3.7%,69,23.5%,,0.0%,,0.0%
01/24/22,@,CLE,L,93,95,33,18,7,4,6/17,2/7,4/6,96,33.3%,24,90.0,88,25.0%,36,16.0%,89,33.3%,,0.0%,35,14.3%,,0.0%,93,4.0%
01/23/22,vs.,LAC,W,110,102,40,24,9,5,8/15,3/7,5/6,86,25.8%,61,133.3,85,21.7%,12,28.6%,51,75.0%,,0.0%,56,19.4%,,0.0%,,0.0%
01/20/22,vs.,NOP,L,91,102,29,4,7,6,1/9,0/2,2/4,85,25.4%,6,36.4,98,40.0%,32,17.6%,95,0.0%,44,6.2%,48,17.4%,59,1.8%,66,1.5%
01/18/22,vs.,MIN,L,110,112,39,21,9,9,6/15,0/4,9/11,90,27.7%,39,105.0,95,33.3%,50,11.5%,75,50.0%,42,5.7%,47,17.1%,93,5.8%,76,2.1%
01/17/22,vs.,CHA,L,87,97,31,18,10,3,6/16,3/7,3/4,86,25.7%,27,100.0,84,21.4%,64,5.4%,59,66.7%,68,10.8%,38,14.8%,56,1.7%,,0.0%
01/15/22,@,ATL,W,117,108,38,24,6,9,10/21,2/6,2/3,91,28.7%,41,109.1,97,36.0%,66,4.0%,75,50.0%,,0.0%,43,16.1%,,0.0%,,0.0%
01/12/22,vs.,DAL,W,108,85,37,17,12,8,6/17,1/3,4/6,97,35.0%,24,89.5,92,27.6%,32,17.9%,95,0.0%,27,3.0%,64,22.0%,,0.0%,,0.0%
01/10/22,vs.,SAS,W,111,96,34,2,12,3,1/7,0/3,0/0,35,14.1%,6,28.6,61,11.5%,14,27.3%,,100.0%,30,3.6%,80,27.5%,52,1.4%,,0.0%
01/08/22,@,BOS,L,75,99,37,13,12,6,6/19,1/8,0/0,97,34.6%,15,68.4,94,31.6%,21,22.2%,89,33.3%,40,5.6%,89,33.3%,,0.0%,61,1.3%
01/06/22,vs.,BOS,W,108,105,38,22,8,2,8/20,2/8,4/6,86,25.9%,27,100.0,45,7.7%,,0.0%,95,12.5%,38,5.1%,44,16.7%,,0.0%,78,2.3%
01/04/22,vs.,IND,W,104,94,39,30,16,4,12/20,2/7,4/6,94,30.5%,66,136.4,84,21.1%,48,12.0%,89,33.3%,,0.0%,89,33.3%,,0.0%,59,1.2%
12/29/21,@,DET,W,94,85,26,5,10,5,2/11,0/3,1/1,83,24.6%,7,45.5,99,45.5%,29,18.8%,75,50.0%,56,8.3%,88,31.8%,,0.0%,87,3.1%
12/28/21,@,MIN,W,96,88,38,13,15,2,5/20,1/5,2/3,89,27.2%,11,61.9,53,9.5%,36,16.3%,70,60.0%,47,6.7%,44,16.7%,51,1.3%,,0.0%
12/25/21,vs.,ATL,W,101,87,34,25,12,3,9/15,6/9,1/4,85,25.3%,73,147.1,73,15.8%,36,16.2%,59,66.7%,28,3.1%,67,22.7%,,0.0%,63,1.4%
12/23/21,vs.,WAS,L,117,124,35,23,9,2,10/22,0/5,3/4,95,31.9%,27,95.8,53,9.5%,39,15.1%,75,50.0%,63,10.0%,28,12.5%,56,1.7%,,0.0%
12/21/21,vs.,DET,W,105,91,38,21,11,3,8/18,1/6,4/5,89,27.5%,39,105.0,67,13.6%,19,24.0%,69,62.5%,25,2.4%,50,18.0%,,0.0%,57,1.1%
12/18/21,@,BOS,L,107,114,41,20,9,7,6/19,1/7,7/8,94,31.1%,25,90.9,91,26.9%,40,14.3%,75,50.0%,,0.0%,63,21.6%,50,1.3%,,0.0%
12/16/21,@,HOU,W,116,103,32,21,6,6,6/18,3/8,6/6,98,37.3%,27,100.0,97,37.5%,48,12.0%,59,66.7%,31,3.8%,70,23.8%,,0.0%,66,1.5%
12/14/21,vs.,GSW,L,96,105,37,31,7,3,10/21,5/8,6/6,97,34.2%,60,129.2,86,23.1%,40,14.8%,75,50.0%,,0.0%,56,20.0%,,0.0%,81,2.5%
12/12/21,vs.,MIL,L,97,112,35,8,10,7,2/9,1/5,3/4,88,26.6%,16,72.7,94,30.4%,8,34.1%,,100.0%,42,5.7%,67,22.9%,52,1.4%,,0.0%
12/10/21,@,TOR,L,87,90,37,13,14,5,4/9,1/4,4/5,62,19.1%,49,118.2,90,26.3%,28,19.4%,75,50.0%,37,4.9%,80,27.5%,,0.0%,59,1.2%
12/08/21,@,IND,L,102,122,31,18,8,2,6/18,2/6,4/4,96,32.9%,24,90.0,61,11.8%,24,20.8%,59,66.7%,28,3.1%,72,25.0%,58,1.8%,84,2.7%
12/07/21,@,SAS,W,121,109,35,15,7,7,5/12,3/5,2/2,70,20.9%,47,115.4,94,30.4%,64,6.1%,87,40.0%,,0.0%,42,15.8%,52,1.4%,60,1.3%
12/04/21,vs.,DEN,L,99,113,35,24,7,8,9/18,2/7,4/5,88,26.6%,50,120.0,97,36.4%,65,4.8%,41,88.9%,40,5.4%,52,18.5%,,0.0%,,0.0%
