Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,vs.,ATL,L,114,130,41,26,8,6,10/24,6/12,0/0,66,29.1%,50,108.3,31,22.2%,69,7.5%,32,50.0%,81,4.7%,81,17.6%,,0.0%,,0.0%
04/08/22,@,TOR,L,115,117,39,35,10,4,12/23,4/9,7/7,75,31.5%,78,134.6,18,16.0%,71,7.1%,52,33.3%,68,3.1%,85,19.1%,,0.0%,68,2.2%
04/05/22,@,BKN,L,105,118,41,36,2,4,13/26,6/14,4/6,72,30.6%,68,124.1,25,20.0%,61,9.5%,50,38.5%,,0.0%,20,5.1%,77,1.3%,36,1.0%
04/03/22,vs.,MIN,L,132,139,36,21,6,8,6/14,4/10,5/5,67,29.4%,75,131.3,48,27.6%,5,30.2%,32,50.0%,72,3.4%,74,15.4%,,0.0%,68,2.2%
04/01/22,vs.,SAC,L,117,122,38,27,4,11,11/24,4/12,1/2,83,33.5%,49,108.0,87,45.8%,75,6.3%,75,18.2%,57,2.3%,28,6.7%,,0.0%,91,4.3%
03/30/22,vs.,SAC,L,118,121,38,30,12,12,11/17,4/10,4/5,64,28.8%,92,157.9,89,48.0%,52,11.3%,64,27.3%,86,5.7%,96,26.3%,76,1.2%,,0.0%
03/28/22,vs.,SAS,L,120,123,36,26,9,7,9/22,3/10,5/5,66,29.2%,50,108.3,71,36.8%,81,3.8%,31,55.6%,57,2.3%,84,18.6%,76,1.2%,39,1.1%
03/26/22,@,POR,W,115,98,30,10,2,11,4/11,2/6,0/0,59,27.6%,30,90.9,94,52.4%,32,16.2%,32,50.0%,,0.0%,25,6.1%,,0.0%,,0.0%
03/25/22,@,POR,W,125,106,26,13,2,7,4/8,3/6,2/2,40,23.3%,84,144.4,67,35.0%,38,14.8%,32,50.0%,81,4.8%,14,3.6%,89,1.9%,61,1.7%
03/23/22,@,DAL,L,91,110,29,11,4,5,5/12,1/4,0/0,42,23.8%,31,91.7,68,35.7%,72,6.9%,47,40.0%,,0.0%,52,11.1%,89,1.9%,,0.0%
03/21/22,vs.,WAS,W,115,97,36,11,3,4,5/13,0/3,1/2,26,19.9%,25,84.6,14,14.3%,72,6.9%,27,60.0%,71,3.3%,21,5.4%,82,1.4%,,0.0%
03/20/22,vs.,MEM,L,98,122,27,14,5,3,5/18,2/7,2/4,78,32.0%,18,73.7,34,23.1%,60,9.8%,18,80.0%,,0.0%,80,17.2%,,0.0%,58,1.6%
03/18/22,vs.,IND,L,118,121,34,19,4,4,7/14,3/6,2/2,32,21.4%,71,126.7,19,16.7%,75,6.1%,45,42.9%,,0.0%,49,10.3%,,0.0%,49,1.3%
03/16/22,vs.,PHX,L,112,129,36,21,4,8,7/15,5/10,2/2,53,26.2%,75,131.3,60,33.3%,42,14.0%,45,42.9%,66,3.0%,42,9.1%,94,2.6%,72,2.4%
03/13/22,@,NOP,L,105,130,26,6,6,5,2/9,1/5,1/3,58,27.4%,11,60.0,57,31.2%,6,29.4%,32,50.0%,81,4.8%,86,19.2%,88,1.7%,,0.0%
03/11/22,vs.,DAL,L,100,113,26,17,4,4,7/11,3/7,0/1,49,25.4%,90,154.5,38,25.0%,8,26.7%,30,57.1%,,0.0%,81,17.4%,89,1.9%,,0.0%
03/09/22,vs.,LAL,W,139,130,36,10,8,10,4/13,1/6,1/1,28,20.6%,19,76.9,57,31.2%,78,5.4%,65,25.0%,63,2.8%,83,18.4%,77,1.3%,68,2.2%
03/07/22,@,MIA,L,106,123,29,22,5,1,7/15,5/11,3/4,42,23.8%,80,137.5,5,6.2%,,0.0%,30,57.1%,,0.0%,86,19.2%,,0.0%,,0.0%
03/06/22,vs.,MEM,W,123,112,37,29,2,5,11/21,4/10,3/5,71,30.2%,71,126.1,33,22.7%,39,14.5%,51,36.4%,,0.0%,18,4.8%,75,1.2%,,0.0%
03/04/22,@,DEN,L,101,116,31,9,5,3,3/12,2/8,1/2,38,22.9%,16,69.2,16,15.0%,47,12.5%,52,33.3%,,0.0%,77,16.1%,,0.0%,54,1.4%
