Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,@,BOS,W,103,90,22,0,7,1,0/2,0/0,0/0,12,6.9%,2,0.0,43,5.9%,18,28.6%,,,96,22.2%,11,5.3%,,0.0%,,0.0%
06/13/22,vs.,BOS,W,104,94,17,2,4,3,1/2,0/0,0/0,38,12.2%,27,100.0,85,21.4%,26,22.2%,93,0.0%,48,5.6%,29,11.8%,,0.0%,,0.0%
06/10/22,@,BOS,W,107,97,28,6,11,2,3/4,0/0,0/0,28,10.4%,72,150.0,53,8.7%,7,42.9%,64,66.7%,85,14.8%,63,21.2%,67,1.9%,72,1.5%
06/08/22,@,BOS,L,100,116,17,6,7,3,3/4,0/0,0/0,69,18.3%,72,150.0,91,27.3%,8,40.0%,64,66.7%,87,15.8%,64,21.4%,,0.0%,,0.0%
06/05/22,vs.,BOS,W,107,88,19,10,6,1,5/5,0/0,0/0,11,6.5%,88,200.0,46,7.1%,,0.0%,,100.0%,46,5.3%,83,29.4%,81,3.3%,99,6.5%
06/02/22,vs.,BOS,L,108,120,25,4,9,5,1/4,0/0,2/2,53,15.6%,22,80.0,88,25.0%,29,21.1%,93,0.0%,94,20.7%,16,8.3%,94,6.0%,,0.0%
05/26/22,vs.,DAL,W,120,110,31,10,18,4,5/8,0/0,0/0,34,11.3%,55,125.0,75,16.7%,,0.0%,54,80.0%,94,20.6%,94,37.0%,,0.0%,,0.0%
05/24/22,@,DAL,L,109,119,20,3,6,1,1/3,0/0,1/3,39,12.5%,19,75.0,49,7.7%,30,20.0%,,100.0%,43,4.8%,92,35.7%,74,2.7%,,0.0%
05/22/22,@,DAL,W,109,100,29,9,12,4,3/4,0/0,3/4,38,12.1%,72,150.0,84,21.1%,44,13.3%,,100.0%,88,16.7%,84,29.6%,,0.0%,73,1.6%
05/20/22,vs.,DAL,W,126,117,32,21,12,2,10/14,0/0,1/1,53,15.5%,72,150.0,59,11.1%,,0.0%,63,70.0%,91,17.2%,58,20.0%,,0.0%,,0.0%
05/18/22,vs.,DAL,W,112,87,28,10,5,4,5/5,0/0,0/0,24,9.7%,88,200.0,72,15.4%,37,16.7%,54,80.0%,67,9.5%,21,9.4%,82,3.5%,,0.0%
05/13/22,vs.,MEM,W,110,96,35,4,22,5,2/7,0/0,0/0,39,12.2%,14,57.1,75,16.7%,34,18.2%,77,50.0%,95,21.7%,76,25.6%,57,1.3%,,0.0%
05/11/22,@,MEM,L,95,134,13,2,3,1,1/1,0/0,0/0,9,6.2%,88,200.0,65,12.5%,3,50.0%,,100.0%,,0.0%,47,16.7%,,0.0%,88,3.1%
05/09/22,vs.,MEM,W,101,98,15,8,9,0,3/5,0/0,2/2,54,15.8%,61,133.3,,0.0%,37,16.7%,64,66.7%,72,11.1%,98,43.8%,78,3.1%,84,2.6%
05/07/22,vs.,MEM,W,142,112,17,6,3,3,3/3,0/0,0/0,23,9.5%,88,200.0,81,20.0%,,0.0%,64,66.7%,68,10.0%,23,10.0%,,0.0%,,0.0%
05/03/22,@,MEM,L,101,106,9,4,4,0,2/2,0/0,0/2,18,8.7%,61,133.3,,0.0%,,0.0%,,100.0%,,0.0%,99,50.0%,,0.0%,,0.0%
05/01/22,@,MEM,W,117,116,19,8,6,2,4/5,0/0,0/0,44,13.4%,79,160.0,78,18.2%,34,18.2%,56,75.0%,78,12.5%,51,17.4%,,0.0%,81,2.4%
04/27/22,vs.,DEN,W,102,98,22,4,7,3,2/2,0/0,0/2,14,7.6%,61,133.3,87,23.1%,,0.0%,,100.0%,65,9.1%,65,21.7%,,0.0%,,0.0%
04/24/22,@,DEN,L,121,126,12,2,5,1,1/2,0/0,0/0,36,11.7%,27,100.0,54,9.1%,18,28.6%,93,0.0%,83,14.3%,84,30.0%,,0.0%,89,3.3%
04/21/22,@,DEN,W,118,113,9,0,1,0,0/0,0/0,0/0,0,0.0%,0,,,0.0%,,,,,,0.0%,31,12.5%,,0.0%,,0.0%
04/18/22,vs.,DEN,W,126,106,11,0,1,1,0/2,0/0,0/0,34,11.4%,2,0.0,70,14.3%,,0.0%,,,,0.0%,16,8.3%,,0.0%,,0.0%
04/16/22,vs.,DEN,W,123,107,13,6,7,0,2/3,0/0,2/2,28,10.3%,72,150.0,,0.0%,,0.0%,,100.0%,97,23.1%,78,26.7%,,0.0%,,0.0%
04/10/22,@,NOP,W,128,107,15,4,6,3,2/3,0/0,0/0,19,10.9%,61,133.3,91,27.3%,,0.0%,,100.0%,,0.0%,81,28.6%,,0.0%,,0.0%
04/09/22,@,SAS,W,100,94,12,6,5,0,3/6,0/0,0/0,47,16.1%,27,100.0,,0.0%,,0.0%,59,66.7%,91,18.8%,40,15.4%,,0.0%,98,6.5%
04/07/22,vs.,LAL,W,128,112,15,4,5,2,2/2,0/0,0/0,11,8.8%,92,200.0,68,14.3%,8,33.3%,,100.0%,63,10.0%,89,33.3%,,0.0%,,0.0%
04/03/22,@,SAC,W,109,90,15,0,2,1,0/1,0/0,0/0,9,8.3%,1,0.0,50,9.1%,4,40.0%,,,52,7.7%,11,6.2%,,0.0%,,0.0%
04/02/22,vs.,UTA,W,111,107,13,2,2,2,1/1,0/0,0/0,5,6.5%,92,200.0,80,20.0%,,0.0%,,100.0%,68,11.1%,14,7.7%,,0.0%,,0.0%
03/30/22,vs.,PHX,L,103,107,15,2,5,2,1/2,0/0,0/0,7,7.7%,27,100.0,80,20.0%,,0.0%,95,0.0%,40,5.6%,72,25.0%,,0.0%,,0.0%
03/28/22,@,MEM,L,95,123,21,2,4,2,1/2,0/0,0/0,4,6.2%,27,100.0,62,12.5%,,0.0%,95,0.0%,39,5.3%,42,15.8%,,0.0%,,0.0%
03/27/22,@,WAS,L,115,123,24,8,6,2,2/3,0/0,4/6,18,10.7%,61,133.3,61,11.8%,,0.0%,,100.0%,85,16.0%,8,5.0%,66,2.3%,,0.0%
03/25/22,@,ATL,L,110,121,24,8,8,3,4/5,0/0,0/0,16,10.2%,82,160.0,68,14.3%,29,18.2%,,100.0%,85,15.8%,48,17.4%,,0.0%,,0.0%
03/23/22,@,MIA,W,118,104,29,2,16,1,1/2,0/0,0/0,1,3.2%,27,100.0,32,4.0%,,0.0%,,100.0%,79,14.3%,99,46.4%,,0.0%,88,3.2%
03/22/22,@,ORL,L,90,94,12,5,4,1,2/3,0/0,1/2,26,12.5%,55,125.0,68,14.3%,,0.0%,,100.0%,44,6.2%,79,27.3%,,0.0%,,0.0%
03/20/22,vs.,SAS,L,108,110,17,2,3,3,1/2,0/0,0/2,26,12.5%,12,66.7,91,27.3%,25,20.0%,,100.0%,40,5.6%,22,10.5%,,0.0%,,0.0%
03/16/22,vs.,BOS,L,88,110,27,9,8,4,4/6,0/0,1/1,29,12.9%,74,150.0,91,26.7%,43,13.3%,51,75.0%,49,7.1%,60,20.7%,82,3.8%,70,1.7%
03/14/22,vs.,WAS,W,126,112,24,4,7,3,2/5,0/0,0/0,23,11.8%,18,80.0,71,15.0%,37,15.4%,,100.0%,83,15.0%,42,15.8%,64,2.2%,71,1.8%
03/12/22,vs.,MIL,W,122,109,23,2,9,4,1/2,0/0,0/0,9,8.2%,27,100.0,80,20.0%,21,22.2%,,100.0%,,0.0%,83,29.0%,83,3.9%,,0.0%
