Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,@,BOS,W,103,90,41,12,5,2,5/20,2/8,0/0,74,22.2%,17,60.0,44,7.4%,34,14.0%,,100.0%,,0.0%,68,13.2%,,0.0%,75,2.1%
06/13/22,vs.,BOS,W,104,94,40,21,3,2,7/14,5/11,2/2,55,17.7%,74,140.0,45,8.0%,55,6.9%,63,71.4%,,0.0%,40,7.7%,,0.0%,80,2.4%
06/10/22,@,BOS,W,107,97,41,18,2,1,7/17,4/10,0/0,50,16.5%,46,105.9,27,3.8%,58,6.2%,63,71.4%,61,2.2%,0,0.0%,91,2.5%,53,1.0%
06/08/22,@,BOS,L,100,116,39,25,3,3,7/17,5/13,6/6,73,22.0%,60,125.0,65,12.0%,,0.0%,,100.0%,,0.0%,28,5.7%,76,1.3%,59,1.2%
06/05/22,vs.,BOS,W,107,88,23,7,3,1,3/14,1/6,0/0,87,25.4%,14,50.0,40,6.7%,55,6.9%,66,66.7%,,0.0%,52,9.7%,,0.0%,90,3.5%
06/02/22,vs.,BOS,L,108,120,39,15,2,3,6/14,3/7,0/0,44,15.1%,48,107.1,58,10.7%,,0.0%,52,83.3%,65,2.8%,17,3.0%,,0.0%,,0.0%
05/26/22,vs.,DAL,W,120,110,37,32,2,3,12/25,8/16,0/0,85,25.3%,65,128.0,64,11.5%,61,4.7%,,100.0%,66,2.9%,17,3.0%,,0.0%,57,1.2%
05/24/22,@,DAL,L,109,119,28,12,1,1,5/9,2/5,0/1,33,12.7%,68,133.3,34,5.3%,,0.0%,54,80.0%,,0.0%,24,4.8%,,0.0%,89,3.4%
05/22/22,@,DAL,W,109,100,39,19,7,3,6/18,3/10,4/4,73,21.8%,37,95.0,64,11.5%,,0.0%,,100.0%,,0.0%,84,17.1%,,0.0%,,0.0%
05/20/22,vs.,DAL,W,126,117,37,15,4,5,6/10,1/4,2/2,37,13.6%,71,136.4,81,17.9%,,0.0%,52,83.3%,,0.0%,58,11.1%,,0.0%,,0.0%
05/18/22,vs.,DAL,W,112,87,35,15,5,4,7/13,1/4,0/0,68,20.7%,53,115.4,70,13.8%,20,19.4%,63,71.4%,,0.0%,54,10.5%,96,3.0%,,0.0%
05/13/22,vs.,MEM,W,110,96,42,30,8,2,11/22,8/14,0/0,65,19.5%,71,136.4,45,8.0%,35,13.6%,63,72.7%,60,1.8%,67,13.0%,97,3.3%,,0.0%
05/11/22,@,MEM,L,95,134,25,19,3,1,7/12,3/6,2/2,76,22.8%,78,146.2,59,11.1%,29,15.4%,63,71.4%,,0.0%,63,12.0%,,0.0%,72,1.8%
05/09/22,vs.,MEM,W,101,98,38,14,7,2,6/20,0/7,2/2,80,23.9%,21,66.7,52,9.5%,35,13.3%,52,83.3%,61,2.2%,58,11.1%,90,2.5%,54,1.1%
05/07/22,vs.,MEM,W,142,112,35,21,9,4,8/13,4/6,1/1,61,18.5%,86,161.5,68,12.9%,18,20.0%,59,75.0%,,0.0%,94,23.7%,,0.0%,,0.0%
05/03/22,@,MEM,L,101,106,41,12,2,3,5/19,2/12,0/0,60,18.4%,20,63.2,59,11.1%,61,5.1%,54,80.0%,,0.0%,22,4.0%,,0.0%,84,2.8%
05/01/22,@,MEM,W,117,116,31,15,1,3,6/19,3/10,0/2,83,25.0%,25,75.0,69,13.6%,,0.0%,52,83.3%,,0.0%,17,2.7%,80,1.5%,82,2.6%
04/27/22,vs.,DEN,W,102,98,40,15,9,3,5/13,1/6,4/4,53,17.3%,38,100.0,59,11.1%,,0.0%,54,80.0%,65,2.8%,85,17.6%,77,1.4%,97,4.8%
04/24/22,@,DEN,L,121,126,31,32,4,0,12/20,7/11,1/2,83,25.0%,83,152.4,,0.0%,43,11.4%,49,91.7%,77,4.2%,58,11.1%,,0.0%,85,2.9%
04/21/22,@,DEN,W,118,113,37,26,1,1,10/18,6/13,0/0,65,19.8%,77,144.4,30,4.5%,58,6.2%,65,70.0%,,0.0%,18,3.3%,95,2.9%,,0.0%
04/18/22,vs.,DEN,W,126,106,36,21,2,1,9/19,3/8,0/0,68,20.7%,50,110.5,28,4.0%,,0.0%,50,88.9%,,0.0%,28,5.7%,79,1.4%,,0.0%
04/16/22,vs.,DEN,W,123,107,29,19,3,2,7/15,5/10,0/0,78,23.5%,63,126.7,54,10.0%,20,19.4%,,100.0%,,0.0%,35,6.9%,,0.0%,,0.0%
04/10/22,@,NOP,W,128,107,31,41,3,2,16/29,7/14,2/3,100,40.0%,74,136.7,61,12.5%,42,10.7%,54,75.0%,,0.0%,24,4.9%,,0.0%,,0.0%
04/07/22,vs.,LAL,W,128,112,33,33,4,4,12/22,6/10,3/3,87,26.2%,78,143.5,74,16.7%,59,4.7%,54,75.0%,65,3.0%,50,10.0%,,0.0%,,0.0%
04/02/22,vs.,UTA,W,111,107,39,36,5,2,14/28,8/17,0/0,95,30.4%,67,128.6,55,11.1%,59,4.2%,47,85.7%,,0.0%,63,12.2%,,0.0%,,0.0%
03/30/22,vs.,PHX,L,103,107,34,13,1,4,5/21,1/10,2/2,94,29.8%,15,59.1,90,25.0%,37,12.0%,50,80.0%,,0.0%,14,2.6%,,0.0%,,0.0%
03/27/22,@,WAS,L,115,123,37,25,5,3,10/22,5/13,0/0,76,22.2%,54,113.6,70,15.0%,,0.0%,50,80.0%,,0.0%,83,17.9%,,0.0%,,0.0%
03/25/22,@,ATL,L,110,121,40,37,7,3,14/26,9/16,0/0,89,26.9%,77,142.3,66,13.6%,50,8.0%,68,64.3%,61,2.6%,41,8.3%,76,1.3%,,0.0%
03/22/22,@,ORL,L,90,94,32,15,2,3,6/15,2/7,1/1,71,20.8%,36,100.0,74,16.7%,55,6.7%,48,83.3%,,0.0%,34,6.9%,,0.0%,83,2.8%
03/20/22,vs.,SAS,L,108,110,38,24,3,0,9/22,6/12,0/0,65,19.6%,50,109.1,,0.0%,,0.0%,46,88.9%,60,2.4%,21,4.3%,,0.0%,50,1.1%
